Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,130.19,132.08,129.5,131.83,118.99,2756000
2019-01-03,132.10,132.97,129.07,130.07,117.40,3184000
2019-01-04,132.61,135.03,132.05,134.61,121.50,3583600
2019-01-07,134.33,136.0,133.14,135.36,122.18,2944600
2019-01-08,136.05,136.88,134.32,135.08,121.93,2636100
2019-01-09,136.19,136.74,135.07,135.72,122.50,1992900
2019-01-10,135.22,137.94,134.66,137.75,124.33,2149700
2019-01-11,136.75,137.75,136.41,137.36,123.98,1890400
2019-01-14,136.33,138.03,135.97,137.61,124.20,3100600
2019-01-15,137.42,138.14,136.53,137.77,124.35,1841900
2019-01-16,137.52,138.69,137.25,138.02,124.57,2247300
2019-01-17,137.30,140.63,137.19,139.88,126.25,2577400
2019-01-18,141.77,142.50,140.36,141.85,128.03,5421600
2019-01-22,140.96,141.14,138.69,139.82,126.20,3196500
2019-01-23,140.82,141.28,139.22,140.74,127.03,2966300
2019-01-24,140.88,142.0,140.46,141.17,127.43,2707200
2019-01-25,142.5,142.69,141.41,141.71,127.90,3206300
2019-01-28,140.33,140.78,138.86,140.47,126.79,3478300
2019-01-29,140.85,142.21,140.5,141.74,127.93,2424500
2019-01-30,142.46,143.75,140.94,143.27,129.32,3112800
2019-01-31,142.80,144.05,142.25,143.63,129.64,3473600
2019-02-01,148.69,149.0,144.33,144.71,130.61,5536500
2019-02-04,144.47,148.00,144.44,147.92,133.52,4692800
2019-02-05,148.39,148.69,147.41,148.69,134.20,2962700
2019-02-06,148.99,149.49,148.28,148.89,134.39,3147200
2019-02-07,147.66,148.89,147.25,148.14,133.72,2961700
2019-02-08,147.97,148.63,147.19,148.61,134.13,3952100
2019-02-11,148.99,149.32,148.05,148.47,134.01,2977700
2019-02-12,149.19,150.50,148.96,150.36,135.71,2654900
2019-02-13,150.99,152.67,150.67,151.47,136.72,2759700
2019-02-14,150.92,151.63,149.96,150.52,135.86,2110700
2019-02-15,152.0,153.32,151.58,153.32,138.38,3039400
2019-02-19,152.61,153.75,152.38,153.27,138.35,2479600
2019-02-20,153.33,154.83,153.00,154.58,139.52,2622400
2019-02-21,153.53,153.75,152.08,152.61,138.48,2706300
2019-02-22,153.25,153.60,152.38,153.19,139.01,2868500
2019-02-25,154.19,154.67,153.72,154.05,139.79,2312500
2019-02-26,153.88,154.80,153.61,153.91,139.67,1986300
2019-02-27,153.86,154.74,153.11,154.60,140.28,1751400
2019-02-28,154.08,154.57,153.41,154.07,139.80,2843900
2019-03-01,154.99,155.85,154.63,155.72,141.30,3385400
2019-03-04,156.78,156.97,153.97,154.5,140.19,4068400
2019-03-05,154.50,155.19,153.61,154.14,139.87,3381900
2019-03-06,154.10,155.02,153.72,153.74,139.50,3929400
2019-03-07,153.57,153.83,151.63,152.47,138.36,3579600
2019-03-08,151.27,151.80,150.38,151.58,137.55,2920700
2019-03-11,151.0,153.22,150.55,153.19,139.00,2792800
2019-03-12,153.57,154.36,152.80,153.5,139.28,1822000
2019-03-13,154.30,155.44,153.85,155.03,140.68,2533900
2019-03-14,155.35,155.63,154.36,155.25,140.87,2657600
2019-03-15,155.14,156.00,155.02,155.35,140.96,5287300
2019-03-18,155.55,157.08,154.89,156.92,142.40,2395900
2019-03-19,157.61,158.16,156.66,157.24,142.68,2694600
2019-03-20,157.19,157.67,155.64,156.28,141.82,2373700
2019-03-21,156.36,158.91,156.10,158.44,143.78,1951900
2019-03-22,157.60,157.83,155.61,155.83,141.40,2430900
2019-03-25,155.92,157.22,155.61,155.92,141.49,2048500
2019-03-26,156.86,157.86,156.58,157.47,142.90,2214400
2019-03-27,157.33,158.28,156.19,157.11,142.56,2764700
2019-03-28,157.61,158.66,157.00,158.53,143.86,2179200
2019-03-29,159.19,159.49,157.97,158.91,144.20,2704700
2019-04-01,160.0,161.77,159.75,161.47,146.52,2393600
2019-04-02,161.32,161.55,159.86,161.03,146.13,3332700
2019-04-03,161.63,161.94,160.16,160.28,145.45,3815200
2019-04-04,160.25,161.35,159.78,161.07,146.15,1967300
2019-04-05,161.61,162.17,161.17,161.69,146.73,1745000
2019-04-08,161.19,162.10,160.55,162.05,147.05,1854000
2019-04-09,161.17,161.52,160.55,160.85,145.95,1932500
2019-04-10,160.80,160.80,159.21,159.97,145.16,2381000
2019-04-11,160.17,161.05,159.67,160.89,146.00,1756200
2019-04-12,161.91,162.63,161.39,162.47,147.42,2118900
2019-04-15,162.75,162.86,161.78,162.0,147.00,2392800
2019-04-16,162.58,162.91,162.13,162.86,147.78,3007100
2019-04-17,163.30,164.64,162.66,162.88,147.81,3416400
2019-04-18,167.52,169.86,165.88,169.05,153.40,6376900
2019-04-22,168.25,169.41,167.5,168.24,152.66,3264700
2019-04-23,168.25,172.0,168.00,171.80,155.90,4169400
