Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,45.95,47.47,45.77,47.08,41.06,18774600
2019-01-03,46.15,46.27,44.38,44.49,38.80,32267300
2019-01-04,45.84,47.56,45.54,47.22,41.18,35447300
2019-01-07,47.09,48.0,46.75,47.43,41.37,22736800
2019-01-08,47.79,48.02,46.77,47.74,41.63,22749200
2019-01-09,47.95,48.56,47.77,48.00,41.87,22554500
2019-01-10,47.75,48.65,47.40,48.56,42.35,27202600
2019-01-11,48.09,49.29,48.04,48.93,42.67,21751300
2019-01-14,48.45,48.83,48.29,48.34,42.16,19193900
2019-01-15,48.70,49.13,48.43,48.59,42.38,22480800
2019-01-16,48.59,48.88,48.08,48.13,41.97,19057700
2019-01-17,48.0,48.84,47.90,48.47,42.27,17448700
2019-01-18,49.11,49.38,48.68,49.18,42.90,29874600
2019-01-22,48.95,48.97,47.86,48.27,42.09,25940700
2019-01-23,48.40,48.79,47.52,47.93,41.81,18960700
2019-01-24,48.70,50.04,48.59,49.75,43.39,50578300
2019-01-25,46.84,47.43,45.75,47.04,41.02,86455700
2019-01-28,46.13,46.72,46.04,46.70,40.73,35928700
2019-01-29,46.77,46.97,46.33,46.54,40.58,20988300
2019-01-30,46.68,47.68,46.45,47.54,41.46,26931700
2019-01-31,46.70,47.18,46.09,47.11,41.09,43051300
2019-02-01,47.06,49.04,47.00,48.72,42.49,37442900
2019-02-04,48.61,49.24,48.24,49.22,42.92,20905000
2019-02-05,49.18,50.72,49.18,50.00,43.61,31641600
2019-02-06,49.95,50.63,49.81,49.90,43.79,21647800
2019-02-07,49.5,49.84,48.68,49.22,43.20,27825900
2019-02-08,48.77,49.02,48.00,48.84,42.86,18851200
2019-02-11,49.02,49.31,48.58,48.77,42.80,18004100
2019-02-12,49.36,50.13,49.27,50.00,43.89,18050100
2019-02-13,50.13,50.81,50.0,50.47,44.29,17712800
2019-02-14,50.40,51.04,50.34,50.81,44.59,17545400
2019-02-15,51.25,51.66,51.09,51.65,45.34,22520400
2019-02-19,51.34,51.70,51.34,51.40,45.11,15611800
2019-02-20,51.63,51.72,51.06,51.38,45.10,21607700
