Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,95.94,99.77,95.94,99.30,85.33,15670900
2019-01-03,98.63,98.88,96.69,97.11,84.12,16286400
2019-01-04,99.11,100.93,98.27,100.69,87.22,16935200
2019-01-07,100.43,101.47,99.70,100.76,87.28,15430700
2019-01-08,101.62,101.81,99.55,100.56,87.11,13578800
2019-01-09,100.80,101.48,99.93,100.40,86.97,14230300
2019-01-10,100.01,100.73,99.26,100.38,86.96,14376100
2019-01-11,99.88,100.16,98.94,99.91,86.54,15439900
2019-01-14,98.87,101.36,98.66,100.94,87.43,21258500
2019-01-15,98.88,102.47,98.59,101.68,88.08,26504900
2019-01-16,102.25,103.44,101.80,102.5,88.79,18533000
2019-01-17,102.11,103.5,101.91,102.91,89.15,14247600
2019-01-18,103.76,104.90,102.83,104.58,90.60,16428700
2019-01-22,103.08,103.58,102.12,102.94,89.17,17083700
2019-01-23,103.44,103.69,101.97,102.68,88.94,12146700
2019-01-24,102.12,103.08,101.94,102.73,88.99,11296800
2019-01-25,103.51,104.30,102.73,103.38,89.56,14369400
2019-01-28,102.88,104.23,102.58,103.87,89.98,12283100
2019-01-29,103.87,105.11,103.73,104.16,90.23,9743300
2019-01-30,104.13,105.23,103.77,104.41,90.44,12526300
2019-01-31,103.41,103.80,102.73,103.5,89.65,17520600
2019-02-01,104.0,104.84,103.51,103.87,89.98,13000800
2019-02-04,103.79,104.25,103.01,104.25,90.30,9871500
2019-02-05,104.51,104.55,103.29,103.79,89.90,12763000
2019-02-06,103.70,104.62,103.47,103.73,89.86,8745000
2019-02-07,103.25,103.5,101.44,102.37,88.68,13177500
2019-02-08,102.08,102.33,100.05,101.36,87.80,12892600
2019-02-11,101.76,102.01,100.76,100.87,87.38,10978500
2019-02-12,101.94,102.91,101.88,102.59,88.87,12852300
2019-02-13,102.90,103.84,102.90,103.08,89.30,10754100
2019-02-14,102.47,103.09,101.34,102.41,88.72,11518500
2019-02-15,103.90,105.69,103.66,105.55,91.43,14716900
2019-02-19,104.91,105.37,103.80,105.18,91.11,12764900
2019-02-20,105.20,105.80,104.87,105.69,91.55,10030300
2019-02-21,105.44,105.98,104.95,105.47,91.36,8400100
2019-02-22,105.69,106.08,104.77,105.0,90.95,10647300
2019-02-25,105.75,107.26,105.69,106.09,91.90,11230700
2019-02-26,104.5,105.47,103.94,105.29,91.20,15465400
2019-02-27,105.18,105.37,104.51,105.16,91.09,9968800
2019-02-28,105.01,105.20,104.18,104.36,90.40,15156900
2019-03-01,105.09,105.91,104.19,104.43,90.46,13813300
2019-03-04,104.91,105.91,103.26,104.19,90.25,12466300
2019-03-05,104.12,104.55,103.26,104.11,90.18,10856600
2019-03-06,103.86,104.56,103.55,103.72,89.84,9070800
2019-03-07,103.25,103.47,102.16,102.97,89.19,12705700
2019-03-08,101.98,103.23,101.98,103.01,89.23,10582400
2019-03-11,103.98,104.55,103.66,104.34,90.39,9763200
2019-03-12,104.58,104.79,103.75,104.04,90.12,10219100
2019-03-13,104.19,104.98,103.94,104.38,90.42,13022200
2019-03-14,104.5,105.87,104.45,105.33,91.25,10926500
2019-03-15,105.41,106.80,105.23,106.55,92.29,24811700
2019-03-18,106.55,107.79,106.5,107.19,92.85,12935500
2019-03-19,108.19,108.40,106.55,106.80,92.51,12889300
2019-03-20,106.43,106.65,104.41,104.51,90.54,14920700
2019-03-21,103.48,103.48,102.27,102.87,89.11,19751000
2019-03-22,101.81,102.31,99.51,99.76,86.41,31115200
2019-03-25,99.58,100.56,98.08,98.93,85.69,21032300
2019-03-26,99.81,100.40,98.81,99.91,86.55,15987100
2019-03-27,99.87,100.44,99.08,99.58,86.26,12753200
2019-03-28,100.0,100.80,99.73,100.70,87.24,12454100
2019-03-29,101.54,101.98,100.58,101.23,87.69,14523400
2019-04-01,102.15,104.68,102.12,104.63,90.64,17499300
2019-04-02,104.59,105.44,104.33,105.13,91.07,10295400
2019-04-03,105.80,106.36,104.79,105.34,91.25,11499200
2019-04-04,104.55,105.73,104.44,105.55,92.14,11952100
2019-04-05,105.80,106.11,104.98,105.30,91.92,9933700
2019-04-08,105.11,105.65,104.91,105.65,92.22,8056300
2019-04-09,105.08,105.19,104.25,104.87,91.53,9092200
2019-04-10,105.12,105.72,104.47,105.33,91.94,10882300
2019-04-11,105.70,106.73,105.55,106.23,92.72,11183800
2019-04-12,109.44,111.84,108.87,111.20,97.07,25834100
2019-04-15,110.91,111.0,109.12,109.94,95.96,15163800
2019-04-16,109.90,111.38,109.86,111.09,96.97,11583200
2019-04-17,111.69,114.66,111.01,114.30,99.77,17791900
2019-04-18,114.52,114.94,113.33,113.45,99.03,12501900
2019-04-22,112.83,113.93,112.66,113.59,99.15,7975900
2019-04-23,113.0,114.37,112.84,113.73,99.28,9193100
2019-04-24,113.26,114.15,112.80,113.55,99.11,9245700
2019-04-25,113.01,114.15,112.5,113.61,99.16,9311800
2019-04-26,113.94,114.58,113.59,114.47,99.91,7889300
2019-04-29,114.59,117.16,114.44,116.12,101.35,14242200
2019-04-30,116.43,116.72,115.26,116.05,101.29,11389100
2019-05-01,115.72,117.0,115.11,115.16,100.52,10412900
2019-05-02,115.16,115.77,114.58,115.41,100.73,8613300
2019-05-03,116.0,116.68,115.66,116.12,101.35,8185400
2019-05-06,114.18,115.47,113.72,115.08,100.46,9387000
2019-05-07,114.02,114.02,112.29,113.20,98.81,15017700
2019-05-08,112.66,113.66,112.45,112.61,98.29,9575800
2019-05-09,111.13,112.73,110.58,112.51,98.21,12205900
2019-05-10,111.75,112.83,110.54,112.51,98.20,13189000
2019-05-13,110.08,110.44,108.98,109.44,95.53,13783700
2019-05-14,109.55,111.72,109.5,110.31,96.29,10503600
2019-05-15,109.20,110.90,108.61,109.90,95.92,10142000
2019-05-16,110.62,112.16,110.58,111.30,97.16,9672700
2019-05-17,110.0,111.75,109.83,110.76,96.68,9570100
2019-05-20,110.58,111.80,110.37,111.34,97.19,8518200
2019-05-21,111.44,111.91,111.22,111.73,97.52,7967900
2019-05-22,111.40,111.79,110.75,110.81,96.73,7918900
2019-05-23,109.63,109.79,107.5,108.63,94.82,14558000
2019-05-24,109.51,109.95,109.19,109.70,95.76,8537300
2019-05-28,109.19,109.83,108.44,108.51,94.72,11665500
2019-05-29,107.44,108.40,107.05,108.22,94.46,9966400
2019-05-30,108.65,109.18,106.54,107.05,93.45,10367800
2019-05-31,105.55,106.58,104.83,105.95,92.49,10952800
2019-06-03,105.80,106.86,105.30,106.45,92.92,11680700
2019-06-04,107.84,109.90,107.12,109.73,95.79,12858600
2019-06-05,109.86,110.37,108.63,110.12,96.13,8340500
2019-06-06,110.15,110.87,108.93,110.37,96.34,8726700
2019-06-07,109.69,110.01,108.95,109.16,95.28,10618900
2019-06-10,110.75,111.20,110.22,110.33,96.31,11380600
2019-06-11,110.81,111.56,110.37,110.68,96.61,9847700
2019-06-12,110.69,110.90,108.88,109.26,95.37,9670500
2019-06-13,109.45,110.16,109.05,109.54,95.61,8406900
2019-06-14,109.56,110.30,108.62,109.81,95.85,9077400
2019-06-17,109.69,110.37,109.05,109.22,95.33,8128600
2019-06-18,109.01,111.41,108.98,110.70,96.63,11057300
2019-06-19,110.81,111.58,109.69,109.91,95.93,13126500
2019-06-20,110.87,111.08,109.02,110.19,96.18,13638000
2019-06-21,110.19,111.66,109.08,109.44,95.52,27089500
2019-06-24,109.27,109.76,108.54,108.66,94.84,13039600
2019-06-25,108.68,108.98,107.66,107.76,94.06,18660100
2019-06-26,108.30,109.30,108.16,108.48,94.69,10324600
2019-06-27,108.83,109.55,108.44,108.83,95.00,10906600
2019-06-28,111.04,112.43,110.90,111.80,97.58,21634700
2019-07-01,113.23,114.51,113.08,113.68,99.22,12724500
2019-07-02,113.51,114.19,113.22,113.80,99.33,10174900
2019-07-03,113.33,113.87,112.26,112.81,99.17,6849400
2019-07-05,113.51,114.26,112.91,113.48,99.76,7929400
2019-07-08,112.95,113.48,112.5,112.87,99.21,6917200
2019-07-09,112.27,113.48,112.15,113.34,99.64,8947300
2019-07-10,113.37,113.83,112.73,113.01,99.35,9242300
2019-07-11,113.37,114.36,113.12,114.09,100.30,11595200
2019-07-12,114.12,115.34,113.93,115.30,101.35,10783400
2019-07-15,115.54,115.56,113.52,113.90,100.12,12946600
2019-07-16,113.48,115.5,112.91,115.12,101.19,16945000
2019-07-17,114.43,114.94,113.73,113.98,100.20,13120900
2019-07-18,113.93,115.06,113.55,114.66,100.80,9397200
2019-07-19,114.88,115.12,113.40,113.54,99.80,10402800
2019-07-22,112.91,114.44,112.76,114.26,100.45,9061100
2019-07-23,114.87,116.44,114.81,116.36,102.28,12752200
2019-07-24,115.58,116.87,115.51,116.83,102.70,10011000
2019-07-25,116.88,117.23,115.31,115.70,101.71,10138400
2019-07-26,115.76,116.51,115.52,116.22,102.16,12800400
2019-07-29,116.45,117.18,115.79,115.84,101.83,8500400
2019-07-30,115.19,116.08,114.76,115.58,101.61,7121100
2019-07-31,116.09,116.18,114.86,116.0,101.97,13648000
2019-08-01,115.33,116.80,112.59,112.94,99.28,15664500
