Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,175.41,176.30,174.16,176.05,157.76,2571500
2019-01-03,175.44,176.44,174.41,174.89,156.72,3728200
2019-01-04,176.02,179.19,175.69,178.27,159.75,3194300
2019-01-07,178.13,181.88,178.13,180.22,161.49,3283000
2019-01-08,181.96,182.28,179.91,180.60,161.83,2941400
2019-01-09,180.55,180.89,179.19,180.28,161.55,2680700
2019-01-10,179.83,181.88,179.32,181.55,162.68,2498500
2019-01-11,180.58,182.39,180.46,182.36,163.42,2348900
2019-01-14,181.41,181.75,180.69,181.22,162.39,1886200
2019-01-15,181.47,183.21,180.74,181.02,162.21,3860200
2019-01-16,180.94,181.52,179.13,179.35,160.71,3375600
2019-01-17,179.25,181.11,179.02,181.11,162.29,3061000
2019-01-18,183.03,183.25,180.94,182.57,163.60,3498000
2019-01-22,182.25,185.47,182.25,184.57,165.39,3190300
2019-01-23,184.77,186.16,184.11,186.08,166.75,2530700
2019-01-24,186.86,187.88,185.94,187.36,167.90,3214200
2019-01-25,188.77,189.41,183.92,184.0,164.88,4405600
2019-01-28,183.05,183.72,181.83,183.60,164.52,4138700
2019-01-29,183.27,183.72,180.97,182.16,163.24,3666700
2019-01-30,182.91,187.78,178.66,181.77,162.88,9489900
2019-01-31,180.25,181.85,176.86,178.77,160.20,10440100
2019-02-01,179.55,180.49,176.47,176.72,158.36,6529200
2019-02-04,177.28,177.77,175.66,177.55,159.10,4533800
2019-02-05,177.71,179.41,177.22,177.57,159.12,4495900
2019-02-06,177.55,177.55,175.99,176.17,157.87,3965200
2019-02-07,176.0,176.25,174.30,175.27,157.07,4176300
2019-02-08,174.77,175.47,174.39,174.75,156.59,4051600
2019-02-11,175.24,175.89,174.16,174.25,156.15,3216400
2019-02-12,174.78,175.27,173.80,173.97,155.89,4692800
2019-02-13,174.0,174.66,173.75,174.14,156.05,5283000
2019-02-14,173.92,176.44,173.41,175.86,157.59,4428800
2019-02-15,177.27,179.97,177.00,179.97,161.27,4648600
2019-02-19,181.11,181.89,179.16,179.25,160.62,4765400
2019-02-20,179.47,180.91,179.33,180.49,161.73,3707400
2019-02-21,180.44,183.33,180.39,182.80,163.81,4391000
