Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,187.82,190.99,186.69,190.94,156.15,2475200
2019-01-03,188.27,188.27,182.88,183.75,150.27,3358200
2019-01-04,186.75,191.97,186.02,191.32,156.45,2995100
2019-01-07,191.36,192.30,188.66,190.88,156.09,2162200
2019-01-08,193.0,194.11,189.58,191.67,156.75,2479800
2019-01-09,193.25,193.94,191.38,192.30,157.25,2163600
2019-01-10,190.86,193.80,189.39,193.60,158.32,1939300
2019-01-11,191.83,192.69,190.86,192.21,157.18,2359900
2019-01-14,190.63,192.83,189.80,192.16,157.15,1914400
2019-01-15,188.83,190.67,187.86,188.94,154.50,2737300
2019-01-16,188.50,190.44,188.41,189.47,154.95,2492100
2019-01-17,188.55,192.89,187.89,191.71,156.77,1978900
2019-01-18,194.33,196.39,192.36,195.86,160.16,2746600
2019-01-22,194.22,194.49,190.42,192.25,157.22,2709600
2019-01-23,192.63,194.0,190.27,192.28,157.24,1652900
2019-01-24,192.25,193.16,191.50,192.52,157.43,1582800
2019-01-25,194.72,197.16,194.46,195.89,160.20,2320100
2019-01-28,193.13,193.44,191.07,193.19,157.99,3156600
2019-01-29,195.00,199.88,194.19,196.94,161.06,4311100
2019-01-30,198.22,200.11,194.63,199.27,162.95,2168100
2019-01-31,198.80,200.88,197.74,200.30,163.79,3338400
2019-02-01,201.49,201.77,198.28,199.16,162.86,2239400
2019-02-04,199.00,200.25,196.25,200.21,163.72,1973600
2019-02-05,200.72,201.13,199.72,201.11,164.47,2036900
2019-02-06,201.22,203.08,200.25,202.57,165.65,1672400
2019-02-07,201.02,202.39,198.86,199.83,163.42,1949400
2019-02-08,199.22,199.85,197.89,199.82,163.40,1451800
2019-02-11,200.92,201.19,199.63,200.91,164.29,1513500
2019-02-12,202.86,206.78,202.19,206.57,168.92,2623000
2019-02-13,207.08,210.39,206.58,209.72,171.50,2967300
2019-02-14,206.58,207.11,204.05,204.92,168.74,2229700
2019-02-15,206.46,208.97,206.0,208.86,171.98,2000400
2019-02-19,207.91,209.14,207.38,208.41,171.61,1534400
2019-02-20,208.92,208.97,207.32,208.52,171.70,1879100
2019-02-21,208.16,209.11,207.25,207.77,171.08,1737600
2019-02-22,207.77,209.66,207.14,209.35,172.38,1534200
2019-02-25,210.47,211.35,210.33,210.58,173.39,2183500
2019-02-26,210.58,211.58,209.36,209.38,172.40,1671300
2019-02-27,209.60,209.69,208.16,209.02,172.12,1540600
2019-02-28,209.05,209.05,206.96,207.38,170.77,2121700
2019-03-01,208.80,209.75,206.89,207.49,170.85,1754400
2019-03-04,208.99,209.97,205.74,206.86,170.33,1989900
2019-03-05,205.58,207.25,203.83,203.83,167.84,2744500
2019-03-06,204.72,204.78,202.75,202.80,166.99,1825300
2019-03-07,202.55,202.55,198.5,199.86,164.57,3339600
2019-03-08,198.38,201.16,198.0,200.88,165.41,1724500
2019-03-11,201.88,207.16,201.66,207.10,170.53,2385300
2019-03-12,207.83,208.38,205.38,205.80,169.46,2115100
2019-03-13,206.83,207.30,205.63,206.66,170.16,2036700
2019-03-14,206.69,207.44,205.72,207.38,170.76,1793400
2019-03-15,208.39,208.66,206.78,208.08,171.33,4394700
2019-03-18,208.44,208.60,205.61,208.49,171.67,1843600
2019-03-19,209.10,210.53,208.30,209.02,172.11,2351600
2019-03-20,209.0,210.50,207.28,208.30,171.51,1734600
2019-03-21,206.80,210.16,205.97,209.61,172.59,2288100
2019-03-22,208.28,208.49,204.47,204.66,168.52,2716100
2019-03-25,203.46,205.47,202.25,203.21,167.32,2020600
2019-03-26,205.0,207.63,204.77,207.24,170.64,1895600
2019-03-27,207.39,207.94,205.13,207.16,170.58,2004000
2019-03-28,208.0,208.74,206.63,208.52,171.70,1670600
2019-03-29,209.28,209.5,206.19,207.77,171.09,2858300
2019-04-01,209.88,212.38,209.25,211.94,174.51,2588400
2019-04-02,212.24,212.69,211.0,212.13,174.67,1413500
2019-04-03,212.94,213.92,212.44,213.13,175.49,1570000
2019-04-04,213.5,215.27,212.33,215.02,177.06,1560900
2019-04-05,215.88,216.49,214.80,215.41,177.37,1391100
2019-04-08,214.71,215.07,213.47,215.02,177.05,1130000
2019-04-09,214.41,214.57,211.82,211.96,174.53,1516500
2019-04-10,212.41,212.71,210.72,212.11,174.65,1348600
2019-04-11,211.71,213.71,211.44,213.52,175.82,1181200
2019-04-12,215.10,217.49,214.35,217.41,179.02,1922400
2019-04-15,216.83,217.36,214.89,215.83,177.72,1483300
2019-04-16,216.58,217.66,215.47,216.89,178.60,1549600
2019-04-17,217.63,219.33,217.17,217.63,179.21,1977600
2019-04-18,217.97,219.66,217.61,218.88,180.23,1780100
2019-04-22,217.30,219.39,217.27,218.53,179.95,1403500
2019-04-23,218.00,219.55,217.17,219.5,180.74,1561800
2019-04-24,219.0,219.75,218.10,219.08,180.39,2048900
2019-04-25,197.53,198.96,189.60,190.72,157.04,14646200
2019-04-26,190.52,192.25,189.36,191.66,157.82,4491300
2019-04-29,191.52,192.19,189.75,190.21,156.62,3803400
2019-04-30,190.86,190.86,186.55,189.50,156.04,4541000
2019-05-01,189.49,189.71,185.91,186.07,153.21,3818500
2019-05-02,184.5,186.5,183.38,184.75,152.12,5654900
2019-05-03,185.80,186.69,184.08,185.22,152.51,4747700
2019-05-06,182.03,183.11,180.13,183.03,150.72,6517600
2019-05-07,181.80,181.89,177.80,179.11,147.49,5415600
2019-05-08,179.50,180.52,178.5,178.58,147.05,2990500
2019-05-09,177.30,177.39,174.17,175.27,144.33,5098200
2019-05-10,175.02,176.33,173.00,175.86,144.80,5012300
2019-05-13,173.94,174.58,172.78,174.07,143.33,5916700
2019-05-14,174.78,176.97,174.50,175.21,144.27,4014000
2019-05-15,174.02,175.64,173.64,174.11,143.37,3015500
2019-05-16,174.38,174.38,171.36,171.80,141.47,4039500
2019-05-17,170.0,170.25,168.42,169.08,139.23,4595000
2019-05-20,167.96,167.96,165.61,166.25,136.89,4374600
2019-05-21,167.00,167.41,166.17,167.30,137.75,4148200
2019-05-22,167.42,170.75,166.46,169.74,139.76,4504200
2019-05-23,167.58,168.30,164.58,165.86,137.75,3830200
2019-05-24,166.33,167.41,165.32,166.08,137.93,2366900
2019-05-28,166.80,166.99,163.35,163.35,135.65,4875100
2019-05-29,163.00,163.80,160.5,161.39,134.03,3669000
2019-05-30,161.39,162.27,160.0,160.58,133.35,2478700
2019-05-31,159.83,160.74,159.63,159.75,132.66,3521900
2019-06-03,159.75,161.5,159.32,160.03,132.90,3726500
2019-06-04,161.72,165.08,161.58,164.28,136.43,3746800
2019-06-05,165.13,165.83,162.88,163.85,136.07,3161600
2019-06-06,164.0,166.35,162.46,164.72,136.79,3581800
2019-06-07,165.55,167.08,164.63,166.61,138.36,2017700
2019-06-10,168.11,170.22,167.86,168.28,139.76,2257600
2019-06-11,169.91,170.36,168.5,168.91,140.27,2227200
2019-06-12,169.86,170.14,168.58,169.00,140.35,2166400
2019-06-13,169.36,169.89,167.86,168.85,140.22,2141500
2019-06-14,168.24,168.25,166.05,166.69,138.43,2719200
2019-06-17,167.10,167.42,166.46,166.77,138.50,1783300
2019-06-18,167.85,172.27,167.57,171.86,142.72,3623000
2019-06-19,171.88,172.80,170.53,170.75,141.80,2777400
2019-06-20,172.86,174.27,171.69,173.94,144.45,3064200
2019-06-21,173.75,174.55,172.63,173.35,143.96,4880800
2019-06-24,173.35,174.33,173.33,173.38,143.98,2711900
2019-06-25,173.25,173.38,171.27,172.02,142.86,2733200
2019-06-26,172.35,173.24,171.72,171.88,142.74,1812200
2019-06-27,172.50,172.78,170.64,171.5,142.42,1718500
2019-06-28,171.85,174.36,171.77,173.33,143.95,3600800
2019-07-01,175.46,175.77,173.52,174.50,144.92,2106700
2019-07-02,175.10,175.10,173.07,174.02,144.51,1555400
2019-07-03,174.16,175.03,172.92,174.97,145.31,1170700
2019-07-05,173.0,173.27,169.72,172.0,142.84,1740500
2019-07-08,169.91,170.47,168.77,169.19,140.50,2285300
2019-07-09,166.82,167.44,164.28,165.69,137.60,4536100
2019-07-10,166.19,167.32,165.57,165.69,137.60,2661700
2019-07-11,166.30,169.08,165.86,169.03,140.38,2814800
2019-07-12,170.10,173.36,169.25,173.33,143.95,3160700
