Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,71.84,72.50,71.18,72.12,62.34,15120125
2019-01-03,72.09,72.49,70.46,70.64,61.06,13910628
2019-01-04,71.31,72.99,71.22,72.77,62.90,14753115
2019-01-07,72.66,72.96,71.95,71.97,62.20,15795142
2019-01-08,72.39,72.71,71.84,72.50,62.67,11896686
2019-01-09,72.41,72.81,71.87,71.95,62.19,11916284
2019-01-10,72.21,72.21,70.10,71.06,61.42,19134070
2019-01-11,71.27,71.50,70.75,71.46,61.77,9878029
2019-01-14,70.88,71.03,69.75,70.00,60.50,15669486
2019-01-15,69.75,71.45,69.75,71.08,61.44,13102096
2019-01-16,71.31,72.29,71.05,71.19,61.53,15272504
2019-01-17,70.90,72.29,70.90,72.13,62.34,16969321
2019-01-18,72.65,72.83,72.01,72.39,62.57,14980741
2019-01-22,72.10,72.70,71.90,72.35,62.53,10568766
2019-01-23,72.08,72.24,71.31,71.98,62.21,14369233
2019-01-24,71.71,71.71,69.06,69.81,60.34,21986621
2019-01-25,70.43,70.45,68.81,69.60,60.16,14054099
2019-01-28,69.17,69.72,68.75,69.58,60.13,13376672
2019-01-29,69.56,70.30,69.31,69.87,60.39,11966693
2019-01-30,70.09,70.42,69.67,70.00,60.50,13941230
2019-01-31,69.79,71.39,69.76,71.02,61.38,16797658
2019-02-01,72.49,73.94,71.87,72.94,63.04,15941757
2019-02-04,72.47,73.36,72.21,73.34,63.39,11824165
2019-02-05,73.83,74.79,73.53,73.61,63.62,12955690
2019-02-06,73.32,74.16,73.12,73.84,63.82,8375721
2019-02-07,73.41,73.59,72.62,73.30,63.35,9661407
2019-02-08,73.23,73.98,73.06,73.96,63.93,9266940
2019-02-11,74.23,74.27,72.71,73.19,63.26,13803942
2019-02-12,73.75,75.31,73.57,74.92,64.75,13676086
2019-02-13,74.96,75.54,74.85,75.40,65.16,10980106
2019-02-14,75.50,75.90,75.08,75.32,65.10,8577042
2019-02-15,76.01,76.45,75.63,76.15,65.82,10886100
2019-02-19,76.13,76.45,75.45,75.61,65.35,9653547
2019-02-20,75.38,75.89,75.20,75.79,65.50,8993517
2019-02-21,75.55,76.36,75.52,76.17,65.83,7740633
2019-02-22,76.11,77.15,76.11,77.07,66.61,8337469
2019-02-25,77.15,77.28,76.32,76.69,66.29,9741265
2019-02-26,76.83,77.38,76.33,77.04,66.58,8927912
2019-02-27,76.85,77.56,76.74,76.92,66.48,7852978
2019-02-28,76.84,78.01,76.84,77.56,67.04,11588365
2019-03-01,78.01,78.17,77.45,77.91,67.33,10624205
2019-03-04,78.27,78.35,76.84,77.64,67.10,8522755
2019-03-05,77.74,78.27,77.5,77.95,67.37,8698190
2019-03-06,77.86,78.01,76.62,77.06,66.60,8167169
2019-03-07,77.31,77.39,76.37,76.76,66.34,10925505
2019-03-08,76.53,76.90,75.42,76.14,65.81,11716326
2019-03-11,76.67,77.31,76.40,77.16,66.69,9126613
2019-03-12,77.45,77.82,77.08,77.50,66.99,9261281
2019-03-13,77.87,78.25,77.47,77.86,67.29,8059749
2019-03-14,77.58,78.01,77.22,77.75,67.66,8530406
2019-03-15,77.76,78.15,77.09,77.83,67.72,17341046
2019-03-18,77.54,78.08,77.21,77.62,67.54,14357914
2019-03-19,77.80,78.24,77.25,78.15,68.01,10224393
2019-03-20,78.10,78.93,77.65,78.32,68.15,11894590
2019-03-21,78.33,79.36,78.10,79.15,68.87,9473291
2019-03-22,79.11,79.62,78.26,78.52,68.32,10639191
2019-03-25,78.31,78.95,78.16,78.57,68.37,7878654
2019-03-26,78.96,79.64,78.78,79.12,68.84,9242731
2019-03-27,79.12,79.25,78.06,78.52,68.32,10020766
2019-03-28,78.99,79.10,78.41,78.84,68.60,7161298
2019-03-29,79.19,79.48,78.92,79.36,69.05,10147994
2019-04-01,79.89,80.00,79.14,79.48,69.16,8820282
2019-04-02,79.63,79.88,79.10,79.39,69.09,5875088
2019-04-03,79.45,79.82,78.95,79.37,69.06,6550734
2019-04-04,79.20,79.38,77.49,78.10,67.96,10257719
2019-04-05,78.21,78.39,77.39,77.43,67.38,10324162
2019-04-08,77.25,77.53,76.66,77.24,67.21,10586267
2019-04-09,76.87,77.27,76.58,77.09,67.08,10785282
2019-04-10,77.15,77.59,76.95,77.11,67.10,6894268
2019-04-11,77.22,77.22,75.75,76.18,66.29,10410518
2019-04-12,76.34,76.75,75.66,75.79,65.95,10164762
2019-04-15,75.67,75.84,74.87,74.93,65.20,13822491
2019-04-16,75.60,75.65,73.87,74.00,64.39,12531250
2019-04-17,74.05,74.06,70.37,70.53,61.37,34181463
2019-04-18,70.11,70.65,68.92,69.83,60.77,32768445
2019-04-22,69.80,70.42,69.40,70.09,60.99,14548441
2019-04-23,70.32,71.80,70.03,71.18,61.94,19281523
2019-04-24,71.30,71.66,70.59,71.30,62.04,12779102
2019-04-25,71.16,73.30,71.04,72.84,63.38,13994154
2019-04-26,73.12,73.46,72.60,73.12,63.62,8888193
2019-04-29,73.08,73.64,72.97,73.26,63.75,7395317
2019-04-30,74.00,75.28,72.51,75.10,65.35,11269039
2019-05-01,75.08,76.07,74.83,75.11,65.36,15288643
2019-05-02,75.00,76.17,75.00,75.87,66.02,11579142
2019-05-03,75.89,76.46,75.62,76.33,66.42,7942582
2019-05-06,74.93,76.13,74.71,75.83,65.99,9906534
2019-05-07,75.27,75.65,73.87,74.33,64.68,10523387
2019-05-08,74.74,75.10,74.33,74.59,64.91,10567508
2019-05-09,74.12,74.91,73.70,74.74,65.03,8105861
2019-05-10,74.50,74.74,73.29,74.60,64.92,9027158
2019-05-13,73.30,73.97,73.30,73.63,64.07,9641705
2019-05-14,74.06,74.50,73.81,73.87,64.28,8113826
2019-05-15,73.34,74.31,73.28,73.99,64.39,7284543
2019-05-16,74.20,76.23,74.16,75.50,65.70,9910831
2019-05-17,74.81,75.44,74.28,75.11,65.36,8259707
2019-05-20,74.77,75.63,74.66,75.26,65.49,8281191
2019-05-21,75.45,76.07,74.93,75.85,66.01,10873734
2019-05-22,75.71,77.43,75.67,77.27,67.23,13491847
2019-05-23,76.90,77.47,76.72,77.30,67.27,9831498
2019-05-24,77.57,78.18,77.39,77.45,67.39,6071588
2019-05-28,77.65,78.18,76.55,76.58,66.64,13779733
2019-05-29,76.45,76.68,75.14,75.72,65.89,11278890
2019-05-30,75.91,76.16,75.56,76.03,66.15,7483768
2019-05-31,75.69,76.25,75.19,75.58,65.76,7142749
2019-06-03,76.00,77.21,75.87,76.58,66.64,9218103
2019-06-04,77.05,77.60,76.44,77.36,67.32,9368806
2019-06-05,77.65,78.50,77.36,77.94,67.82,9821961
2019-06-06,78.39,78.66,77.70,77.70,67.62,11393961
2019-06-07,78.07,79.08,78.07,78.68,68.46,8797436
2019-06-10,78.89,78.89,77.91,78.70,68.48,7536273
2019-06-11,79.09,79.58,78.67,79.17,68.89,7789679
2019-06-12,79.33,80.41,79.33,79.87,69.50,11057762
2019-06-13,80.20,80.32,78.75,79.10,68.83,10194001
2019-06-14,78.92,79.55,78.68,78.98,69.19,7989952
2019-06-17,78.91,79.51,78.75,79.48,69.62,6427279
2019-06-18,79.41,80.79,79.41,80.62,70.62,11425086
2019-06-19,80.39,81.64,80.35,81.45,71.34,9825419
2019-06-20,82.04,82.53,80.45,80.72,70.71,12490483
2019-06-21,80.57,80.88,79.80,80.69,70.68,15034294
2019-06-24,81.07,82.08,80.85,81.59,71.47,7891440
2019-06-25,81.63,82.30,80.92,81.33,71.24,9348894
2019-06-26,81.27,81.29,79.28,79.71,69.82,12604401
2019-06-27,79.83,80.81,79.58,79.99,70.07,11721670
2019-06-28,80.12,80.59,79.17,80.00,70.08,46684837
2019-07-01,80.46,81.04,80.04,80.86,70.83,10260863
2019-07-02,80.59,81.59,80.24,81.59,71.47,10381593
2019-07-03,82.11,83.08,82.05,82.91,72.63,6533232
2019-07-05,82.70,82.82,81.57,81.67,71.54,8767358
2019-07-08,81.11,81.58,79.67,80.19,70.24,13693273
2019-07-09,80.38,81.30,80.23,80.97,70.93,8490791
2019-07-10,80.91,81.21,80.48,80.93,70.89,5996132
2019-07-11,79.67,79.83,76.12,77.29,67.70,22146126
2019-07-12,77.14,77.19,75.02,76.07,66.64,18910636
2019-07-15,76.90,77.54,76.45,77.25,67.67,10922570
2019-07-16,77.59,78.03,77.18,77.85,68.19,8448662
2019-07-17,78.20,78.56,77.84,78.16,68.47,9848999
2019-07-18,78.63,79.16,77.86,78.90,69.11,8472661
2019-07-19,78.91,79.02,77.43,77.66,68.03,12053782
2019-07-22,77.93,78.07,77.33,77.49,67.88,7261697
2019-07-23,77.74,78.65,77.18,78.27,68.56,7420469
2019-07-24,78.24,78.54,77.40,78.00,68.33,7720197
2019-07-25,77.71,79.25,77.33,78.00,68.33,9670106
2019-07-26,77.84,77.89,77.20,77.70,68.06,7638977
2019-07-29,78.33,79.00,77.87,78.71,68.95,11123682
