Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,99.55,101.75,98.94,101.12,96.02,35329300
2019-01-03,100.09,100.19,97.19,97.40,92.49,42579100
2019-01-04,99.72,102.51,98.93,101.93,96.79,44060600
2019-01-07,101.63,103.26,100.98,102.05,96.91,35656100
2019-01-08,103.04,103.97,101.70,102.80,97.61,31514400
2019-01-09,103.86,104.87,103.23,104.26,99.01,32280800
2019-01-10,103.22,103.75,102.37,103.59,98.37,30067600
2019-01-11,103.19,103.44,101.63,102.80,97.61,28314200
2019-01-14,101.90,102.87,101.26,102.05,96.90,28437100
2019-01-15,102.51,105.05,101.87,105.01,99.71,31587600
2019-01-16,105.26,106.26,104.95,105.37,100.06,29853900
2019-01-17,105.0,106.62,104.76,106.12,100.77,28393000
2019-01-18,107.45,107.90,105.91,107.70,102.28,37427600
2019-01-22,106.75,107.09,104.86,105.68,100.35,32371300
2019-01-23,106.12,107.04,105.33,106.70,101.33,25874300
2019-01-24,106.86,107.0,105.33,106.19,100.84,23164800
2019-01-25,107.23,107.87,106.19,107.16,101.76,31225600
2019-01-28,106.26,106.48,104.66,105.08,99.78,29476700
2019-01-29,104.87,104.97,102.16,102.94,97.75,31490500
2019-01-30,104.62,106.37,104.33,106.37,101.01,49471900
2019-01-31,103.80,105.22,103.18,104.43,99.16,55636400
2019-02-01,103.77,104.09,102.34,102.77,97.59,35535700
2019-02-04,102.87,105.80,102.76,105.73,100.41,31315100
2019-02-05,106.05,107.26,105.95,107.22,101.81,27325400
2019-02-06,107.0,107.0,105.52,106.02,100.68,20609800
2019-02-07,105.19,105.58,104.29,105.26,99.96,29760700
2019-02-08,104.38,105.77,104.26,105.66,100.34,21461100
2019-02-11,106.19,106.58,104.97,105.25,99.94,18914100
2019-02-12,106.13,107.13,105.48,106.88,101.50,25056600
2019-02-13,107.5,107.77,106.70,106.80,101.42,18394900
2019-02-14,106.30,107.29,105.66,106.90,101.51,21784700
2019-02-15,107.91,108.30,107.36,108.22,102.76,26606900
2019-02-19,107.79,108.66,107.77,108.16,102.71,18038500
2019-02-20,107.86,107.94,106.29,107.15,102.18,21607700
2019-02-21,106.90,109.48,106.87,109.41,104.33,29063200
2019-02-22,110.05,111.19,109.81,110.97,105.82,27763200
2019-02-25,111.76,112.18,111.26,111.58,106.41,23750600
2019-02-26,111.26,113.23,111.16,112.36,107.15,21536700
2019-02-27,111.69,112.36,110.87,112.16,106.97,21487100
2019-02-28,112.04,112.87,111.73,112.02,106.83,29083900
2019-03-01,112.88,113.01,111.66,112.52,107.31,23501200
2019-03-04,113.01,113.25,110.80,112.26,107.05,26608000
