Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,117.48,118.19,116.33,117.37,105.07,1793400
2019-01-03,117.05,117.30,115.05,115.26,103.18,1887500
2019-01-04,116.66,118.77,116.12,118.68,106.24,1793900
2019-01-07,118.20,119.54,117.70,118.30,105.90,1082800
2019-01-08,119.37,119.51,116.83,117.83,105.49,1403900
2019-01-09,118.66,119.55,117.98,118.68,106.24,1753000
2019-01-10,118.52,120.34,118.38,120.26,107.67,1061500
2019-01-11,119.88,120.86,119.26,120.47,107.85,839400
2019-01-14,119.87,120.97,119.79,120.58,107.95,1406800
2019-01-15,120.52,121.86,120.52,121.81,109.06,1373400
2019-01-16,122.29,122.58,121.18,122.30,109.49,1349800
2019-01-17,121.63,122.98,121.27,122.94,110.06,1109200
2019-01-18,123.72,124.41,122.73,124.01,111.02,1923900
2019-01-22,123.5,125.5,121.33,122.36,109.54,2155800
2019-01-23,122.66,123.25,120.59,123.01,110.13,2008700
2019-01-24,122.75,124.45,122.58,124.37,111.35,1621000
2019-01-25,125.01,126.16,124.54,124.98,111.88,1972800
2019-01-28,124.23,125.12,123.61,125.02,111.93,1284500
2019-01-29,124.73,125.47,124.37,124.81,111.74,1275200
2019-01-30,124.70,126.19,124.08,125.87,112.69,1682400
2019-01-31,125.40,125.80,124.37,125.54,112.39,1619500
2019-02-01,126.02,126.52,125.12,126.48,113.24,1064700
2019-02-04,126.48,126.5,125.01,126.04,112.83,1214100
2019-02-05,126.12,126.25,125.33,126.18,112.96,1306400
2019-02-06,125.98,125.98,124.87,125.55,112.39,1504900
2019-02-07,125.19,126.80,125.11,126.76,113.48,1083900
2019-02-08,126.52,126.76,124.62,125.79,112.61,1252700
2019-02-11,126.04,126.04,124.36,125.41,112.28,1610200
2019-02-12,126.43,127.37,126.11,127.26,113.93,1729500
2019-02-13,127.79,129.13,127.55,128.03,114.62,1351000
2019-02-14,127.12,127.94,126.23,126.93,113.63,1266500
2019-02-15,128.05,128.83,127.87,128.74,115.25,1304600
2019-02-19,128.30,129.46,128.00,129.10,115.57,1459300
2019-02-20,129.05,130.13,128.97,129.74,116.15,1784800
2019-02-21,129.91,130.0,129.13,129.82,116.22,1227800
2019-02-22,130.21,131.30,129.97,131.02,117.29,1422900
2019-02-25,131.30,133.13,131.30,132.49,118.61,2051100
2019-02-26,132.46,133.89,132.36,133.27,119.31,2278700
2019-02-27,132.80,133.41,132.44,132.61,118.72,1350100
2019-02-28,132.58,133.07,132.22,132.91,118.98,1739700
2019-03-01,133.52,134.35,132.46,133.02,119.09,1360400
2019-03-04,133.24,133.66,130.91,132.14,118.30,907900
2019-03-05,132.41,132.82,131.27,132.69,118.79,1324200
2019-03-06,132.71,133.36,131.69,131.80,117.99,896700
2019-03-07,131.72,131.85,130.64,131.49,117.71,1141100
2019-03-08,130.30,131.11,130.0,131.02,117.98,1153800
2019-03-11,132.13,132.41,131.46,131.86,118.75,1293300
2019-03-12,132.21,132.88,131.72,132.72,119.51,967300
2019-03-13,132.97,133.86,132.75,133.0,119.77,1189600
2019-03-14,133.16,133.50,132.63,133.05,119.82,1035600
2019-03-15,133.47,134.71,132.94,134.17,120.83,2113100
2019-03-18,134.64,135.16,134.30,134.94,121.51,1370200
2019-03-19,135.55,136.08,132.61,132.92,119.70,1675800
2019-03-20,133.10,133.10,131.25,131.33,118.26,1339500
2019-03-21,130.67,134.44,130.25,134.36,121.00,1527500
2019-03-22,133.91,136.25,133.77,134.89,121.48,2352800
2019-03-25,135.11,135.75,134.36,134.94,121.52,1143500
2019-03-26,135.60,135.94,133.94,134.97,121.55,1501100
2019-03-27,135.13,136.94,134.97,136.35,122.78,1198700
2019-03-28,136.71,137.17,135.44,136.89,123.28,732400
2019-03-29,137.72,138.13,136.64,137.16,123.51,1328400
2019-04-01,137.55,138.60,137.36,138.02,124.29,1547400
2019-04-02,138.38,138.38,136.58,136.80,123.20,1050200
2019-04-03,137.50,137.50,135.52,136.60,123.01,1122000
