Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,130.0,133.74,129.60,132.91,128.46,8788000
2019-01-03,131.21,131.27,127.87,128.13,123.83,9428300
2019-01-04,130.44,134.58,130.13,133.64,129.16,11065800
2019-01-07,134.44,137.16,134.03,136.05,131.49,12928000
2019-01-08,137.97,138.19,135.96,136.80,132.21,9243000
2019-01-09,138.30,139.47,137.61,138.41,133.76,9987600
2019-01-10,136.80,138.82,136.36,138.66,134.02,12514900
2019-01-11,137.75,138.60,137.41,138.05,133.43,5860100
2019-01-14,136.99,138.13,136.64,137.10,132.50,8666700
2019-01-15,136.96,137.72,135.25,137.33,132.73,7594900
2019-01-16,138.39,138.86,137.07,137.33,132.73,7258000
2019-01-17,136.97,137.91,136.58,137.27,132.67,5864900
2019-01-18,138.30,138.60,136.63,138.5,133.85,10263500
2019-01-22,137.89,139.52,136.97,138.05,133.42,8102300
2019-01-23,138.77,138.97,136.14,137.00,132.41,5465800
2019-01-24,137.11,138.32,136.52,137.69,133.08,4924800
2019-01-25,139.0,139.89,137.69,138.66,134.02,9756300
2019-01-28,137.50,137.50,134.80,135.99,131.43,9857200
2019-01-29,136.58,136.69,134.11,135.0,130.47,7457700
2019-01-30,136.10,137.89,135.50,137.60,132.98,8078100
2019-01-31,134.38,135.72,133.30,135.00,130.48,20095700
2019-02-01,135.38,140.35,135.25,140.14,135.45,13248300
2019-02-04,139.78,141.52,139.17,141.5,136.75,11882700
2019-02-05,142.0,142.94,141.83,142.52,137.75,8455700
2019-02-06,141.96,142.41,141.05,141.49,136.74,6146900
2019-02-07,139.91,141.05,139.21,140.16,135.47,10675300
2019-02-08,138.69,140.39,138.52,140.38,135.67,5950700
2019-02-11,141.25,142.28,140.44,140.80,136.07,7600100
2019-02-12,141.78,142.80,141.25,141.99,137.22,6090000
2019-02-13,142.88,144.69,142.86,143.49,138.67,6885600
2019-02-14,142.97,143.47,142.39,143.16,138.60,6314000
2019-02-15,144.55,144.91,143.82,144.91,140.29,6536000
2019-02-19,144.41,144.88,144.02,144.44,139.84,8406700
2019-02-20,144.35,144.83,143.52,144.72,140.12,5283100
2019-02-21,144.35,145.02,143.17,144.0,139.41,8573400
2019-02-22,144.41,146.27,144.41,145.86,141.22,9680800
2019-02-25,146.91,147.19,145.80,146.05,141.40,9731200
2019-02-26,145.19,147.39,145.02,147.03,142.35,7332500
2019-02-27,146.5,147.49,145.91,147.22,142.53,9731200
2019-02-28,147.25,148.82,147.22,148.11,143.40,6250200
2019-03-01,149.46,149.92,148.38,149.47,144.71,7016800
2019-03-04,150.07,150.19,146.94,147.96,143.24,6979700
2019-03-05,148.0,149.28,147.83,147.94,143.23,9678600
2019-03-06,148.0,148.52,147.41,147.80,143.10,8186400
2019-03-07,147.25,147.80,146.03,146.83,142.15,8761700
2019-03-08,145.44,147.47,144.5,147.35,142.65,5168100
2019-03-11,148.11,150.97,148.02,150.66,145.87,9361500
2019-03-12,151.0,153.13,150.86,151.72,146.89,9465100
2019-03-13,152.30,154.03,152.03,152.47,147.61,8308900
2019-03-14,152.55,154.69,152.30,154.19,149.29,9364900
2019-03-15,153.72,156.82,153.36,155.46,150.51,20162000
2019-03-18,155.91,156.41,154.41,154.96,150.02,9689400
2019-03-19,155.94,155.94,154.13,154.58,149.66,9236100
2019-03-20,154.33,154.86,152.71,153.75,148.85,6391400
2019-03-21,153.32,156.67,153.30,155.80,150.83,7027100
2019-03-22,154.99,155.67,152.85,153.07,148.19,8119800
2019-03-25,152.36,154.05,151.53,153.02,148.15,7568000
2019-03-26,153.77,155.60,153.77,155.30,150.35,15594400
2019-03-27,155.47,155.86,153.36,154.22,149.30,12253800
2019-03-28,154.92,155.08,153.61,154.66,149.74,16902200
2019-03-29,155.72,156.28,154.92,156.19,151.21,12164400
2019-04-01,157.52,157.72,156.55,157.25,152.25,6420100
2019-04-02,157.66,158.14,156.75,157.77,152.75,6215100
2019-04-03,158.55,159.11,157.85,158.46,153.41,8209300
2019-04-04,158.52,158.69,156.52,157.63,152.62,5100200
2019-04-05,158.0,158.63,157.22,157.64,152.63,4178300
2019-04-08,157.55,157.85,156.32,157.75,152.72,5604700
2019-04-09,156.55,157.99,156.47,157.49,152.47,6364100
2019-04-10,157.99,158.77,157.52,158.55,153.51,3918600
2019-04-11,159.11,159.30,157.44,157.86,152.83,5771400
2019-04-12,158.71,159.63,157.86,159.63,154.55,6745100
2019-04-15,159.83,160.47,159.19,160.44,155.33,8142800
2019-04-16,161.03,161.10,159.55,160.22,155.12,6021400
2019-04-17,160.86,161.07,160.30,160.44,155.33,4609100
2019-04-18,160.92,161.10,159.0,160.16,155.06,7859400
2019-04-22,159.19,160.47,159.07,160.39,155.29,4602600
2019-04-23,161.0,161.88,159.86,161.66,156.51,6522900
2019-04-24,161.75,162.02,160.64,161.49,156.34,7376500
2019-04-25,160.52,161.60,158.55,161.02,155.89,8862500
