Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,56.15,56.15,55.27,56.02,43.50,13969700
2019-01-03,56.29,56.99,56.06,56.22,43.66,19245400
2019-01-04,56.49,56.88,55.95,56.36,43.77,17035800
2019-01-07,56.75,57.25,56.54,56.72,44.05,16349000
2019-01-08,57.27,58.68,57.04,58.38,45.34,21424600
2019-01-09,57.68,57.72,56.84,57.04,44.77,18136000
2019-01-10,57.29,57.70,56.86,57.59,45.20,14259900
2019-01-11,57.84,58.25,57.41,58.02,45.53,15801500
2019-01-14,57.83,58.15,57.68,58.02,45.53,11342300
2019-01-15,57.74,58.29,57.58,58.09,45.59,10058000
2019-01-16,57.93,57.93,57.0,57.08,44.79,13411700
2019-01-17,57.15,57.40,56.20,56.83,44.59,15223900
2019-01-18,56.91,57.47,56.84,57.09,44.80,16802500
2019-01-22,57.22,57.38,56.40,56.99,44.72,18284800
2019-01-23,56.97,57.86,56.93,57.75,45.32,15109000
2019-01-24,57.61,57.65,56.5,57.06,44.78,12494100
2019-01-25,57.18,57.47,56.22,56.40,44.26,17800300
2019-01-28,56.11,56.22,54.79,55.06,43.21,25955700
2019-01-29,53.61,54.29,52.97,53.27,41.81,33789200
2019-01-30,53.09,54.02,52.27,54.0,42.37,27260000
2019-01-31,54.04,55.18,53.52,55.06,43.20,28585400
2019-02-01,55.20,55.29,54.47,54.54,42.80,13778000
2019-02-04,54.59,54.68,53.66,54.04,42.40,15818900
2019-02-05,54.09,54.34,53.61,54.13,42.48,14124600
2019-02-06,54.11,54.36,53.68,53.79,42.21,11391400
2019-02-07,53.61,53.72,53.02,53.56,42.03,12436200
2019-02-08,53.36,53.95,53.29,53.95,42.33,12011700
2019-02-11,54.13,54.36,53.86,54.04,42.41,9802800
2019-02-12,54.45,54.77,54.18,54.41,42.70,11227600
2019-02-13,54.34,54.77,54.27,54.47,42.75,11884800
2019-02-14,54.38,54.52,53.95,54.02,42.40,11190100
2019-02-15,54.47,55.18,54.31,55.15,43.28,15719400
2019-02-19,55.06,55.65,54.81,55.43,43.50,12272700
2019-02-20,55.36,55.90,55.24,55.75,43.75,11379000
2019-02-21,55.54,56.72,55.45,56.15,44.06,14680500
2019-02-22,56.43,57.13,56.40,56.91,44.66,12534300
2019-02-25,57.0,57.27,56.54,56.77,44.55,15051200
2019-02-26,56.81,57.09,56.45,56.63,44.44,12005600
2019-02-27,56.54,56.72,56.34,56.72,44.51,8962800
2019-02-28,56.74,57.61,56.72,56.91,44.66,15743000
2019-03-01,57.02,57.15,56.34,56.95,44.69,10942700
2019-03-04,57.15,57.34,55.65,56.24,44.13,13674400
2019-03-05,56.09,56.16,55.50,56.08,44.00,15749500
2019-03-06,56.18,56.41,55.45,55.68,43.69,13935500
2019-03-07,55.75,56.40,55.72,56.29,44.18,12644200
2019-03-08,56.36,56.68,56.0,56.52,44.36,10617300
2019-03-11,56.75,57.61,56.75,57.58,45.18,13627400
