Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,91.63,93.65,91.63,93.33,86.21,8152700
2019-01-03,93.20,94.70,92.69,92.86,85.77,8277300
2019-01-04,93.20,93.66,92.69,93.44,86.30,8029100
2019-01-07,93.62,95.16,93.18,94.54,87.32,7789700
2019-01-08,95.05,95.76,93.91,95.19,87.93,7200900
2019-01-09,95.70,96.13,94.76,94.88,87.64,6272300
2019-01-10,93.87,94.98,93.12,94.95,87.71,9396300
2019-01-11,94.98,95.29,94.55,94.83,87.59,5394600
2019-01-14,94.48,95.44,94.27,94.94,87.70,7085100
2019-01-15,95.47,96.59,95.37,96.25,88.90,7058200
2019-01-16,95.93,96.86,95.83,96.34,88.99,5410000
2019-01-17,96.31,97.20,96.16,96.73,89.35,5614500
2019-01-18,96.94,98.19,96.84,97.73,90.26,6120600
2019-01-22,97.15,98.43,96.77,97.48,90.04,8063200
2019-01-23,98.87,99.34,97.52,98.70,91.17,8345800
2019-01-24,98.19,98.45,96.43,98.36,90.85,7609700
2019-01-25,98.75,98.91,96.75,96.94,89.53,7218200
2019-01-28,96.52,97.06,96.08,97.05,89.65,5875800
2019-01-29,96.76,97.16,96.51,96.70,89.32,5253400
2019-01-30,96.68,96.80,94.26,94.80,87.56,11849300
2019-01-31,94.62,96.87,94.62,95.83,88.51,14723000
2019-02-01,95.91,96.0,93.11,93.86,86.69,12591900
2019-02-04,93.86,94.76,93.34,94.76,87.53,7268600
2019-02-05,95.25,95.94,95.01,95.59,88.30,6099900
2019-02-06,95.43,96.01,95.22,95.63,88.33,4264900
2019-02-07,95.11,96.81,95.0,96.73,89.34,7010100
2019-02-08,96.33,96.69,95.13,95.58,88.28,6169200
2019-02-11,95.65,96.34,95.63,96.19,88.85,5542800
2019-02-12,96.81,97.16,96.5,96.97,89.56,5881300
2019-02-13,97.30,98.0,97.08,97.94,90.46,5458500
2019-02-14,97.68,99.19,97.01,98.51,90.99,7200800
2019-02-15,98.98,100.0,98.86,99.98,92.35,9481000
2019-02-19,102.37,104.18,102.06,102.19,94.39,20697300
2019-02-20,101.80,102.33,98.65,99.87,92.25,17631800
2019-02-21,99.66,99.91,98.91,99.38,91.80,6413200
2019-02-22,99.81,100.16,99.13,99.55,91.95,8086900
2019-02-25,100.12,100.12,99.05,99.12,91.55,9235000
2019-02-26,99.01,99.05,97.87,98.69,91.15,8488100
2019-02-27,98.12,98.38,97.58,98.11,90.62,7902300
2019-02-28,98.11,99.47,97.76,98.98,91.43,11375900
2019-03-01,99.47,99.55,97.12,97.93,90.45,10352500
2019-03-04,98.12,98.58,97.37,97.84,90.38,7683800
2019-03-05,98.12,99.19,98.08,98.33,90.83,6119300
2019-03-06,98.26,99.0,97.86,98.26,90.75,4696600
2019-03-07,97.70,98.19,97.23,97.44,90.01,6126600
2019-03-08,97.55,98.41,97.0,97.58,90.14,5659000
2019-03-11,98.04,98.58,97.81,98.48,90.96,5345300
2019-03-12,98.52,98.73,98.05,98.37,90.86,5070500
2019-03-13,98.69,99.34,98.38,99.02,91.47,5482300
2019-03-14,98.41,98.43,97.58,98.22,91.21,4925800
2019-03-15,98.27,98.51,97.59,98.41,91.39,14600000
2019-03-18,98.30,99.76,98.26,99.66,92.54,5770100
2019-03-19,99.98,100.48,99.56,99.84,92.72,5414400
2019-03-20,99.19,99.55,98.54,98.63,91.60,6323100
2019-03-21,98.25,99.12,98.09,99.05,91.99,6551000
2019-03-22,98.58,99.52,97.94,98.27,91.26,6708100
2019-03-25,97.80,98.62,97.62,98.16,91.16,5407400
2019-03-26,98.36,98.84,98.02,98.31,91.30,4945900
2019-03-27,98.13,98.86,95.0,97.20,90.27,8471200
2019-03-28,97.58,97.87,96.52,97.12,90.19,8054300
2019-03-29,97.58,97.66,97.04,97.52,90.56,7439900
2019-04-01,97.97,98.36,97.55,97.81,90.83,8505800
2019-04-02,97.76,98.30,96.90,96.94,90.02,6274000
2019-04-03,97.12,97.40,96.79,97.19,90.25,5687500
2019-04-04,97.25,98.27,97.23,98.11,91.10,4026300
2019-04-05,98.25,99.19,98.16,98.83,91.77,4656000
2019-04-08,98.44,99.25,98.26,99.23,92.14,5422400
2019-04-09,98.80,99.23,98.15,98.69,91.64,4367500
2019-04-10,98.51,99.72,98.5,99.59,92.49,4091100
2019-04-11,99.69,100.83,99.47,100.80,93.60,5606900
2019-04-12,101.0,102.01,101.0,101.55,94.31,5162000
2019-04-15,101.30,102.91,101.26,102.43,95.11,5111900
2019-04-16,102.88,103.38,102.54,102.93,95.58,4828400
