Date,Open,High,Low,Close,Adj Close,Volume
2019-08-08,185.19,191.74,150.0,174.72,174.72,41809875
2019-08-09,168.99,176.97,167.03,168.61,168.61,3372605
2019-08-13,169.94,171.94,165.61,166.57,166.57,956690
2019-08-14,166.61,168.05,165.46,167.02,167.02,517675
2019-08-16,164.39,167.0,158.0,161.17,161.17,310735
2019-08-19,161.63,161.80,153.17,158.83,158.83,873355
2019-08-20,159.60,163.60,159.10,160.94,160.94,541255
2019-08-21,160.19,162.0,156.55,157.94,157.94,315945
2019-08-22,158.0,158.88,155.22,156.32,156.32,188680
2019-08-23,156.0,157.17,154.11,155.5,155.5,186785
2019-08-26,158.0,158.00,155.80,156.25,156.25,106105
2019-08-27,156.22,169.80,156.22,167.64,167.64,470205
2019-08-28,168.27,171.11,165.42,166.11,166.11,193640
2019-08-29,166.39,169.78,164.14,164.49,164.49,121360
2019-08-30,165.99,169.80,160.91,167.86,167.86,139890
2019-09-03,167.60,170.0,166.55,167.11,167.11,67865
2019-09-04,166.60,169.82,165.69,166.58,166.58,68375
2019-09-05,166.61,167.80,165.38,165.69,165.69,41220
2019-09-06,165.80,170.39,165.11,168.5,168.5,302255
2019-09-09,168.39,179.99,166.05,169.39,169.39,625115
2019-09-11,170.19,173.39,167.0,169.96,169.96,268095
2019-09-12,172.0,176.36,168.41,171.55,171.55,351835
2019-09-13,172.80,181.80,169.80,179.22,179.22,453790
2019-09-16,180.0,189.80,179.22,188.05,188.05,963315
2019-09-17,189.39,195.0,183.24,185.94,185.94,1074105
2019-09-18,186.97,191.75,179.17,189.72,189.72,455350
2019-09-19,190.0,194.39,185.39,188.02,188.02,352830
2019-09-20,187.0,199.0,186.30,194.58,194.58,636190
2019-09-23,197.99,201.0,195.39,199.96,199.96,390200
2019-09-24,196.24,200.0,194.39,196.88,196.88,193970
2019-09-25,196.72,220.86,193.41,216.27,216.27,1620940
2019-09-26,221.60,238.0,218.00,234.86,234.86,1103745
2019-09-27,238.19,244.0,229.39,240.47,240.47,1569285
2019-09-30,240.0,245.0,220.52,225.05,225.05,602020
2019-10-01,225.0,232.0,209.25,215.92,215.92,400335
2019-10-03,214.77,227.60,207.05,215.00,215.00,415855
2019-10-04,217.0,230.97,217.0,222.58,222.58,421525
2019-10-07,225.80,231.74,220.19,221.13,221.13,363165
2019-10-09,223.19,253.80,218.60,246.82,246.82,1182685
2019-10-10,247.80,258.92,238.0,239.63,239.63,1003190
2019-10-11,241.88,244.80,232.0,237.39,237.39,441800
2019-10-14,238.39,249.0,236.44,240.17,240.17,575710
2019-10-15,241.80,244.02,232.07,233.42,233.42,336420
2019-10-16,233.58,244.0,232.82,235.60,235.60,371445
2019-10-17,236.22,239.39,228.0,230.22,230.22,437085
2019-10-18,231.91,244.97,230.64,239.58,239.58,830105
2019-10-22,239.03,250.60,237.05,243.58,243.58,794995
2019-10-23,249.0,292.0,246.72,279.5,279.5,3906640
2019-10-24,282.60,287.79,259.20,272.58,272.58,1717040
2019-10-25,274.0,287.60,272.10,284.14,284.14,1459610
2019-10-27,290.0,295.55,284.20,293.26,293.26,407810
2019-10-29,294.98,294.98,284.32,287.79,287.79,401360
2019-10-30,288.01,290.98,284.20,285.60,285.60,243975
2019-10-31,286.92,289.54,275.02,277.51,277.51,338675
2019-11-01,279.69,285.60,277.01,279.42,279.42,303575
2019-11-04,281.57,292.20,279.0,283.57,283.57,573060
2019-11-05,284.0,285.57,275.39,277.60,277.60,210380
2019-11-06,277.0,288.77,272.04,274.60,274.60,452210
2019-11-07,277.0,278.60,268.0,271.26,271.26,315270
2019-11-08,277.60,285.60,273.26,279.14,279.14,1367435
2019-11-11,306.0,306.0,281.0,296.54,296.54,3742400
2019-11-13,301.76,335.60,300.02,330.10,330.10,3293610
2019-11-14,333.0,340.85,317.0,332.76,332.76,2212900
2019-11-15,335.39,336.79,324.0,327.67,327.67,1031525
2019-11-18,329.76,335.0,325.39,327.32,327.32,700615
2019-11-19,329.0,329.79,321.45,324.98,324.98,377565
2019-11-20,325.98,329.60,324.0,326.75,326.75,415645
2019-11-21,326.75,345.57,324.51,337.91,337.91,1658755
2019-11-22,340.57,347.79,334.79,337.82,337.82,1433820
2019-11-25,334.14,338.60,313.39,316.85,316.85,837525
2019-11-26,316.95,321.73,305.60,309.57,309.57,777200
2019-11-27,310.0,320.35,310.0,317.57,317.57,648260
2019-11-28,319.60,323.95,310.0,313.51,313.51,600420
2019-11-29,314.0,315.60,300.45,304.29,304.29,415930
2019-12-02,312.0,313.60,296.01,298.04,298.04,436025
2019-12-03,297.10,302.52,294.0,295.92,295.92,492570
2019-12-04,295.0,298.0,287.0,294.10,294.10,436050
2019-12-05,296.5,307.60,295.0,299.54,299.54,689550
2019-12-06,301.55,301.60,291.20,293.80,293.80,349800
2019-12-09,294.0,294.05,277.60,280.82,280.82,372960
2019-12-10,281.58,284.64,260.86,268.23,268.23,701315
2019-12-11,270.82,290.0,270.01,288.39,288.39,1494800
2019-12-12,292.01,303.57,290.0,294.95,294.95,1290135
2019-12-13,299.55,302.39,296.0,298.39,298.39,425855
2019-12-16,300.58,300.58,288.0,288.69,288.69,316480
2019-12-17,289.33,297.0,288.82,292.32,292.32,318405
2019-12-18,293.39,293.39,282.0,285.14,285.14,329290
2019-12-19,286.0,294.51,284.01,291.20,291.20,396690
2019-12-20,291.20,292.95,286.42,287.72,287.72,170620
2019-12-23,288.79,288.98,283.0,283.91,283.91,167570
2019-12-24,284.79,312.98,283.39,309.52,309.52,2472720
2019-12-26,309.64,321.92,309.64,318.85,318.85,1498845
2019-12-27,318.97,319.60,310.0,311.44,311.44,462825
2019-12-30,311.39,323.85,310.01,322.20,322.20,868605
2019-12-31,323.94,324.89,315.0,316.26,316.26,465915
2020-01-01,316.0,324.20,315.23,322.27,322.27,496280
2020-01-02,323.0,324.95,315.91,317.52,317.52,324775
2020-01-03,318.0,321.45,311.48,312.48,312.48,440195
2020-01-06,314.98,314.98,303.05,305.38,305.38,373815
2020-01-07,307.30,318.79,307.30,311.82,311.82,388200
2020-01-08,305.14,311.19,305.0,306.39,306.39,231700
2020-01-09,313.98,319.79,310.60,316.16,316.16,334520
2020-01-10,316.79,322.0,311.0,312.54,312.54,243040
2020-01-13,313.79,318.39,310.20,311.66,311.66,168855
2020-01-14,312.33,316.60,310.22,311.35,311.35,184960
2020-01-15,313.0,314.79,307.07,308.98,308.98,142760
2020-01-16,311.0,311.98,308.0,308.92,308.92,124430
2020-01-17,311.57,333.98,310.20,318.20,318.20,1710295
2020-01-20,320.0,321.97,309.04,311.23,311.23,343070
2020-01-21,310.79,312.98,301.0,302.73,302.73,521865
2020-01-22,306.20,310.0,299.0,300.70,300.70,502390
2020-01-23,302.94,309.70,300.42,304.23,304.23,388765
2020-01-24,306.35,307.73,303.14,304.52,304.52,191005
