Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,623.79,623.95,613.79,618.29,534.34,20880
2019-01-02,619.95,625.0,613.25,621.90,537.45,58774
2019-01-03,623.40,624.54,615.0,621.34,536.97,39824
2019-01-04,618.04,619.79,604.04,609.0,526.30,111616
2019-01-07,616.0,616.0,606.04,609.0,526.30,38873
2019-01-08,608.0,609.84,603.29,607.0,524.57,50381
2019-01-09,609.0,609.79,603.0,603.90,521.89,39345
2019-01-10,609.79,609.79,601.5,606.40,524.05,37333
2019-01-11,606.0,608.0,592.20,594.34,513.64,218671
2019-01-14,596.29,610.79,588.04,600.90,519.30,345029
2019-01-15,609.95,619.95,607.0,614.59,531.14,154270
2019-01-16,616.04,629.70,614.59,623.70,539.00,165757
2019-01-17,629.0,637.0,623.70,629.45,543.97,281860
2019-01-18,599.0,619.0,575.25,612.09,528.98,1231524
2019-01-21,613.09,618.75,597.0,599.90,518.44,168615
2019-01-22,597.5,602.34,588.65,592.15,511.74,94640
2019-01-23,597.90,608.0,589.95,597.90,516.71,422032
2019-01-24,597.0,601.40,589.0,592.04,511.65,78413
2019-01-25,597.0,607.09,592.0,599.54,518.13,63624
2019-01-28,600.0,602.0,588.04,590.15,510.01,72030
2019-01-29,591.0,600.0,570.90,587.70,507.89,202543
2019-01-30,600.45,614.95,600.45,612.34,529.19,164943
2019-01-31,615.54,618.84,601.04,609.5,526.73,428906
2019-02-01,607.5,609.90,602.90,606.65,524.27,32686
2019-02-04,612.90,616.0,607.0,611.45,528.42,157730
2019-02-05,612.0,613.0,600.15,605.0,522.84,102799
2019-02-06,608.0,612.0,605.0,610.25,527.38,65608
2019-02-07,614.09,616.29,601.0,605.04,522.89,116753
2019-02-08,601.0,612.0,595.84,606.40,524.05,76427
2019-02-11,600.0,603.65,576.04,581.75,502.75,396912
2019-02-12,580.04,590.75,580.04,587.79,507.98,195278
2019-02-14,601.20,605.0,596.20,599.59,518.18,219929
2019-02-15,594.0,615.0,594.0,604.20,522.15,495448
2019-02-18,606.79,619.75,597.5,611.34,528.33,584142
2019-02-19,615.95,622.75,602.04,610.75,527.81,259079
2019-02-20,613.84,613.84,600.20,603.40,521.46,252235
2019-02-21,604.0,609.0,599.0,604.34,522.28,199460
2019-02-22,604.0,607.15,594.15,604.09,522.06,194393
2019-02-25,604.59,624.25,604.59,621.34,536.97,246061
2019-02-26,615.0,630.0,613.29,627.54,542.33,329225
2019-02-27,632.0,641.95,630.0,635.09,548.86,180898
2019-02-28,641.5,649.5,633.0,642.20,554.99,217536
2019-03-01,646.0,654.0,642.95,650.0,561.73,215636
2019-03-05,655.0,655.0,649.04,650.29,561.99,241408
2019-03-06,650.0,673.95,650.0,664.84,574.57,242440
2019-03-07,668.0,672.0,667.0,668.0,577.29,317233
2019-03-08,672.95,682.90,668.5,675.0,583.34,422937
2019-03-11,674.0,685.0,673.0,683.04,590.29,239307
2019-03-12,687.84,693.5,685.04,688.45,594.96,346581
2019-03-13,691.84,693.79,663.04,669.45,578.54,313997
2019-03-14,675.0,683.15,670.0,674.45,582.86,233480
2019-03-15,676.90,682.20,652.65,661.90,572.02,188508
2019-03-18,660.75,678.90,652.0,659.45,569.90,233557
2019-03-19,660.0,668.95,649.79,652.79,564.15,283575
2019-03-20,652.0,666.90,652.0,661.0,571.24,434335
2019-03-22,663.04,671.90,658.29,663.90,573.74,348529
2019-03-25,660.0,670.84,657.70,664.0,573.83,241699
2019-03-26,668.0,685.0,659.0,660.09,570.46,312490
2019-03-27,662.0,675.0,652.0,665.84,575.43,227919
2019-03-28,666.90,673.95,649.34,651.84,563.33,248017
2019-04-01,652.0,659.20,647.0,649.65,561.43,138816
2019-04-02,637.95,637.95,570.0,580.15,501.37,4477084
2019-04-03,580.45,595.40,580.20,584.09,504.78,986599
2019-04-04,587.75,591.0,579.0,582.15,503.10,360612
2019-04-05,586.0,596.84,583.79,594.84,514.07,501073
2019-04-08,595.0,605.70,595.0,603.75,521.76,302329
2019-04-09,603.75,604.0,594.29,597.25,516.14,248342
2019-04-10,602.0,602.84,591.20,592.65,512.17,147018
2019-04-11,595.90,595.90,583.0,584.59,505.21,242905
2019-04-12,586.0,595.79,580.0,582.59,503.48,258160
2019-04-15,586.95,588.0,583.04,584.95,505.52,84268
2019-04-16,591.0,598.0,585.65,587.5,507.72,220768
2019-04-18,589.0,594.5,583.54,587.34,507.59,149289
2019-04-22,590.0,590.0,580.59,585.65,506.12,135430
2019-04-23,585.65,588.0,579.59,586.40,506.77,70282
2019-04-24,585.90,593.5,581.25,588.84,508.89,182644
2019-04-25,584.0,590.5,582.20,584.29,504.95,170828
2019-04-26,599.90,636.65,580.0,583.59,504.35,1777667
2019-04-30,584.95,591.0,580.20,589.59,509.53,302046
2019-05-02,590.0,601.20,584.95,595.09,514.29,261826
2019-05-03,597.5,597.5,582.04,584.65,505.26,185748
2019-05-06,584.65,585.15,562.65,566.95,489.96,257609
2019-05-07,569.75,571.70,562.0,568.70,491.47,182462
2019-05-08,568.25,575.0,563.04,567.0,490.00,397662
2019-05-09,565.09,581.0,565.09,574.40,496.40,240020
2019-05-10,574.0,580.0,574.0,579.25,500.59,108008
2019-05-13,581.79,584.04,568.29,570.34,492.90,70940
2019-05-14,572.95,573.04,552.0,560.09,484.04,191416
2019-05-15,565.90,565.90,555.20,557.79,482.05,131520
2019-05-16,557.95,558.25,535.0,549.0,474.45,218514
2019-05-17,549.0,554.40,539.0,549.34,474.75,131920
2019-05-20,560.0,562.0,545.34,555.40,479.98,175562
2019-05-21,555.90,559.79,541.20,543.34,469.56,121640
2019-05-22,543.65,552.65,536.25,549.65,475.01,138599
2019-05-23,555.0,560.0,550.65,555.70,480.24,297416
2019-05-24,552.95,560.04,547.25,551.04,476.22,264215
2019-05-27,556.45,568.0,552.75,559.54,483.56,194455
2019-05-28,564.75,568.70,560.54,565.40,488.62,84955
2019-05-29,567.0,567.04,558.04,560.40,484.30,153644
2019-05-30,551.70,567.0,547.0,552.09,484.91,236990
2019-05-31,559.95,564.0,553.54,561.20,492.91,175303
2019-06-03,563.0,564.90,555.0,558.09,490.18,62991
2019-06-04,560.0,561.5,553.20,558.29,490.36,55665
2019-06-06,561.95,566.84,556.65,559.45,491.37,59156
2019-06-07,564.20,569.0,560.0,564.0,495.37,78969
2019-06-10,567.5,567.5,556.5,563.20,494.66,53135
2019-06-11,566.75,566.90,557.29,563.5,494.93,30631
2019-06-12,566.5,567.40,561.04,563.04,494.53,40857
2019-06-13,562.09,563.75,556.04,557.25,489.44,20374
2019-06-14,557.0,557.0,534.0,535.70,470.51,82360
2019-06-17,536.0,539.90,520.29,533.20,468.31,145619
2019-06-18,535.5,547.0,530.04,541.75,475.82,124926
2019-06-19,542.0,554.84,542.0,549.54,482.67,171655
2019-06-20,548.0,563.04,545.0,560.40,492.20,207272
2019-06-21,560.40,573.90,560.0,564.45,495.76,120622
2019-06-24,565.0,568.90,554.04,559.79,491.68,129453
2019-06-25,559.5,559.5,546.5,549.70,482.81,38425
2019-06-26,553.79,553.79,545.54,546.34,479.86,25804
2019-06-27,550.0,550.0,541.54,542.29,476.31,27561
2019-06-28,543.0,546.0,540.09,542.09,476.13,54786
2019-07-01,542.09,548.70,528.0,535.45,470.29,130200
2019-07-02,540.0,543.34,535.45,539.65,473.98,322414
2019-07-03,539.65,548.5,537.0,540.84,475.03,125058
2019-07-04,541.5,543.0,538.5,540.45,474.68,35084
2019-07-05,540.0,545.0,532.29,538.09,472.62,36355
2019-07-08,535.0,537.95,525.0,528.20,463.92,134305
2019-07-09,536.0,541.0,521.34,537.29,471.91,89245
2019-07-10,539.90,545.0,534.65,538.75,473.19,59552
2019-07-11,538.90,540.0,528.40,537.65,472.22,87629
2019-07-12,540.5,541.90,531.65,538.29,472.79,100219
2019-07-15,544.90,553.40,537.0,546.45,479.95,104063
2019-07-16,546.04,559.90,540.0,543.04,476.96,104268
2019-07-17,542.5,546.59,530.04,540.34,474.59,236057
2019-07-18,542.0,551.0,535.79,543.5,477.36,132517
2019-07-19,520.0,520.0,468.0,483.20,424.40,2346336
2019-07-22,478.70,490.54,445.0,460.5,404.46,1322878
2019-07-23,467.0,495.0,460.60,477.04,419.00,678680
2019-07-24,478.45,492.70,470.79,487.0,427.74,202238
2019-07-25,481.5,494.89,481.5,486.95,427.69,202289
2019-07-26,482.20,488.04,468.10,471.39,414.03,517674
2019-07-29,471.85,480.95,467.0,469.79,412.63,140905
2019-07-30,466.5,474.95,432.29,448.0,393.48,464325
2019-07-31,446.04,466.70,440.60,462.39,406.13,158305
2019-08-01,452.14,458.95,438.04,440.89,387.24,272389
2019-08-02,435.25,444.20,435.25,437.95,384.65,260947
2019-08-05,439.64,448.5,428.0,441.14,387.46,276710
2019-08-06,436.5,445.0,434.04,442.89,389.00,83312
2019-08-07,449.0,451.0,436.0,446.5,392.16,127498
2019-08-08,447.79,450.95,441.20,443.60,389.62,25560
2019-08-09,441.29,450.20,434.20,437.20,384.0,162565
2019-08-13,441.5,448.04,437.89,440.54,386.94,63462
2019-08-14,445.0,445.39,435.04,439.89,386.37,59053
2019-08-16,440.0,440.29,419.85,430.64,378.24,128005
2019-08-19,430.75,435.54,417.14,425.95,374.11,179254
2019-08-20,429.0,433.89,426.54,429.35,377.10,264578
2019-08-21,431.0,442.29,428.54,438.25,384.92,198238
2019-08-22,435.04,443.60,433.04,440.60,386.98,80930
2019-08-23,440.60,444.35,437.45,439.39,385.93,141096
2019-08-26,446.0,447.04,435.54,439.5,386.02,71482
2019-08-27,442.75,444.0,435.0,438.85,385.44,26274
2019-08-28,441.95,441.95,432.25,434.0,381.18,127955
2019-08-29,434.0,435.89,427.10,429.79,377.50,71407
2019-08-30,428.29,432.60,414.04,421.0,369.77,153311
2019-09-03,420.0,427.0,414.14,421.25,369.99,298308
2019-09-04,424.95,431.79,419.60,429.79,377.50,98856
2019-09-05,429.04,436.0,424.20,432.89,380.22,73626
2019-09-06,431.14,439.0,428.04,436.89,383.73,23030
2019-09-09,438.0,445.70,436.60,443.54,389.57,54939
2019-09-11,447.79,458.39,440.0,451.89,396.91,87011
2019-09-12,452.0,454.70,446.0,447.54,393.09,22367
2019-09-13,452.0,452.0,445.39,448.29,393.74,12843
2019-09-16,448.29,464.0,443.04,447.95,393.44,161323
2019-09-17,450.5,455.0,446.04,448.60,394.01,27114
2019-09-18,451.79,454.39,446.29,450.70,395.85,32634
2019-09-19,454.0,454.0,436.0,444.5,390.41,250917
2019-09-20,445.0,455.5,440.10,450.64,395.81,76412
2019-09-23,459.89,477.0,447.29,471.29,413.95,140678
2019-09-24,470.0,480.0,463.0,465.29,408.68,95329
2019-09-25,466.10,472.39,444.89,447.39,392.95,159977
2019-09-26,453.0,461.0,445.10,458.20,402.44,152011
2019-09-27,460.0,460.95,446.29,453.54,398.36,50367
2019-09-30,447.0,469.0,447.0,465.35,408.72,447027
2019-10-01,469.0,475.95,460.0,463.39,407.01,58656
2019-10-03,463.39,470.0,455.85,466.79,409.99,96805
2019-10-04,461.0,470.20,457.29,458.5,402.70,20993
2019-10-07,460.0,462.79,445.95,450.10,395.33,266457
2019-10-09,450.10,454.70,445.39,447.35,392.91,66229
2019-10-10,452.0,462.95,451.0,455.85,400.38,59083
2019-10-11,457.35,471.0,452.0,456.29,400.77,77191
2019-10-14,459.95,467.04,452.64,458.35,402.57,67670
2019-10-15,460.0,463.45,451.54,455.29,399.89,179155
2019-10-16,456.0,460.0,451.0,453.0,397.87,41786
2019-10-17,455.85,460.0,441.14,447.64,393.17,227378
2019-10-18,455.0,459.0,439.29,448.10,393.57,346430
2019-10-22,446.75,448.04,421.20,423.10,371.61,264200
