Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,713.73,730.76,713.73,716.76,713.33,2028
2019-01-02,721.33,730.0,716.90,728.36,724.88,2113
2019-01-03,729.33,737.13,716.0,719.03,715.59,8643
2019-01-04,717.09,720.76,716.0,716.26,712.83,1821
2019-01-07,716.0,720.29,708.09,713.29,709.88,1669
2019-01-08,709.36,716.09,708.0,709.93,706.53,1050
2019-01-09,708.0,716.53,696.90,699.63,696.28,3732
2019-01-10,700.0,726.0,700.0,721.46,718.01,4722
2019-01-11,726.56,726.56,707.33,713.06,709.65,2278
2019-01-14,716.59,719.13,701.0,709.0,705.60,3219
2019-01-15,708.20,713.33,703.33,705.79,702.42,2886
2019-01-16,715.93,740.0,706.66,734.43,730.91,19081
2019-01-17,737.33,742.5,712.0,729.66,726.17,8137
2019-01-18,731.93,732.13,716.90,720.03,716.58,1153
2019-01-21,714.03,725.29,711.33,713.03,709.62,3307
2019-01-22,710.03,715.79,701.0,710.36,706.96,24562
2019-01-23,711.76,719.79,702.66,710.29,706.90,6816
2019-01-24,720.0,720.0,706.06,714.20,710.78,9642
2019-01-25,715.43,716.73,700.86,703.5,700.13,3412
2019-01-28,702.0,705.33,693.5,697.46,694.12,4324
2019-01-29,694.73,703.76,688.86,694.90,691.57,2010
2019-01-30,696.66,704.66,683.33,694.93,691.60,9964
2019-01-31,699.40,730.0,656.76,716.23,712.80,90279
2019-02-01,717.33,717.56,690.0,692.26,688.95,91860
2019-02-04,692.03,698.0,675.03,681.09,677.83,4539
2019-02-05,683.76,685.76,666.0,666.86,663.67,5712
2019-02-06,670.26,694.0,654.66,683.63,680.36,11940
2019-02-07,689.96,689.96,670.0,677.63,674.38,9060
2019-02-08,676.66,688.5,670.66,673.06,669.84,9174
2019-02-11,671.06,696.66,656.66,669.59,666.39,10129
2019-02-12,683.73,683.73,653.33,656.63,653.49,14164
2019-02-14,659.83,680.16,650.70,672.86,669.64,8682
2019-02-15,671.59,710.0,667.83,680.36,677.10,14394
2019-02-18,681.33,682.96,656.0,657.5,654.35,4302
2019-02-19,666.0,666.0,656.03,657.66,654.51,3082
2019-02-20,658.86,663.83,653.36,653.76,650.63,5884
2019-02-21,654.70,663.0,654.0,654.86,651.73,61005
2019-02-22,654.93,666.0,653.83,663.96,660.78,10389
2019-02-25,660.59,682.40,654.0,673.96,670.74,9847
2019-02-26,669.76,693.86,659.16,685.83,682.55,10317
2019-02-27,678.03,688.0,667.33,669.40,666.19,10033
2019-02-28,679.29,696.66,665.33,691.0,687.69,11245
2019-03-01,696.63,716.66,680.06,702.5,699.13,9609
2019-03-05,692.03,702.5,684.20,692.96,689.64,16176
2019-03-06,693.56,714.79,685.40,691.56,688.25,15567
2019-03-07,694.09,700.0,684.5,689.73,686.43,14775
2019-03-08,724.16,740.0,723.96,729.79,726.30,153072
2019-03-11,746.53,746.53,727.33,732.26,728.76,35670
2019-03-12,734.0,734.03,727.33,729.20,725.70,78538
2019-03-13,732.0,742.66,728.73,734.36,730.85,66385
2019-03-14,738.63,782.20,734.20,763.93,760.27,516736
2019-03-15,772.66,772.66,742.0,744.23,740.67,161437
2019-03-18,746.0,752.76,742.03,748.66,745.08,38230
2019-03-19,753.33,762.0,753.03,757.33,753.70,58578
2019-03-20,760.66,761.33,753.53,755.96,752.34,41149
2019-03-22,776.66,783.29,766.66,769.0,765.31,371047
2019-03-25,770.0,771.33,763.66,766.20,762.53,97011
2019-03-26,771.26,772.03,758.33,759.29,755.66,78189
2019-03-27,760.66,766.33,756.96,758.76,755.13,41925
2019-03-28,758.66,769.09,756.73,765.96,762.30,45787
2019-04-01,767.76,770.59,762.29,763.0,759.34,48031
2019-04-02,763.46,765.0,757.36,759.0,755.36,38322
2019-04-03,761.26,765.33,756.26,757.90,754.27,30150
2019-04-04,759.93,760.36,754.73,755.76,752.14,20397
2019-04-05,755.76,757.93,753.26,754.16,750.55,19282
2019-04-08,756.59,756.70,751.36,752.40,748.79,24231
2019-04-09,752.73,755.26,751.06,752.23,748.63,13246
2019-04-10,752.90,753.5,750.06,750.90,747.30,27412
2019-04-11,750.59,750.79,748.66,749.13,745.54,13659
2019-04-12,749.06,750.13,744.86,745.86,742.29,25333
2019-04-15,746.0,753.29,743.46,749.06,745.48,20191
2019-04-16,750.20,756.66,750.20,752.79,749.19,28809
2019-04-18,752.73,761.96,750.16,753.43,749.82,41935
2019-04-22,762.59,769.29,755.56,757.26,753.64,54465
2019-04-23,757.26,760.76,754.33,755.63,752.01,33474
2019-04-24,756.06,760.59,756.06,758.43,754.80,18909
2019-04-25,758.86,762.03,750.73,751.83,748.23,49089
2019-04-26,756.0,759.90,753.40,755.09,751.48,38896
2019-04-30,765.33,769.93,761.40,763.79,760.14,141360
2019-05-02,761.33,766.66,761.33,764.59,760.94,114094
2019-05-03,764.66,765.33,758.0,761.40,757.75,68623
2019-05-06,761.93,765.66,760.09,761.40,757.75,73555
2019-05-07,762.0,763.0,755.33,756.0,752.38,124510
2019-05-08,756.06,759.20,724.63,733.13,729.62,164850
2019-05-09,676.0,686.66,663.33,665.53,662.34,136794
2019-05-10,663.40,668.79,656.66,663.59,660.42,34636
2019-05-13,651.09,656.0,625.33,626.86,623.86,46117
2019-05-14,620.83,646.56,611.03,634.33,631.29,31929
2019-05-15,645.33,646.0,629.23,630.86,627.84,11983
2019-05-16,632.06,632.70,620.66,621.5,618.52,7371
2019-05-17,620.83,623.93,614.66,620.03,617.06,8683
2019-05-20,625.33,625.33,615.36,618.0,615.04,9360
2019-05-21,619.36,636.66,618.03,627.86,624.86,13156
2019-05-22,624.06,627.36,617.33,619.43,616.46,7678
2019-05-23,627.36,632.73,602.0,604.93,602.03,14617
2019-05-24,616.59,631.59,613.33,616.79,613.84,51370
2019-05-27,619.93,622.66,614.66,619.70,616.73,35614
2019-05-28,617.33,622.66,616.66,618.86,615.90,15982
2019-05-29,623.26,623.26,616.53,617.83,614.87,7684
2019-05-30,618.0,628.66,618.0,625.23,622.24,11395
2019-05-31,626.66,626.83,620.36,622.23,619.25,13620
2019-06-03,621.43,623.33,619.26,622.29,619.32,8724
2019-06-04,621.36,626.03,620.0,624.79,621.80,12585
2019-06-06,633.29,633.29,620.73,623.40,620.41,13311
2019-06-07,622.0,626.26,620.63,624.13,621.14,9079
2019-06-10,629.0,632.66,618.0,629.09,626.08,17260
2019-06-11,629.23,631.73,616.70,617.29,614.34,8883
2019-06-12,617.33,617.33,604.03,608.0,605.08,14284
2019-06-13,608.0,608.66,599.36,601.59,598.72,8278
2019-06-14,599.36,602.53,592.0,593.96,591.12,6114
2019-06-17,592.0,599.29,584.29,586.0,583.19,4609
2019-06-18,584.29,590.0,584.29,585.79,582.99,3235
2019-06-19,586.66,586.66,569.96,575.56,572.81,5164
2019-06-20,576.66,576.66,560.0,561.73,559.04,7042
2019-06-21,558.90,558.90,513.43,525.0,522.48,103086
2019-06-24,525.0,529.0,516.66,523.76,521.25,32146
2019-06-25,521.36,521.36,501.5,513.40,510.94,50094
2019-06-26,513.43,524.06,506.66,513.73,511.27,81775
2019-06-27,513.76,522.26,513.33,514.59,512.13,11551
2019-06-28,513.36,516.70,506.66,511.16,508.71,11325
2019-07-01,512.66,514.66,506.63,513.59,511.14,18466
2019-07-02,509.33,514.76,509.33,513.36,510.90,44424
2019-07-03,516.0,516.0,504.0,504.76,502.35,10870
2019-07-04,503.36,507.96,501.33,505.73,503.31,14940
2019-07-05,506.70,506.70,472.0,486.86,484.53,82929
2019-07-08,487.36,487.36,463.33,466.29,464.06,22450
2019-07-09,460.0,460.03,448.83,452.23,450.06,76492
2019-07-10,452.23,454.66,448.0,448.70,446.55,10668
2019-07-11,447.36,453.29,446.66,447.0,444.86,15933
2019-07-12,446.0,450.0,442.06,443.26,441.14,37533
2019-07-15,440.70,466.63,422.5,456.36,454.18,45855
2019-07-16,455.70,469.29,441.76,459.93,457.73,65413
2019-07-17,460.0,460.53,450.66,453.29,451.13,39820
2019-07-18,446.66,453.33,442.0,445.33,443.20,22788
2019-07-19,440.03,445.29,420.0,422.63,420.61,15522
2019-07-22,424.0,424.0,401.33,408.23,406.27,15403
2019-07-23,408.0,419.06,402.0,405.60,403.65,17832
2019-07-24,409.33,409.33,401.33,403.0,401.07,13195
2019-07-25,396.66,414.0,396.66,400.39,398.48,16203
2019-07-26,400.20,400.20,386.66,389.83,387.96,12562
2019-07-29,386.66,402.96,382.89,399.20,397.28,14038
2019-07-30,399.20,404.10,378.66,387.23,385.37,76509
2019-07-31,386.66,401.33,370.66,397.73,395.82,41244
2019-08-01,388.0,413.29,388.0,397.13,395.23,21925
2019-08-02,397.20,397.26,384.53,387.0,385.14,5707
2019-08-05,370.06,374.0,337.70,343.10,341.45,85204
2019-08-06,333.33,346.0,333.26,341.56,339.93,49527
2019-08-07,341.56,352.5,338.66,347.56,345.90,29622
2019-08-08,341.36,354.0,341.36,352.46,350.77,18168
2019-08-09,352.46,394.73,352.03,370.79,369.02,32898
2019-08-13,370.0,370.0,341.53,344.23,342.58,17356
