Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,47.29,49.20,46.90,48.59,40.42,2201383
2019-01-02,48.79,49.65,48.09,48.40,40.26,2471654
2019-01-03,48.59,48.90,46.25,46.84,38.97,2462865
2019-01-04,47.0,47.20,46.25,46.79,38.93,1138821
2019-01-07,47.04,47.65,46.70,46.84,38.97,943404
2019-01-08,46.84,47.45,46.40,47.09,39.17,1200956
2019-01-09,47.65,48.45,47.04,47.34,39.38,1622821
2019-01-10,47.40,47.54,46.65,47.04,39.13,1272063
2019-01-11,47.20,49.15,47.0,48.65,40.46,2686212
2019-01-14,49.15,49.75,48.5,49.20,40.92,2812959
2019-01-15,49.5,53.5,49.09,53.15,44.21,5422451
2019-01-16,52.84,53.45,52.15,52.5,43.67,2478302
2019-01-17,52.54,52.79,49.59,50.34,41.88,2579282
2019-01-18,50.70,51.15,49.20,49.40,41.09,1574901
2019-01-21,49.09,52.0,48.70,50.29,41.84,2582242
2019-01-22,50.40,50.5,49.0,49.34,41.05,1086525
2019-01-23,49.34,50.40,49.0,49.15,40.88,883488
2019-01-24,49.5,49.5,48.45,48.90,40.67,1707912
2019-01-25,49.20,49.79,47.70,47.95,39.88,1467054
2019-01-28,48.20,48.34,43.75,47.25,39.30,2909093
2019-01-29,47.25,47.65,45.79,47.20,39.26,1610023
2019-01-30,47.20,47.70,46.5,47.0,39.09,1304212
2019-01-31,47.20,49.79,46.90,49.04,40.80,1556783
2019-02-01,49.09,51.0,49.0,50.75,42.21,1874161
2019-02-04,50.40,50.95,48.40,48.90,40.67,2371845
2019-02-05,48.84,49.0,46.70,47.5,39.51,1000135
2019-02-06,47.5,47.90,46.20,46.45,38.63,908990
2019-02-07,46.79,47.45,46.54,46.95,39.05,853728
2019-02-08,47.09,47.15,45.29,45.45,37.80,969385
2019-02-11,45.84,45.84,42.90,43.20,35.93,1439876
2019-02-12,43.5,44.5,43.04,43.34,36.06,1085833
2019-02-14,43.20,43.45,42.20,42.75,35.56,1161152
2019-02-15,43.04,43.70,42.29,42.90,35.68,1517930
2019-02-18,42.90,43.0,41.20,41.65,34.64,1960585
2019-02-19,41.5,42.65,41.20,41.45,34.48,2508029
2019-02-20,41.79,42.15,39.34,39.70,33.02,3261548
2019-02-21,39.95,41.34,39.20,40.54,33.73,3490646
2019-02-22,40.75,42.70,40.04,42.25,35.14,2351539
2019-02-25,42.29,45.20,42.0,44.25,36.80,3045261
2019-02-26,43.40,43.90,42.20,42.84,35.64,2017204
2019-02-27,43.15,43.95,42.09,42.34,35.22,1643883
2019-02-28,42.90,43.79,42.54,43.29,36.01,1160343
2019-03-01,43.5,45.0,43.5,44.70,37.18,1638609
2019-03-05,44.90,47.70,44.79,46.70,38.84,2632102
2019-03-06,47.04,47.90,46.70,47.04,39.13,1895600
2019-03-07,47.45,48.5,46.29,47.15,39.22,2265368
2019-03-08,47.15,47.40,45.59,45.79,38.09,1545335
2019-03-11,46.40,46.40,45.40,46.0,38.26,2223569
2019-03-12,46.25,46.45,45.29,45.5,37.84,2748378
2019-03-13,45.40,46.0,44.5,44.65,37.14,2370507
2019-03-14,44.95,45.15,44.20,44.40,36.93,1497338
2019-03-15,44.59,45.79,43.79,44.20,36.76,3253487
2019-03-18,44.25,45.09,44.25,44.70,37.18,1905657
2019-03-19,44.65,47.79,44.29,47.15,39.22,4011526
2019-03-20,47.79,49.29,47.34,48.70,40.51,5416426
2019-03-22,49.20,49.29,47.0,47.29,39.34,2857970
2019-03-25,46.90,47.20,45.45,45.79,38.09,1531999
2019-03-26,46.0,47.0,45.75,46.70,38.84,1483735
2019-03-27,46.5,48.65,45.90,48.29,40.17,3043091
2019-03-28,48.29,49.40,47.59,47.79,39.76,1570684
2019-04-01,47.54,49.0,47.09,48.45,40.30,2297981
2019-04-02,49.40,50.59,48.70,49.45,41.13,6659733
