Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,350.0,394.95,350.0,370.95,365.29,52000357
2020-09-18,376.0,380.95,357.0,358.70,353.23,10745190
2020-09-21,354.0,374.5,330.29,349.39,344.07,12519290
2020-09-22,350.0,358.60,335.0,353.95,348.55,4965436
2020-09-23,358.20,362.25,343.10,352.29,346.92,3317252
2020-09-24,344.0,349.0,335.0,337.29,332.15,2953424
2020-09-25,342.89,386.0,340.20,363.39,357.85,15141637
2020-09-28,368.70,376.39,365.04,367.10,361.50,2649488
2020-09-29,368.45,370.45,348.04,351.45,346.09,2495022
2020-09-30,350.0,365.0,344.10,348.85,343.53,3896276
2020-10-01,352.89,354.60,340.0,342.79,337.57,2171659
2020-10-05,345.0,350.70,339.0,345.5,340.23,1631905
2020-10-06,347.0,352.85,343.35,350.04,344.71,1636234
2020-10-07,350.0,351.70,343.10,345.20,339.93,734114
2020-10-08,350.14,360.79,348.0,357.29,351.85,2661344
2020-10-09,355.0,359.29,350.0,350.75,345.40,930823
2020-10-12,352.0,352.0,342.0,344.25,339.00,696960
2020-10-13,342.95,355.0,342.5,348.29,342.98,1134594
2020-10-14,349.14,365.79,347.29,354.14,348.74,2420189
2020-10-15,350.0,355.79,339.10,340.60,335.40,3074233
2020-10-16,343.60,344.5,323.10,325.45,320.48,2799970
2020-10-19,329.0,330.70,321.64,324.29,319.35,2021509
2020-10-20,326.39,329.70,323.0,324.39,319.45,893819
2020-10-21,325.54,327.5,317.45,319.29,314.43,933214
2020-10-22,320.25,324.39,318.0,320.20,315.31,1047687
2020-10-23,322.45,323.64,319.0,319.85,314.97,553193
2020-10-26,321.39,323.04,315.10,317.20,312.36,649362
2020-10-27,314.20,315.70,307.0,308.79,304.09,707464
2020-10-28,309.95,329.04,309.0,320.20,315.31,2039149
2020-10-29,318.0,335.60,312.64,332.14,327.08,2498726
2020-10-30,337.5,344.0,322.64,338.95,333.78,2554270
2020-11-02,339.79,344.89,335.25,340.54,335.35,1406309
2020-11-03,343.70,346.0,335.14,339.29,334.12,1142400
2020-11-04,338.89,353.0,337.79,349.85,344.51,2053118
2020-11-05,337.25,340.89,326.0,330.29,325.26,2816514
2020-11-06,330.95,334.79,325.0,326.04,321.07,941659
2020-11-09,330.0,330.0,321.0,322.10,317.18,830254
2020-11-10,321.0,322.5,311.10,312.04,307.29,1748488
2020-11-11,310.0,321.89,310.0,315.54,310.73,846524
2020-11-12,317.0,322.0,316.0,318.5,313.64,563757
2020-11-13,318.0,323.85,317.5,321.10,316.20,442123
2020-11-14,324.79,325.5,323.10,324.54,319.60,254318
2020-11-17,327.79,328.70,323.54,324.79,319.84,447695
2020-11-18,324.60,325.5,321.95,323.45,318.51,347574
2020-11-19,321.79,325.79,317.0,317.85,313.00,680483
2020-11-20,318.0,322.64,317.25,320.54,315.66,510592
2020-11-23,320.54,321.95,314.04,318.5,313.64,444611
2020-11-24,319.89,327.79,319.0,321.14,316.25,695279
2020-11-25,323.5,323.79,317.0,317.95,313.10,481450
2020-11-26,318.25,320.85,310.5,311.85,307.09,1693248
2020-11-27,313.79,318.10,312.0,313.95,309.16,749418
