Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,225.05,231.94,224.55,228.89,227.16,271005
2019-01-02,228.10,232.85,222.44,223.30,221.61,246527
2019-01-03,224.0,226.35,220.30,221.14,219.47,163550
2019-01-04,223.39,223.39,216.55,217.89,216.25,186659
2019-01-07,220.05,222.64,218.89,220.05,218.38,213887
2019-01-08,221.19,227.0,218.0,223.30,221.61,277877
2019-01-09,224.60,226.89,220.35,221.75,220.07,144427
2019-01-10,222.89,223.94,219.69,220.39,218.73,88410
2019-01-11,221.25,223.60,219.0,219.85,218.18,91588
2019-01-14,220.19,220.19,213.75,215.39,213.76,124863
2019-01-15,216.5,222.0,216.5,219.35,217.68,175207
2019-01-16,218.5,224.39,217.05,217.44,215.80,236747
2019-01-17,218.10,223.89,216.89,219.39,217.73,346718
2019-01-18,219.39,221.94,216.0,216.75,215.10,127846
2019-01-21,217.60,220.0,208.75,213.75,212.13,173000
2019-01-22,212.89,214.25,210.10,211.44,209.84,124382
2019-01-23,211.0,213.10,210.10,210.69,209.10,188065
2019-01-24,209.25,216.5,208.60,212.35,210.74,172656
2019-01-25,213.75,217.0,203.0,206.85,205.28,267177
2019-01-28,209.55,209.89,188.35,193.60,192.13,1003742
2019-01-29,189.19,193.80,185.10,191.60,190.15,382358
2019-01-30,192.44,195.0,184.5,186.80,185.38,287906
2019-01-31,186.89,189.39,180.10,180.69,179.33,456749
2019-02-01,183.0,183.0,168.80,171.35,170.05,436654
2019-02-04,168.0,170.89,160.5,164.55,163.30,780669
2019-02-05,164.0,170.5,162.85,168.05,166.77,546591
2019-02-06,169.94,185.0,168.89,182.35,180.97,807239
2019-02-07,182.0,188.85,178.60,183.75,182.35,320832
2019-02-08,182.85,184.64,173.0,174.85,173.52,274949
2019-02-11,175.0,175.69,168.85,170.05,168.76,122639
2019-02-12,170.5,171.44,165.0,166.5,165.23,204127
2019-02-14,169.89,169.89,160.0,162.5,161.27,225454
2019-02-15,162.94,165.64,156.25,157.10,155.91,301997
2019-02-18,157.0,159.0,151.05,151.85,150.70,211231
2019-02-19,152.0,157.89,152.0,153.0,151.84,321322
2019-02-20,154.0,165.60,154.0,162.5,161.27,324706
2019-02-21,162.94,171.30,162.80,168.5,167.22,499767
2019-02-22,167.10,170.69,164.60,166.80,165.53,209184
2019-02-25,167.44,173.0,166.75,170.25,168.96,343236
2019-02-26,168.0,181.69,165.05,176.69,175.36,821549
2019-02-27,178.94,189.55,178.5,187.25,185.83,1086942
2019-02-28,187.0,191.10,184.10,185.44,184.04,394900
2019-03-01,187.69,192.39,185.55,190.39,188.95,334414
2019-03-05,190.5,209.89,190.5,202.55,201.01,875068
2019-03-06,202.94,205.60,197.10,199.35,197.84,326161
2019-03-07,198.5,200.5,193.10,194.89,193.42,258392
2019-03-08,194.0,196.64,188.60,190.30,188.85,193085
2019-03-11,191.0,198.0,191.0,192.85,191.39,376980
2019-03-12,193.35,201.25,193.35,198.35,196.84,549113
2019-03-13,198.5,201.94,195.19,198.75,197.24,360000
2019-03-14,200.94,204.0,198.39,200.14,198.63,362766
2019-03-15,200.60,207.25,199.89,200.35,198.83,626922
2019-03-18,201.05,204.69,199.60,201.25,199.72,243013
2019-03-19,201.19,206.19,200.0,204.14,202.60,270733
2019-03-20,203.89,209.19,200.25,201.55,200.02,796974
2019-03-22,201.39,203.10,199.55,200.64,199.13,220390
2019-03-25,197.14,202.0,196.69,200.69,199.18,377315
2019-03-26,200.80,202.0,196.80,198.39,196.89,248840
2019-03-27,198.5,207.0,196.0,204.0,202.45,409197
2019-03-28,208.35,213.80,205.35,209.80,208.21,489464
2019-04-01,206.0,219.0,206.0,216.25,214.61,1544007
2019-04-02,218.25,221.14,215.0,219.05,217.39,608570
2019-04-03,219.94,220.69,212.69,214.60,212.97,302425
2019-04-04,212.10,218.0,211.0,216.0,214.36,219858
2019-04-05,217.25,227.80,215.25,226.0,224.28,572386
2019-04-08,227.10,227.85,221.0,222.94,221.26,357948
2019-04-09,222.5,230.30,222.5,228.80,227.06,341134
2019-04-10,226.19,230.0,223.19,226.35,224.63,178003
2019-04-11,225.5,227.55,221.55,225.44,223.74,138286
2019-04-12,224.85,226.80,221.30,224.0,222.30,151992
2019-04-15,225.64,234.35,224.0,227.60,225.87,441020
2019-04-16,228.30,233.0,225.05,228.69,226.96,338685
2019-04-18,230.69,230.75,219.5,221.80,220.12,268069
2019-04-22,220.89,223.5,218.05,221.69,220.02,180238
2019-04-23,220.0,225.5,219.5,222.85,221.16,171113
2019-04-24,223.0,226.60,221.5,223.94,222.25,139788
2019-04-25,223.25,225.55,222.0,224.25,222.55,112416
2019-04-26,224.0,225.69,223.0,224.80,223.09,57911
2019-04-30,224.19,229.60,222.30,227.30,225.57,225629
2019-05-02,226.30,233.89,223.19,229.25,227.51,1121137
2019-05-03,224.0,228.89,215.69,216.94,215.30,393232
2019-05-06,214.0,223.89,210.05,221.94,220.27,433361
