Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1716.90,1723.90,1691.09,1716.65,1620.24,36717
2019-01-02,1714.94,1729.94,1698.25,1701.80,1606.22,65474
2019-01-03,1712.25,1712.25,1613.0,1621.84,1530.76,155781
2019-01-04,1635.0,1641.5,1590.0,1624.0,1532.79,152819
2019-01-07,1630.0,1649.90,1612.09,1633.44,1541.71,59677
2019-01-08,1648.0,1672.0,1621.75,1649.55,1556.90,108871
2019-01-09,1659.94,1670.0,1635.75,1644.05,1551.71,98334
2019-01-10,1650.25,1660.0,1635.59,1642.44,1550.20,79898
2019-01-11,1644.0,1655.0,1630.5,1633.19,1541.47,54561
2019-01-14,1647.0,1654.44,1622.0,1649.5,1556.86,28296
2019-01-15,1656.90,1657.84,1632.0,1649.5,1556.86,39320
2019-01-16,1650.0,1660.0,1641.09,1652.0,1559.22,38566
2019-01-17,1670.09,1698.94,1643.75,1693.40,1598.29,126255
2019-01-18,1715.0,1757.65,1630.0,1641.25,1549.07,448657
2019-01-21,1642.0,1667.80,1621.0,1657.90,1564.79,107446
2019-01-22,1650.19,1692.94,1647.0,1666.19,1572.62,84041
2019-01-23,1667.0,1689.90,1650.75,1669.84,1576.06,64475
2019-01-24,1665.94,1686.75,1656.0,1680.90,1586.49,48407
2019-01-25,1676.0,1720.0,1673.0,1677.65,1583.43,106480
2019-01-28,1689.94,1719.0,1671.09,1708.75,1612.78,105494
2019-01-29,1700.0,1720.0,1675.59,1690.55,1595.60,93543
2019-01-30,1635.0,1646.5,1616.25,1620.09,1529.11,257267
2019-01-31,1624.0,1624.0,1575.0,1585.25,1496.21,215895
2019-02-01,1582.0,1615.0,1582.0,1599.59,1509.76,80452
2019-02-04,1599.94,1603.0,1535.0,1559.15,1471.58,130453
2019-02-05,1576.80,1604.0,1544.30,1595.55,1505.94,157363
2019-02-06,1599.0,1609.34,1566.05,1584.55,1495.55,61681
2019-02-07,1580.5,1604.0,1571.19,1577.90,1489.28,74751
2019-02-08,1580.0,1590.40,1551.34,1556.69,1469.27,139222
2019-02-11,1564.0,1567.94,1505.0,1532.34,1446.29,101126
2019-02-12,1550.0,1559.0,1526.5,1545.44,1458.65,35575
2019-02-14,1515.0,1527.0,1502.19,1507.84,1423.16,49356
2019-02-15,1531.0,1531.0,1475.0,1493.59,1409.71,118952
2019-02-18,1475.0,1492.0,1458.0,1466.94,1384.56,86810
2019-02-19,1476.0,1476.0,1410.0,1415.59,1336.09,223726
2019-02-20,1427.65,1469.69,1404.90,1461.15,1379.08,215215
2019-02-21,1473.30,1495.0,1472.19,1486.75,1403.25,161868
2019-02-22,1495.0,1506.94,1486.19,1493.25,1409.38,72677
2019-02-25,1503.80,1522.0,1481.25,1499.34,1415.14,85738
2019-02-26,1495.0,1511.69,1467.25,1498.90,1414.71,118583
2019-02-27,1520.0,1520.0,1493.65,1502.90,1418.49,122891
2019-02-28,1512.0,1545.0,1510.0,1535.75,1449.49,82446
2019-03-01,1526.30,1569.0,1525.25,1550.80,1463.70,86251
2019-03-05,1551.0,1565.44,1528.0,1537.5,1451.15,48290
2019-03-06,1538.0,1560.0,1538.0,1542.94,1456.29,58768
2019-03-07,1545.0,1555.40,1525.09,1530.44,1444.49,81888
2019-03-08,1527.0,1554.44,1520.0,1543.15,1456.48,64466
2019-03-11,1556.84,1560.25,1542.80,1547.55,1460.63,56521
2019-03-12,1547.94,1559.5,1535.0,1545.80,1458.98,39223
2019-03-13,1540.0,1550.05,1532.0,1541.15,1454.59,75210
2019-03-14,1548.0,1548.0,1506.55,1513.75,1428.73,63142
2019-03-15,1520.0,1538.0,1495.0,1499.80,1415.56,79900
2019-03-18,1520.0,1520.0,1477.94,1491.40,1407.64,29200
2019-03-19,1470.09,1528.75,1470.09,1486.75,1403.25,125358
2019-03-20,1499.44,1529.0,1472.84,1487.75,1404.19,127614
2019-03-22,1489.0,1508.40,1485.0,1489.90,1406.22,48071
2019-03-25,1475.0,1482.05,1429.0,1441.40,1360.44,132257
2019-03-26,1447.19,1468.0,1447.19,1463.09,1380.93,60895
2019-03-27,1470.0,1489.0,1452.0,1465.44,1383.14,81711
2019-03-28,1460.0,1549.0,1460.0,1544.84,1458.08,147464
2019-04-01,1581.0,1619.09,1581.0,1612.05,1521.51,131735
2019-04-02,1623.80,1645.0,1610.0,1632.34,1540.67,97134
2019-04-03,1642.0,1644.94,1565.05,1582.19,1493.34,134456
2019-04-04,1590.0,1618.15,1571.25,1584.0,1495.04,65547
2019-04-05,1585.0,1616.0,1577.0,1608.69,1518.35,49652
2019-04-08,1617.0,1617.0,1576.55,1595.65,1506.03,31538
2019-04-09,1600.0,1610.0,1561.0,1591.40,1502.02,41320
2019-04-10,1591.0,1611.0,1581.05,1601.05,1511.13,40121
2019-04-11,1616.0,1650.0,1601.25,1632.94,1541.24,135581
2019-04-12,1635.0,1674.0,1630.0,1654.5,1561.58,131513
2019-04-15,1655.0,1704.0,1655.0,1692.59,1597.54,128681
2019-04-16,1699.59,1714.84,1650.0,1664.59,1571.11,71692
2019-04-18,1675.0,1728.0,1674.0,1680.40,1586.02,175969
2019-04-22,1670.0,1711.09,1658.94,1666.30,1572.71,79060
2019-04-23,1672.44,1709.69,1672.44,1696.0,1600.75,146234
2019-04-24,1703.44,1706.65,1666.5,1695.25,1600.04,37140
2019-04-25,1699.75,1720.0,1687.55,1711.5,1615.37,120236
2019-04-26,1720.0,1774.94,1710.44,1731.69,1634.44,124053
2019-04-30,1738.55,1763.94,1705.0,1737.30,1639.73,81793
2019-05-02,1738.0,1775.0,1737.30,1768.94,1669.60,91668
2019-05-03,1779.0,1780.0,1672.5,1690.90,1595.93,88762
2019-05-06,1676.0,1729.80,1667.25,1696.94,1601.64,120799
2019-05-07,1710.0,1739.94,1670.0,1682.69,1588.19,77993
2019-05-08,1675.0,1715.0,1671.09,1698.0,1602.63,73519
2019-05-09,1695.0,1710.0,1688.0,1694.94,1599.75,62306
2019-05-10,1694.94,1709.0,1684.0,1695.19,1599.99,95300
2019-05-13,1685.0,1705.0,1665.0,1673.15,1579.18,39499
2019-05-14,1670.0,1697.80,1670.0,1683.5,1588.95,70655
2019-05-15,1696.69,1704.90,1682.59,1688.25,1593.43,136177
2019-05-16,1695.0,1756.90,1690.19,1717.94,1621.46,180103
2019-05-17,1729.0,1763.94,1725.84,1759.05,1660.25,147305
2019-05-20,1789.05,1820.0,1750.0,1760.75,1661.86,201426
2019-05-21,1760.0,1775.0,1706.55,1717.75,1621.27,90104
2019-05-22,1727.0,1778.94,1716.40,1738.65,1641.00,142135
2019-05-23,1779.80,1779.80,1713.0,1744.90,1646.90,132455
2019-05-24,1759.90,1762.05,1720.09,1729.30,1632.17,89417
2019-05-27,1747.69,1759.90,1711.0,1747.15,1649.02,78060
2019-05-28,1756.0,1799.90,1748.0,1773.15,1673.56,523329
2019-05-29,1765.0,1769.94,1730.15,1735.44,1637.98,139240
2019-05-30,1746.0,1773.44,1737.0,1746.69,1648.60,93768
2019-05-31,1745.0,1788.75,1745.0,1758.80,1660.02,104863
2019-06-03,1754.0,1790.0,1714.30,1718.59,1622.08,187161
2019-06-04,1699.0,1708.94,1661.65,1667.55,1573.89,623200
2019-06-06,1663.0,1674.90,1655.75,1659.09,1565.92,392348
