Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,454.10,458.64,453.0,455.04,420.99,10002
2019-01-02,453.0,458.75,451.14,453.14,419.23,12484
2019-01-03,453.04,454.95,435.95,438.75,405.91,40521
2019-01-04,438.75,440.04,424.10,433.20,400.78,27137
2019-01-07,435.79,444.0,435.79,438.39,405.59,40071
2019-01-08,437.5,439.54,433.95,435.20,402.63,8736
2019-01-09,436.0,439.14,425.0,426.70,394.76,21391
2019-01-10,429.25,430.29,421.60,429.20,397.07,19027
2019-01-11,429.64,431.60,408.39,413.75,382.78,39272
2019-01-14,415.0,416.60,407.25,411.14,380.38,26790
2019-01-15,413.20,432.95,411.29,421.95,390.37,153559
2019-01-16,424.0,437.29,422.04,428.85,396.75,66267
2019-01-17,430.0,441.0,425.5,429.89,397.72,344989
2019-01-18,431.79,436.70,417.0,420.95,389.44,77930
2019-01-21,422.64,424.29,411.5,419.45,388.05,46225
2019-01-22,419.5,421.39,414.20,417.54,386.30,28204
2019-01-23,419.20,422.95,410.10,412.70,381.81,24334
2019-01-24,413.0,449.0,408.0,422.5,390.88,618320
2019-01-25,421.89,428.0,408.0,410.14,379.45,63385
2019-01-28,410.0,410.0,394.10,401.79,371.73,38452
2019-01-29,395.54,414.0,395.0,402.10,372.00,25979
2019-01-30,402.10,421.0,402.10,413.89,382.92,67103
2019-01-31,414.0,419.04,407.14,411.45,380.65,42544
2019-02-01,409.0,437.79,409.0,416.0,384.86,273440
2019-02-04,416.0,420.39,409.89,411.5,380.70,42016
2019-02-05,411.5,416.95,403.20,405.54,375.19,37255
2019-02-06,408.70,408.79,395.54,402.5,372.37,67891
2019-02-07,402.5,413.64,391.10,395.35,365.76,109153
2019-02-08,393.95,397.54,386.0,394.85,365.30,49133
2019-02-11,395.0,395.04,386.54,391.85,362.52,58272
2019-02-12,391.95,394.35,386.64,391.60,362.29,26646
2019-02-14,378.0,380.95,371.29,379.20,350.82,32369
2019-02-15,379.20,382.0,370.0,379.14,350.77,114708
2019-02-18,379.14,389.75,370.29,372.64,344.76,25465
2019-02-19,373.60,378.79,370.20,373.79,345.82,28229
2019-02-20,374.14,379.75,368.04,370.20,342.49,40001
2019-02-21,372.0,380.89,370.10,374.64,346.61,39029
2019-02-22,374.64,386.10,370.54,372.70,344.80,191287
2019-02-25,374.89,378.89,370.70,373.04,345.13,53372
2019-02-26,372.0,383.60,367.04,369.64,341.98,89262
2019-02-27,372.10,380.29,365.0,368.79,341.20,91196
2019-02-28,375.45,375.45,369.64,371.89,344.06,54144
2019-03-01,372.04,388.10,372.04,386.0,357.11,83219
2019-03-05,387.0,416.35,385.75,411.39,380.61,153447
2019-03-06,415.0,432.25,413.04,425.79,393.93,266069
2019-03-07,423.0,430.0,416.95,425.20,393.37,39075
2019-03-08,424.95,425.0,411.29,419.95,388.52,46656
2019-03-11,413.0,428.0,413.0,422.0,390.41,43154
2019-03-12,429.85,429.85,413.0,416.20,385.05,41092
2019-03-13,415.0,469.0,413.0,459.54,425.15,719758
2019-03-14,460.0,467.45,448.0,463.60,428.90,228618
2019-03-15,464.20,468.89,446.39,449.64,415.99,122203
2019-03-18,450.70,454.79,436.35,441.95,408.87,78888
2019-03-19,444.10,453.79,438.29,442.75,409.61,70524
2019-03-20,439.04,452.79,433.95,436.35,403.69,47860
2019-03-22,436.10,438.39,425.04,427.20,395.22,48537
2019-03-25,426.85,426.85,415.0,417.04,385.83,43098
2019-03-26,417.0,425.0,410.10,421.10,389.58,141324
2019-03-27,424.60,432.0,417.0,425.35,393.51,129459
2019-03-28,424.95,443.5,417.0,438.85,406.00,138192
2019-04-01,447.95,473.95,447.89,471.14,435.89,212317
2019-04-02,475.95,486.79,471.0,476.04,440.42,314279
2019-04-03,478.89,485.0,471.20,473.25,437.83,80816
2019-04-04,473.25,485.70,467.14,478.45,442.64,120499
2019-04-05,479.89,485.60,471.0,477.45,441.71,143605
2019-04-08,479.95,481.79,471.54,480.10,444.17,70086
2019-04-09,482.0,485.70,450.0,463.14,428.48,206714
2019-04-10,465.0,465.0,451.5,457.35,423.12,79382
2019-04-11,457.35,461.70,444.10,446.10,412.71,77453
2019-04-12,448.0,456.5,446.25,449.89,416.23,233630
2019-04-15,454.70,466.95,451.39,462.0,427.42,171259
2019-04-16,465.0,484.0,460.10,467.64,432.65,462643
2019-04-18,467.39,467.39,451.0,463.85,429.13,205060
2019-04-22,472.0,484.75,466.95,471.85,436.53,316058
2019-04-23,473.89,479.89,468.14,469.60,434.45,162160
2019-04-24,470.0,474.89,464.04,470.60,435.38,56212
2019-04-25,471.89,472.75,460.0,461.95,427.37,56656
2019-04-26,462.0,484.60,460.54,480.45,444.49,119207
2019-04-30,480.39,485.0,475.0,482.70,446.57,97367
2019-05-02,482.0,484.45,468.0,473.60,438.15,52867
2019-05-03,474.79,475.70,465.0,467.35,432.37,23442
2019-05-06,460.5,471.95,458.0,458.75,424.41,49012
2019-05-07,459.04,472.0,457.0,465.70,430.84,76430
2019-05-08,463.0,466.29,457.0,458.14,423.86,54658
2019-05-09,458.0,461.35,455.0,459.29,424.92,20089
2019-05-10,460.0,463.95,457.0,458.10,423.81,20302
2019-05-13,456.14,468.79,455.0,456.14,422.01,55559
2019-05-14,457.89,463.0,454.64,459.54,425.15,24592
2019-05-15,463.89,468.95,454.0,457.14,422.93,31381
2019-05-16,458.0,460.95,454.0,459.29,424.92,46540
2019-05-17,460.0,464.85,455.89,459.0,424.64,18852
2019-05-20,468.20,476.89,457.70,470.0,434.82,80172
2019-05-21,470.0,475.95,464.54,470.39,435.19,55164
2019-05-22,470.10,479.25,467.0,478.0,442.22,52633
2019-05-23,484.5,485.5,465.0,468.04,433.02,45398
2019-05-24,468.14,482.0,468.14,477.10,441.39,44684
2019-05-27,471.0,508.39,471.0,499.20,461.84,148598
2019-05-28,498.0,504.54,486.29,490.95,454.20,47314
2019-05-29,489.0,497.0,478.20,479.89,443.98,48419
2019-05-30,481.75,485.20,467.14,471.29,436.02,47073
2019-05-31,472.0,477.0,470.0,474.54,439.03,26126
2019-06-03,470.04,477.0,470.0,475.39,439.82,32462
2019-06-04,480.0,482.29,471.0,474.10,438.61,16204
2019-06-06,473.35,482.0,465.75,479.29,443.43,49144
2019-06-07,483.70,483.70,471.85,478.95,443.10,22743
2019-06-10,479.0,481.45,471.39,476.35,440.70,32303
2019-06-11,475.20,480.0,472.95,478.04,442.27,31662
2019-06-12,476.35,478.0,471.70,475.79,440.19,17008
2019-06-13,475.79,479.5,470.85,476.5,440.84,9495
2019-06-14,475.0,475.60,471.0,472.60,437.23,6712
2019-06-17,470.10,476.5,463.70,469.85,434.68,38296
2019-06-18,470.60,473.60,462.04,465.29,430.47,14708
2019-06-19,465.85,470.0,464.0,466.39,431.49,24180
2019-06-20,465.35,479.0,461.10,475.54,439.96,27860
2019-06-21,473.0,479.89,473.0,476.39,440.74,16806
2019-06-24,476.0,480.0,461.20,469.14,434.04,20566
2019-06-25,477.5,477.5,460.14,473.70,438.24,15163
2019-06-26,471.0,476.5,471.0,474.45,438.94,11293
2019-06-27,475.39,475.70,466.10,470.35,435.15,30187
2019-06-28,468.45,483.5,466.95,476.54,440.88,29575
2019-07-01,479.5,479.5,473.0,473.35,437.92,11798
2019-07-02,473.54,475.75,467.89,473.95,438.48,18823
2019-07-03,470.10,482.35,470.10,480.5,444.54,24518
2019-07-04,477.60,483.89,477.60,480.45,444.49,13114
2019-07-05,475.64,482.0,471.5,472.39,437.04,11206
2019-07-08,474.95,474.95,450.20,457.45,423.21,30837
2019-07-09,461.79,466.79,458.0,463.45,428.76,21713
2019-07-10,462.04,467.89,457.39,458.79,424.46,21184
2019-07-11,459.5,474.89,455.0,468.85,438.54,30677
2019-07-12,472.35,478.0,467.54,470.89,440.45,10990
2019-07-15,470.89,474.89,456.95,467.39,437.18,27343
2019-07-16,465.04,467.20,456.5,459.45,429.74,10947
2019-07-17,459.45,475.95,456.14,458.64,429.00,39490
2019-07-18,458.0,462.0,454.95,455.20,425.77,13529
2019-07-19,454.0,457.54,453.60,455.45,426.00,13777
2019-07-22,454.20,466.0,451.0,459.79,430.07,48882
2019-07-23,449.29,449.29,405.0,408.79,382.37,401337
2019-07-24,407.0,414.14,371.39,385.25,360.34,294298
2019-07-25,386.0,390.0,377.95,386.95,361.93,88088
2019-07-26,385.0,388.39,381.54,384.10,359.27,20375
2019-07-29,381.79,391.0,376.35,379.70,355.15,35104
2019-07-30,381.5,385.0,371.0,380.20,355.62,49275
2019-07-31,374.0,379.79,371.79,376.29,351.97,64993
2019-08-01,376.29,376.29,363.64,366.85,343.13,17097
2019-08-02,363.0,382.0,363.0,369.89,345.98,35572
2019-08-05,369.89,370.0,351.95,360.29,337.00,21272
2019-08-06,363.0,372.0,357.0,368.10,344.30,25722
2019-08-07,370.0,370.0,351.04,355.85,332.84,22693
2019-08-08,358.29,358.29,348.5,355.20,332.23,18528
2019-08-09,357.25,366.5,357.25,363.35,339.86,14804
2019-08-13,366.0,366.0,337.0,340.25,318.25,37783
2019-08-14,341.04,349.95,341.04,344.39,322.13,14473
2019-08-16,352.04,352.04,329.89,335.95,314.23,15613
2019-08-19,341.0,342.70,334.0,335.29,313.62,8517
2019-08-20,332.64,340.0,329.10,331.25,309.83,10558
2019-08-21,330.0,331.14,302.5,310.35,290.28,76617
2019-08-22,313.45,315.0,302.0,313.29,293.04,30170
2019-08-23,314.70,328.70,312.45,324.25,303.28,18958
2019-08-26,325.0,330.14,308.10,322.79,301.93,36748
2019-08-27,323.0,348.0,323.0,339.85,317.88,80584
2019-08-28,339.85,343.60,336.95,340.10,318.11,15653
2019-08-29,341.0,341.10,332.0,335.45,313.76,13258
2019-08-30,335.0,343.5,334.39,341.29,319.23,12040
2019-09-03,337.89,343.89,330.54,333.79,312.22,10329
2019-09-04,337.10,337.10,323.04,323.95,303.00,13984
2019-09-05,327.25,328.89,320.04,321.45,300.67,7222
2019-09-06,324.75,324.75,318.20,323.54,302.63,10852
2019-09-09,326.14,374.39,323.79,365.60,341.96,375609
2019-09-11,365.60,389.79,362.60,366.20,342.52,254239
2019-09-12,369.0,374.5,363.14,366.29,342.62,40102
2019-09-13,368.39,368.79,355.25,357.5,334.38,15301
2019-09-16,354.29,359.0,350.29,353.29,330.46,15539
2019-09-17,356.5,376.0,351.04,357.89,334.76,64913
2019-09-18,361.10,366.85,358.0,358.79,335.60,18777
2019-09-19,362.0,363.70,350.5,352.45,329.66,29411
2019-09-20,354.89,368.0,351.0,357.10,334.01,37030
2019-09-23,360.20,369.14,332.35,350.5,327.84,41591
2019-09-24,346.5,367.0,346.5,359.14,335.93,65015
2019-09-25,359.0,362.25,350.0,351.5,328.77,26079
2019-09-26,354.89,364.0,338.45,342.64,320.49,34619
2019-09-27,349.89,350.0,341.0,342.89,320.73,14412
2019-09-30,349.0,351.0,343.75,348.25,325.73,28835
2019-10-01,350.0,350.0,338.0,343.60,321.38,10590
2019-10-03,342.20,348.0,329.0,334.14,312.54,11480
2019-10-04,339.0,349.5,323.75,326.04,304.97,34657
2019-10-07,329.0,334.89,315.0,316.35,295.89,13144
2019-10-09,318.0,320.64,301.75,312.45,292.25,47298
2019-10-10,312.0,319.85,300.0,302.20,282.66,71120
2019-10-11,304.5,314.10,300.5,306.20,286.40,22886
2019-10-14,307.70,332.0,306.0,320.60,299.87,42717
2019-10-15,318.0,324.10,317.10,318.54,297.95,17361
2019-10-16,320.39,324.95,315.04,316.89,296.41,18681
2019-10-17,320.45,350.0,294.04,331.85,310.39,594026
2019-10-18,337.95,350.95,326.70,342.70,320.54,256161
2019-10-22,340.0,354.85,334.60,347.29,324.84,103875
2019-10-23,352.0,354.20,347.14,351.5,328.77,39032
2019-10-24,353.89,353.89,342.04,345.85,326.27,12266
2019-10-25,344.0,346.0,336.04,340.60,321.32,17652
2019-10-27,341.35,350.0,341.35,345.89,326.32,3811
2019-10-29,346.0,353.25,336.10,339.45,320.23,34769
2019-10-30,340.64,348.60,330.0,332.64,313.82,103694
2019-10-31,338.0,346.0,334.39,344.14,324.67,47892
2019-11-01,344.89,344.89,334.29,336.35,317.31,33214
2019-11-04,338.39,342.0,335.29,337.25,318.16,29877
2019-11-05,339.70,339.79,331.0,332.54,313.73,12656
2019-11-06,335.0,335.0,325.0,327.79,309.24,14146
2019-11-07,330.89,334.70,327.45,331.89,313.11,13572
2019-11-08,331.95,331.95,323.0,324.14,305.80,16233
2019-11-11,324.20,336.85,321.5,326.85,308.35,69922
2019-11-13,324.04,328.10,318.20,320.70,302.55,25905
2019-11-14,321.0,322.5,312.04,314.89,297.07,22744
2019-11-15,314.89,320.35,313.64,317.25,299.29,19402
2019-11-18,317.0,323.85,313.95,320.29,302.17,18344
2019-11-19,322.0,325.0,318.29,321.29,303.11,24230
2019-11-20,321.04,325.89,321.0,324.85,306.46,33500
2019-11-21,322.0,387.0,322.0,361.20,340.75,1267439
2019-11-22,356.95,371.39,348.95,357.45,337.22,301155
2019-11-25,351.0,377.35,351.0,369.04,348.16,195010
2019-11-26,365.0,389.0,363.89,368.60,347.74,382516
2019-11-27,365.0,381.20,365.0,375.60,354.34,105287
2019-11-28,372.5,424.75,372.5,404.14,381.27,671527
2019-11-29,403.0,403.5,385.0,386.70,364.81,118425
2019-12-02,389.70,389.70,354.0,361.85,341.37,146038
2019-12-03,363.0,393.75,356.29,378.85,357.41,538606
2019-12-04,373.0,382.89,364.95,367.39,346.60,91510
2019-12-05,368.0,375.89,365.10,367.89,347.07,61061
2019-12-06,372.0,373.70,359.04,367.64,346.84,47325
2019-12-09,365.0,382.0,362.35,378.5,357.08,116811
2019-12-10,379.79,386.64,366.0,368.29,347.45,63324
2019-12-11,369.0,372.0,354.04,360.54,340.14,56735
2019-12-12,364.20,368.5,355.54,358.70,338.40,71462
2019-12-13,364.54,393.0,364.54,378.14,356.74,646704
2019-12-16,383.85,431.5,376.25,417.75,394.10,1894004
2019-12-17,423.20,446.0,409.29,432.75,408.25,1261442
2019-12-18,429.0,447.0,424.10,434.79,410.19,523499
2019-12-19,432.0,437.45,416.60,419.64,395.90,211428
2019-12-20,423.0,428.5,416.54,419.95,396.18,136558
2019-12-23,419.95,424.60,405.0,407.70,384.62,83819
2019-12-24,411.0,417.35,397.5,407.45,384.39,172117
2019-12-26,408.95,417.0,400.0,404.70,381.79,117632
2019-12-27,409.0,414.0,401.04,404.20,381.32,84227
2019-12-30,405.89,421.64,403.10,415.29,391.79,255764
2019-12-31,415.29,422.0,414.0,418.29,394.62,98462
2020-01-01,421.0,422.0,414.14,418.75,395.05,44059
2020-01-02,420.0,433.89,417.54,426.20,402.08,135646
2020-01-03,425.89,434.89,418.54,421.0,397.17,66935
2020-01-06,420.0,420.0,407.0,408.64,385.52,43180
2020-01-07,412.39,424.0,412.39,422.39,398.49,76295
2020-01-08,415.0,437.89,410.79,425.25,401.18,134526
2020-01-09,428.20,440.85,428.20,434.04,409.48,141979
2020-01-10,435.0,445.0,433.39,438.39,413.59,97773
2020-01-13,438.25,446.0,434.54,440.29,415.38,39137
2020-01-14,441.0,445.0,437.0,439.64,414.76,52629
2020-01-15,435.79,444.95,435.79,441.75,416.75,33941
2020-01-16,441.0,462.0,440.0,442.60,417.55,160100
2020-01-17,443.5,449.25,437.0,441.75,416.75,50750
2020-01-20,443.0,448.0,439.0,442.04,417.03,27170
2020-01-21,440.0,446.0,430.04,443.25,418.16,19095
2020-01-22,441.0,447.89,441.0,442.60,417.55,18704
2020-01-23,444.0,452.79,440.20,441.79,416.79,26716
2020-01-24,444.95,447.95,440.85,445.04,419.86,17629
2020-01-27,446.0,446.95,438.0,441.25,416.27,28463
2020-01-28,441.5,449.64,407.10,419.85,396.08,294016
2020-01-29,417.14,448.39,417.14,441.29,416.32,191351
2020-01-30,440.0,445.95,432.70,441.25,416.27,70207
2020-01-31,443.0,447.45,438.54,441.79,416.79,40292
2020-02-03,434.70,441.0,425.20,432.0,407.55,28256
2020-02-04,433.0,449.85,433.0,445.29,420.09,105976
2020-02-05,444.0,455.0,439.5,445.04,419.86,73454
2020-02-06,445.0,454.0,442.54,445.10,419.91,47706
2020-02-07,446.0,455.89,443.04,452.60,426.98,86070
2020-02-10,455.0,456.0,412.39,417.10,393.49,155089
2020-02-11,423.89,432.0,418.14,420.35,396.56,46305
2020-02-12,421.0,427.54,408.85,414.25,390.80,33197
2020-02-13,423.0,423.0,409.79,414.95,391.46,19380
2020-02-14,419.0,419.0,406.0,407.20,384.15,48053
2020-02-17,410.10,411.64,396.04,399.75,377.12,59886
2020-02-18,398.0,406.85,395.0,398.29,375.75,31858
2020-02-19,401.20,431.29,400.39,426.39,402.26,136886
2020-02-20,428.0,429.95,420.0,423.60,399.62,25543
2020-02-24,416.0,420.79,402.45,412.60,389.25,34057
2020-02-25,412.60,419.5,410.04,415.04,391.56,20652
2020-02-26,411.75,418.5,410.10,413.35,389.95,18543
2020-02-27,413.29,418.0,403.04,414.35,390.90,24058
2020-02-28,409.35,417.0,398.04,405.5,382.55,127497
2020-03-02,406.10,422.95,405.0,409.89,386.70,31141
2020-03-03,412.0,419.75,408.85,415.10,391.60,23100
