Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,628.0,629.5,624.0,626.09,588.44,51296
2019-01-02,621.04,644.34,620.0,625.20,587.60,205680
2019-01-03,613.34,625.0,606.59,613.54,576.65,388186
2019-01-04,616.04,619.65,571.70,577.29,542.58,721076
2019-01-07,586.5,586.5,568.34,570.20,535.90,230558
2019-01-08,572.0,580.0,565.40,570.15,535.86,116342
2019-01-09,570.29,572.5,562.0,565.04,531.06,133830
2019-01-10,565.04,569.34,559.0,562.29,528.48,105368
2019-01-11,562.5,563.34,542.20,547.59,514.66,195258
2019-01-14,553.0,558.0,548.45,551.45,518.28,430309
2019-01-15,551.59,556.0,546.04,549.29,516.26,678102
2019-01-16,551.5,559.0,549.04,551.75,518.56,135328
2019-01-17,552.90,565.40,547.5,549.90,516.82,156763
2019-01-18,551.0,555.0,547.25,550.75,517.62,53366
2019-01-21,554.0,556.0,540.04,544.95,512.17,541836
2019-01-22,544.0,550.90,538.54,544.84,512.08,179889
2019-01-23,546.95,565.5,541.0,544.70,511.94,365389
2019-01-24,551.95,560.0,546.25,551.90,518.70,334939
2019-01-25,555.0,564.09,551.90,561.95,528.15,580614
2019-01-28,562.95,575.0,561.0,564.95,530.97,381234
2019-01-29,586.0,595.0,572.0,583.40,548.31,1791816
2019-01-30,587.0,608.79,585.25,601.84,565.65,557488
2019-01-31,605.0,609.70,599.95,602.09,565.88,553721
2019-02-01,603.0,621.90,603.0,618.79,581.58,249875
2019-02-04,613.95,647.79,607.34,639.84,609.24,376544
2019-02-05,640.25,650.59,638.79,644.65,613.81,217213
2019-02-06,643.0,675.09,633.54,658.25,626.76,424596
2019-02-07,658.25,663.54,645.0,648.09,617.10,98692
2019-02-08,647.79,647.79,631.29,636.15,605.72,92684
2019-02-11,635.90,644.25,631.84,638.04,607.53,123510
2019-02-12,637.79,659.79,635.0,644.40,613.57,194669
2019-02-14,642.79,669.90,640.29,654.90,623.57,123863
2019-02-15,646.04,665.0,638.09,643.15,612.38,94441
2019-02-18,644.90,647.70,635.95,640.04,609.43,61114
2019-02-19,640.04,649.65,639.0,640.59,609.96,60229
2019-02-20,640.0,644.84,618.0,622.70,592.91,199582
2019-02-21,629.90,638.34,618.09,627.34,597.34,245779
2019-02-22,624.09,636.79,600.0,601.59,572.82,431909
2019-02-25,606.90,614.79,592.34,601.34,572.58,252048
2019-02-26,591.09,633.90,591.09,630.34,600.20,303836
2019-02-27,628.0,662.0,625.0,644.34,613.53,302288
2019-02-28,648.09,657.95,648.09,655.20,623.86,155505
2019-03-01,658.79,674.0,657.0,669.04,637.04,197831
2019-03-05,669.0,684.0,667.09,682.54,649.90,238103
2019-03-06,683.45,689.90,663.5,669.54,637.52,67221
2019-03-07,670.5,681.09,637.04,641.95,611.24,119009
2019-03-08,643.95,653.5,639.79,648.75,617.72,62745
2019-03-11,650.09,683.0,650.09,676.59,644.23,214562
2019-03-12,684.0,691.0,677.45,688.59,655.66,243120
2019-03-13,690.09,695.84,650.04,655.5,624.14,176427
2019-03-14,660.0,682.95,660.0,672.95,640.76,110075
2019-03-15,679.0,694.0,655.09,667.90,635.95,414754
2019-03-18,665.90,672.79,655.0,657.84,626.38,132115
2019-03-19,662.84,665.84,645.0,647.34,616.38,174748
2019-03-20,651.90,665.15,637.04,638.90,608.34,117634
