Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,227.47,228.0,225.14,226.83,185.56,48307
2019-01-02,227.13,230.85,225.26,226.16,185.01,99647
2019-01-03,226.16,227.25,221.25,221.43,181.14,148545
2019-01-04,222.0,224.25,220.5,221.66,181.33,107101
2019-01-07,224.25,226.05,221.25,221.81,181.45,47878
2019-01-08,221.25,232.87,220.72,231.26,189.18,349554
2019-01-09,232.5,233.62,225.89,228.82,187.18,123867
2019-01-10,230.02,230.02,222.18,223.61,182.92,103211
2019-01-11,224.25,227.25,221.62,223.16,182.55,140767
2019-01-14,222.07,225.0,221.32,222.89,182.34,83858
2019-01-15,222.75,229.83,222.75,228.78,187.15,141365
2019-01-16,229.35,232.38,227.96,230.17,188.29,102846
2019-01-17,230.25,249.0,230.25,234.30,191.66,1559171
2019-01-18,234.67,236.17,228.0,229.61,187.83,182618
2019-01-21,229.5,238.05,225.75,234.82,192.09,291010
2019-01-22,234.82,241.72,232.5,237.63,194.39,178618
2019-01-23,236.62,244.12,236.62,241.01,197.15,253490
2019-01-24,243.67,243.67,237.48,240.75,196.94,92090
2019-01-25,241.31,243.75,234.44,238.72,195.28,155657
2019-01-28,239.62,241.5,231.86,237.14,193.99,175771
2019-01-29,236.25,238.94,234.14,237.71,194.46,53953
2019-01-30,235.80,261.0,235.80,245.73,201.02,82658
2019-01-31,241.94,245.36,239.17,240.78,196.97,59911
2019-02-01,240.07,247.5,238.98,244.94,200.38,196423
2019-02-04,243.67,246.75,242.25,243.75,199.39,65411
2019-02-05,243.0,245.96,242.58,244.01,199.61,35482
2019-02-06,248.25,249.30,237.82,244.91,200.35,351934
2019-02-07,244.91,249.30,244.61,246.63,201.76,212858
2019-02-08,246.18,253.08,243.44,250.16,204.64,187525
2019-02-11,249.03,250.16,241.80,244.46,199.98,167791
2019-02-12,244.46,250.83,243.75,247.72,202.65,94527
2019-02-14,252.0,252.82,244.16,249.44,204.06,80986
2019-02-15,249.30,252.75,243.82,247.38,202.37,235190
2019-02-18,247.38,247.5,242.28,244.76,200.22,64849
2019-02-19,247.5,252.75,243.97,251.17,205.47,180786
2019-02-20,251.21,264.75,251.13,258.48,211.45,654657
2019-02-21,260.25,263.25,252.03,253.83,207.65,617526
2019-02-22,252.0,257.66,251.36,252.67,206.70,74406
2019-02-25,254.51,258.75,252.93,256.16,209.55,410346
2019-02-26,254.25,259.87,251.13,257.25,210.44,657167
2019-02-27,257.39,261.37,250.72,252.71,206.73,532141
2019-02-28,253.5,256.76,251.32,253.57,207.43,119305
2019-03-01,255.37,258.67,253.12,254.96,208.57,434411
2019-03-05,254.17,260.25,254.13,255.18,208.75,149405
2019-03-06,255.75,258.0,251.39,252.30,206.39,129287
2019-03-07,254.66,257.10,252.22,254.21,207.95,85882
2019-03-08,255.0,255.0,247.5,248.28,203.11,85994
2019-03-11,247.5,250.27,247.5,249.33,203.96,310738
2019-03-12,251.10,254.06,247.5,248.77,203.50,102191
2019-03-13,250.27,251.62,243.75,246.60,201.73,259105
2019-03-14,246.93,250.5,245.66,247.68,202.62,97425
2019-03-15,249.60,249.75,238.5,241.83,197.83,104223
2019-03-18,242.88,244.08,240.0,240.71,196.91,68769
2019-03-19,240.75,245.73,238.87,241.5,197.55,146267
2019-03-20,242.92,250.83,242.25,247.57,202.52,301002
2019-03-22,249.86,255.75,247.68,249.30,203.93,156435
2019-03-25,247.5,249.0,243.93,245.51,200.84,123865
2019-03-26,244.80,250.31,244.53,247.98,202.86,108983
2019-03-27,248.62,254.25,248.62,253.38,207.28,128395
2019-03-28,255.0,259.95,250.12,251.36,205.62,246319
2019-04-01,255.0,258.14,254.96,256.04,209.46,81194
