Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,30.64,31.0,30.39,30.75,29.95,51057
2019-01-02,30.70,31.70,30.60,31.04,30.24,69402
2019-01-03,31.0,31.25,30.64,30.75,29.95,45551
2019-01-04,30.79,31.5,30.5,31.29,30.49,81428
2019-01-07,31.04,31.39,30.54,30.64,29.86,30124
2019-01-08,30.64,31.0,30.5,30.89,30.10,36582
2019-01-09,30.95,30.95,30.14,30.29,29.51,65158
2019-01-10,30.29,30.60,30.14,30.29,29.51,61492
2019-01-11,30.25,30.70,30.10,30.14,29.37,80657
2019-01-14,30.04,30.25,28.75,29.04,28.30,169172
2019-01-15,29.29,29.70,28.85,29.5,28.73,88760
2019-01-16,29.39,31.14,29.20,30.20,29.42,165321
2019-01-17,30.25,30.39,30.0,30.20,29.42,48267
2019-01-18,30.14,31.10,29.95,30.85,30.05,123241
2019-01-21,30.0,31.0,30.0,30.29,29.51,59509
2019-01-22,30.20,30.54,29.54,30.04,29.27,84615
2019-01-23,30.39,30.89,29.70,29.89,29.12,75713
2019-01-24,32.79,32.84,31.39,32.84,32.00,528759
2019-01-25,33.5,33.90,31.10,31.64,30.83,402835
2019-01-28,32.0,34.79,29.79,33.95,33.07,512812
2019-01-29,34.70,37.29,32.54,37.29,36.33,1209878
2019-01-30,37.09,40.20,36.84,39.29,38.28,805510
2019-01-31,40.0,40.45,37.34,39.25,38.23,604975
2019-02-01,39.90,39.90,37.29,37.59,36.63,194072
2019-02-04,37.59,37.59,35.75,35.75,34.82,143727
2019-02-05,35.09,36.65,34.0,34.15,33.26,148268
2019-02-06,33.90,35.84,33.70,35.65,34.73,151223
2019-02-07,35.04,36.20,34.09,34.54,33.65,92138
2019-02-08,34.5,34.5,33.04,33.90,33.02,60154
2019-02-11,33.20,34.09,33.20,33.54,32.68,67335
2019-02-12,33.84,34.75,33.59,34.25,33.36,97591
2019-02-14,33.70,34.29,33.20,33.54,32.68,53572
2019-02-15,33.45,34.0,33.0,33.59,32.73,62351
2019-02-18,33.90,33.90,32.5,32.65,31.80,69146
2019-02-19,33.0,34.0,32.09,33.04,32.19,86749
2019-02-20,33.0,34.0,33.0,33.54,32.68,82367
2019-02-21,33.5,34.59,33.5,34.29,33.41,64029
2019-02-22,33.90,35.79,33.90,35.40,34.48,98994
2019-02-25,35.95,37.15,35.5,37.15,36.19,250642
2019-02-26,36.90,38.5,35.40,37.79,36.82,318017
2019-02-27,37.5,39.40,36.5,37.20,36.24,406312
2019-02-28,36.79,37.79,36.79,37.0,36.04,86726
2019-03-01,36.90,38.79,36.70,37.34,36.38,234833
2019-03-05,36.65,38.0,36.65,37.79,36.82,135465
2019-03-06,38.70,38.70,37.54,37.65,36.67,134913
2019-03-07,38.0,39.20,37.20,37.90,36.92,283608
2019-03-08,38.0,38.34,37.0,37.20,36.24,124254
2019-03-11,37.75,37.75,36.5,36.95,35.99,122863
2019-03-12,37.25,38.5,36.90,37.5,36.53,166297
2019-03-13,37.25,37.5,37.0,37.29,36.33,82669
2019-03-14,37.79,37.79,36.95,37.04,36.09,63247
2019-03-15,36.54,38.0,36.54,37.59,36.63,148760
2019-03-18,38.59,38.59,37.09,37.20,36.24,57447
2019-03-19,36.95,37.34,36.59,36.70,35.75,109221
2019-03-20,36.70,37.75,36.45,37.25,36.28,56397
2019-03-22,36.70,37.5,36.5,36.75,35.80,64998
2019-03-25,36.0,38.5,34.95,35.0,34.09,309407
2019-03-26,35.15,36.70,35.15,36.20,35.26,112947
2019-03-27,36.04,37.59,36.04,37.0,36.04,240866
2019-03-28,37.0,38.5,36.59,37.54,36.58,199483
2019-04-01,37.09,38.20,37.04,37.70,36.72,151743
2019-04-02,37.09,38.20,36.95,37.25,36.28,172346
2019-04-03,37.25,37.70,36.0,36.75,35.80,144066
2019-04-04,36.29,38.0,35.65,37.25,36.28,285239
2019-04-05,38.0,39.90,37.20,39.59,38.57,616886
2019-04-08,39.5,43.54,39.45,43.45,42.33,1575318
2019-04-09,44.0,45.59,42.90,44.0,42.86,875242
2019-04-10,45.95,48.40,45.54,48.34,47.10,2474366
2019-04-11,49.0,49.0,45.95,45.95,44.76,804517
2019-04-12,43.70,46.5,43.70,43.70,42.57,975115
2019-04-15,43.90,43.90,41.54,41.59,40.52,430456
2019-04-16,41.79,43.65,41.79,42.84,41.74,341089
2019-04-18,44.45,44.45,41.15,42.34,41.25,169238
2019-04-22,42.45,43.5,41.45,42.29,41.20,301884
2019-04-23,42.09,42.45,40.70,42.09,41.01,83616
2019-04-24,42.04,42.40,41.59,42.0,40.91,166811
2019-04-25,42.0,42.29,41.59,41.79,40.72,157354
2019-04-26,41.79,43.25,41.70,42.5,41.40,235264
2019-04-30,42.25,43.25,41.59,42.0,40.91,206035
2019-05-02,42.34,44.09,41.75,44.09,42.96,430386
2019-05-03,45.25,45.25,42.0,42.04,40.96,375040
2019-05-06,41.5,41.95,39.95,39.95,38.92,216886
2019-05-07,39.20,39.90,38.0,38.15,37.16,204864
2019-05-08,37.20,38.95,36.95,38.5,37.50,167927
2019-05-09,38.5,40.29,38.5,39.40,38.38,136904
2019-05-10,38.65,41.34,38.65,41.25,40.18,271435
2019-05-13,42.59,43.29,40.20,43.29,42.18,505450
2019-05-14,43.29,45.45,42.25,45.34,44.18,837309
2019-05-15,45.54,47.59,45.29,47.59,46.37,812265
2019-05-16,48.40,49.45,46.0,47.45,46.22,693394
2019-05-17,47.5,47.79,46.09,46.75,45.54,521124
2019-05-20,47.95,47.95,45.54,46.65,45.44,313008
2019-05-21,47.09,47.25,45.79,46.0,44.81,282592
2019-05-22,46.0,46.0,44.59,45.79,44.61,183200
2019-05-23,46.0,46.70,44.15,45.95,44.76,557976
2019-05-24,45.54,47.75,45.5,46.59,45.39,367408
2019-05-27,46.54,47.5,45.90,47.04,45.83,152716
2019-05-28,47.04,47.75,45.54,46.0,44.81,346035
2019-05-29,46.0,48.29,45.5,48.20,46.95,527098
2019-05-30,48.95,50.59,48.90,50.59,49.29,795189
2019-05-31,52.20,53.09,50.29,53.09,51.73,1624229
2019-06-03,53.0,55.75,52.84,55.75,54.31,1250624
2019-06-04,56.70,58.5,56.65,58.5,56.99,603048
2019-06-06,60.65,61.34,55.75,59.29,57.77,2045217
2019-06-07,59.29,61.0,56.79,59.29,57.77,821604
2019-06-10,59.79,62.25,57.90,62.25,60.64,979302
2019-06-11,63.40,65.0,62.90,64.69,63.03,751256
2019-06-12,65.05,66.5,63.70,64.84,63.17,767631
2019-06-13,64.0,64.69,61.65,61.79,60.20,618636
2019-06-14,62.79,62.79,58.75,58.75,57.23,252746
2019-06-17,56.09,57.90,55.84,55.84,54.41,567776
2019-06-18,53.65,58.59,53.65,58.59,57.08,311336
2019-06-19,60.0,61.5,60.0,61.5,59.91,145467
