Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,208.0,209.19,204.14,206.94,205.45,20041
2019-01-02,205.0,209.39,202.80,205.19,203.72,25569
2019-01-03,207.0,207.94,199.64,200.10,198.65,503932
2019-01-04,200.85,203.0,198.05,200.44,199.00,50957
2019-01-07,202.80,202.80,197.60,201.05,199.60,32629
2019-01-08,201.44,218.94,201.14,213.64,212.10,187423
2019-01-09,213.05,221.94,212.19,218.80,217.22,87711
2019-01-10,218.80,222.19,215.05,221.10,219.50,39045
2019-01-11,223.89,224.64,216.05,220.30,218.71,40097
2019-01-14,220.35,220.75,214.05,215.25,213.69,8976
2019-01-15,216.5,218.89,215.19,215.89,214.34,11857
2019-01-16,217.44,226.44,213.0,222.25,220.64,98398
2019-01-17,225.0,226.85,220.0,222.30,220.69,23089
2019-01-18,221.25,224.60,215.19,216.19,214.64,20565
2019-01-21,216.05,220.39,212.39,216.0,214.44,25178
2019-01-22,219.19,219.44,210.0,213.10,211.56,36826
2019-01-23,213.69,216.35,210.60,213.05,211.51,25358
2019-01-24,216.39,216.39,178.94,183.5,182.17,1196975
2019-01-25,184.0,191.69,184.0,186.89,185.55,237784
2019-01-28,184.64,189.89,173.0,180.0,178.70,112324
2019-01-29,180.0,182.14,176.0,179.35,178.05,28328
2019-01-30,181.0,181.0,175.55,177.10,175.82,51506
2019-01-31,177.64,179.0,155.80,160.35,159.19,120879
2019-02-01,161.0,167.55,158.10,160.64,159.49,150799
2019-02-04,162.19,162.19,142.14,148.89,147.82,514690
2019-02-05,154.0,154.0,140.5,144.5,143.45,159149
2019-02-06,143.94,153.89,141.0,152.10,151.00,81875
2019-02-07,150.55,157.80,148.39,153.80,152.69,193216
2019-02-08,151.94,154.19,148.25,151.14,150.06,75525
2019-02-11,150.05,152.85,146.10,149.39,148.32,25433
2019-02-12,145.14,154.0,138.05,140.89,139.88,94909
2019-02-14,139.5,139.94,136.05,137.30,136.31,37986
2019-02-15,139.44,148.89,135.5,137.10,136.11,48278
2019-02-18,138.60,138.60,116.15,117.40,116.55,690876
2019-02-19,117.40,133.5,115.0,127.75,126.82,965804
2019-02-20,128.80,153.30,127.25,153.30,152.19,831891
2019-02-21,154.85,178.39,150.0,160.80,159.64,1888719
2019-02-22,159.0,167.69,155.0,164.64,163.46,421093
2019-02-25,162.35,169.94,157.44,159.30,158.15,178183
2019-02-26,157.80,159.69,151.0,157.44,156.31,218281
2019-02-27,162.44,165.0,150.10,151.85,150.75,197464
2019-02-28,152.19,157.25,152.19,155.89,154.77,99513
2019-03-01,159.0,167.0,155.05,164.60,163.41,202204
2019-03-05,164.05,186.89,160.5,184.39,183.07,329460
2019-03-06,184.39,200.0,178.80,188.55,187.19,211849
2019-03-07,191.05,191.89,176.0,180.89,179.59,108668
2019-03-08,180.10,181.75,169.0,171.0,169.76,75680
2019-03-11,171.0,176.89,171.0,172.69,171.45,84838
2019-03-12,172.69,193.39,172.69,181.05,179.74,117589
2019-03-13,181.5,183.5,176.10,180.25,178.95,42950
2019-03-14,180.05,182.80,177.5,178.64,177.36,70295
2019-03-15,178.05,179.94,171.0,178.44,177.16,404578
2019-03-18,175.0,182.89,175.0,177.60,176.31,386641
2019-03-19,177.05,178.60,172.10,173.55,172.29,31244
2019-03-20,174.39,175.0,167.0,167.75,166.54,495290
2019-03-22,168.60,178.69,165.0,166.10,164.90,32744
2019-03-25,168.89,168.89,158.80,160.64,159.49,43245
2019-03-26,160.0,169.80,154.35,165.39,164.20,157992
2019-03-27,165.44,172.0,160.94,170.10,168.87,108166
2019-03-28,170.64,171.69,166.35,168.89,167.68,44179
2019-04-01,169.89,173.25,169.85,171.10,169.86,60072
2019-04-02,172.75,172.75,164.30,169.0,167.78,239933
2019-04-03,170.0,172.89,166.14,168.39,167.18,48683
2019-04-04,170.39,170.89,166.30,168.25,167.03,108216
2019-04-05,168.44,172.39,166.5,169.94,168.72,59130
2019-04-08,171.55,176.0,169.80,174.89,173.63,111421
2019-04-09,172.94,174.85,170.85,172.5,171.25,26224
2019-04-10,171.0,184.85,169.0,183.39,182.07,269355
2019-04-11,183.05,195.39,182.55,189.94,188.58,528836
2019-04-12,189.5,191.19,182.75,183.80,182.47,57137
2019-04-15,182.05,185.44,182.0,182.94,181.63,21814
2019-04-16,184.10,191.69,180.80,187.5,186.14,42835
2019-04-18,190.75,191.55,187.0,188.89,187.53,54844
2019-04-22,188.0,188.94,183.5,186.14,184.80,65462
2019-04-23,195.0,206.0,180.19,182.5,181.18,2384905
2019-04-24,181.30,190.94,181.10,188.75,187.38,409168
2019-04-25,189.94,190.69,184.10,186.14,184.80,122554
2019-04-26,189.69,189.69,184.5,187.60,186.24,133313
2019-04-30,186.0,194.89,185.55,190.0,188.63,186080
2019-05-02,186.10,193.39,186.10,190.60,189.22,85846
2019-05-03,192.94,193.5,189.80,192.0,190.61,83634
2019-05-06,190.0,196.05,186.89,193.25,191.85,103148
2019-05-07,193.60,193.75,184.5,185.0,183.66,128450
2019-05-08,185.05,186.64,170.0,173.25,172.00,98865
2019-05-09,171.60,179.75,171.05,175.30,174.03,102294
2019-05-10,179.75,182.69,174.39,180.94,179.64,109906
2019-05-13,182.39,184.89,179.80,182.94,181.63,42495
2019-05-14,179.10,187.94,179.10,187.14,185.80,59472
