Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,232.25,235.89,230.10,232.5,214.99,30648
2019-01-02,231.0,233.94,230.5,231.25,213.84,20183
2019-01-03,233.39,233.89,228.44,231.10,213.70,96549
2019-01-04,230.44,232.5,224.0,229.25,211.99,159993
2019-01-07,229.75,231.80,228.35,228.80,211.57,42701
2019-01-08,228.5,230.05,225.80,228.25,211.06,136406
2019-01-09,228.25,234.44,228.25,232.19,214.72,35063
2019-01-10,232.0,236.0,231.94,233.94,216.33,50409
2019-01-11,232.89,241.94,231.55,238.0,220.08,323759
2019-01-14,237.75,242.0,227.75,228.64,211.43,80548
2019-01-15,229.0,237.80,229.0,236.39,218.60,46762
2019-01-16,236.39,238.25,234.05,236.5,218.69,47927
2019-01-17,236.5,240.80,231.14,232.85,215.32,107384
2019-01-18,232.89,236.94,232.89,235.0,217.30,17368
2019-01-21,235.0,238.94,230.14,234.05,216.43,36145
2019-01-22,219.80,229.0,219.80,221.94,205.24,166085
2019-01-23,220.05,227.80,219.0,224.30,207.41,99664
2019-01-24,224.30,227.0,219.5,220.39,203.80,57629
2019-01-25,224.0,228.25,220.10,225.69,208.70,222444
2019-01-28,226.0,236.94,220.30,222.75,205.98,501401
2019-01-29,220.30,224.55,220.30,222.35,205.61,27098
2019-01-30,220.55,225.0,220.0,221.55,204.87,42177
2019-01-31,223.44,228.0,221.5,224.64,208.68,210235
2019-02-01,224.0,230.44,223.80,226.5,210.39,60817
2019-02-04,225.39,226.19,222.0,222.64,206.82,20381
2019-02-05,222.0,226.14,221.80,224.44,208.49,78656
2019-02-06,223.0,227.5,219.44,222.60,206.77,286239
2019-02-07,222.19,226.19,219.55,221.25,205.52,140260
2019-02-08,220.0,223.69,219.75,222.64,206.82,35173
2019-02-11,221.60,221.60,215.80,217.60,202.13,76867
2019-02-12,217.60,220.0,209.60,216.89,201.48,118458
2019-02-14,215.94,215.94,207.0,211.64,196.60,96467
2019-02-15,212.5,215.0,209.19,212.75,197.62,19749
2019-02-18,212.75,213.94,202.55,205.64,191.03,125397
2019-02-19,209.69,222.0,207.05,215.44,200.13,119690
2019-02-20,215.44,215.85,209.14,211.14,196.14,41712
2019-02-21,211.14,213.0,206.14,206.5,191.82,62891
2019-02-22,208.0,209.89,206.10,206.85,192.14,28197
2019-02-25,206.85,213.19,200.30,206.64,191.96,1109547
2019-02-26,205.19,208.44,201.35,207.0,192.28,54004
2019-02-27,209.5,210.0,201.0,201.39,187.08,1330545
2019-02-28,201.89,204.25,199.89,201.69,187.36,94873
2019-03-01,201.69,205.39,200.35,201.19,186.89,71965
2019-03-05,202.94,206.80,200.0,205.25,190.65,113339
2019-03-06,206.19,215.69,206.19,211.55,196.51,120041
2019-03-07,214.69,219.44,208.39,217.55,202.08,147732
2019-03-08,223.44,223.75,217.0,219.10,203.52,298544
2019-03-11,218.0,222.10,215.89,220.19,204.54,128584
2019-03-12,220.19,224.89,220.0,222.85,207.00,84453
2019-03-13,222.85,223.85,214.55,215.80,200.46,79654
2019-03-14,215.80,217.30,212.0,215.0,199.71,44200
2019-03-15,215.94,240.0,215.94,230.39,214.02,185556
2019-03-18,234.94,237.19,229.0,230.05,213.69,125295
2019-03-19,227.5,236.0,226.5,230.89,214.48,104654
2019-03-20,233.94,233.94,229.89,230.05,213.69,28249
2019-03-22,230.05,232.89,227.85,230.85,214.44,45235
2019-03-25,228.0,229.39,225.35,227.55,211.37,171121
2019-03-26,227.55,231.0,227.55,230.0,213.65,146945
2019-03-27,231.10,238.0,229.0,233.19,216.62,56355
2019-03-28,232.0,235.89,232.0,233.39,216.80,31344
2019-04-01,233.0,234.30,229.55,230.60,214.20,56281
2019-04-02,230.60,234.89,230.0,232.89,216.34,32748
2019-04-03,232.89,234.64,229.55,230.10,213.74,28963
2019-04-04,230.10,234.60,229.55,231.19,214.76,56862
2019-04-05,236.5,248.69,229.55,230.89,214.48,243058
2019-04-08,232.80,235.60,230.0,231.30,214.85,87086
2019-04-09,231.30,234.69,231.0,233.85,217.22,49134
2019-04-10,233.80,234.80,230.0,230.25,213.88,90724
2019-04-11,230.0,233.5,229.89,230.35,213.97,30433
2019-04-12,232.44,233.64,230.5,231.64,215.18,41642
2019-04-15,231.05,235.0,231.05,233.89,217.27,37748
2019-04-16,233.85,242.80,232.5,241.30,224.14,86136
2019-04-18,241.0,243.80,235.0,238.10,221.17,33522
2019-04-22,236.0,237.10,230.35,231.89,215.41,28673
2019-04-23,231.89,233.94,230.10,231.14,214.71,21519
2019-04-24,232.89,235.75,232.5,233.60,216.99,25010
2019-04-25,233.60,233.60,231.0,232.10,215.60,18046
2019-04-26,232.25,234.25,230.0,231.05,214.62,11897
2019-04-30,232.0,236.39,230.25,234.64,217.97,48216
2019-05-02,252.89,253.0,241.94,246.25,228.74,328034
2019-05-03,246.0,256.5,244.85,246.10,228.60,185757
2019-05-06,243.80,248.35,235.35,239.05,222.05,52842
2019-05-07,235.05,244.0,235.05,242.5,225.26,34445
2019-05-08,239.10,249.5,239.0,247.55,229.95,84180
2019-05-09,246.55,252.85,245.0,246.89,229.34,52783
2019-05-10,246.25,252.0,241.0,242.14,224.93,36406
2019-05-13,241.80,243.0,236.55,237.64,220.75,57152
2019-05-14,237.64,244.75,235.89,242.89,225.63,33885
2019-05-15,242.0,248.80,241.19,247.10,229.53,60250
2019-05-16,246.94,248.05,245.30,246.5,228.97,16949
2019-05-17,246.5,248.0,245.35,247.10,229.53,13551
2019-05-20,248.0,250.55,244.69,245.89,228.42,59920
2019-05-21,245.44,250.5,245.0,249.19,231.48,26934
2019-05-22,248.89,249.0,245.0,245.80,228.32,28841
2019-05-23,246.0,249.39,245.0,245.0,227.58,14313
2019-05-24,245.0,247.0,244.55,245.10,227.67,28959
2019-05-27,245.89,247.0,244.64,245.5,228.04,22544
2019-05-28,245.75,249.89,243.85,247.80,230.18,72526
2019-05-29,247.80,249.89,245.10,245.80,228.32,18721
2019-05-30,245.80,249.5,245.39,248.19,230.55,15100
2019-05-31,247.69,254.85,246.69,250.0,232.22,68322
2019-06-03,249.75,253.89,244.44,251.89,233.99,48725
2019-06-04,250.5,254.94,250.0,254.0,235.94,32141
2019-06-06,251.0,254.5,250.0,250.10,232.32,12281
2019-06-07,253.39,253.89,250.0,251.5,233.62,22948
2019-06-10,254.0,254.0,250.5,251.80,233.90,19482
2019-06-11,256.0,271.35,255.30,260.35,241.84,372716
2019-06-12,260.0,260.35,253.5,255.69,237.52,42720
2019-06-13,259.89,259.89,254.10,255.44,237.29,37849
2019-06-14,252.25,257.0,252.14,256.0,237.80,435227
2019-06-17,259.0,259.04,250.0,250.80,232.97,32426
2019-06-18,249.5,255.5,247.55,251.64,233.76,64970
2019-06-19,251.64,253.89,250.05,251.05,233.20,65670
2019-06-20,251.05,255.64,246.94,254.0,235.94,188909
2019-06-21,252.05,257.0,252.05,255.19,237.05,36779
2019-06-24,255.19,260.95,253.5,259.89,241.42,23101
2019-06-25,261.95,266.0,258.14,264.25,245.46,46984
2019-06-26,263.89,267.85,258.0,258.60,240.21,23723
2019-06-27,258.60,260.95,255.0,255.14,237.01,39567
2019-06-28,255.14,264.5,255.14,258.5,240.12,52259
2019-07-01,258.95,260.60,253.80,255.14,237.01,23061
2019-07-02,256.89,258.0,251.60,255.75,237.57,22168
2019-07-03,254.10,260.20,254.10,256.35,238.12,42362
2019-07-04,255.0,257.0,253.5,256.20,237.98,45820
2019-07-05,255.10,261.0,254.5,256.04,237.84,42990
2019-07-08,257.25,257.25,252.0,253.55,235.52,39843
2019-07-09,252.0,253.5,249.44,250.19,232.41,20305
2019-07-10,250.0,255.0,242.80,250.64,232.83,34430
2019-07-11,252.0,252.0,242.55,243.89,226.56,32277
2019-07-12,244.0,249.0,241.19,248.44,230.78,19467
2019-07-15,249.0,249.94,241.89,242.5,225.26,14616
2019-07-16,242.0,246.0,238.39,244.85,227.44,18712
