Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,2735.0,2743.39,2705.0,2726.64,2235.73,304150
2019-01-02,2720.0,2747.25,2677.0,2692.0,2207.32,599274
2019-01-03,2690.10,2723.85,2682.10,2701.35,2214.99,310511
2019-01-04,2714.0,2742.0,2702.10,2734.19,2241.92,362393
2019-01-07,2739.89,2740.0,2645.0,2658.55,2179.89,462215
2019-01-08,2667.0,2700.0,2635.5,2694.85,2209.66,486654
2019-01-09,2702.5,2710.0,2672.5,2696.89,2211.34,285560
2019-01-10,2700.0,2729.0,2680.0,2725.30,2234.62,277585
2019-01-11,2728.0,2738.69,2700.85,2720.94,2231.06,259834
2019-01-14,2718.0,2747.19,2676.44,2699.14,2213.18,170937
2019-01-15,2705.0,2734.80,2705.0,2725.85,2235.07,169721
2019-01-16,2736.0,2736.0,2706.0,2717.44,2228.19,218357
2019-01-17,2722.0,2739.80,2700.80,2729.64,2238.19,230784
2019-01-18,2741.0,2746.5,2696.64,2720.75,2230.89,269686
2019-01-21,2724.75,2724.75,2670.0,2684.60,2201.25,303893
2019-01-22,2685.0,2695.0,2650.10,2688.35,2204.33,273441
2019-01-23,2699.0,2699.0,2665.10,2674.10,2192.64,205104
2019-01-24,2684.0,2684.0,2635.0,2651.64,2174.23,183566
2019-01-25,2622.30,2672.0,2614.05,2626.35,2153.49,304062
2019-01-28,2629.94,2634.0,2545.0,2565.55,2103.64,332409
2019-01-29,2563.0,2597.14,2522.44,2567.64,2105.36,424856
2019-01-30,2571.0,2653.35,2485.0,2499.69,2049.64,2450943
2019-01-31,2501.14,2570.0,2461.10,2554.55,2094.62,1102133
2019-02-01,2560.0,2670.0,2543.0,2602.75,2134.14,1028186
2019-02-04,2610.0,2672.39,2565.44,2642.5,2166.73,817279
2019-02-05,2647.0,2720.0,2645.0,2710.64,2222.61,469089
2019-02-06,2715.0,2785.0,2714.14,2770.14,2271.40,495030
2019-02-07,2785.0,2872.0,2772.14,2853.60,2339.82,983573
2019-02-08,2852.0,2879.10,2831.19,2851.39,2338.02,1004870
2019-02-11,2850.0,2870.0,2819.05,2853.60,2339.82,712787
2019-02-12,2845.60,2854.0,2819.5,2832.35,2322.40,280913
2019-02-14,2820.0,2875.0,2811.25,2823.10,2314.82,372416
2019-02-15,2825.14,2850.0,2805.05,2825.94,2317.15,867192
2019-02-18,2830.0,2835.0,2767.80,2793.5,2290.54,296237
2019-02-19,2801.0,2825.0,2777.5,2787.85,2285.91,185862
2019-02-20,2788.0,2798.0,2737.25,2774.69,2275.13,428139
2019-02-21,2770.0,2829.89,2751.69,2813.94,2307.31,281964
2019-02-22,2825.0,2847.0,2801.85,2816.85,2309.69,431535
2019-02-25,2817.0,2854.69,2816.89,2847.55,2334.86,322524
2019-02-26,2834.0,2870.0,2812.0,2859.30,2344.50,369292
2019-02-27,2870.0,2941.0,2870.0,2914.69,2389.92,861033
2019-02-28,2930.0,2933.80,2864.0,2900.60,2378.36,1246854
2019-03-01,2914.0,2943.0,2856.19,2863.5,2347.94,1008494
2019-03-05,2835.05,2917.39,2814.80,2903.75,2380.94,632301
2019-03-06,2895.64,2942.0,2876.25,2927.60,2400.50,748391
2019-03-07,2927.0,2927.0,2900.0,2919.89,2394.19,392086
2019-03-08,2910.0,2964.60,2900.05,2955.69,2423.54,754427
2019-03-11,2970.0,3012.0,2936.89,3000.55,2460.32,1147194
2019-03-12,3012.0,3020.80,2981.35,2996.10,2456.67,503545
2019-03-13,3002.0,3047.19,2990.0,3010.0,2468.07,565499
2019-03-14,3012.0,3025.0,2970.0,3016.85,2473.68,985558
2019-03-15,3002.10,3032.19,2980.0,3023.80,2479.38,538508
2019-03-18,3026.89,3047.80,2992.10,3005.14,2464.09,341148
2019-03-19,3008.0,3008.0,2945.0,2974.69,2439.12,545621
2019-03-20,2969.80,2969.80,2920.05,2949.64,2418.58,834351
2019-03-22,2960.0,2998.85,2930.05,2949.75,2418.66,622630
2019-03-25,2934.80,2965.60,2915.25,2957.94,2425.39,319510
2019-03-26,2961.05,2968.0,2939.0,2952.80,2421.16,322020
2019-03-27,2965.0,2995.0,2950.0,2980.10,2443.55,402423
2019-03-28,2989.0,3020.44,2915.0,2948.80,2417.88,1800550
2019-04-01,2947.94,2950.0,2901.5,2915.64,2390.70,679984
2019-04-02,2918.0,2938.35,2842.0,2853.10,2339.41,938624
2019-04-03,2860.0,2877.10,2831.0,2847.30,2334.66,484790
2019-04-04,2862.0,2884.05,2850.0,2859.10,2344.33,662281
2019-04-05,2869.64,2880.0,2852.25,2861.64,2346.42,272382
2019-04-08,2876.0,2876.0,2842.0,2853.35,2339.62,213351
2019-04-09,2860.0,2929.85,2838.0,2924.80,2398.20,492843
2019-04-10,2917.94,2952.0,2910.35,2942.89,2413.05,530788
2019-04-11,2940.89,3000.0,2939.0,2993.69,2454.70,400118
2019-04-12,2991.80,3025.94,2975.25,3008.14,2466.55,438822
2019-04-15,3013.0,3046.0,2992.0,3035.05,2488.60,271376
2019-04-16,3045.0,3074.89,3032.19,3068.44,2515.99,371767
2019-04-18,3069.0,3089.89,3041.19,3069.5,2516.85,365773
2019-04-22,3055.5,3079.0,3041.5,3051.19,2501.85,186563
2019-04-23,3050.0,3070.0,3010.69,3039.14,2491.97,360759
2019-04-24,3035.0,3082.85,3025.19,3075.80,2522.02,524013
2019-04-25,3073.94,3110.0,3027.60,3088.05,2532.06,509586
2019-04-26,3080.0,3095.0,3030.0,3044.64,2496.48,268298
2019-04-30,3045.0,3050.0,2942.89,2984.10,2446.83,654107
2019-05-02,2989.0,3040.0,2958.69,3030.55,2484.92,670855
2019-05-03,3028.0,3066.0,3020.0,3059.75,2508.86,446730
2019-05-06,3054.0,3054.0,3013.0,3026.19,2481.35,259117
2019-05-07,3026.0,3053.0,3021.30,3033.05,2486.97,244684
2019-05-08,3032.0,3033.0,2951.80,2957.75,2425.22,427476
2019-05-09,2950.0,2993.5,2932.30,2982.89,2445.84,348293
2019-05-10,2980.5,3008.0,2954.35,2966.19,2432.15,241374
2019-05-13,2970.35,2999.0,2947.25,2972.75,2437.52,233316
2019-05-14,2960.0,2969.0,2901.0,2937.19,2408.37,309971
2019-05-15,2937.25,2949.44,2901.35,2914.44,2389.72,320831
2019-05-16,2928.0,2958.44,2908.0,2942.64,2412.84,218733
2019-05-17,2950.0,3149.94,2935.14,3040.05,2492.70,1993105
2019-05-20,3087.94,3087.94,2951.0,3006.30,2465.03,1022048
2019-05-21,3014.0,3043.89,2969.05,2979.30,2442.89,447168
2019-05-22,2980.05,3054.0,2973.14,3047.19,2498.57,493470
2019-05-23,3075.0,3085.0,3028.69,3065.0,2513.16,576440
2019-05-24,3065.0,3098.89,3005.0,3077.89,2523.74,529984
2019-05-27,3085.10,3090.0,3031.0,3066.89,2514.72,341393
2019-05-28,3067.0,3108.35,2962.39,2988.0,2450.03,921394
2019-05-29,2990.0,2990.0,2920.0,2925.5,2398.78,531761
2019-05-30,2942.0,2980.0,2920.64,2945.0,2414.77,938395
2019-05-31,2953.0,2978.75,2915.30,2925.89,2399.11,376941
2019-06-03,2945.0,3077.94,2904.60,3034.60,2488.24,1302391
2019-06-04,3026.19,3029.30,2970.39,2983.89,2446.66,450220
2019-06-06,3002.0,3027.89,2960.0,2991.64,2453.02,481570
2019-06-07,2999.94,3006.64,2953.44,2961.39,2428.21,212676
2019-06-10,2976.0,2999.0,2963.60,2989.80,2451.50,155660
2019-06-11,3003.80,3025.0,2981.0,2987.14,2449.33,355284
2019-06-12,2991.0,2997.05,2931.30,2944.5,2414.36,273834
2019-06-13,2951.0,2955.0,2901.25,2922.64,2396.44,224615
2019-06-14,2927.0,2935.0,2865.0,2872.55,2355.36,353978
2019-06-17,2865.05,2870.0,2827.80,2836.19,2325.56,314402
2019-06-18,2837.0,2882.05,2837.0,2855.60,2341.46,308511
2019-06-19,2870.0,2884.0,2803.0,2822.89,2314.65,294638
2019-06-20,2837.89,2906.89,2806.14,2897.30,2375.66,301774
2019-06-21,2894.89,2910.89,2844.10,2875.55,2357.82,529699
2019-06-24,2855.0,2877.10,2801.19,2816.89,2309.73,434882
2019-06-25,2814.0,2853.94,2786.0,2843.69,2331.71,424591
2019-06-26,2839.94,2881.35,2814.0,2868.69,2352.21,265442
2019-06-27,2867.25,2909.89,2851.0,2865.85,2349.87,621516
2019-06-28,2865.0,2869.0,2817.30,2827.05,2318.05,303973
2019-07-01,2838.39,2920.14,2836.19,2911.94,2387.67,628760
2019-07-02,2919.0,2927.94,2864.0,2883.55,2364.38,334846
2019-07-03,2900.0,2910.0,2872.0,2897.75,2376.03,274468
2019-07-04,2900.0,2909.0,2877.0,2894.80,2373.61,249409
2019-07-05,2898.0,2918.0,2826.94,2842.55,2330.76,324849
2019-07-08,2827.55,2827.55,2746.60,2777.80,2277.67,363327
2019-07-09,2774.0,2796.5,2755.0,2786.39,2284.72,253454
2019-07-10,2790.0,2793.94,2720.55,2740.39,2247.00,378373
2019-07-11,2720.0,2724.5,2660.25,2711.69,2273.24,653802
2019-07-12,2720.0,2751.89,2693.35,2722.55,2282.34,298498
2019-07-15,2728.0,2754.0,2705.69,2714.0,2275.17,299859
2019-07-16,2710.0,2745.0,2678.0,2732.44,2290.64,315367
2019-07-17,2725.0,2735.75,2691.35,2696.89,2260.84,267305
2019-07-18,2700.0,2711.85,2621.10,2630.80,2205.42,365949
2019-07-19,2640.0,2654.94,2550.0,2558.25,2144.61,456542
2019-07-22,2560.0,2609.94,2514.44,2562.89,2148.50,407638
2019-07-23,2569.0,2570.0,2515.19,2523.85,2115.77,602971
2019-07-24,2523.85,2543.0,2482.0,2522.60,2114.72,481139
2019-07-25,2526.44,2567.89,2513.0,2547.0,2135.17,549808
2019-07-26,2547.0,2679.94,2506.25,2618.64,2195.24,2105536
2019-07-29,2590.0,2590.0,2451.0,2487.64,2085.42,1009207
2019-07-30,2490.0,2515.0,2445.44,2463.85,2065.47,784779
2019-07-31,2463.0,2536.0,2442.19,2516.5,2109.61,651778
2019-08-01,2485.05,2552.60,2473.60,2537.64,2127.34,625372
2019-08-02,2517.10,2618.0,2478.14,2600.55,2180.07,1021098
2019-08-05,2565.0,2642.64,2545.5,2619.75,2196.16,906097
2019-08-06,2600.0,2649.0,2592.89,2609.80,2187.82,765470
2019-08-07,2635.5,2635.5,2585.0,2605.10,2183.88,459833
2019-08-08,2612.0,2721.55,2602.05,2703.75,2266.58,592914
2019-08-09,2710.55,2741.5,2685.0,2707.60,2269.81,673080
2019-08-13,2699.94,2742.85,2642.60,2670.55,2238.75,706218
2019-08-14,2672.0,2757.0,2672.0,2713.89,2275.09,522580
2019-08-16,2712.05,2760.0,2661.35,2750.94,2306.15,600082
2019-08-19,2764.75,2773.0,2713.80,2725.5,2284.81,461203
2019-08-20,2730.0,2768.69,2718.55,2742.94,2299.44,537366
2019-08-21,2745.94,2771.5,2735.0,2764.80,2317.76,429633
2019-08-22,2762.0,2775.0,2731.30,2744.25,2300.53,428855
2019-08-23,2743.94,2765.0,2714.14,2749.14,2304.64,332505
2019-08-26,2794.69,2794.69,2686.0,2736.80,2294.29,577286
2019-08-27,2754.0,2798.39,2745.10,2766.5,2319.18,514940
2019-08-28,2760.0,2813.94,2750.55,2766.75,2319.39,479960
2019-08-29,2762.0,2786.75,2738.39,2757.80,2311.89,438739
2019-08-30,2766.10,2796.89,2726.14,2788.30,2337.46,391007
2019-09-03,2775.30,2805.10,2757.60,2764.19,2317.26,493182
2019-09-04,2774.39,2788.44,2725.0,2735.69,2293.36,340167
2019-09-05,2740.05,2775.44,2740.05,2759.19,2313.06,383992
2019-09-06,2772.89,2864.80,2745.5,2839.35,2380.25,1005180
2019-09-09,2809.0,2838.55,2797.0,2817.80,2362.19,471251
2019-09-11,2838.89,2920.44,2812.0,2908.39,2438.14,1253636
2019-09-12,2911.0,2911.39,2846.69,2852.19,2391.03,314580
2019-09-13,2860.0,2889.0,2855.0,2878.19,2412.82,355911
2019-09-16,2859.0,2887.69,2850.0,2874.44,2409.68,305963
2019-09-17,2874.80,2875.85,2762.55,2773.14,2324.76,439334
2019-09-18,2798.0,2819.0,2750.10,2777.05,2328.03,524048
2019-09-19,2773.0,2776.0,2721.44,2738.85,2296.00,228796
2019-09-20,2730.0,3020.10,2725.0,2929.25,2455.62,1423536
2019-09-23,2956.10,3027.14,2929.0,2995.14,2510.86,807027
2019-09-24,3001.0,3005.0,2929.19,2958.14,2479.85,479273
2019-09-25,2940.0,2965.0,2910.0,2941.0,2465.47,439376
2019-09-26,2942.0,2993.0,2935.0,2970.30,2490.03,647497
2019-09-27,2964.0,2989.55,2936.14,2957.5,2479.30,326785
2019-09-30,2960.10,2974.94,2902.5,2941.80,2466.14,384245
2019-10-01,2945.0,2977.69,2888.05,2910.0,2439.48,546876
2019-10-03,2915.0,2939.69,2882.5,2897.89,2429.34,292132
2019-10-04,2915.0,2935.0,2855.0,2863.55,2400.54,342652
2019-10-07,2859.89,2900.05,2854.94,2892.30,2424.64,276023
2019-10-09,2889.0,2915.0,2877.75,2891.85,2424.27,355878
2019-10-10,2881.0,2932.0,2865.0,2886.25,2419.57,313632
2019-10-11,2898.0,2925.0,2883.55,2898.80,2430.09,198610
2019-10-14,2889.10,2975.0,2888.0,2958.05,2479.76,367105
2019-10-15,2964.0,3029.89,2953.44,3011.94,2524.95,636441
2019-10-16,3035.0,3050.0,3015.25,3023.69,2534.80,572575
2019-10-17,3009.0,3140.0,2995.0,3111.5,2608.40,707480
2019-10-18,3119.0,3119.94,3075.0,3087.05,2587.90,398223
2019-10-22,3090.05,3154.39,3089.64,3122.30,2617.45,379635
2019-10-23,3122.39,3237.35,3095.0,3162.64,2651.28,2111842
2019-10-24,3165.0,3201.0,3143.44,3167.85,2655.64,656713
2019-10-25,3187.14,3187.14,3110.0,3129.64,2623.62,369730
2019-10-27,3159.0,3173.30,3135.14,3143.35,2635.10,72198
2019-10-29,3145.0,3198.64,3137.35,3180.75,2666.45,383452
2019-10-30,3199.39,3229.39,3173.10,3222.89,2701.79,572787
2019-10-31,3229.69,3255.0,3213.0,3247.35,2722.29,446046
2019-11-01,3250.0,3289.0,3190.0,3232.64,2709.96,748062
2019-11-04,3236.0,3248.25,3181.30,3212.05,2692.69,330025
2019-11-05,3225.0,3255.69,3191.14,3246.30,2721.41,305513
