Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,2645.0,2664.0,2612.10,2656.85,2609.81,917872
2019-01-02,2635.10,2662.0,2601.89,2614.05,2567.77,1304915
2019-01-03,2612.0,2648.0,2575.30,2586.19,2540.41,1282478
2019-01-04,2601.0,2611.89,2563.64,2576.05,2530.44,1051021
2019-01-07,2601.0,2605.0,2545.35,2553.60,2508.39,1024328
2019-01-08,2560.0,2582.0,2525.05,2537.05,2492.13,1233379
2019-01-09,2546.0,2559.80,2510.0,2524.35,2479.65,1093992
2019-01-10,2526.0,2542.44,2504.69,2514.64,2470.13,910839
2019-01-11,2516.0,2530.0,2488.0,2514.19,2469.68,818218
2019-01-14,2515.94,2552.89,2484.14,2544.80,2499.74,1021504
2019-01-15,2551.0,2613.0,2551.0,2604.19,2558.09,1466303
2019-01-16,2598.39,2612.14,2562.80,2569.85,2524.35,952597
2019-01-17,2574.0,2586.55,2527.05,2535.89,2491.00,994183
2019-01-18,2545.0,2555.0,2525.10,2542.89,2497.88,753775
2019-01-21,2548.0,2606.0,2526.60,2594.19,2548.27,1332159
2019-01-22,2585.0,2635.0,2575.0,2621.89,2575.48,1474713
2019-01-23,2619.0,2653.0,2611.0,2634.35,2587.71,992504
2019-01-24,2639.0,2653.5,2603.10,2635.64,2588.98,753856
2019-01-25,2649.0,2661.0,2585.0,2599.55,2553.52,916927
2019-01-28,2610.0,2610.0,2355.0,2458.5,2414.97,2364047
2019-01-29,2468.0,2570.10,2371.64,2515.55,2471.01,6118833
2019-01-30,2580.0,2623.69,2546.0,2595.5,2549.54,3879707
2019-01-31,2608.0,2608.0,2526.0,2574.85,2529.26,2083418
2019-02-01,2575.0,2687.89,2575.0,2628.39,2581.86,2117768
2019-02-04,2610.0,2623.55,2572.19,2594.44,2548.51,942113
2019-02-05,2600.0,2642.10,2593.94,2603.60,2557.50,1010817
2019-02-06,2619.0,2720.0,2612.10,2711.25,2663.25,1798461
2019-02-07,2725.0,2731.0,2684.10,2696.60,2648.85,1760580
2019-02-08,2670.0,2737.44,2670.0,2707.14,2659.22,1510785
2019-02-11,2724.69,2724.69,2635.0,2657.19,2610.15,1194702
2019-02-12,2668.0,2677.14,2616.30,2621.80,2575.38,1200370
