Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,361.04,369.29,360.0,367.20,275.26,1552711
2019-01-02,366.0,366.0,346.75,357.95,268.32,9862795
2019-01-03,352.0,354.79,348.14,352.5,264.24,4986130
2019-01-04,351.79,361.70,351.5,359.45,269.45,3858610
2019-01-07,360.0,362.79,354.0,355.54,266.52,2895410
2019-01-08,355.10,355.89,350.04,351.95,263.83,2171045
2019-01-09,351.0,351.5,338.0,340.04,254.91,4565866
2019-01-10,336.89,338.75,333.0,335.60,251.57,4886802
2019-01-11,336.0,339.70,334.54,337.29,252.84,2334810
2019-01-14,338.89,339.85,331.54,334.95,251.08,3758311
2019-01-15,336.89,343.35,336.20,341.70,256.14,3456956
2019-01-16,345.39,349.0,342.35,347.25,260.30,4781001
2019-01-17,347.10,357.0,346.04,355.20,266.26,3949498
2019-01-18,353.89,357.70,351.29,354.20,265.51,2504157
2019-01-21,351.10,355.70,348.29,351.54,263.53,1942818
2019-01-22,351.5,357.60,351.04,353.79,265.21,2343970
2019-01-23,354.5,358.64,354.39,357.14,267.72,1986513
2019-01-24,357.14,360.25,352.25,353.95,265.33,1647059
2019-01-25,355.0,360.35,355.0,357.45,267.95,1934416
2019-01-28,357.0,357.89,346.20,348.70,261.39,1451374
2019-01-29,348.10,353.45,340.70,344.89,258.54,3099307
2019-01-30,344.5,344.79,336.5,342.70,256.89,2782631
2019-01-31,340.75,351.0,338.10,345.45,258.95,7819453
2019-02-01,347.20,348.70,338.39,341.0,255.62,2722370
2019-02-04,340.0,341.95,336.04,338.54,253.78,2154768
2019-02-05,338.5,340.29,336.60,337.95,253.33,1292066
2019-02-06,337.95,341.39,336.70,339.29,254.34,2095411
2019-02-07,339.75,342.04,337.89,339.39,254.42,1524023
2019-02-08,340.29,346.79,335.04,337.39,252.92,3341371
2019-02-11,333.0,337.5,328.0,333.60,250.07,3314948
2019-02-12,334.0,343.5,334.0,339.29,254.34,3040248
2019-02-14,326.10,328.20,312.04,315.64,236.61,10644570
2019-02-15,318.0,329.0,318.0,327.85,245.76,6707128
2019-02-18,322.54,330.10,322.54,327.75,245.68,3952632
2019-02-19,326.0,338.79,325.54,335.25,251.31,3833168
2019-02-20,338.0,344.75,336.10,341.10,255.69,6282741
2019-02-21,328.0,337.64,326.25,335.29,259.72,4676884
2019-02-22,337.0,347.0,335.70,344.20,266.61,4854900
2019-02-25,345.0,345.25,334.25,336.04,260.30,7015596
2019-02-26,336.04,337.95,329.25,336.64,260.77,4529397
2019-02-27,338.0,341.60,329.85,330.70,256.16,4500049
2019-02-28,334.0,340.0,330.0,337.54,261.46,8969419
2019-03-01,338.25,347.54,337.14,346.04,268.05,2872248
2019-03-05,346.04,365.45,345.45,362.5,280.79,6380951
2019-03-06,364.79,373.79,363.35,372.70,288.69,6098612
2019-03-07,373.54,376.95,369.0,370.70,287.14,5694924
2019-03-08,370.89,371.39,364.64,367.35,284.55,2812574
2019-03-11,369.45,388.5,368.79,387.04,299.81,9486915
2019-03-12,388.39,394.39,384.29,390.20,302.25,6095923
2019-03-13,390.0,392.5,382.54,389.04,301.36,4784090
2019-03-14,388.95,391.35,382.64,390.29,302.32,2047865
2019-03-15,391.0,398.29,389.39,396.29,306.97,8629091
2019-03-18,398.0,408.89,398.0,405.54,314.14,7393221
2019-03-19,408.0,409.89,402.54,407.79,315.88,4222676
2019-03-20,407.20,407.5,386.5,389.14,301.43,5286335
2019-03-22,389.5,394.70,376.45,378.95,293.53,5918848
2019-03-25,378.75,385.25,375.04,383.70,297.21,4164765
2019-03-26,384.25,388.39,376.5,383.89,297.37,4257821
2019-03-27,384.45,386.0,377.29,378.95,293.53,3310956
2019-03-28,379.54,389.04,378.35,385.85,298.88,5584974
2019-04-01,398.0,399.5,390.5,391.89,303.56,2630426
2019-04-02,387.89,391.35,378.04,380.5,294.73,5408395
2019-04-03,382.0,382.0,362.14,363.20,281.33,8289954
2019-04-04,363.0,363.0,353.5,354.29,274.44,10199796
2019-04-05,353.60,359.5,353.60,358.10,277.38,4544024
2019-04-08,354.85,354.85,349.0,351.0,271.88,3959107
2019-04-09,346.5,357.39,345.04,356.29,275.99,4946892
2019-04-10,356.0,360.0,353.10,357.75,277.11,4116880
2019-04-11,358.5,364.0,356.0,361.70,280.17,6301405
2019-04-12,363.89,367.79,358.14,361.14,279.74,5118046
2019-04-15,361.89,363.0,356.70,358.39,277.61,2239031
2019-04-16,360.10,361.95,355.25,357.5,276.92,4265946
2019-04-18,358.0,365.0,353.79,362.89,281.10,4787566
2019-04-22,353.79,354.39,339.0,340.10,263.44,6921422
2019-04-23,338.0,342.35,333.45,336.35,260.53,8348582
2019-04-24,340.10,349.89,340.10,349.0,270.33,6936714
2019-04-25,348.95,359.45,347.60,358.25,277.50,9780157
2019-04-26,357.79,372.29,357.79,371.04,287.41,9284106
2019-04-30,373.35,383.79,369.54,379.85,294.23,9814929
2019-05-02,380.10,382.89,376.0,378.45,293.14,3848974
2019-05-03,384.95,386.5,378.54,380.75,294.93,5369514
2019-05-06,380.5,392.0,380.10,390.35,302.36,9270990
2019-05-07,388.45,388.45,372.10,378.85,293.45,7497322
2019-05-08,378.04,383.39,373.10,379.79,294.19,3801308
2019-05-09,379.60,379.60,366.54,368.04,285.09,4513542
2019-05-10,367.04,367.5,359.79,362.95,281.14,4116360
2019-05-13,362.0,367.95,352.85,355.10,275.06,3810145
2019-05-14,354.10,360.79,348.0,358.60,277.77,4999475
2019-05-15,359.0,368.25,356.85,359.54,278.50,6322474
2019-05-16,356.0,378.85,351.5,375.54,290.90,6605024
2019-05-17,372.0,378.85,366.54,376.20,291.40,6425893
2019-05-20,390.0,396.64,383.5,391.79,303.49,5197867
2019-05-21,395.5,397.35,368.29,374.45,290.05,8378443
2019-05-22,378.0,388.89,376.0,384.25,297.64,7762830
2019-05-23,389.89,411.45,382.0,384.35,297.71,12958801
2019-05-24,395.0,398.89,386.79,395.45,306.31,9903134
2019-05-27,393.0,403.85,388.85,402.0,311.39,5111371
2019-05-28,402.0,409.35,397.10,401.95,311.35,19910596
2019-05-29,402.0,402.95,393.54,399.14,309.18,4251528
2019-05-30,401.0,409.70,400.04,407.64,315.76,7050963
2019-05-31,414.14,421.70,406.20,409.35,317.08,13817796
2019-06-03,417.5,419.89,411.14,417.10,323.08,7021983
2019-06-04,415.39,415.89,406.75,408.35,316.31,3727312
2019-06-06,414.0,414.20,395.5,397.04,307.55,7635450
2019-06-07,394.0,404.64,389.60,403.0,312.16,5527623
2019-06-10,399.25,401.75,386.29,389.64,301.82,5442044
2019-06-11,388.54,393.5,379.14,387.0,299.77,6327189
2019-06-12,388.0,390.5,379.45,381.0,295.12,5203535
2019-06-13,384.89,390.5,383.0,388.79,301.16,6913721
2019-06-14,386.25,390.60,384.14,386.5,299.38,3037793
2019-06-17,385.14,385.5,376.20,378.14,292.91,3968261
2019-06-18,378.95,386.89,376.29,385.54,298.64,3110861
2019-06-19,385.64,386.75,376.10,379.35,293.84,4120786
2019-06-20,378.10,386.45,377.0,385.20,298.37,4306336
2019-06-21,377.0,387.35,377.0,380.0,294.35,5393974
2019-06-24,379.0,382.64,373.10,380.85,295.00,3271602
2019-06-25,379.0,394.60,379.0,393.10,304.49,6204969
2019-06-26,387.5,393.60,386.10,391.39,303.18,3266267
2019-06-27,388.0,398.0,386.60,392.20,303.80,7031613
2019-06-28,390.64,396.60,390.5,392.45,303.99,3493193
2019-07-01,391.0,392.85,374.5,376.20,291.40,5133734
2019-07-02,379.54,382.0,376.75,378.5,293.18,5418010
2019-07-03,383.0,385.39,378.95,381.20,295.27,5099808
2019-07-04,384.0,384.0,378.45,380.0,294.35,2084424
2019-07-05,380.25,380.45,360.75,370.04,286.64,8951983
2019-07-08,366.85,367.60,356.14,360.85,279.51,3715738
2019-07-09,362.0,367.85,358.60,360.10,278.93,3777964
2019-07-10,360.14,363.39,346.0,349.60,270.80,3957006
2019-07-11,348.89,355.5,347.0,350.54,271.53,6138839
2019-07-12,352.75,354.79,345.0,345.75,267.81,4541847
2019-07-15,346.20,348.29,342.70,347.39,269.09,3150558
2019-07-16,349.0,356.29,348.60,354.45,274.55,5296609
2019-07-17,359.0,359.0,350.39,352.79,273.28,4830701
2019-07-18,354.0,355.35,347.85,349.25,270.53,4516450
2019-07-19,351.29,353.39,346.70,351.0,271.88,3602823
2019-07-22,349.39,354.89,340.20,353.5,273.82,3864744
2019-07-23,353.5,360.0,351.60,359.04,278.12,3505367
2019-07-24,358.10,358.20,344.70,349.10,270.41,4202747
2019-07-25,351.0,351.5,339.39,340.29,263.59,3515650
2019-07-26,339.39,345.5,335.0,343.79,266.30,4659856
2019-07-29,343.0,347.20,338.75,342.20,265.07,2417553
2019-07-30,343.5,343.5,334.35,335.5,259.88,2131968
2019-07-31,331.5,346.64,328.20,345.5,267.62,4133401
2019-08-01,345.0,346.14,339.20,343.64,266.19,3063358
2019-08-02,345.0,346.95,337.45,342.45,265.26,3565682
2019-08-05,340.0,345.39,331.54,339.0,262.59,2721597
2019-08-06,339.95,347.5,336.60,345.29,267.47,3315134
2019-08-07,346.95,346.95,329.25,331.10,256.47,3543555
2019-08-08,333.20,345.04,330.29,343.5,266.07,4153348
2019-08-09,343.5,350.89,341.0,346.45,268.36,3854274
2019-08-13,346.0,357.85,342.0,343.10,265.76,5526502
2019-08-14,341.0,356.79,341.0,354.45,274.55,3012716
2019-08-16,355.5,355.89,346.35,351.20,272.04,2590335
2019-08-19,352.0,354.10,346.0,347.0,268.78,1727376
2019-08-20,348.89,348.89,339.10,342.25,265.10,2348767
2019-08-21,335.75,339.45,326.35,327.79,259.99,4002205
2019-08-22,328.0,329.85,309.54,313.0,248.25,5788469
2019-08-23,312.10,330.79,308.35,329.35,261.22,4669618
2019-08-26,331.10,336.70,321.10,335.39,266.02,3946042
2019-08-27,337.0,346.0,334.25,342.29,271.49,4410906
2019-08-28,342.0,352.5,337.5,350.54,278.03,5017700
2019-08-29,350.79,357.39,346.5,354.04,280.81,4916466
2019-08-30,353.75,356.79,345.14,355.25,281.76,4448781
2019-09-03,355.0,363.20,342.29,356.20,282.51,7865099
2019-09-04,353.5,366.39,349.0,363.54,288.34,7292284
2019-09-05,363.0,385.0,361.04,380.79,302.02,14927302
2019-09-06,377.0,382.35,373.5,379.0,300.60,7421767
2019-09-09,376.0,384.0,374.64,382.0,302.98,3570021
2019-09-11,380.0,387.89,378.5,386.10,306.23,4693876
2019-09-12,387.04,394.35,381.64,384.20,304.72,5638666
2019-09-13,385.5,412.0,377.39,408.54,324.03,12776578
2019-09-16,388.0,391.45,378.5,380.0,301.39,24840134
2019-09-17,379.89,379.89,367.64,368.75,292.47,15244892
2019-09-18,379.70,388.75,369.04,382.10,303.06,24128252
2019-09-19,383.04,386.5,375.64,379.85,301.27,12880373
2019-09-20,377.54,455.79,372.45,403.85,320.31,28832903
2019-09-23,413.0,463.0,412.04,450.85,357.58,31006317
2019-09-24,454.0,474.75,442.0,461.29,365.87,31333076
2019-09-25,458.0,473.39,448.45,465.20,368.97,33159147
2019-09-26,465.20,482.04,463.29,480.04,380.74,20669540
2019-09-27,475.0,481.79,465.5,469.79,372.61,10949127
2019-09-30,472.75,479.5,466.04,470.10,372.85,13139611
2019-10-01,498.0,511.54,478.75,493.89,391.73,34100909
2019-10-03,496.20,539.90,494.39,531.59,421.63,25984601
2019-10-04,545.0,545.0,511.60,515.54,408.90,27515921
2019-10-07,502.04,507.45,475.45,490.64,389.15,27449237
2019-10-09,490.0,495.75,481.64,492.85,390.90,10858033
2019-10-10,490.0,494.0,484.10,489.89,388.56,4629540
2019-10-11,488.14,492.54,478.60,488.0,387.05,7371044
2019-10-14,490.54,499.0,483.20,485.95,385.42,11556126
2019-10-15,489.95,494.5,487.95,490.29,388.87,5842162
2019-10-16,504.89,520.0,501.29,512.40,406.40,20380758
2019-10-17,512.40,515.29,504.10,513.29,407.12,8351837
2019-10-18,510.0,534.90,506.75,520.29,412.67,14186741
2019-10-22,532.0,538.59,522.34,534.09,423.61,13574072
2019-10-23,531.5,536.79,524.59,527.09,418.06,5297051
2019-10-24,525.90,525.90,500.64,513.04,406.92,14079076
2019-10-25,516.75,533.20,509.75,524.15,415.72,13381183
2019-10-27,528.90,529.0,521.0,526.79,417.82,1038153
2019-10-29,534.0,534.0,518.0,522.90,414.73,8316972
2019-10-30,527.0,534.59,518.45,525.09,416.48,7523025
2019-10-31,527.0,530.84,520.54,526.59,417.67,7135919
2019-11-01,520.04,525.79,516.0,519.40,411.95,5061143
2019-11-04,520.0,527.45,514.29,522.20,414.18,4681345
2019-11-05,519.0,522.20,513.40,517.5,410.45,3281529
2019-11-06,518.0,525.25,516.09,523.90,415.52,3805931
2019-11-07,524.29,526.54,510.29,513.20,407.04,4101853
2019-11-08,515.0,515.70,500.5,502.75,398.75,9862300
2019-11-11,506.64,519.5,499.0,517.59,410.53,8765071
2019-11-13,514.0,523.0,507.39,510.10,404.58,7232793
2019-11-14,507.0,520.04,503.79,514.65,408.19,5416081
2019-11-15,513.95,513.95,504.0,506.54,401.76,4165497
2019-11-18,520.0,528.0,517.25,521.75,413.82,17072336
2019-11-19,520.65,521.90,513.5,518.95,411.60,3549931
2019-11-20,528.90,548.0,522.04,544.59,431.94,18844498
2019-11-21,549.0,549.0,511.0,514.09,407.75,22312660
2019-11-22,513.79,515.45,505.5,509.39,404.02,11812445
2019-11-25,508.0,514.79,503.29,507.39,402.44,7698964
2019-11-26,509.0,510.39,494.39,496.64,393.91,12419094
2019-11-27,493.0,509.25,488.0,505.89,401.25,12207925
2019-11-28,506.5,514.25,502.10,510.0,404.50,7832976
2019-11-29,511.0,518.45,505.20,511.54,405.73,7529450
2019-12-02,508.04,509.5,498.75,500.04,396.61,4410021
2019-12-03,502.0,502.39,493.29,494.5,392.21,3790337
2019-12-04,494.0,504.25,492.20,501.20,397.52,4285438
2019-12-05,495.0,499.89,490.29,491.85,390.10,3133215
2019-12-06,491.0,496.5,483.5,488.5,387.45,4693613
2019-12-09,487.45,501.79,485.54,499.64,396.29,5474113
2019-12-10,495.89,503.70,484.20,486.29,385.70,7171084
2019-12-11,485.0,491.85,476.20,482.64,382.81,6880479
2019-12-12,486.75,498.29,486.0,491.75,390.02,6414478
2019-12-13,492.5,500.79,486.20,496.75,393.99,7629757
2019-12-16,495.0,499.39,491.10,492.0,390.22,3006310
2019-12-17,492.0,503.5,491.10,496.04,393.43,6143569
2019-12-18,496.5,498.25,488.10,489.25,388.04,4657085
2019-12-19,489.0,492.5,485.54,489.95,388.60,4662706
2019-12-20,489.95,492.39,486.5,487.79,386.89,3734227
2019-12-23,488.0,499.45,488.0,493.0,391.02,7428823
2019-12-24,492.0,494.45,471.64,477.79,378.96,7428318
2019-12-26,476.0,484.54,474.25,477.20,378.48,10371636
2019-12-27,479.5,492.10,477.0,490.95,389.39,8454378
2019-12-30,490.95,494.79,481.64,493.04,391.06,8186523
2019-12-31,492.0,496.0,486.35,491.54,389.87,5794952
2020-01-01,492.0,493.89,488.5,491.64,389.94,2383296
2020-01-02,491.20,491.70,486.45,487.54,386.69,3212483
2020-01-03,483.89,486.75,472.85,483.5,383.48,11327770
2020-01-06,475.0,480.0,465.14,469.14,372.10,7666317
2020-01-07,467.89,474.75,459.85,461.0,365.63,11727294
2020-01-08,450.0,464.39,448.54,459.89,364.76,12371538
2020-01-09,472.14,474.39,465.45,470.54,373.21,6499656
2020-01-10,473.79,474.70,466.39,470.25,372.97,4354249
2020-01-13,471.0,476.25,469.0,470.75,373.37,3669419
2020-01-14,473.89,478.75,472.10,473.35,375.43,3608358
2020-01-15,472.5,472.95,463.20,467.95,371.15,4978259
2020-01-16,468.0,469.5,460.14,461.79,366.27,3185275
2020-01-17,462.0,465.25,452.0,453.89,360.00,5566299
2020-01-20,454.95,466.70,451.60,457.14,362.58,5840651
2020-01-21,457.60,466.5,455.04,463.85,367.90,4199420
2020-01-22,465.20,466.45,454.10,455.45,361.23,3730432
2020-01-23,459.5,471.79,457.0,469.0,371.98,5565676
2020-01-24,469.25,473.20,464.70,466.10,369.68,3935630
2020-01-27,466.5,471.79,463.0,467.75,370.99,4414483
2020-01-28,469.10,482.25,467.60,480.95,381.46,7608831
2020-01-29,483.95,486.89,476.64,479.04,379.95,7132327
2020-01-30,480.04,484.5,465.14,469.64,372.50,5445938
2020-01-31,470.0,472.60,456.04,456.95,362.42,6946475
2020-02-03,446.25,463.5,442.45,460.29,365.08,9401450
2020-02-04,465.0,481.10,462.0,478.5,379.52,7841910
2020-02-05,480.0,507.95,478.0,501.70,397.92,15117047
2020-02-06,503.29,510.0,492.20,495.04,392.64,11233977
2020-02-07,494.79,495.60,486.0,491.39,389.75,4511015
2020-02-10,492.0,495.54,483.35,485.45,385.03,4424196
2020-02-11,490.79,493.95,480.04,481.0,381.50,3971655
2020-02-12,483.0,485.70,473.89,474.75,376.54,3774602
2020-02-13,477.70,478.5,468.0,469.0,371.98,4041500
2020-02-14,471.0,484.5,469.89,476.45,377.89,11521788
2020-02-17,478.45,478.45,460.0,461.64,366.15,4512992
2020-02-18,461.75,472.5,456.0,470.75,373.37,5970296
2020-02-19,473.5,481.0,469.5,475.54,377.18,5393417
2020-02-20,474.85,480.0,470.54,471.75,374.16,4376060
2020-02-24,471.0,475.70,463.0,464.64,368.53,6191443
2020-02-25,469.79,470.54,454.89,456.75,362.26,5522023
