Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1485.0,1491.05,1469.05,1475.44,1420.79,254899
2019-01-02,1476.90,1483.59,1461.40,1470.90,1416.41,247208
2019-01-03,1479.59,1482.80,1432.09,1437.90,1384.63,536515
2019-01-04,1437.90,1471.19,1428.25,1460.5,1406.40,391849
2019-01-07,1470.0,1495.0,1461.34,1486.0,1430.95,456830
2019-01-08,1488.80,1490.0,1455.09,1458.84,1404.81,345960
2019-01-09,1460.84,1477.0,1460.0,1473.25,1418.68,248643
2019-01-10,1470.69,1525.55,1467.25,1520.44,1464.13,1072651
2019-01-11,1519.94,1533.69,1497.84,1505.15,1449.39,1149372
2019-01-14,1504.90,1538.84,1504.25,1530.44,1473.76,965710
2019-01-15,1531.0,1535.0,1515.5,1522.19,1465.81,383535
2019-01-16,1526.05,1526.05,1512.65,1519.80,1463.50,362391
2019-01-17,1526.0,1548.0,1499.19,1505.34,1449.59,927211
2019-01-18,1512.75,1520.0,1483.44,1509.15,1453.25,454592
2019-01-21,1515.0,1518.15,1493.65,1497.19,1441.74,351617
2019-01-22,1492.0,1521.80,1485.0,1503.65,1447.95,710962
2019-01-23,1508.0,1512.55,1496.05,1503.30,1447.61,302963
2019-01-24,1508.30,1518.0,1489.59,1493.25,1437.93,365424
2019-01-25,1500.5,1508.0,1487.0,1495.34,1439.96,195017
2019-01-28,1499.40,1499.40,1460.09,1473.44,1418.87,211598
2019-01-29,1475.0,1514.90,1466.0,1504.80,1449.06,424613
2019-01-30,1505.94,1512.94,1492.05,1503.15,1447.47,218871
2019-01-31,1508.90,1519.90,1494.5,1506.19,1450.40,512854
2019-02-01,1511.19,1548.05,1488.65,1532.34,1475.59,609053
2019-02-04,1563.94,1619.94,1546.25,1609.44,1549.83,2399611
2019-02-05,1615.80,1637.0,1610.19,1616.15,1556.28,1031235
2019-02-06,1616.15,1659.94,1610.0,1653.25,1592.01,916887
2019-02-07,1645.0,1675.0,1640.05,1670.15,1608.28,753538
2019-02-08,1667.0,1700.0,1656.0,1685.09,1622.68,1045291
2019-02-11,1677.09,1680.0,1626.0,1635.0,1574.43,880642
2019-02-12,1638.0,1651.19,1613.19,1638.09,1577.42,795159
2019-02-14,1640.0,1648.94,1615.05,1637.44,1576.79,469510
2019-02-15,1617.0,1629.40,1530.65,1621.34,1561.29,2159194
2019-02-18,1617.90,1621.05,1559.0,1574.75,1516.42,890862
2019-02-19,1570.05,1617.69,1525.0,1587.84,1529.03,1840314
2019-02-20,1594.90,1594.90,1553.44,1560.55,1502.74,775963
2019-02-21,1553.09,1560.65,1540.0,1550.0,1492.58,799999
2019-02-22,1550.09,1573.44,1546.69,1565.0,1507.03,611185
2019-02-25,1573.0,1604.90,1561.0,1594.75,1535.67,599083
