Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,2618.10,2634.0,2600.0,2607.05,2493.47,338757
2019-01-02,2606.0,2618.0,2575.05,2601.05,2487.73,417551
2019-01-03,2605.0,2614.80,2564.0,2577.35,2465.07,541891
2019-01-04,2580.0,2606.0,2562.0,2600.0,2486.73,407397
2019-01-07,2613.85,2613.85,2537.30,2558.64,2447.18,542415
2019-01-08,2561.0,2586.85,2551.0,2570.5,2458.51,689498
2019-01-09,2580.89,2610.89,2580.89,2603.10,2489.69,464336
2019-01-10,2598.10,2610.0,2583.14,2600.39,2487.11,390414
2019-01-11,2610.80,2610.80,2580.0,2588.14,2475.39,316787
2019-01-14,2585.35,2605.0,2555.0,2578.80,2466.45,394478
2019-01-15,2585.0,2604.0,2581.35,2594.80,2481.76,357577
2019-01-16,2580.0,2627.69,2575.30,2616.94,2502.94,946148
2019-01-17,2620.0,2628.80,2600.0,2619.14,2505.04,649802
2019-01-18,2605.0,2629.35,2594.5,2596.80,2483.67,536273
2019-01-21,2605.0,2642.0,2581.80,2599.80,2486.54,595064
2019-01-22,2599.10,2645.0,2589.94,2640.30,2525.27,776066
2019-01-23,2639.85,2660.0,2630.0,2646.75,2531.44,754526
2019-01-24,2642.05,2674.69,2642.05,2668.44,2552.20,611565
2019-01-25,2670.5,2691.0,2645.5,2672.39,2555.97,609282
2019-01-28,2671.89,2671.89,2597.05,2624.75,2510.40,684994
2019-01-29,2616.0,2684.0,2603.0,2666.44,2550.28,867696
2019-01-30,2655.05,2680.0,2637.44,2665.39,2549.28,657014
2019-01-31,2665.0,2728.55,2651.0,2720.80,2602.27,1231518
2019-02-01,2717.69,2819.0,2715.14,2791.25,2669.65,1450995
2019-02-04,2807.89,2878.0,2715.25,2735.19,2616.04,2149582
2019-02-05,2775.19,2859.85,2773.0,2821.44,2698.53,1653331
2019-02-06,2816.0,2816.0,2761.0,2789.69,2668.16,881795
2019-02-07,2791.0,2835.0,2791.0,2821.80,2698.87,561804
2019-02-08,2818.0,2818.0,2751.64,2769.69,2649.04,714193
2019-02-11,2660.10,2707.94,2559.35,2615.35,2501.41,1895462
2019-02-12,2619.0,2676.44,2584.0,2652.5,2536.94,1309324
2019-02-14,2648.69,2674.94,2616.0,2667.25,2551.05,597409
2019-02-15,2660.0,2660.0,1872.94,2563.35,2451.68,6756271
2019-02-18,2650.0,2689.64,2545.05,2565.55,2453.78,2687581
2019-02-19,2583.94,2610.0,2505.10,2536.89,2426.38,2269798
2019-02-20,2574.89,2584.0,2508.55,2525.14,2415.14,1559722
2019-02-21,2550.0,2606.0,2519.85,2586.30,2473.63,1310397
2019-02-22,2584.75,2650.0,2555.69,2639.5,2524.51,1378159
2019-02-25,2640.25,2694.94,2622.80,2666.89,2550.71,1275515
2019-02-26,2653.89,2659.89,2628.94,2647.80,2532.45,1013114
2019-02-27,2664.5,2683.0,2630.05,2646.89,2531.59,793098
2019-02-28,2669.0,2669.0,2615.25,2631.64,2517.00,669759
2019-03-01,2638.0,2657.10,2580.05,2646.0,2530.72,885795
2019-03-05,2635.0,2668.80,2604.60,2654.10,2538.47,646711
2019-03-06,2660.60,2708.5,2656.64,2693.64,2576.30,852395
2019-03-07,2690.0,2725.89,2668.89,2680.75,2563.96,916759
2019-03-08,2668.0,2685.94,2606.5,2615.05,2501.12,684806
2019-03-11,2628.0,2656.0,2611.05,2626.14,2511.74,1113712
2019-03-12,2647.0,2676.0,2638.0,2666.85,2550.67,544868
2019-03-13,2663.0,2710.0,2644.60,2655.85,2540.15,704078
2019-03-14,2655.85,2670.89,2616.0,2647.89,2532.54,483712
