Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,2316.22,2329.30,2290.5,2319.51,2230.74,444340
2019-01-02,2234.0,2234.0,2095.02,2116.22,2035.24,4814970
2019-01-03,2104.0,2104.0,2015.09,2021.14,1943.79,4683010
2019-01-04,2032.5,2064.80,2000.09,2010.35,1933.42,3418330
2019-01-07,2045.0,2047.69,1975.5,1983.04,1907.15,2156680
2019-01-08,1985.5,2063.0,1978.5,2004.46,1927.75,3664290
2019-01-09,1989.0,2039.77,1985.0,2029.10,1951.45,1637520
2019-01-10,2036.0,2060.0,2034.50,2055.61,1976.94,1021430
2019-01-11,2060.0,2076.72,2038.69,2050.76,1972.27,1122200
2019-01-14,2062.80,2062.91,2022.19,2048.04,1969.66,701210
2019-01-15,2054.0,2067.0,2048.0,2063.81,1984.83,633190
2019-01-16,2062.60,2078.39,2062.60,2073.57,1994.21,674680
2019-01-17,2080.0,2084.77,2016.04,2036.99,1959.04,1037770
2019-01-18,2040.0,2042.5,1995.0,2012.27,1935.26,1081400
2019-01-21,2015.09,2029.79,1994.97,2002.80,1926.15,950380
2019-01-22,2000.09,2035.0,1990.0,2002.35,1925.73,1378300
2019-01-23,2007.69,2022.30,1999.09,2008.91,1932.03,535950
2019-01-24,2015.0,2033.0,2007.5,2011.56,1934.57,457230
2019-01-25,2020.0,2033.77,1983.51,2004.99,1928.26,671890
2019-01-28,2006.09,2024.09,1987.16,1998.73,1922.25,1019070
2019-01-29,1999.90,2000.0,1880.0,1887.72,1815.48,1931980
2019-01-30,1890.0,1909.48,1880.0,1891.91,1819.51,1026320
2019-01-31,1912.0,1917.89,1883.60,1900.57,1827.84,675110
2019-02-01,1909.0,2014.46,1907.60,1966.33,1891.09,1857170
2019-02-04,1972.0,2043.19,1943.5,2012.82,1935.80,1621290
2019-02-05,2016.09,2058.48,2016.0,2047.96,1969.59,1018700
2019-02-06,2052.96,2120.0,2052.96,2110.42,2029.66,1297160
2019-02-07,2123.48,2196.5,2115.07,2190.41,2106.59,1352940
2019-02-08,2185.5,2190.41,2075.0,2084.73,2004.95,1234030
2019-02-11,2043.40,2145.95,2033.09,2075.31,1995.89,2619820
2019-02-12,2047.0,2130.0,2007.0,2113.75,2032.85,2590360
2019-02-14,2016.0,2058.81,1990.0,2001.64,1925.03,1403410
2019-02-15,2014.72,2037.71,1993.20,2023.41,1945.97,1235950
2019-02-18,2043.30,2045.0,2004.77,2015.52,1938.38,850970
2019-02-19,2020.0,2046.45,2012.09,2040.97,1962.87,654740
2019-02-20,2041.5,2065.0,2038.0,2052.85,1974.29,698580
2019-02-21,2045.0,2063.46,2025.0,2044.74,1966.49,670210
2019-02-22,2057.69,2070.0,2030.0,2059.54,1980.72,740010
2019-02-25,2069.98,2078.09,2050.0,2070.47,1991.24,462600
2019-02-26,2067.0,2087.49,2040.01,2062.0,1983.08,878770
2019-02-27,2078.08,2078.08,2030.20,2040.77,1962.67,624010
