Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,827.5,834.75,823.5,833.5,811.50,463290
2019-01-02,829.90,838.0,812.75,815.5,793.98,821812
2019-01-03,818.0,819.0,798.0,799.70,778.60,959578
2019-01-04,802.09,810.79,793.0,806.15,784.88,1069003
2019-01-07,810.20,824.79,808.0,820.65,798.99,1071590
2019-01-08,820.0,839.45,811.29,836.59,814.52,1023730
2019-01-09,840.0,844.29,826.5,835.29,813.26,4005124
2019-01-10,834.59,837.45,819.0,820.20,798.55,819813
2019-01-11,822.5,832.65,811.79,814.25,792.76,1217852
2019-01-14,815.0,818.0,807.0,813.70,792.23,734030
2019-01-15,815.90,821.84,802.70,815.5,793.98,2626359
2019-01-16,820.79,841.45,820.79,826.29,804.49,1926154
2019-01-17,831.45,839.40,821.0,828.09,806.25,997585
2019-01-18,828.90,834.54,818.20,824.95,803.18,959572
2019-01-21,828.0,828.0,811.95,815.65,794.12,506429
2019-01-22,812.0,812.70,800.20,804.34,783.12,756105
2019-01-23,805.59,806.5,777.0,782.15,761.51,1572530
2019-01-24,782.0,793.0,778.0,785.79,765.06,1009447
2019-01-25,786.90,794.59,757.04,759.59,739.55,991355
2019-01-28,763.0,763.0,727.20,732.79,713.46,1265661
2019-01-29,722.0,743.59,722.0,733.5,714.14,991737
2019-01-30,739.0,741.0,718.0,725.0,705.87,1472628
2019-01-31,730.0,733.45,714.5,721.0,701.97,2616247
2019-02-01,724.04,729.59,708.84,718.95,699.98,1307460
2019-02-04,719.59,719.84,701.0,706.75,688.10,1007710
2019-02-05,706.79,714.0,698.0,703.95,685.37,1169479
2019-02-06,705.04,739.84,705.04,733.5,714.14,1587847
2019-02-07,738.04,756.79,730.90,752.75,732.88,2848786
2019-02-08,760.0,764.04,708.40,717.95,699.00,3991393
2019-02-11,710.29,724.0,704.34,716.65,697.74,1181227
2019-02-12,717.0,727.90,710.0,718.84,699.88,1187659
2019-02-14,714.0,723.5,710.09,718.90,699.93,669502
2019-02-15,721.5,722.34,689.09,706.75,688.10,1358479
2019-02-18,711.95,711.95,693.79,699.84,681.38,1158588
2019-02-19,702.5,724.0,697.20,718.34,699.39,1770799
2019-02-20,721.29,733.5,721.29,730.70,711.42,1109901
2019-02-21,726.29,751.65,725.04,747.79,728.06,1721402
2019-02-22,747.0,762.0,742.04,758.70,738.68,1523930
2019-02-25,762.0,781.5,750.0,778.65,758.10,1901398
2019-02-26,774.0,785.65,762.59,781.0,760.39,1452437
2019-02-27,782.95,796.90,776.29,782.40,761.75,1235553
2019-02-28,788.90,790.5,773.5,777.04,756.54,1294690
2019-03-01,780.5,794.59,778.04,791.75,770.85,1158050
2019-03-05,791.5,813.45,789.45,810.15,788.77,1238834
2019-03-06,818.90,822.20,804.5,820.09,798.46,1119970
2019-03-07,821.0,824.34,808.5,810.20,788.82,1121059
2019-03-08,810.25,812.34,797.29,807.04,785.75,1267215
2019-03-11,809.0,831.95,808.25,827.5,805.66,1243742
2019-03-12,831.90,838.59,826.20,830.79,808.87,1272425
2019-03-13,832.0,834.20,821.0,823.15,801.43,605280
2019-03-14,823.15,837.40,808.5,832.90,810.92,1064493
2019-03-15,838.09,845.79,824.04,829.84,807.95,1750118
2019-03-18,816.5,823.5,806.09,818.54,796.95,2084748
2019-03-19,820.0,832.79,815.09,822.29,800.60,1404225
2019-03-20,827.0,829.09,811.65,817.65,796.07,1412859
2019-03-22,821.0,829.0,814.59,820.09,798.46,1683565
2019-03-25,815.0,817.0,808.0,815.40,793.88,985371
2019-03-26,820.0,838.79,816.09,836.70,814.62,1077359
2019-03-27,843.0,844.40,825.0,828.59,806.73,1135187
2019-03-28,828.59,841.45,823.70,830.15,808.24,1010951
2019-04-01,867.65,871.0,851.75,857.34,834.72,1722012
2019-04-02,857.34,859.59,837.5,845.65,823.33,1290864
2019-04-03,847.15,852.09,828.0,831.70,809.75,1015377
2019-04-04,834.20,840.70,825.40,834.90,812.87,1220209
2019-04-05,835.0,852.90,828.84,848.95,826.55,2003216
2019-04-08,855.0,858.20,837.0,840.45,818.27,905102
2019-04-09,837.0,849.09,829.0,846.0,823.67,679796
2019-04-10,839.0,853.75,838.25,847.29,824.94,874178
2019-04-11,848.0,853.0,843.34,848.75,826.35,1059178
2019-04-12,852.45,860.84,840.20,853.45,830.93,1368130
2019-04-15,853.5,869.0,852.65,866.0,843.15,955859
2019-04-16,869.90,885.0,866.04,883.54,860.23,1633282
2019-04-18,887.40,887.90,861.59,867.25,844.36,1047651
2019-04-22,866.5,871.40,855.09,863.90,841.10,871986
2019-04-23,864.0,873.79,856.29,869.45,846.51,1220925
2019-04-24,867.5,887.0,849.59,880.54,857.31,1831558
2019-04-25,876.09,940.0,876.09,924.79,900.39,7135560
2019-04-26,926.45,934.0,898.09,913.45,889.34,2545038
2019-04-30,918.0,923.79,896.75,901.20,877.42,1444739
2019-05-02,900.0,907.15,891.34,899.29,875.57,1021401
2019-05-03,900.0,909.95,881.54,898.65,874.93,1083056
2019-05-06,888.75,898.5,885.34,896.54,872.89,872860
2019-05-07,900.0,906.90,865.5,872.34,849.33,1375348
2019-05-08,874.79,879.79,862.0,870.95,847.97,1170460
2019-05-09,864.0,873.0,857.04,869.0,846.07,854077
2019-05-10,874.95,875.0,853.29,857.59,834.97,633012
2019-05-13,854.29,854.40,833.34,837.95,815.84,652682
2019-05-14,840.15,851.25,817.70,845.54,823.24,1341517
2019-05-15,846.0,847.0,810.09,814.79,793.30,1299508
2019-05-16,815.0,826.70,804.84,820.09,798.46,1463357
2019-05-17,819.0,833.59,814.29,828.95,807.07,1774033
2019-05-20,843.0,894.0,843.0,890.29,866.80,1949145
2019-05-21,902.70,902.70,862.0,865.59,842.76,1265452
2019-05-22,868.59,868.59,849.0,857.34,834.72,1361942
2019-05-23,872.0,905.70,861.54,886.54,863.15,3420575
2019-05-24,892.04,914.54,878.0,910.04,886.03,2194830
2019-05-27,905.0,959.79,896.54,935.29,910.62,3423163
2019-05-28,938.0,938.0,907.75,910.95,886.91,5213864
2019-05-29,911.0,915.5,901.54,910.5,886.47,1351790
2019-05-30,912.0,919.79,898.70,911.45,887.40,2245342
2019-05-31,912.5,913.0,878.79,886.09,862.72,2989460
2019-06-03,890.09,896.90,885.0,895.04,871.43,1327630
2019-06-04,890.0,903.90,883.29,886.5,863.11,997897
2019-06-06,889.90,889.90,852.34,869.54,846.60,2884482
2019-06-07,872.0,877.34,856.95,871.45,848.45,1244825
2019-06-10,876.79,884.45,864.84,880.95,857.70,1270546
2019-06-11,884.95,895.79,876.5,890.09,866.61,1278396
2019-06-12,886.0,895.95,877.29,888.29,864.86,821912
2019-06-13,884.0,907.5,869.70,904.59,880.73,1516431
2019-06-14,904.0,906.59,892.90,899.0,875.28,1850574
2019-06-17,897.09,900.0,873.79,879.34,856.14,1482691
2019-06-18,878.0,883.90,866.0,879.65,856.44,886413
2019-06-19,883.0,888.40,872.84,882.04,858.77,954317
2019-06-20,876.15,905.59,870.0,900.79,877.03,1415049
2019-06-21,896.04,913.79,893.75,897.75,874.06,1827826
2019-06-24,900.59,909.29,880.0,886.65,863.25,1069347
2019-06-25,886.54,906.45,877.04,902.15,878.34,1020230
2019-06-26,897.09,920.0,897.09,919.15,894.89,1829768
2019-06-27,924.95,937.79,916.04,921.79,897.47,2075769
2019-06-28,924.79,927.40,905.0,914.09,889.98,1678795
2019-07-01,919.5,926.0,905.45,920.0,895.72,832301
2019-07-02,923.0,929.79,915.34,919.79,895.53,1027807
2019-07-03,924.0,934.0,920.59,927.90,903.41,1449541
2019-07-04,930.09,945.79,925.59,941.59,916.75,1405857
2019-07-05,943.0,949.5,917.09,927.04,902.59,1720225
2019-07-08,918.20,920.0,877.95,888.54,865.10,1889892
2019-07-09,887.0,913.5,882.5,910.95,886.91,1303425
2019-07-10,907.70,918.90,904.75,913.45,889.34,990345
2019-07-11,919.90,924.65,909.65,919.25,894.99,783442
2019-07-12,920.0,927.84,911.25,916.04,891.88,1140047
2019-07-15,919.0,927.59,916.0,922.29,897.96,665164
2019-07-16,923.59,937.34,918.65,930.5,905.94,1207966
2019-07-17,929.40,939.0,921.45,926.70,902.24,570804
2019-07-18,924.95,926.45,905.45,907.70,883.75,692689
2019-07-19,915.0,925.0,875.0,879.95,856.73,1232651
2019-07-22,879.0,895.15,863.09,892.15,868.61,897469
2019-07-23,892.5,898.45,878.79,883.5,860.18,696883
2019-07-24,880.0,885.65,866.09,878.45,855.27,1003677
