Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1063.82,1075.5,1052.80,1074.05,1036.38,3186720
2019-01-02,1071.40,1073.75,1059.84,1064.25,1026.92,4067116
2019-01-03,1062.09,1064.12,1051.5,1055.90,1018.86,6385832
2019-01-04,1057.62,1064.25,1055.17,1058.72,1021.59,3643560
2019-01-07,1063.84,1067.67,1059.0,1060.32,1023.13,2693506
2019-01-08,1061.0,1061.75,1048.32,1051.5,1014.62,4171730
2019-01-09,1059.0,1060.67,1051.30,1058.40,1021.28,4284314
2019-01-10,1058.5,1061.90,1046.32,1054.25,1017.27,3845770
2019-01-11,1056.90,1062.0,1054.0,1055.94,1018.91,3204020
2019-01-14,1054.94,1054.94,1049.22,1050.82,1013.97,2427580
2019-01-15,1052.52,1063.25,1051.0,1060.94,1023.74,2543778
2019-01-16,1060.02,1062.5,1054.12,1060.09,1022.92,2626226
2019-01-17,1062.62,1067.94,1056.67,1066.15,1028.75,4120114
2019-01-18,1067.5,1069.5,1057.27,1065.12,1027.77,2603988
2019-01-21,1069.97,1083.25,1063.25,1074.07,1036.40,8780756
2019-01-22,1073.0,1073.40,1064.52,1067.92,1030.47,4398488
2019-01-23,1067.0,1067.92,1050.72,1052.69,1015.78,3812144
2019-01-24,1055.0,1060.82,1048.94,1051.12,1014.26,5055786
2019-01-25,1046.5,1055.0,1045.0,1048.0,1011.24,5631118
2019-01-28,1045.0,1051.02,1038.37,1042.07,1005.52,7680218
2019-01-29,1039.12,1041.5,1026.5,1028.80,992.71,7381394
2019-01-30,1028.62,1028.62,1014.0,1017.34,981.67,9257080
2019-01-31,1015.5,1044.87,1011.0,1039.97,1003.50,8289702
2019-02-01,1039.97,1058.5,1038.30,1045.22,1008.56,7827094
2019-02-04,1047.5,1056.5,1041.32,1052.44,1015.53,3969144
2019-02-05,1054.0,1059.5,1048.5,1057.02,1019.95,4345144
2019-02-06,1058.12,1063.5,1056.80,1061.32,1024.10,5437842
2019-02-07,1062.52,1065.0,1052.92,1058.62,1021.49,3608654
2019-02-08,1056.0,1072.47,1053.32,1061.32,1024.10,6117822
2019-02-11,1056.65,1071.44,1056.65,1069.82,1032.30,3518182
2019-02-12,1069.0,1074.0,1062.40,1064.84,1027.50,4886194
2019-02-14,1070.0,1070.0,1052.80,1055.09,1018.09,3720694
2019-02-15,1053.67,1054.05,1039.09,1050.32,1013.48,4208262
2019-02-18,1053.40,1059.0,1043.0,1044.94,1008.30,3569372
2019-02-19,1044.84,1054.07,1039.09,1042.02,1005.48,2634318
2019-02-20,1044.25,1055.5,1040.94,1054.17,1017.20,2446250
2019-02-21,1050.84,1059.97,1046.80,1057.94,1020.84,2630772
2019-02-22,1059.69,1064.05,1044.55,1045.72,1009.05,4445354
2019-02-25,1047.57,1064.97,1047.57,1062.69,1025.43,4070298
2019-02-26,1055.62,1062.5,1050.55,1055.32,1018.31,4803714
2019-02-27,1058.05,1062.22,1044.07,1046.12,1009.43,3515046
2019-02-28,1046.55,1052.92,1036.59,1038.77,1002.34,5822688
2019-03-01,1043.12,1050.44,1038.5,1041.67,1005.14,4676464
2019-03-05,1044.44,1055.55,1035.0,1053.55,1016.60,5918638
2019-03-06,1055.0,1055.15,1045.27,1052.12,1015.22,4229022
2019-03-07,1054.80,1065.0,1047.5,1063.25,1025.96,5102426
2019-03-08,1057.52,1065.0,1054.72,1064.09,1026.78,3526730
