Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,387.79,388.89,385.10,386.39,381.22,244225
2019-01-02,385.95,392.5,385.10,391.14,385.90,401487
2019-01-03,392.64,395.5,389.5,391.29,386.05,391423
2019-01-04,392.0,394.95,387.75,393.5,388.22,484014
2019-01-07,394.5,395.39,390.10,393.04,387.78,346567
2019-01-08,392.89,396.0,389.20,394.70,389.40,391569
2019-01-09,392.70,398.45,391.5,396.0,390.69,815426
2019-01-10,396.64,409.35,395.04,406.70,401.24,1539299
2019-01-11,408.60,409.39,404.0,406.60,401.14,644793
2019-01-14,405.04,405.04,390.25,392.04,386.79,976187
2019-01-15,392.10,393.70,385.10,387.5,382.30,668054
2019-01-16,386.39,389.89,385.45,387.5,382.30,962874
2019-01-17,387.5,392.5,384.10,390.85,385.61,962821
2019-01-18,391.0,392.45,383.0,383.70,378.55,435544
2019-01-21,383.89,386.20,382.0,383.85,378.70,900424
2019-01-22,384.89,389.5,381.10,383.85,378.70,1365759
2019-01-23,385.0,389.5,371.25,373.35,368.34,1355788
2019-01-24,371.20,374.39,360.10,361.20,356.35,1229942
2019-01-25,363.95,368.75,357.0,359.39,354.58,1351651
2019-01-28,361.0,369.5,344.39,367.29,362.37,1405014
2019-01-29,366.45,366.5,357.70,360.29,355.47,793151
2019-01-30,362.29,372.0,358.0,370.39,365.43,943004
2019-01-31,373.0,374.5,363.0,371.60,366.61,892055
2019-02-01,372.85,377.14,368.0,375.45,370.41,854153
2019-02-04,372.54,377.95,370.60,376.20,371.15,572950
2019-02-05,375.0,377.29,370.60,376.25,371.20,387625
2019-02-06,376.25,377.0,367.70,369.60,364.64,489165
2019-02-07,370.0,372.0,367.10,368.39,363.46,974999
2019-02-08,368.29,372.79,363.54,365.04,360.15,308347
2019-02-11,365.79,366.35,351.25,356.60,351.81,693813
2019-02-12,355.29,360.29,351.35,353.35,348.61,495884
2019-02-14,358.0,361.70,353.54,359.5,354.68,922903
2019-02-15,356.0,361.95,354.0,358.5,353.69,645076
2019-02-18,359.45,362.79,349.0,350.60,345.90,433200
2019-02-19,351.70,354.0,346.04,346.79,342.15,345475
2019-02-20,348.60,349.75,345.75,346.29,341.65,480124
2019-02-21,347.39,357.70,346.25,356.85,352.06,546373
2019-02-22,358.35,364.0,356.14,362.5,357.64,487266
2019-02-25,362.95,364.89,354.0,354.60,349.84,480503
2019-02-26,351.0,355.75,346.35,353.70,348.95,619615
2019-02-27,355.29,357.5,348.04,350.04,345.35,429691
2019-02-28,351.85,356.25,348.14,352.25,347.52,1177853
2019-03-01,351.79,364.0,351.79,362.95,358.08,1162447
2019-03-05,360.10,379.0,360.10,376.29,371.25,1316987
2019-03-06,379.79,391.89,376.04,390.04,384.82,1444943
2019-03-07,390.60,394.0,384.29,391.10,385.85,912620
2019-03-08,389.10,393.89,385.0,391.70,386.44,408930
2019-03-11,391.0,392.0,385.29,390.5,385.26,1312055
2019-03-12,367.54,376.85,367.54,371.54,366.56,16596749
2019-03-13,367.5,370.85,365.29,366.14,361.24,21171413
2019-03-14,369.5,369.5,366.04,366.60,363.30,5356136
2019-03-15,367.0,372.25,366.25,370.10,366.77,7977181
2019-03-18,372.0,374.29,366.14,367.45,364.14,2776286
2019-03-19,368.0,368.85,362.5,364.14,360.87,3010431
2019-03-20,364.0,366.60,362.29,363.95,360.67,1211115
2019-03-22,364.29,367.45,361.54,363.04,359.78,1646283
2019-03-25,360.89,362.5,355.39,359.25,356.01,2130928
2019-03-26,362.20,370.25,361.04,369.54,366.22,4061590
2019-03-27,370.04,375.75,370.04,371.70,368.35,3879051
2019-03-28,371.95,373.20,368.10,371.54,368.20,1740501
2019-04-01,378.20,387.5,377.14,383.85,380.39,2756796
2019-04-02,384.45,384.5,379.10,380.25,376.83,1180504
2019-04-03,380.60,391.85,379.14,384.64,381.19,3425894
2019-04-04,385.14,385.95,377.5,378.29,374.89,1219612
2019-04-05,380.0,388.45,380.0,386.20,382.72,1680426
2019-04-08,387.89,390.0,381.64,385.39,381.93,1769899
2019-04-09,386.0,386.35,378.60,381.75,378.31,1529577
2019-04-10,381.75,384.79,375.70,377.04,373.65,1968507
2019-04-11,378.64,397.45,373.60,394.10,390.55,5562186
2019-04-12,396.04,407.0,395.20,405.35,401.70,4538289
2019-04-15,407.39,408.0,400.39,405.45,401.80,1802086
2019-04-16,407.10,412.64,403.75,408.54,404.87,2172703
2019-04-18,409.35,413.70,395.89,406.35,402.69,2288968
2019-04-22,405.0,406.89,396.10,397.25,393.67,836332
2019-04-23,399.10,403.0,396.85,397.79,394.22,1102870
2019-04-24,397.60,400.89,397.29,400.0,396.40,1039080
2019-04-25,400.79,402.0,396.39,399.10,395.51,926294
2019-04-26,399.10,405.79,393.20,399.64,396.05,3066741
2019-04-30,400.0,406.39,395.0,404.54,400.91,2753067
2019-05-02,405.45,418.0,405.10,417.20,413.44,3487135
2019-05-03,402.0,419.79,401.10,414.25,410.52,10118251
2019-05-06,411.60,413.0,408.0,411.10,407.40,5075321
2019-05-07,412.0,412.79,406.04,409.25,405.56,2589598
2019-05-08,407.70,413.39,406.10,410.25,406.56,3893612
2019-05-09,411.0,411.79,407.0,409.54,405.86,3527797
2019-05-10,410.39,411.95,408.95,410.04,406.36,2393114
2019-05-13,409.95,409.95,395.25,402.64,399.02,3435597
2019-05-14,396.70,396.70,386.85,391.04,387.53,6988271
2019-05-15,390.54,394.79,387.45,388.29,384.80,1668299
2019-05-16,387.95,389.5,377.39,379.89,376.48,2766863
2019-05-17,379.75,384.0,374.25,382.54,379.10,2239697
2019-05-20,394.0,399.0,391.0,397.04,393.47,3901916
2019-05-21,400.0,404.0,396.04,403.20,399.57,2174571
2019-05-22,404.0,406.0,396.29,398.10,394.51,1088291
2019-05-23,405.0,411.75,400.0,406.29,402.64,3772524
2019-05-24,408.0,410.0,399.89,407.95,404.28,1994086
2019-05-27,409.0,423.95,406.60,422.60,418.79,4152835
2019-05-28,424.0,426.0,415.10,424.95,421.12,1929443
2019-05-29,425.0,426.89,416.45,425.64,421.82,2095188
2019-05-30,425.0,437.0,423.39,435.60,431.68,2306375
2019-05-31,437.0,445.0,436.04,441.64,437.67,2807954
2019-06-03,442.0,452.0,441.0,444.0,440.00,3134716
