Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3089.0,3135.0,3073.30,3127.60,2671.73,344239
2019-01-02,3115.0,3117.30,3023.80,3046.55,2602.49,597712
2019-01-03,3032.0,3078.0,3006.30,3014.64,2575.24,368413
2019-01-04,3030.0,3045.0,2972.05,2987.85,2552.34,405667
2019-01-07,3020.0,3023.0,2952.0,2957.94,2526.80,361881
2019-01-08,2974.0,2994.5,2930.25,2970.30,2537.35,354130
2019-01-09,2985.10,2985.10,2907.0,2937.44,2509.29,388001
2019-01-10,2932.0,2949.94,2912.55,2919.5,2493.96,452293
2019-01-11,2923.0,2940.94,2885.0,2899.25,2476.66,258996
2019-01-14,2901.0,2910.30,2856.05,2867.0,2449.11,267722
2019-01-15,2879.69,2918.35,2867.35,2910.94,2486.65,371767
2019-01-16,2909.0,2914.94,2870.30,2879.85,2460.09,261721
2019-01-17,2878.5,2936.89,2864.0,2903.60,2480.38,515341
2019-01-18,2916.39,2929.94,2863.0,2898.75,2476.23,389524
2019-01-21,2901.0,2909.85,2780.0,2794.25,2386.96,628463
2019-01-22,2795.0,2835.0,2742.5,2824.89,2413.15,842837
2019-01-23,2832.0,2851.44,2785.10,2795.94,2388.42,326454
2019-01-24,2795.0,2828.0,2780.05,2790.19,2383.50,240737
2019-01-25,2755.0,2788.75,2652.69,2670.14,2280.95,775065
2019-01-28,2680.0,2685.0,2586.75,2598.60,2219.83,576248
2019-01-29,2601.05,2656.85,2574.30,2633.30,2249.47,666747
2019-01-30,2627.0,2650.0,2591.60,2611.0,2230.42,696557
2019-01-31,2612.10,2634.69,2561.0,2613.94,2232.94,1901346
2019-02-01,2629.44,2839.35,2625.0,2807.25,2398.07,3296513
2019-02-04,2800.0,2844.94,2718.19,2780.14,2374.92,991486
2019-02-05,2804.0,2873.35,2800.0,2854.55,2438.47,767865
2019-02-06,2870.0,2892.0,2850.0,2880.05,2460.26,445829
2019-02-07,2885.0,2949.14,2885.0,2939.05,2510.66,546196
2019-02-08,2915.0,2960.0,2912.64,2938.85,2510.49,544587
2019-02-11,2915.0,2915.94,2804.55,2889.05,2515.01,478111
2019-02-12,2896.85,2896.85,2785.0,2799.55,2437.10,627923
2019-02-14,2755.19,2891.64,2725.10,2776.19,2416.77,661406
2019-02-15,2785.39,2785.39,2678.0,2696.44,2347.35,700634
2019-02-18,2690.0,2704.89,2660.44,2683.55,2336.12,433854
2019-02-19,2687.0,2713.19,2628.89,2636.85,2295.46,684524
2019-02-20,2646.05,2661.75,2606.60,2623.75,2284.06,605830
2019-02-21,2632.0,2657.0,2581.5,2641.25,2299.29,736959
2019-02-22,2652.89,2697.89,2620.0,2679.85,2332.90,720407
2019-02-25,2690.0,2723.60,2690.0,2712.5,2361.32,443819
2019-02-26,2706.55,2713.0,2614.0,2689.05,2340.91,751767
2019-02-27,2695.0,2743.0,2661.0,2678.55,2331.77,581837
2019-02-28,2700.10,2707.60,2620.0,2628.10,2287.85,870312
2019-03-01,2649.89,2690.60,2640.05,2675.60,2329.20,918224
2019-03-05,2669.94,2822.0,2652.05,2795.64,2433.71,1107587
2019-03-06,2795.0,2815.0,2742.0,2765.85,2407.76,631138
2019-03-07,2770.0,2779.0,2721.0,2730.10,2376.64,394045
2019-03-08,2731.0,2758.44,2699.94,2740.35,2385.56,674840
2019-03-11,2745.0,2828.39,2745.0,2814.75,2450.33,857601
2019-03-12,2840.0,2849.39,2790.10,2808.44,2444.85,840207
2019-03-13,2814.0,2828.0,2790.60,2803.64,2440.67,380361
2019-03-14,2813.0,2818.0,2744.10,2751.69,2395.45,497697
2019-03-15,2771.0,2771.0,2717.10,2735.85,2381.65,916870
2019-03-18,2745.0,2763.14,2662.0,2669.5,2323.89,830642
2019-03-19,2659.0,2659.0,2601.0,2614.05,2275.62,978189
2019-03-20,2614.05,2645.0,2593.05,2609.14,2271.35,877100
2019-03-22,2624.44,2637.94,2594.05,2603.30,2266.26,566228
2019-03-25,2594.0,2608.80,2537.05,2575.69,2242.23,854446
2019-03-26,2586.0,2604.69,2546.80,2574.44,2241.14,555742
2019-03-27,2593.80,2594.0,2535.0,2543.19,2213.94,760530
2019-03-28,2550.0,2558.0,2515.0,2525.75,2198.75,1147361
2019-04-01,2573.0,2593.39,2545.0,2558.5,2227.26,832495
2019-04-02,2550.39,2599.0,2545.0,2569.94,2237.23,1063757
2019-04-03,2586.94,2594.0,2567.0,2580.44,2246.37,1427316
2019-04-04,2599.94,2648.69,2595.0,2637.19,2295.77,2007440
2019-04-05,2652.0,2664.0,2605.10,2618.39,2279.40,722753
2019-04-08,2628.0,2643.94,2581.0,2586.85,2251.94,723035
2019-04-09,2590.0,2631.94,2568.80,2623.64,2283.97,769508
2019-04-10,2619.0,2619.0,2586.80,2594.39,2258.51,672025
2019-04-11,2600.0,2612.0,2589.64,2601.10,2264.34,608414
2019-04-12,2597.0,2644.80,2591.14,2639.89,2298.12,925046
2019-04-15,2653.0,2710.89,2646.05,2700.69,2351.05,958245
2019-04-16,2723.75,2749.89,2715.0,2739.64,2384.96,741047
2019-04-18,2742.89,2759.89,2732.55,2741.55,2386.61,563893
2019-04-22,2741.55,2749.94,2685.0,2689.5,2341.30,453998
2019-04-23,2689.0,2727.35,2615.0,2638.05,2296.51,395502
2019-04-24,2650.0,2661.60,2582.14,2611.89,2273.74,940782
2019-04-25,2618.0,2638.0,2597.64,2612.25,2274.05,690718
2019-04-26,2610.0,2616.75,2573.69,2604.0,2266.87,727578
2019-04-30,2573.0,2574.0,2477.0,2511.85,2186.65,1634120
2019-05-02,2510.0,2569.39,2492.5,2551.69,2221.34,937946
2019-05-03,2550.0,2587.0,2537.39,2565.39,2233.26,674666
2019-05-06,2540.0,2563.0,2525.10,2531.30,2203.58,463670
2019-05-07,2567.89,2568.0,2521.5,2527.35,2200.14,347427
2019-05-08,2525.80,2540.85,2481.60,2499.69,2176.07,406025
2019-05-09,2499.0,2555.0,2490.60,2537.75,2209.20,585480
2019-05-10,2535.0,2560.0,2500.05,2507.30,2182.69,332771
2019-05-13,2507.30,2537.5,2500.0,2510.75,2185.69,313902
2019-05-14,2508.0,2534.80,2475.0,2509.75,2184.82,396304
2019-05-15,2525.0,2538.60,2483.0,2493.39,2170.59,438740
2019-05-16,2495.0,2561.0,2488.0,2520.30,2194.00,283127
2019-05-17,2523.0,2637.0,2521.80,2622.55,2283.02,962165
2019-05-20,2690.0,2742.0,2633.55,2713.44,2362.15,722330
2019-05-21,2725.0,2726.94,2648.0,2657.19,2313.18,445944
2019-05-22,2657.39,2714.69,2638.0,2699.64,2350.13,463923
2019-05-23,2740.0,2800.14,2707.89,2743.5,2388.31,1177415
2019-05-24,2753.0,2845.0,2750.0,2828.44,2462.26,756746
2019-05-27,2840.0,2850.0,2800.35,2821.19,2455.95,422121
2019-05-28,2828.0,2828.0,2735.0,2743.10,2387.96,842709
2019-05-29,2757.94,2757.94,2702.80,2725.5,2372.64,528550
2019-05-30,2730.0,2743.94,2701.19,2715.19,2363.67,406544
2019-05-31,2737.69,2763.14,2665.0,2680.25,2333.25,683661
2019-06-03,2712.0,2859.14,2712.0,2840.25,2472.53,1911409
2019-06-04,2833.0,2835.0,2745.0,2752.69,2396.32,1051402
2019-06-06,2765.0,2796.0,2716.10,2788.75,2427.70,1231094
2019-06-07,2790.0,2812.0,2731.89,2762.80,2405.11,841021
2019-06-10,2794.0,2794.0,2717.19,2745.0,2389.61,493407
2019-06-11,2760.0,2793.0,2745.30,2776.14,2416.73,465376
2019-06-12,2767.0,2769.89,2720.05,2728.05,2374.86,521559
2019-06-13,2730.0,2772.0,2685.35,2705.10,2354.88,480205
2019-06-14,2700.0,2719.5,2660.10,2670.30,2324.58,320455
2019-06-17,2665.0,2684.19,2636.0,2648.25,2305.39,484673
2019-06-18,2650.05,2683.0,2635.0,2667.80,2322.41,469539
2019-06-19,2680.0,2680.0,2572.55,2606.14,2268.74,552137
2019-06-20,2610.0,2669.69,2600.0,2665.69,2320.58,692167
2019-06-21,2659.94,2699.0,2592.89,2606.0,2268.61,903440
2019-06-24,2606.0,2606.0,2540.69,2586.25,2251.42,725058
2019-06-25,2571.0,2603.5,2550.0,2584.64,2250.02,412936
2019-06-26,2577.0,2603.94,2557.80,2573.60,2240.40,470716
2019-06-27,2585.0,2617.80,2571.05,2598.39,2261.99,1174382
2019-06-28,2598.55,2600.60,2572.05,2581.5,2247.28,265726
2019-07-01,2596.0,2639.5,2590.0,2616.5,2277.75,728762
2019-07-02,2596.5,2618.80,2571.05,2597.05,2260.82,532893
2019-07-03,2601.0,2613.80,2582.39,2587.5,2252.50,419366
2019-07-04,2590.25,2618.0,2585.0,2606.14,2268.74,446710
