Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,225.5,225.75,221.60,222.75,215.20,5015702
2019-01-02,218.94,219.14,213.64,214.55,207.27,10991026
2019-01-03,214.30,215.69,208.10,209.19,202.11,8656029
2019-01-04,210.0,212.39,207.55,210.89,203.75,17408469
2019-01-07,213.80,214.75,207.89,208.55,201.48,8143876
2019-01-08,208.5,209.55,205.30,206.5,199.50,13402916
2019-01-09,208.5,209.25,203.10,205.69,198.72,13253349
2019-01-10,206.0,206.64,203.05,204.0,197.08,9291967
2019-01-11,204.0,207.94,204.0,205.85,198.87,13314252
2019-01-14,205.5,206.60,203.39,206.14,199.16,5204874
2019-01-15,207.35,209.0,205.64,208.5,201.43,7173758
2019-01-16,209.80,210.5,206.55,208.39,201.33,8209760
2019-01-17,208.5,208.69,205.30,206.0,199.01,6537377
2019-01-18,206.64,209.39,205.94,208.80,201.72,6258424
2019-01-21,209.10,209.89,205.10,207.64,200.61,4883723
2019-01-22,206.35,206.35,201.0,203.55,196.65,7665916
2019-01-23,203.55,207.30,203.44,205.44,198.48,5821081
2019-01-24,206.0,206.19,203.25,205.05,198.10,3917176
2019-01-25,206.19,207.94,203.25,204.44,197.52,4381964
2019-01-28,204.44,206.5,198.30,200.0,193.22,5741120
2019-01-29,199.10,200.69,197.44,199.55,192.78,4458350
2019-01-30,200.39,206.25,200.39,205.80,198.82,5619506
2019-01-31,206.10,210.0,204.35,208.5,201.43,6553608
2019-02-01,208.0,212.35,203.5,211.39,204.23,10475839
2019-02-04,209.89,209.89,201.44,204.19,197.28,6196724
2019-02-05,205.89,208.75,202.69,204.75,197.81,4765441
2019-02-06,205.60,212.10,202.5,211.39,204.23,5888996
2019-02-07,211.89,212.64,208.19,209.19,202.11,6215565
2019-02-08,208.94,209.14,204.39,205.89,198.92,3958618
2019-02-11,204.89,204.89,195.64,199.44,192.69,8463393
2019-02-12,199.0,202.69,197.0,198.35,191.62,16467366
2019-02-14,197.60,198.55,190.30,191.75,185.25,10767206
2019-02-15,192.30,192.5,182.19,186.60,180.27,12678835
2019-02-18,187.0,188.69,183.89,184.55,178.29,6483004
2019-02-19,185.10,189.25,184.10,186.55,180.22,5513105
2019-02-20,187.80,193.89,187.55,193.0,186.45,7595081
2019-02-21,193.89,195.5,192.25,194.39,187.81,6498528
2019-02-22,194.30,197.0,192.30,196.44,189.79,8758060
2019-02-25,197.0,198.5,194.35,196.5,189.84,6169952
2019-02-26,192.75,197.19,189.05,196.5,189.84,9059558
2019-02-27,199.0,199.0,194.60,195.94,189.30,11910998
2019-02-28,197.69,198.19,195.0,195.75,189.11,9582600
2019-03-01,198.10,198.89,195.30,196.14,189.50,6512004
2019-03-05,195.0,199.44,194.5,198.75,192.01,7354264
2019-03-06,200.0,203.94,199.64,202.75,195.87,13683897
2019-03-07,203.75,203.75,199.89,200.60,193.80,5533457
2019-03-08,197.0,197.60,193.60,195.55,188.92,10050458
2019-03-11,197.0,202.0,196.10,201.05,194.23,5446100
2019-03-12,203.0,206.89,202.10,203.39,196.50,10988099
2019-03-13,204.0,205.30,200.69,202.30,195.44,4971396
2019-03-14,202.35,204.60,199.75,200.75,193.94,5106833
2019-03-15,201.5,202.55,197.25,199.05,192.30,7489589
2019-03-18,200.69,201.0,197.5,199.30,192.54,3663166
2019-03-19,200.0,204.25,199.44,202.35,195.49,6097075
2019-03-20,203.0,207.94,203.0,207.14,200.13,8788334
2019-03-22,208.10,211.55,206.05,209.10,202.01,11359037
2019-03-25,206.5,206.5,201.89,205.44,198.48,7451785
2019-03-26,205.55,209.35,204.60,208.5,201.43,5069088
2019-03-27,209.05,210.85,206.69,207.64,200.61,5731820
2019-03-28,206.94,208.30,201.55,202.35,195.49,8924025
2019-04-01,208.55,218.75,208.55,215.89,208.58,18454840
2019-04-02,216.25,218.30,213.19,216.94,209.59,8273747
2019-04-03,217.05,219.10,214.10,215.94,208.63,4910619
2019-04-04,215.44,215.44,210.0,210.44,203.31,7739096
2019-04-05,210.5,216.80,209.75,215.39,208.10,7965595
2019-04-08,216.69,217.80,213.05,214.44,207.18,5032285
2019-04-09,214.44,217.85,211.60,217.14,209.79,3937427
2019-04-10,214.5,216.75,209.64,211.69,204.52,13323115
2019-04-11,211.0,212.55,209.69,211.30,204.13,5920717
2019-04-12,211.30,212.0,208.0,209.75,202.64,5530088
2019-04-15,210.0,214.75,210.0,212.75,205.54,4965812
2019-04-16,214.0,217.89,213.14,214.94,207.66,6750812
2019-04-18,216.14,216.14,206.25,207.19,200.17,7237958
2019-04-22,207.30,207.80,199.60,200.39,193.60,9367081
2019-04-23,200.0,202.85,198.75,200.35,193.56,4352433
2019-04-24,200.39,201.39,197.19,200.69,193.89,6364227
2019-04-25,200.85,202.64,195.75,196.55,189.88,6735299
2019-04-26,197.80,201.89,196.5,201.14,194.33,7452786
2019-04-30,202.0,206.60,199.05,206.05,199.06,8879385
2019-05-02,204.25,207.64,201.60,204.69,197.76,7948283
2019-05-03,206.0,206.0,202.64,205.10,198.14,5320008
2019-05-06,197.0,200.94,196.80,198.89,192.15,8845838
2019-05-07,199.19,204.25,199.19,200.44,193.65,9042640
2019-05-08,200.0,202.89,196.64,200.0,193.22,7883819
2019-05-09,201.69,201.89,196.25,198.14,191.43,10482577
2019-05-10,199.10,201.05,193.60,195.80,189.16,8821650
2019-05-13,194.89,194.89,191.39,192.19,185.68,6979614
2019-05-14,191.0,193.94,188.0,192.94,186.41,8451501
2019-05-15,192.94,196.0,189.64,190.64,184.18,6684736
2019-05-16,191.25,195.89,190.0,194.60,188.00,10526494
2019-05-17,192.0,192.80,187.25,191.69,185.20,13564609
2019-05-20,194.5,199.69,193.75,198.75,192.01,5411945
2019-05-21,199.75,200.0,193.19,196.0,189.35,5194195
2019-05-22,196.0,199.35,195.0,198.0,191.29,5592495
2019-05-23,201.0,201.0,190.85,191.75,185.25,7476261
2019-05-24,193.0,196.44,190.0,195.80,189.16,6326402
2019-05-27,196.0,201.85,195.30,200.60,193.80,4498005
2019-05-28,200.60,207.14,200.60,201.85,195.00,12223332
2019-05-29,201.0,201.0,197.25,199.30,192.54,5123395
2019-05-30,199.10,200.80,196.30,198.55,191.82,7039964
2019-05-31,199.05,199.69,195.19,197.0,190.32,8803541
2019-06-03,197.0,200.39,194.39,199.39,192.64,5305570
2019-06-04,198.85,200.5,196.85,197.80,191.09,4728557
2019-06-06,197.80,198.44,193.69,194.85,188.24,6628617
2019-06-07,194.85,196.64,193.39,194.80,188.19,3812625
2019-06-10,196.80,198.60,195.0,198.25,191.53,3880878
2019-06-11,198.89,200.89,195.64,199.60,192.83,5966155
2019-06-12,198.60,202.89,197.14,199.30,192.54,6232564
2019-06-13,198.94,200.35,196.69,199.64,192.88,4654391
2019-06-14,198.39,200.69,196.80,198.25,191.53,3624064
2019-06-17,199.0,199.0,193.0,193.60,187.03,5976790
2019-06-18,193.44,195.30,189.30,189.94,183.51,8848621
2019-06-19,192.25,196.25,188.39,190.05,183.60,11219284
2019-06-20,190.19,194.80,188.10,194.30,187.71,6469404
2019-06-21,193.89,198.30,193.14,197.64,190.95,7596593
2019-06-24,197.0,203.25,196.5,198.19,191.48,10464941
2019-06-25,196.5,203.89,194.5,202.5,195.63,8418631
2019-06-26,201.5,208.94,201.05,208.35,201.28,6730323
2019-06-27,209.64,210.39,205.35,206.10,199.11,8700344
2019-06-28,206.0,207.60,203.55,207.05,200.03,5454954
2019-07-01,208.10,210.60,207.19,208.89,201.82,6353325
2019-07-02,209.0,210.19,206.0,209.35,202.25,3552844
2019-07-03,208.75,210.30,205.35,208.69,201.62,5052706
