Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1824.80,1824.80,1798.34,1801.09,1657.55,807345
2019-01-02,1792.40,1808.84,1771.30,1784.59,1642.37,1598707
2019-01-03,1782.59,1803.44,1782.59,1788.40,1645.86,1182624
2019-01-04,1798.90,1802.0,1772.15,1781.69,1639.70,1454134
2019-01-07,1791.5,1804.0,1782.44,1784.94,1642.69,909032
2019-01-08,1792.0,1793.5,1761.09,1770.84,1629.71,1262707
2019-01-09,1777.5,1797.0,1773.40,1785.0,1642.74,1324628
2019-01-10,1785.0,1799.09,1779.0,1786.19,1643.84,1313981
2019-01-11,1795.0,1795.40,1758.55,1769.40,1628.38,1113837
2019-01-14,1771.0,1780.75,1760.09,1763.90,1623.32,1018068
2019-01-15,1767.40,1793.40,1767.40,1789.84,1647.20,1614600
2019-01-16,1790.0,1794.80,1766.80,1772.55,1631.28,2054033
2019-01-17,1776.90,1779.25,1742.5,1751.5,1611.91,1941204
2019-01-18,1750.0,1768.84,1727.30,1744.09,1605.10,3234056
2019-01-21,1749.0,1758.0,1736.05,1746.90,1607.67,1628067
2019-01-22,1746.0,1755.0,1741.25,1750.19,1610.71,1776472
2019-01-23,1752.0,1784.05,1749.40,1767.19,1626.35,2321782
2019-01-24,1766.80,1784.05,1756.69,1759.5,1619.27,1350870
2019-01-25,1762.0,1778.75,1750.0,1756.80,1616.78,1131790
2019-01-28,1758.90,1771.55,1740.15,1743.0,1604.08,1289774
2019-01-29,1745.0,1763.84,1726.09,1756.69,1616.69,1319822
2019-01-30,1760.0,1760.75,1728.09,1733.34,1595.20,1259978
2019-01-31,1735.90,1774.90,1735.25,1763.25,1622.72,1880257
2019-02-01,1763.25,1832.5,1761.44,1799.30,1655.90,2342251
2019-02-04,1799.90,1823.0,1794.69,1802.59,1658.93,1116390
2019-02-05,1805.0,1834.94,1804.94,1821.44,1676.28,1278708
2019-02-06,1828.40,1836.44,1820.0,1829.94,1684.10,859789
2019-02-07,1834.0,1845.0,1828.34,1839.05,1692.48,927434
2019-02-08,1839.09,1847.0,1811.0,1817.30,1672.46,1222765
2019-02-11,1811.05,1815.40,1795.75,1804.80,1660.96,797453
2019-02-12,1810.0,1812.0,1789.0,1794.5,1651.48,990035
2019-02-14,1796.0,1798.5,1777.0,1785.05,1642.78,1341658
2019-02-15,1790.0,1790.0,1747.5,1772.80,1631.51,1177218
2019-02-18,1775.09,1775.09,1735.0,1751.90,1612.27,1513430
2019-02-19,1750.0,1759.59,1730.44,1737.94,1599.44,1598381
2019-02-20,1742.69,1745.94,1722.0,1733.5,1595.34,1430235
2019-02-21,1737.0,1758.0,1736.34,1754.69,1614.85,1225418
2019-02-22,1760.0,1773.0,1751.94,1768.55,1627.60,1360163
2019-02-25,1772.0,1775.80,1759.0,1770.15,1629.07,1490746
2019-02-26,1763.40,1785.90,1762.0,1772.25,1631.00,2190515
2019-02-27,1779.0,1779.0,1728.55,1736.5,1598.10,1491740
2019-02-28,1749.0,1756.65,1727.59,1732.65,1594.56,1895136
2019-03-01,1735.0,1749.0,1731.05,1734.65,1596.40,761115
2019-03-05,1739.80,1739.80,1717.5,1724.59,1587.15,1406843
2019-03-06,1726.09,1730.0,1697.94,1699.80,1564.33,2193045
2019-03-07,1706.34,1720.0,1699.80,1705.40,1569.48,1566441
2019-03-08,1706.0,1718.0,1695.09,1701.59,1565.98,1419614
2019-03-11,1708.75,1726.0,1703.0,1714.94,1578.27,1427771
2019-03-12,1718.90,1739.0,1718.80,1734.80,1596.54,1861116
2019-03-13,1749.0,1755.5,1741.09,1747.59,1608.32,1744331
2019-03-14,1750.75,1751.69,1730.19,1737.30,1598.84,867427
2019-03-15,1745.0,1746.5,1694.44,1698.40,1563.04,3571762
2019-03-18,1710.0,1710.94,1686.90,1697.55,1562.26,1621113
2019-03-19,1697.59,1709.40,1688.19,1699.65,1564.19,1456211
2019-03-20,1705.0,1716.5,1683.44,1687.55,1553.05,2312268
2019-03-22,1687.55,1703.84,1673.69,1678.05,1544.31,1636228
2019-03-25,1674.0,1687.5,1660.0,1673.84,1540.44,2039945
2019-03-26,1679.90,1691.55,1674.0,1683.80,1549.60,1452899
2019-03-27,1684.0,1707.80,1675.0,1680.80,1546.84,1520533
2019-03-28,1685.0,1692.0,1673.40,1683.90,1549.69,1852958
2019-04-01,1710.0,1721.34,1686.0,1690.0,1555.31,1283162
2019-04-02,1693.15,1697.0,1680.09,1687.15,1552.68,1227869
2019-04-03,1682.0,1686.59,1668.65,1670.80,1537.64,1233102
2019-04-04,1668.0,1686.59,1658.0,1666.55,1533.73,1212398
2019-04-05,1670.0,1671.5,1650.0,1659.09,1526.87,1468074
