Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,805.0,805.84,771.29,773.34,735.68,3442903
2019-01-02,772.79,772.79,735.09,741.70,705.57,10596260
2019-01-03,743.40,744.84,716.20,718.29,683.31,11084172
2019-01-04,720.0,728.29,712.5,725.59,690.26,5919404
2019-01-07,734.54,735.90,723.54,729.54,694.01,2792255
2019-01-08,720.0,733.20,717.5,723.40,688.16,4764487
2019-01-09,729.0,729.95,720.15,726.29,690.92,2569424
2019-01-10,728.0,734.84,722.79,733.20,697.49,2550750
2019-01-11,735.0,735.0,721.25,727.90,692.44,2215240
2019-01-14,725.0,726.40,714.29,724.54,689.26,1713221
2019-01-15,727.5,730.0,723.34,726.90,691.49,2138402
2019-01-16,727.29,732.5,724.54,726.25,690.87,1288969
2019-01-17,729.0,740.0,727.95,734.65,698.87,3318440
2019-01-18,734.5,737.90,728.0,734.95,699.15,1601885
2019-01-21,738.0,738.0,727.34,730.29,694.73,1341152
2019-01-22,727.70,727.70,705.15,708.5,673.99,5097285
2019-01-23,708.5,709.75,693.59,695.84,661.96,4714919
2019-01-24,699.0,700.04,686.04,697.29,663.33,3891245
2019-01-25,702.0,703.5,681.0,683.5,650.21,3421228
2019-01-28,683.5,683.5,667.5,673.04,640.27,5762442
2019-01-29,671.95,676.90,661.59,669.65,637.03,4860919
2019-01-30,671.90,680.0,670.29,678.65,645.59,2738163
2019-01-31,678.0,683.0,672.75,680.04,646.92,3496189
2019-02-01,689.0,715.40,680.54,688.40,654.87,8005192
2019-02-04,688.0,688.40,670.34,674.45,641.60,2652101
2019-02-05,675.25,692.59,672.65,684.90,651.54,3550741
2019-02-06,687.90,698.25,682.04,695.09,661.24,2221744
2019-02-07,695.0,708.90,693.09,700.90,666.76,2710457
2019-02-08,702.0,706.70,678.54,682.09,648.87,10858152
2019-02-11,669.40,673.40,645.20,647.54,616.01,7931599
2019-02-12,647.0,657.79,644.0,648.70,617.10,3357448
2019-02-14,640.70,642.40,632.29,634.40,603.50,3530468
2019-02-15,635.0,636.90,618.79,627.54,596.98,5765467
2019-02-18,630.0,630.0,615.59,624.70,594.27,4750172
2019-02-19,627.0,642.0,625.25,632.59,601.79,3526711
2019-02-20,637.0,637.29,628.15,633.54,602.69,2369483
2019-02-21,633.54,635.95,625.0,634.20,603.31,2813880
2019-02-22,635.0,648.59,632.25,646.59,615.10,4053346
