Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,150.0,150.10,148.0,148.5,106.71,4496586
2019-01-02,148.0,148.35,145.75,147.05,105.67,17436694
2019-01-03,145.0,145.64,141.60,142.39,102.32,26599483
2019-01-04,142.05,146.19,142.05,145.69,104.70,7395898
2019-01-07,147.55,148.39,145.75,147.85,106.24,12700566
2019-01-08,149.10,149.10,146.30,147.44,105.95,6163846
2019-01-09,147.89,148.19,144.85,145.30,104.41,4951441
2019-01-10,145.89,147.0,143.0,143.25,102.94,7131028
2019-01-11,144.0,145.5,143.64,144.64,103.94,7665486
2019-01-14,145.0,145.19,142.5,143.44,103.08,6028078
2019-01-15,144.69,145.5,144.05,145.14,104.30,3680774
2019-01-16,145.19,147.25,145.19,146.35,105.16,3667241
2019-01-17,146.5,147.44,144.44,145.0,104.19,5142302
2019-01-18,145.10,147.69,145.10,146.75,105.45,4904282
2019-01-21,147.0,147.19,144.10,144.69,103.98,4087312
2019-01-22,145.5,146.0,144.05,144.35,103.73,4113351
2019-01-23,144.69,145.55,143.0,143.30,102.97,4946218
2019-01-24,143.39,143.94,141.05,141.69,101.82,3820645
2019-01-25,142.10,144.44,141.64,142.0,102.04,3871762
2019-01-28,142.5,142.94,139.64,141.64,101.79,2910523
2019-01-29,142.30,143.69,140.10,141.05,101.35,7282910
2019-01-30,141.44,141.5,138.5,139.69,100.38,8511453
2019-01-31,140.19,142.80,139.25,141.25,101.50,28107358
2019-02-01,141.0,143.30,139.80,141.80,101.89,5260578
2019-02-04,142.5,147.44,142.44,146.25,105.09,9532350
2019-02-05,146.0,148.19,142.30,142.94,102.72,5413425
2019-02-06,143.39,147.75,142.5,146.69,105.41,5075180
2019-02-07,146.89,148.30,145.5,147.89,106.28,6080631
2019-02-08,146.30,148.30,143.14,144.14,103.58,4510762
2019-02-11,143.25,143.64,137.10,138.19,99.31,6424512
2019-02-12,138.5,140.94,136.55,137.44,98.77,6816203
2019-02-14,133.5,134.19,127.59,132.14,94.96,25346334
2019-02-15,138.0,140.89,133.39,135.0,97.01,37975666
2019-02-18,136.80,138.89,135.80,137.10,98.52,10614715
2019-02-19,137.19,140.35,137.19,139.14,99.99,9077045
2019-02-20,141.60,145.35,140.0,144.05,103.51,14236359
2019-02-21,145.0,148.60,144.19,146.94,105.59,13876243
2019-02-22,148.60,150.5,147.10,148.60,106.78,18273813
2019-02-25,149.0,149.35,145.69,147.75,106.17,20216077
2019-02-26,147.5,149.19,146.0,147.5,105.99,12458860
2019-02-27,148.75,149.75,146.5,148.0,106.35,11868751
2019-02-28,144.39,150.75,143.10,148.64,110.74,48854712
2019-03-01,149.89,150.19,147.85,149.10,111.08,9764801
2019-03-05,148.75,155.64,147.85,155.0,115.48,11194669
2019-03-06,155.10,157.0,152.80,154.80,115.33,15648948
2019-03-07,154.80,155.5,151.5,152.05,113.28,30210637
2019-03-08,152.10,152.60,147.0,150.39,112.05,17986042
2019-03-11,151.55,154.30,151.10,153.0,113.99,15880368
2019-03-12,154.0,155.60,151.10,151.85,113.13,10818012
2019-03-13,151.25,151.25,145.69,149.75,111.56,21001041
2019-03-14,150.0,152.5,149.5,151.05,112.53,6328309
2019-03-15,151.89,157.44,151.19,156.0,116.22,15483879
2019-03-18,155.0,157.30,153.60,154.64,115.21,7575127
2019-03-19,155.94,163.19,154.80,157.0,116.97,18289779
2019-03-20,156.64,157.05,150.60,151.85,113.13,28675956
2019-03-22,152.94,153.44,148.44,152.35,113.50,26751005
2019-03-25,152.0,160.55,150.69,158.64,118.19,22638399
2019-03-26,159.0,163.05,158.69,160.05,119.99,16694599
2019-03-27,160.14,161.39,157.5,160.10,120.03,10063152
2019-03-28,160.0,160.25,155.19,155.89,116.88,25492224
2019-04-01,160.5,160.94,155.80,157.25,117.89,20605152
2019-04-02,159.19,159.69,156.39,157.5,118.08,10435568
2019-04-03,158.55,159.10,154.60,155.44,116.55,8283863
2019-04-04,155.25,156.35,153.30,155.25,116.40,10752094
2019-04-05,156.0,157.14,153.94,156.55,117.37,6797106
2019-04-08,157.80,160.25,156.55,158.10,118.53,13120469
2019-04-09,158.60,158.89,157.05,157.55,118.12,8487177
2019-04-10,156.94,159.94,156.80,158.0,118.46,9363447
2019-04-11,158.0,159.39,155.89,158.60,118.91,5279154
2019-04-12,159.0,159.64,157.25,157.60,118.16,5631030
2019-04-15,158.30,158.30,156.10,156.44,117.30,3902646
2019-04-16,156.5,161.0,155.85,160.44,120.29,8394765
