Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,111.06,112.78,110.30,112.50,75.77,3961625
2019-01-02,111.99,112.50,109.12,109.82,73.97,7876559
2019-01-03,109.63,109.68,108.00,108.59,73.14,7942863
2019-01-04,108.73,110.67,107.66,110.19,74.22,4017540
2019-01-07,110.30,111.88,110.16,111.62,75.18,3592512
2019-01-08,111.31,111.65,110.13,111.00,74.77,3990870
2019-01-09,111.00,111.79,110.02,111.15,74.86,4087529
2019-01-10,111.06,111.06,109.63,110.05,74.12,3589725
2019-01-11,109.63,110.19,108.70,109.32,73.63,2995789
2019-01-14,109.15,109.32,107.43,108.28,72.93,5370460
2019-01-15,111.93,111.93,107.10,108.25,72.91,11498868
2019-01-16,108.28,109.20,107.77,108.00,72.74,8515441
2019-01-17,108.00,109.43,108.00,109.06,73.46,5325531
2019-01-18,109.12,110.64,108.28,108.90,73.34,4366941
2019-01-21,109.09,109.51,107.24,107.57,72.45,4067143
2019-01-22,107.43,107.57,106.03,106.70,71.87,3577455
2019-01-23,106.62,107.71,104.45,104.79,70.58,6173490
2019-01-24,105.01,106.36,104.37,105.04,70.75,6157088
2019-01-25,105.52,106.36,104.20,104.54,70.41,3868441
2019-01-28,104.62,106.08,102.37,105.63,71.15,7440853
2019-01-29,105.07,105.63,103.30,104.40,70.31,17469350
2019-01-30,104.11,105.69,103.16,105.24,70.88,12711500
2019-01-31,106.03,107.71,105.07,106.08,71.45,25774313
2019-02-01,107.40,107.91,104.56,106.98,72.06,9474849
2019-02-04,106.59,106.59,103.35,103.83,69.93,3678667
2019-02-05,103.55,105.15,103.21,104.68,70.50,5500377
2019-02-06,104.76,106.17,103.92,105.07,70.77,4322649
2019-02-07,105.15,105.58,103.50,103.83,69.93,4309303
2019-02-08,103.83,105.72,101.53,101.81,68.57,7692145
2019-02-11,101.02,103.05,100.04,102.57,69.08,7913450
2019-02-12,102.93,104.85,101.50,101.95,68.67,11930402
2019-02-14,99.84,100.60,97.03,98.40,66.28,36962390
2019-02-15,100.35,102.48,99.90,102.09,68.76,16005610
2019-02-18,102.06,103.21,100.99,101.67,68.48,7973918
2019-02-19,101.39,102.93,100.63,100.94,67.98,10824411
2019-02-20,101.67,102.71,100.46,102.26,68.87,9658184
2019-02-21,102.76,102.93,101.72,102.26,68.87,9197823
2019-02-22,102.20,102.71,101.53,102.31,68.91,12182132
2019-02-25,101.81,102.65,100.40,102.34,68.93,29907322
2019-02-26,100.96,102.76,100.60,101.92,68.65,13683801
2019-02-27,101.98,103.66,101.16,102.06,68.74,13566494
2019-02-28,102.88,103.92,101.58,102.85,69.27,69863939
2019-03-01,102.99,103.35,102.43,103.05,69.40,7227772
2019-03-05,103.50,104.31,102.71,102.93,69.33,15733697
2019-03-06,102.99,104.85,102.20,103.78,69.90,20336766
2019-03-07,105.18,106.59,103.83,105.27,70.90,12295538
2019-03-08,105.75,106.00,104.20,105.18,70.84,6211299
2019-03-11,106.03,110.25,105.60,109.29,73.61,17678891
2019-03-12,109.49,113.62,109.49,110.44,74.39,26457157
2019-03-13,111.43,111.51,108.61,109.54,73.78,6930222
2019-03-14,106.28,106.73,105.32,105.52,74.03,8466765
2019-03-15,105.24,109.23,105.24,108.70,76.26,14301914
2019-03-18,109.20,111.26,108.70,110.84,77.76,14247336
2019-03-19,110.36,112.61,109.85,111.93,78.52,16995997
2019-03-20,112.07,112.41,110.53,111.03,77.89,9060589
2019-03-22,111.31,112.97,110.89,111.65,78.33,8782833
2019-03-25,110.92,114.46,109.74,113.62,79.71,14506515
2019-03-26,113.70,114.69,112.16,114.10,80.04,8371544
2019-03-27,114.18,115.14,111.65,112.61,79.00,11579885
2019-03-28,112.50,112.50,110.50,111.51,78.23,17034861
2019-04-01,111.48,112.33,109.74,109.99,77.16,10617688
2019-04-02,110.25,112.95,110.25,112.38,78.84,17946031
2019-04-03,112.72,113.93,112.58,113.03,79.29,15076661
2019-04-04,113.31,114.32,111.65,112.13,78.66,10130253
2019-04-05,112.89,112.89,110.27,110.41,77.46,9883976
2019-04-08,111.37,112.66,109.99,111.57,78.27,13511642
2019-04-09,111.90,112.13,110.84,111.57,78.27,10655872
2019-04-10,111.23,112.30,111.23,111.74,78.39,8637199
2019-04-11,112.02,112.16,110.05,110.22,77.32,13713296
2019-04-12,110.61,111.17,109.71,110.84,77.76,11004111
2019-04-15,111.26,112.97,110.86,111.40,78.15,8965316
2019-04-16,111.93,112.41,110.53,110.72,77.68,4918434
2019-04-18,111.00,111.29,108.84,109.29,76.67,11593259
2019-04-22,109.23,110.64,108.78,109.57,76.87,7772049
2019-04-23,109.01,109.43,108.02,108.56,76.16,6686014
2019-04-24,108.61,109.49,106.90,107.97,75.74,7288151
2019-04-25,108.11,110.13,107.26,107.74,75.58,17599280
2019-04-26,107.43,109.35,107.07,107.32,75.29,8664580
2019-04-30,107.83,108.28,104.28,104.85,73.55,14290974
2019-05-02,105.21,107.32,104.87,106.98,75.05,8897549
2019-05-03,107.38,108.53,106.98,107.35,75.31,10782838
2019-05-06,106.87,108.47,106.22,107.12,75.15,5477945
2019-05-07,107.15,109.01,107.15,107.74,75.58,9450289
2019-05-08,107.97,108.98,106.25,106.87,74.97,10180731
2019-05-09,106.81,106.90,104.82,105.69,74.14,7921214
2019-05-10,105.97,106.00,104.09,104.37,73.22,5938686
2019-05-13,104.31,104.65,102.40,102.74,72.07,5504435
2019-05-14,102.31,103.61,101.84,102.17,71.68,11334983
2019-05-15,103.02,103.83,99.81,100.40,70.44,7616268
2019-05-16,100.88,102.76,100.60,102.29,71.76,8660893
2019-05-17,102.20,103.27,101.44,102.45,71.88,10183233
2019-05-20,104.68,106.25,103.52,105.77,74.20,6287120
2019-05-21,105.89,106.08,103.35,103.47,72.59,7748239
2019-05-22,103.44,104.23,102.26,102.43,71.86,6972640
2019-05-23,104.62,105.80,102.99,103.86,72.86,13966122
2019-05-24,104.42,104.93,103.64,104.42,73.26,7240775
2019-05-27,104.87,106.65,104.42,105.38,73.93,6424176
2019-05-28,105.89,107.60,105.63,106.98,75.05,11255911
2019-05-29,107.66,108.56,106.50,106.95,75.03,8310232
2019-05-30,108.78,109.06,105.83,107.55,75.45,34989609
2019-05-31,107.71,108.22,105.97,106.48,74.70,11849847
2019-06-03,107.01,108.84,106.87,108.59,76.18,12106965
2019-06-04,108.30,110.25,107.97,108.53,76.14,11447117
2019-06-06,109.68,111.45,109.20,109.94,77.12,26132949
2019-06-07,109.94,110.27,107.52,107.85,75.66,8783688
2019-06-10,108.53,110.22,108.22,109.29,76.67,11231885
2019-06-11,109.85,110.08,108.50,108.92,76.41,6589306
2019-06-12,108.56,108.90,107.04,107.52,75.43,7509749
2019-06-13,107.55,109.37,106.67,109.04,76.49,11041648
2019-06-14,109.12,110.78,108.75,109.46,76.79,34979466
2019-06-17,110.47,110.50,108.90,109.15,76.57,10860754
2019-06-18,109.51,111.85,109.20,111.26,78.05,17815522
2019-06-19,111.43,113.34,111.37,112.66,79.04,32722391
2019-06-20,112.86,114.04,112.10,113.03,79.29,11459458
2019-06-21,113.17,113.65,111.68,112.44,78.88,16601442
2019-06-24,112.50,112.92,111.12,111.96,78.54,9883389
2019-06-25,111.93,113.79,111.93,113.40,79.55,10375296
2019-06-26,113.31,118.65,113.09,117.92,82.73,31182825
2019-06-27,117.61,118.06,116.01,116.83,81.96,13741562
2019-06-28,116.52,117.90,115.11,116.38,81.64,12067819
2019-07-01,116.57,118.12,115.67,116.46,81.70,11211814
2019-07-02,116.66,117.67,116.07,116.63,81.82,12203723
2019-07-03,117.11,117.92,116.26,117.53,82.45,13693989
2019-07-04,117.56,118.57,116.83,118.23,82.94,12324046
2019-07-05,118.15,119.25,114.86,115.79,81.23,12525923
2019-07-08,115.31,116.07,112.69,113.20,79.41,8948141
2019-07-09,113.59,115.42,112.27,115.17,80.79,6875651
2019-07-10,115.14,116.12,114.24,115.48,81.01,12675299
2019-07-11,116.10,117.64,115.93,117.33,82.31,7808266
2019-07-12,117.33,118.04,114.97,116.26,81.56,6349095
2019-07-15,115.67,116.29,114.13,115.28,80.87,6656137
2019-07-16,115.20,117.78,114.91,117.50,82.43,6627472
2019-07-17,117.45,118.43,116.12,117.00,82.08,6388864
2019-07-18,117.50,117.50,115.31,115.50,81.03,8419638
2019-07-19,115.76,116.80,114.07,115.70,81.17,10869152
2019-07-22,115.87,116.55,113.96,114.80,80.54,9061812
2019-07-23,115.14,118.68,114.86,118.37,83.04,14046808
2019-07-24,117.92,119.81,117.30,118.01,82.79,18181391
2019-07-25,118.12,120.60,118.04,119.89,84.11,28085772
2019-07-26,119.89,120.37,118.26,118.99,83.48,10950941
2019-07-29,119.44,119.53,116.18,116.94,82.04,5948953
2019-07-30,116.88,118.01,116.26,117.14,82.18,10050004
2019-07-31,116.71,120.34,116.40,118.57,83.18,26229893
2019-08-01,119.22,121.64,118.01,120.37,84.44,27069006
2019-08-02,119.78,120.34,117.19,118.43,83.08,20863783
2019-08-05,118.12,118.12,110.72,113.14,79.37,18063375
2019-08-06,112.83,113.93,110.39,111.43,78.17,11846580
2019-08-07,111.93,113.03,110.86,111.85,78.47,9432897
2019-08-08,111.40,117.36,110.84,114.01,79.99,6595239
2019-08-09,114.46,117.47,113.20,113.62,79.71,9175926
2019-08-13,112.75,115.53,110.67,113.62,79.71,7558090
2019-08-14,113.09,115.98,111.23,115.39,80.95,8024154
2019-08-16,114.80,120.51,113.79,118.77,83.32,11894601
2019-08-19,117.64,118.12,115.95,116.46,83.01,8100095
2019-08-20,116.43,118.63,115.67,115.90,82.61,8711658
2019-08-21,116.24,116.77,114.91,115.25,82.15,5649369
2019-08-22,115.03,115.62,112.95,114.04,81.29,5059207
2019-08-23,113.65,115.08,112.89,113.34,80.79,7611285
2019-08-26,113.82,114.46,112.02,114.13,81.35,7846961
2019-08-27,114.21,117.78,114.21,116.18,82.81,18828020
2019-08-28,116.97,118.82,114.94,115.73,82.49,15756988
2019-08-29,115.73,116.32,114.55,115.20,82.11,8660979
2019-08-30,115.50,116.55,109.12,112.78,80.39,15630977
2019-09-03,113.28,113.85,110.27,110.84,79.00,9494810
2019-09-04,111.06,111.93,109.85,110.75,78.94,8565768
2019-09-05,111.93,114.35,111.00,112.13,79.92,14199248
2019-09-06,112.69,114.94,112.52,114.46,81.59,13782929
2019-09-09,114.32,115.22,113.51,114.13,81.35,4769289
2019-09-11,114.18,114.69,112.38,113.28,80.75,7723322
2019-09-12,113.62,113.62,111.17,112.30,80.05,11516235
2019-09-13,112.21,114.18,111.96,113.99,81.25,7223537
2019-09-16,113.06,114.75,112.97,113.70,81.05,6031015
2019-09-17,113.85,114.01,112.13,112.75,80.37,5823968
2019-09-18,112.78,114.18,111.51,113.65,81.01,7206830
2019-09-19,114.04,114.04,111.99,113.14,80.65,6306748
2019-09-20,112.61,117.50,109.91,110.36,78.66,51859153
2019-09-23,110.81,111.51,104.85,105.91,75.49,24586363
2019-09-24,105.69,107.97,104.06,107.12,76.36,18234411
2019-09-25,108.84,114.41,108.61,111.79,79.68,48245282
2019-09-26,112.47,113.28,110.86,112.07,79.88,15826874
2019-09-27,111.26,112.35,110.27,111.43,79.42,10034452
2019-09-30,110.81,112.50,110.05,111.96,79.80,9111327
2019-10-01,112.21,113.99,110.25,110.53,78.78,7634447
2019-10-03,110.64,112.50,109.40,111.99,79.82,9432906
2019-10-04,111.96,112.38,110.02,110.55,78.80,19442087
2019-10-07,110.64,111.03,109.35,110.53,78.78,11655995
2019-10-09,111.09,111.88,109.91,111.20,79.26,8504262
2019-10-10,111.31,112.27,110.53,111.99,79.82,6982965
2019-10-11,111.96,114.89,111.88,113.06,80.59,10517558
2019-10-14,113.06,113.79,111.20,111.60,79.54,11162487
2019-10-15,111.60,113.62,111.54,113.20,80.69,5013200
2019-10-16,113.06,113.20,110.61,111.68,79.60,6668842
2019-10-17,111.79,112.35,110.53,111.20,79.26,7899823
2019-10-18,111.20,114.32,110.81,113.93,81.21,8795448
2019-10-22,113.06,116.74,113.06,115.34,82.21,10675241
2019-10-23,115.31,116.43,113.79,116.01,82.69,5777589
2019-10-24,116.10,116.57,114.52,114.80,81.83,5428181
