Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1114.68,1116.71,1099.67,1110.47,1089.55,4498087
2019-01-02,1104.03,1116.41,1090.66,1096.01,1075.36,7212697
2019-01-03,1097.10,1104.13,1079.86,1082.48,1062.10,7517041
2019-01-04,1087.09,1094.07,1070.94,1088.33,1067.83,8545382
2019-01-07,1096.60,1107.94,1090.66,1094.37,1073.76,5565822
2019-01-08,1094.72,1099.52,1085.70,1094.27,1073.66,5678473
2019-01-09,1101.55,1106.51,1088.38,1100.32,1079.59,5821468
2019-01-10,1097.34,1100.56,1092.64,1097.10,1076.43,4118960
2019-01-11,1097.19,1103.34,1078.37,1087.73,1067.25,6525174
2019-01-14,1084.71,1090.16,1076.19,1086.50,1066.03,4150757
2019-01-15,1094.62,1121.37,1094.62,1119.04,1097.96,10158260
2019-01-16,1124.34,1134.24,1119.73,1125.23,1104.04,6443279
2019-01-17,1133.70,1137.12,1119.38,1123.79,1102.63,7558941
2019-01-18,1138.01,1178.72,1124.58,1173.22,1151.13,25927601
2019-01-21,1182.78,1228.30,1177.48,1226.07,1202.98,22247437
2019-01-22,1221.27,1235.24,1208.14,1223.55,1200.50,16709723
2019-01-23,1221.71,1232.51,1210.52,1214.78,1191.90,8913196
2019-01-24,1213.49,1241.43,1208.64,1235.73,1212.46,13279882
2019-01-25,1238.70,1252.82,1223.79,1234.30,1211.05,8631889
2019-01-28,1238.75,1244.15,1210.92,1218.00,1195.06,8650493
2019-01-29,1219.44,1220.08,1190.06,1199.28,1176.69,9417294
2019-01-30,1203.59,1213.49,1179.91,1184.47,1162.16,7921321
2019-01-31,1190.71,1218.15,1189.72,1215.62,1192.73,10281893
2019-02-01,1222.41,1243.21,1215.52,1238.21,1214.89,9316446
2019-02-04,1235.29,1284.77,1230.38,1278.77,1254.69,11781195
2019-02-05,1279.86,1292.15,1266.59,1279.42,1255.32,9451152
2019-02-06,1284.07,1305.27,1282.09,1297.94,1273.50,9500797
2019-02-07,1297.94,1308.79,1274.02,1278.28,1254.20,9299549
2019-02-08,1272.73,1288.28,1260.30,1265.70,1241.86,6567167
2019-02-11,1263.91,1264.01,1239.25,1241.48,1218.09,7595318
