Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,595.25,601.79,592.20,598.84,592.67,40902
2019-01-02,593.40,604.0,593.40,601.70,595.49,115282
2019-01-03,598.40,603.0,590.0,600.04,593.85,415471
2019-01-04,603.0,615.0,600.0,602.84,596.63,119061
2019-01-07,602.84,608.84,597.70,602.45,596.23,316222
2019-01-08,600.0,626.90,600.0,612.5,606.18,214725
2019-01-09,615.0,649.75,615.0,642.95,636.31,304725
2019-01-10,642.09,648.40,631.0,634.75,628.20,165683
2019-01-11,635.0,643.0,630.0,638.5,631.91,171998
2019-01-14,633.0,636.65,618.25,620.09,613.70,366016
2019-01-15,624.0,631.15,620.0,623.90,617.46,68669
2019-01-16,622.5,630.29,618.0,621.40,614.98,440003
2019-01-17,621.5,633.54,618.0,623.34,616.91,377003
2019-01-18,627.0,629.5,615.0,620.20,613.80,107504
2019-01-21,625.0,644.70,612.5,617.65,611.27,427431
2019-01-22,620.0,629.79,611.70,619.90,613.50,95583
2019-01-23,623.0,628.90,612.20,620.0,613.60,159259
2019-01-24,620.0,629.40,615.09,618.25,611.87,129335
2019-01-25,627.45,633.0,615.65,619.59,613.20,222746
2019-01-28,621.0,624.45,595.25,599.25,593.06,285382
2019-01-29,600.09,617.95,595.70,606.09,599.84,302014
2019-01-30,607.0,616.40,596.0,599.95,593.76,260752
2019-01-31,600.5,607.75,593.70,595.0,588.86,780410
2019-02-01,600.0,604.0,588.09,590.95,584.85,546770
2019-02-04,594.0,599.0,571.09,589.75,583.66,146249
2019-02-05,589.75,594.0,582.0,584.0,577.97,53619
2019-02-06,585.0,590.0,575.0,579.40,573.42,690808
2019-02-07,580.0,584.40,575.04,577.25,571.29,570245
2019-02-08,577.25,583.95,575.0,577.54,571.59,130409
2019-02-11,576.0,579.09,561.04,566.84,561.00,339881
2019-02-12,569.84,585.65,562.09,574.70,568.77,288095
2019-02-14,569.90,574.5,564.90,568.54,562.68,24238
2019-02-15,568.54,575.79,562.0,568.84,562.98,72417
2019-02-18,569.5,572.09,563.29,567.45,561.59,33962
2019-02-19,573.65,573.65,560.90,562.45,556.64,91484
2019-02-20,564.59,571.09,556.0,561.59,555.80,1156061
2019-02-21,562.0,565.70,560.0,561.90,556.10,97421
2019-02-22,565.25,570.0,556.75,559.84,554.07,207746
2019-02-25,563.0,564.84,555.34,561.0,555.21,256241
2019-02-26,561.0,564.0,555.0,559.40,553.62,205333
2019-02-27,563.0,565.95,561.09,563.29,557.48,91914
2019-02-28,565.0,582.0,565.0,578.54,572.58,232357
2019-03-01,581.95,622.09,515.54,607.90,601.62,11513018
2019-03-05,599.0,617.0,596.09,607.75,601.47,967319
2019-03-06,608.0,621.79,602.0,607.95,601.67,594253
2019-03-07,610.0,612.40,590.0,592.09,585.99,326651
2019-03-08,587.0,596.40,585.40,587.15,581.09,195823
2019-03-11,589.75,626.40,587.40,622.45,616.02,693313
2019-03-12,623.0,634.90,612.0,622.90,616.47,398863
2019-03-13,618.0,621.5,610.20,615.34,609.00,253418
2019-03-14,619.0,620.95,611.0,614.90,608.55,233675
2019-03-15,613.09,619.75,611.0,615.04,608.70,505837
2019-03-18,616.04,620.90,606.04,610.79,604.49,91435
2019-03-19,613.0,622.75,602.0,611.90,605.58,1038136
2019-03-20,613.84,620.0,607.59,612.84,606.52,816543
2019-03-22,610.0,619.0,605.0,615.5,609.14,741217
2019-03-25,602.04,616.95,602.04,611.04,604.74,93192
2019-03-26,612.0,617.90,606.79,609.59,603.31,167512
2019-03-27,607.45,620.79,607.45,618.70,612.31,302382
2019-03-28,620.0,624.79,613.59,616.20,609.84,89907
2019-04-01,584.90,599.90,583.40,598.20,592.02,953998
2019-04-02,600.0,603.90,591.04,601.15,594.94,687704
2019-04-03,600.0,615.0,595.0,601.95,597.72,999883
2019-04-04,603.90,603.90,590.0,594.70,590.52,1064749
2019-04-05,598.0,613.90,596.09,612.09,607.80,855081
2019-04-08,611.0,628.0,610.54,619.79,615.45,1180323
2019-04-09,629.5,629.5,615.0,618.20,613.86,391977
2019-04-10,621.0,626.5,617.0,621.34,616.99,471405
2019-04-11,624.90,629.70,621.54,624.95,620.56,1717441
2019-04-12,627.29,627.34,620.29,625.20,620.81,201752
2019-04-15,626.90,627.5,618.15,623.34,618.97,137884
2019-04-16,626.0,626.0,615.09,617.70,613.36,382679
2019-04-18,621.0,621.40,611.75,614.90,610.58,322285
2019-04-22,617.84,624.70,605.25,616.29,611.97,427291
2019-04-23,618.0,618.90,598.0,600.20,595.99,1108991
2019-04-24,602.0,615.0,600.25,610.29,606.01,222954
2019-04-25,609.59,619.70,608.04,614.34,610.04,225934
2019-04-26,625.0,644.79,625.0,637.25,632.78,2193690
2019-04-30,635.09,644.75,635.09,639.84,635.36,798810
2019-05-02,639.95,658.0,639.95,650.5,645.93,1022283
2019-05-03,650.0,666.0,648.95,664.15,659.49,809596
2019-05-06,660.0,667.79,652.20,660.0,655.37,510425
2019-05-07,658.0,665.25,658.0,662.09,657.45,400330
2019-05-08,655.04,661.40,649.95,650.54,645.98,290783
2019-05-09,651.04,656.5,641.0,652.25,647.67,347971
2019-05-10,650.09,668.0,639.20,642.04,637.54,758566
2019-05-13,639.79,645.84,608.5,620.0,615.65,324189
2019-05-14,618.5,638.95,594.65,615.59,611.28,1232277
2019-05-15,624.0,649.59,616.75,628.84,624.43,552190
2019-05-16,632.75,648.70,626.0,630.95,626.52,363954
2019-05-17,634.84,645.95,623.34,629.75,625.33,387017
2019-05-20,643.84,657.70,636.0,645.70,641.17,523465
2019-05-21,650.0,664.0,646.04,659.70,655.07,396784
2019-05-22,659.70,667.54,652.84,659.65,655.02,361789
2019-05-23,665.0,683.90,665.0,671.40,666.69,528882
2019-05-24,675.95,690.0,665.15,686.0,681.18,541134
2019-05-27,682.0,704.0,681.5,698.90,693.99,1669747
2019-05-28,700.0,703.90,685.09,698.75,693.84,373366
2019-05-29,688.15,703.0,678.04,680.0,675.23,1286226
2019-05-30,680.0,686.59,674.0,679.90,675.13,550276
2019-05-31,684.90,696.0,676.34,694.25,689.38,650980
2019-06-03,687.0,701.0,686.5,695.59,690.72,167500
2019-06-04,690.25,700.0,687.5,698.40,693.50,410079
2019-06-06,697.0,700.34,689.5,696.34,691.46,1320152
2019-06-07,698.90,702.0,694.04,698.45,693.55,680274
2019-06-10,697.0,700.0,695.15,699.09,694.19,449355
2019-06-11,695.5,705.0,694.04,701.0,696.08,402010
2019-06-12,699.90,702.0,695.25,699.95,695.04,387860
2019-06-13,700.0,709.0,694.0,699.34,694.44,437375
2019-06-14,699.95,701.0,696.0,699.54,694.64,375865
2019-06-17,701.40,707.0,698.29,700.0,695.09,486849
2019-06-18,700.95,708.0,699.15,704.04,699.11,1561472
2019-06-19,706.0,709.0,686.25,696.29,691.41,358961
2019-06-20,696.40,705.0,690.04,698.45,693.55,1024232
2019-06-21,705.0,711.0,694.90,699.95,695.04,3605899
2019-06-24,705.15,713.40,698.95,710.59,705.61,376039
2019-06-25,675.0,684.95,669.5,674.34,669.62,3513192
2019-06-26,695.5,744.0,692.75,717.45,712.41,6255032
2019-06-27,706.0,738.0,706.0,726.95,721.85,4196283
2019-06-28,725.0,734.84,717.0,723.70,718.62,1184510
2019-07-01,724.79,739.0,716.04,735.90,730.73,610864
2019-07-02,740.0,752.70,740.0,749.79,744.54,1257045
2019-07-03,750.0,760.90,741.20,756.90,751.59,554389
2019-07-04,760.0,762.25,752.54,757.40,752.08,271994
2019-07-05,759.59,776.5,745.59,753.54,748.26,1195407
2019-07-08,748.79,768.29,739.59,759.20,753.87,787426
2019-07-09,755.0,763.0,747.59,759.0,753.67,594218
2019-07-10,751.79,758.29,740.0,741.95,736.74,459594
2019-07-11,744.0,762.0,744.0,754.09,748.81,292405
2019-07-12,756.0,789.29,753.34,780.70,775.22,1817841
2019-07-15,780.5,794.90,766.0,783.54,778.05,585738
2019-07-16,783.0,788.40,770.20,775.84,770.40,440957
2019-07-17,773.0,793.09,757.0,765.25,759.88,880172
2019-07-18,766.0,775.0,737.0,740.84,735.65,424234
2019-07-19,745.34,751.0,731.84,744.84,739.62,577254
2019-07-22,749.20,764.0,735.5,762.15,756.80,409528
2019-07-23,764.0,780.0,764.0,775.95,770.50,708849
2019-07-24,782.5,808.5,755.20,772.5,767.08,8522595
2019-07-25,769.90,800.0,769.04,797.40,791.80,892300
2019-07-26,799.09,807.0,783.0,795.09,789.52,848649
2019-07-29,793.0,805.45,782.29,797.34,791.75,655785
2019-07-30,798.0,805.0,781.90,797.40,791.80,629929
2019-07-31,783.0,800.0,775.0,797.54,791.95,490133
2019-08-01,790.34,803.59,752.54,777.0,771.55,789834
2019-08-02,757.29,803.0,757.29,791.65,786.09,941917
2019-08-05,790.0,795.0,774.15,790.40,784.85,538695
2019-08-06,788.09,800.04,780.09,787.20,781.67,700080
2019-08-07,790.25,801.59,782.25,786.54,781.03,487084
2019-08-08,795.0,827.0,783.29,812.90,807.19,1081958
2019-08-09,810.54,814.79,795.09,801.70,796.07,714830
2019-08-13,797.25,801.70,761.70,771.25,765.84,432634
2019-08-14,780.0,816.79,776.0,812.15,806.45,1042108
2019-08-16,801.09,838.90,801.09,835.34,829.49,1340618
2019-08-19,837.20,858.79,833.04,849.90,843.93,999684
2019-08-20,850.0,862.45,831.54,853.84,847.86,1032233
2019-08-21,852.5,857.0,824.20,829.45,823.63,469687
2019-08-22,826.20,837.65,805.54,815.20,809.48,451114
2019-08-23,814.95,830.04,812.25,821.25,815.49,545349
2019-08-26,838.0,839.45,818.15,827.09,821.29,606859
2019-08-27,827.0,847.0,827.0,834.25,828.39,851189
2019-08-28,840.0,841.79,821.54,828.45,822.63,538964
2019-08-29,827.79,839.79,822.29,835.09,829.24,338992
2019-08-30,840.0,847.0,810.0,838.70,832.81,6692265
2019-09-03,832.79,848.65,796.34,811.20,805.51,592127
2019-09-04,816.0,830.0,812.0,826.40,820.60,423307
2019-09-05,831.54,835.0,820.70,831.25,825.42,332593
2019-09-06,834.5,837.0,821.29,835.54,829.68,308380
2019-09-09,833.0,835.0,801.09,806.79,801.14,640219
2019-09-11,812.0,813.84,795.0,799.65,794.04,579309
2019-09-12,788.95,798.95,784.20,792.84,787.28,3737190
2019-09-13,797.15,807.75,792.25,798.29,792.70,3681750
2019-09-16,785.90,798.75,785.0,796.45,790.86,2172276
2019-09-17,795.79,802.0,793.95,798.20,792.60,1013597
2019-09-18,802.09,807.0,798.09,802.95,797.31,715018
2019-09-19,804.0,805.0,799.0,801.84,796.22,456281
2019-09-20,804.0,825.5,800.34,816.15,810.42,1918256
2019-09-23,822.0,822.0,789.0,791.70,786.14,1590491
2019-09-24,792.0,803.65,787.0,795.15,789.57,976843
2019-09-25,793.29,799.90,777.09,796.54,790.96,1031592
2019-09-26,798.25,823.70,798.25,816.40,810.67,1672809
2019-09-27,819.34,847.65,819.34,842.5,836.59,1994366
2019-09-30,842.79,851.59,836.25,846.40,840.46,961777
2019-10-01,846.0,849.0,804.0,827.65,821.84,759109
2019-10-03,827.90,836.15,820.04,830.65,824.82,455628
2019-10-04,831.0,844.79,822.04,824.25,818.46,569471
2019-10-07,824.0,836.0,821.04,827.90,822.09,341633
2019-10-09,826.0,843.90,826.0,837.25,831.37,506576
2019-10-10,835.20,848.0,805.70,827.20,821.39,5286384
2019-10-11,832.0,842.79,831.0,839.59,833.71,384745
2019-10-14,846.09,847.59,822.0,828.70,822.88,366115
2019-10-15,829.0,844.0,829.0,838.04,832.17,394890
2019-10-16,836.5,892.5,832.0,877.34,871.19,3634345
2019-10-17,880.0,928.5,880.0,902.90,896.56,3687636
2019-10-18,905.79,930.0,899.0,925.95,919.45,1819540
2019-10-22,929.20,997.5,929.20,989.15,982.21,2040975
2019-10-23,994.0,1012.29,970.15,985.95,979.03,1357514
2019-10-24,991.40,993.95,954.65,969.65,962.84,982596
2019-10-25,974.0,1000.0,965.25,982.15,975.26,975234
2019-10-27,990.0,999.0,977.15,993.95,986.97,150914
2019-10-29,998.5,1020.0,981.0,1014.34,1007.23,880342
2019-10-30,1016.0,1030.0,976.09,999.79,992.78,7610404
2019-10-31,1006.0,1013.29,987.0,991.5,984.54,849468
2019-11-01,993.29,1009.0,993.29,997.5,990.50,655253
2019-11-04,1003.0,1003.09,989.70,998.70,991.69,875743
2019-11-05,1000.0,1003.0,966.09,969.79,962.99,1230007
2019-11-06,974.45,980.0,941.54,968.95,962.15,1420970
2019-11-07,973.40,991.0,968.20,986.45,979.53,1351432
2019-11-08,1006.0,1022.0,976.5,982.20,975.31,5656687
2019-11-11,982.0,982.0,968.45,969.95,963.14,2078020
2019-11-13,984.5,1000.95,966.20,988.15,981.21,4039409
2019-11-14,999.0,1013.0,984.90,999.90,992.88,3441700
2019-11-15,1008.20,1026.0,995.45,1002.84,995.81,2687762
2019-11-18,1004.90,1013.0,996.0,1000.04,993.03,2144563
2019-11-19,954.95,970.0,930.0,936.54,929.98,60449782
2019-11-20,940.0,948.70,936.09,939.70,933.10,2976893
2019-11-21,942.45,945.45,916.0,929.59,923.08,2642185
2019-11-22,931.0,945.75,931.0,942.65,936.03,3125980
2019-11-25,943.5,954.40,943.5,951.59,944.92,3604001
2019-11-26,957.40,977.95,937.84,958.95,952.22,43473998
2019-11-27,964.0,965.20,943.20,948.20,941.54,1542111
2019-11-28,953.84,972.70,948.20,971.15,964.33,1885171
2019-11-29,970.0,970.0,955.04,960.04,953.31,1071258
2019-12-02,959.15,959.15,938.29,943.84,937.23,643539
2019-12-03,946.09,966.0,946.09,963.40,956.64,1612054
2019-12-04,962.79,975.0,960.04,972.25,965.43,1122303
2019-12-05,969.0,974.5,955.0,966.40,959.62,814043
2019-12-06,971.0,974.0,945.20,964.20,957.43,1235405
2019-12-09,964.79,964.79,938.40,942.0,935.39,861577
2019-12-10,950.0,968.0,947.0,949.84,943.18,1610114
2019-12-11,950.0,971.95,924.5,966.54,959.77,1616587
2019-12-12,971.0,971.0,955.65,960.40,953.66,862822
2019-12-13,964.90,982.70,963.25,974.90,968.06,1119572
2019-12-16,973.79,979.79,963.90,969.54,962.75,526157
2019-12-17,975.0,978.45,968.0,972.54,965.72,822269
2019-12-18,975.0,976.59,959.0,964.75,957.98,628845
2019-12-19,968.59,975.04,965.45,969.75,962.94,906299
2019-12-20,972.0,1008.04,972.0,992.75,985.78,10219499
2019-12-23,1002.0,1011.70,987.54,996.79,989.80,1347986
2019-12-24,998.0,999.90,985.0,994.75,987.77,716972
2019-12-26,998.25,999.70,988.09,991.0,984.04,335933
2019-12-27,988.0,991.5,977.54,988.65,981.71,438117
2019-12-30,988.90,991.45,972.79,976.34,969.50,390678
2019-12-31,976.0,980.0,958.15,961.59,954.85,403539
2020-01-01,965.0,980.0,961.59,976.40,969.55,349251
2020-01-02,975.70,975.70,966.0,969.34,962.55,335765
2020-01-03,970.0,982.79,969.0,975.09,968.26,451217
2020-01-06,966.09,1003.09,958.0,983.09,976.20,895840
2020-01-07,990.0,1003.0,980.0,984.90,977.99,570304
2020-01-08,978.0,992.29,975.20,987.75,980.82,368547
2020-01-09,996.79,998.0,979.75,988.5,981.56,614382
2020-01-10,989.0,997.0,983.29,989.0,982.06,351231
2020-01-13,993.0,997.95,980.0,989.84,982.90,332236
2020-01-14,993.0,994.0,984.0,987.79,980.87,369532
2020-01-15,988.0,1002.0,981.0,998.15,991.14,533340
2020-01-16,1000.0,1003.0,992.0,999.90,992.88,465355
2020-01-17,999.79,1009.79,985.25,996.34,989.36,372188
2020-01-20,1000.0,1001.0,975.5,981.5,974.61,341082
2020-01-21,980.0,987.0,970.20,972.75,965.92,355550
2020-01-22,980.0,992.59,972.0,981.70,974.81,1299987
2020-01-23,985.40,1004.0,980.20,985.95,979.03,1151390
2020-01-24,986.0,1020.0,977.0,999.79,992.78,1388247
2020-01-27,999.79,1014.70,987.34,992.15,985.19,740311
2020-01-28,993.0,1007.0,975.75,987.84,980.92,578382
2020-01-29,992.0,1012.15,988.0,1007.79,1000.73,538017
2020-01-30,1014.0,1017.0,989.29,998.25,991.24,561770
2020-01-31,1005.0,1006.0,983.15,994.09,987.12,445170
2020-02-03,895.0,921.84,856.65,912.65,906.24,4046967
2020-02-04,912.0,922.90,896.0,911.59,905.20,2004591
2020-02-05,913.59,915.79,898.5,910.54,904.16,1337410
2020-02-06,916.09,925.0,912.04,919.5,913.05,1185756
2020-02-07,920.0,955.45,915.54,947.29,940.65,1642253
2020-02-10,952.0,956.25,938.0,952.79,946.11,734151
2020-02-11,960.45,960.45,935.79,939.75,933.15,584552
2020-02-12,944.75,948.79,925.0,932.84,926.30,925589
2020-02-13,937.0,937.0,916.0,927.54,921.04,551572
2020-02-14,932.40,932.40,907.0,914.25,907.83,402685
2020-02-17,915.5,919.45,904.0,914.40,907.98,355839
2020-02-18,915.0,921.45,907.09,916.04,909.62,901858
2020-02-19,918.09,942.45,918.09,938.20,931.61,786366
2020-02-20,939.70,945.0,921.70,928.75,922.23,784552
2020-02-24,923.59,941.5,910.0,916.59,910.17,493211
2020-02-25,923.5,934.70,891.75,901.20,894.87,760359
2020-02-26,893.79,914.79,881.5,891.34,885.09,807168
2020-02-27,890.79,913.90,875.0,905.34,899.00,821122
2020-02-28,886.0,895.0,875.0,890.40,884.15,1002851
2020-03-02,895.15,909.0,878.0,894.15,887.87,629219
2020-03-03,903.04,914.0,892.04,899.84,893.53,615494
2020-03-04,902.90,912.0,877.0,885.09,878.89,769392
2020-03-05,891.34,901.45,876.54,884.45,878.24,1014502
2020-03-06,865.0,881.5,848.29,853.95,847.96,1436479
2020-03-09,836.20,861.90,803.0,825.29,819.51,1424660
2020-03-11,819.0,847.90,784.15,808.95,803.27,1305970
2020-03-12,761.0,775.70,700.0,751.70,746.42,2111588
2020-03-13,665.0,795.0,625.09,761.95,756.60,2077130
2020-03-16,701.0,772.84,661.59,731.54,726.41,1588572
2020-03-17,732.0,768.5,675.0,687.0,682.18,1398542
2020-03-18,695.04,696.95,588.15,596.25,592.06,2202064
2020-03-19,565.0,619.90,519.40,607.70,603.43,2916821
2020-03-20,627.0,680.75,606.0,633.5,629.05,2004915
2020-03-23,569.95,617.0,522.20,539.20,535.41,1652165
2020-03-24,551.40,589.95,535.0,546.25,542.41,1108727
