Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,432.5,438.79,429.64,433.54,412.79,8487116
2019-01-02,430.5,441.20,429.25,440.04,418.98,9656878
2019-01-03,442.04,443.60,434.0,436.10,415.22,9479511
2019-01-04,439.10,439.89,432.20,433.79,413.03,6228693
2019-01-07,437.10,438.0,429.29,430.79,410.17,4118235
2019-01-08,433.79,449.0,432.35,448.04,426.60,12368631
2019-01-09,450.5,453.64,443.70,448.75,427.26,9034282
2019-01-10,445.10,448.0,440.45,444.60,423.31,3672333
2019-01-11,445.04,449.75,441.60,444.39,423.12,3778103
2019-01-14,447.0,452.0,443.75,450.85,429.26,5784064
2019-01-15,453.25,454.5,449.5,452.45,430.79,4291873
2019-01-16,451.39,457.39,447.14,453.79,432.07,5879148
2019-01-17,455.0,455.39,422.5,426.54,406.13,8343750
2019-01-18,424.04,424.10,370.20,390.75,372.04,82906214
2019-01-21,390.10,406.54,390.04,398.29,379.23,48936782
2019-01-22,411.0,423.5,409.39,418.95,398.89,38255365
2019-01-23,417.70,434.39,411.64,431.0,410.36,26921274
2019-01-24,431.0,438.0,417.10,423.0,402.74,18446490
2019-01-25,425.39,429.75,419.35,422.39,402.17,8720973
2019-01-28,424.0,424.75,410.14,411.75,392.03,5809082
2019-01-29,410.5,424.75,406.25,422.39,402.17,7472930
2019-01-30,424.0,426.0,416.20,417.95,397.94,4351530
2019-01-31,419.0,431.35,413.70,423.45,403.17,16672076
2019-02-01,421.20,428.0,417.0,423.25,402.98,3950126
2019-02-04,422.29,423.0,409.20,414.79,394.94,3679517
2019-02-05,414.79,418.5,406.54,409.89,390.27,3523707
2019-02-06,410.0,419.0,403.29,416.60,396.65,5638849
2019-02-07,423.0,445.79,421.10,434.89,414.08,18187249
2019-02-08,434.0,435.89,424.5,431.04,410.41,6133747
2019-02-11,432.25,433.60,420.85,428.54,408.03,4945054
2019-02-12,427.20,444.0,424.04,436.60,415.69,8559968
2019-02-14,432.0,444.89,428.64,440.89,419.79,9040227
2019-02-15,440.75,440.75,416.45,422.89,402.65,10206627
