Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,311.04,313.27,305.20,310.97,309.95,689232
2019-01-02,307.5,312.32,305.97,310.12,309.10,332296
2019-01-03,310.10,314.14,308.07,310.67,309.65,267252
2019-01-04,310.5,317.25,309.82,311.92,310.89,660364
2019-01-07,312.5,313.0,300.75,308.17,307.16,952034
2019-01-08,306.04,316.45,304.0,311.52,310.49,748528
2019-01-09,312.0,317.5,307.95,315.42,314.38,275988
2019-01-10,316.39,329.0,315.0,325.87,324.80,813416
2019-01-11,327.42,328.5,324.54,326.07,325.00,844256
2019-01-14,326.89,333.92,321.27,327.57,326.49,1746126
2019-01-15,327.70,334.47,327.70,330.10,329.01,454228
2019-01-16,331.5,332.07,322.75,324.37,323.30,393200
2019-01-17,325.75,331.0,325.5,327.52,326.44,808356
2019-01-18,312.5,320.89,303.04,311.10,310.07,1291134
2019-01-21,310.0,310.95,303.5,304.35,303.34,719336
2019-01-22,302.57,303.97,294.0,297.64,296.67,759844
2019-01-23,297.62,300.82,294.02,294.54,293.58,1804888
2019-01-24,297.5,298.92,293.02,294.07,293.10,170048
2019-01-25,291.45,299.27,291.45,294.70,293.73,320682
2019-01-28,292.54,299.95,286.04,296.12,295.15,451124
2019-01-29,297.5,299.45,293.60,296.92,295.94,994504
2019-01-30,296.20,297.39,290.79,293.39,292.43,496700
2019-01-31,295.0,297.39,290.82,292.12,291.16,515666
2019-02-01,292.79,296.89,288.0,289.77,288.82,526384
2019-02-04,289.0,291.5,282.20,286.85,285.90,444172
2019-02-05,286.95,297.5,286.95,293.77,292.80,374988
2019-02-06,294.5,302.25,290.75,301.07,300.08,510692
2019-02-07,300.0,304.92,295.0,299.0,298.01,426550
2019-02-08,299.0,299.0,290.25,293.02,292.06,288822
2019-02-11,296.89,296.89,288.27,294.47,293.50,220356
2019-02-12,292.5,293.35,288.0,288.89,287.94,223632
2019-02-14,287.82,289.89,287.25,287.97,287.02,154384
2019-02-15,288.0,291.5,287.35,287.52,286.57,196820
2019-02-18,287.54,289.89,285.0,285.60,284.65,155304
2019-02-19,286.25,287.77,282.0,283.0,282.06,343910
2019-02-20,283.0,286.25,279.0,282.20,281.27,269978
2019-02-21,284.95,289.95,280.62,288.20,287.25,132520
2019-02-22,290.07,293.54,285.0,287.39,286.45,385100
