Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,195.0,195.0,192.5,193.80,189.36,151344
2019-01-02,195.69,197.69,186.60,193.10,188.68,676388
2019-01-03,193.0,195.94,192.0,192.69,188.29,893574
2019-01-04,194.0,196.25,192.80,195.0,190.54,582067
2019-01-07,193.10,196.35,189.5,190.10,185.75,354031
2019-01-08,190.0,194.89,189.5,194.14,189.71,1709640
2019-01-09,195.89,198.0,188.35,191.94,187.56,1059701
2019-01-10,192.94,194.89,191.60,192.14,187.75,630182
2019-01-11,193.0,193.10,190.30,190.75,186.38,566681
2019-01-14,190.80,192.94,188.10,189.39,185.06,1449858
2019-01-15,190.0,190.05,188.35,189.44,185.11,318410
2019-01-16,189.14,190.25,185.14,186.05,181.79,491963
2019-01-17,186.14,191.39,186.10,189.60,185.26,460685
2019-01-18,190.75,192.05,188.60,190.69,186.33,291852
2019-01-21,190.64,193.0,188.64,190.94,186.58,574758
2019-01-22,190.05,192.0,187.5,190.0,185.65,559940
2019-01-23,189.39,190.0,185.5,186.94,182.67,382549
2019-01-24,187.80,190.89,186.25,190.05,185.70,902113
2019-01-25,190.75,190.75,188.05,188.80,184.48,821492
2019-01-28,189.0,192.0,185.10,190.75,186.38,1332819
2019-01-29,190.0,192.94,185.60,192.30,187.90,1298670
2019-01-30,193.0,194.39,190.0,194.0,189.56,945956
2019-01-31,194.0,194.75,189.80,191.0,186.63,674779
2019-02-01,192.60,192.60,188.5,189.44,185.11,1712175
2019-02-04,190.94,190.94,187.5,188.60,184.28,448316
2019-02-05,189.85,189.85,187.25,188.05,183.74,437974
2019-02-06,187.10,188.0,185.0,185.5,181.25,350520
2019-02-07,186.89,190.5,185.55,189.25,184.92,219587
2019-02-08,188.94,188.94,185.64,186.60,182.33,164621
2019-02-11,186.19,188.89,186.10,187.25,182.96,151501
2019-02-12,186.10,188.0,186.10,186.69,182.43,194760
2019-02-14,186.0,186.0,178.39,182.14,177.98,543101
2019-02-15,181.05,183.0,180.0,180.14,176.03,215309
2019-02-18,181.5,181.85,179.0,179.75,175.63,453932
2019-02-19,179.10,180.5,177.89,178.10,174.02,125531
2019-02-20,178.19,179.94,176.55,176.89,172.85,220002
2019-02-21,177.0,179.69,175.60,178.19,174.12,179361
2019-02-22,178.89,179.94,176.39,178.80,174.71,351668
2019-02-25,179.30,179.75,175.5,177.10,173.04,413347
2019-02-26,175.5,180.94,175.5,178.25,174.17,585100
2019-02-27,180.0,180.85,177.10,179.75,175.63,1376230
2019-02-28,181.0,185.0,177.89,183.44,179.25,1216311
2019-03-01,182.69,188.5,181.05,187.94,183.65,360429
2019-03-05,188.0,191.0,185.69,186.69,182.43,1260018
2019-03-06,186.64,191.75,186.64,189.75,185.41,1511961
2019-03-07,190.0,190.5,186.0,187.05,182.77,230510
2019-03-08,187.0,189.64,184.5,186.14,181.89,861180
2019-03-11,188.89,189.0,186.14,188.10,183.79,781466
2019-03-12,189.39,189.39,187.19,188.39,184.09,620904
2019-03-13,188.69,190.19,186.69,187.94,183.65,1342432
2019-03-14,187.10,187.44,186.14,186.64,182.38,432273
2019-03-15,187.0,189.39,185.55,188.69,184.38,1469835
2019-03-18,189.0,193.69,188.5,190.0,185.65,1749934
2019-03-19,191.55,193.39,188.60,192.44,188.04,532411
2019-03-20,193.0,193.0,189.60,192.55,188.14,327607
2019-03-22,191.55,201.10,191.55,200.55,195.96,2242993
2019-03-25,200.0,202.94,197.89,200.10,195.52,1170887
2019-03-26,200.64,202.75,199.0,200.44,195.86,434287
2019-03-27,200.0,205.44,199.94,201.10,196.50,1097213
2019-03-28,202.25,202.94,200.30,201.35,196.74,398563
2019-04-01,206.0,208.44,202.10,206.5,201.77,1175708
2019-04-02,206.55,207.0,200.05,202.5,197.86,774492
2019-04-03,203.0,203.94,196.5,199.30,194.74,731215
2019-04-04,200.19,204.0,196.19,203.25,198.60,649044
2019-04-05,203.25,204.0,198.85,202.39,197.77,1006524
2019-04-08,203.25,204.25,199.10,199.94,195.37,539063
2019-04-09,199.89,202.5,198.0,200.69,196.11,237607
2019-04-10,200.39,201.94,198.55,200.05,195.47,338792
2019-04-11,200.39,200.39,197.10,197.69,193.17,406281
2019-04-12,197.5,199.60,197.39,198.10,193.56,252481
2019-04-15,198.75,199.75,196.69,197.14,192.64,360275
2019-04-16,197.0,203.0,197.0,199.75,195.18,554665
2019-04-18,201.0,203.0,201.0,202.05,197.42,545526
2019-04-22,202.75,204.5,197.94,200.19,195.62,2440561
2019-04-23,200.75,206.5,200.25,204.44,199.77,2149119
2019-04-24,205.05,206.5,201.0,205.85,201.14,998300
2019-04-25,203.75,204.85,198.44,201.5,196.89,690736
2019-04-26,202.44,205.5,197.60,200.69,196.11,1475377
2019-04-30,200.30,204.0,198.25,202.80,198.16,826314
2019-05-02,202.69,202.80,198.0,199.10,194.54,352846
2019-05-03,199.85,201.5,197.25,197.64,193.12,309495
2019-05-06,197.0,199.44,196.10,196.80,192.29,254513
2019-05-07,197.25,198.25,195.5,197.80,193.27,544610
2019-05-08,196.85,200.0,193.19,197.39,192.88,602373
2019-05-09,196.30,200.0,194.25,199.25,194.69,526032
2019-05-10,199.94,200.60,198.30,199.55,194.98,676603
2019-05-13,199.05,200.25,195.5,196.75,192.25,556455
2019-05-14,195.39,198.0,194.89,195.75,191.27,306358
2019-05-15,195.75,196.80,194.75,196.30,191.81,350057
2019-05-16,196.19,198.25,195.44,196.25,191.76,244727
2019-05-17,196.30,200.80,196.30,199.0,194.44,958910
2019-05-20,201.0,205.19,200.0,204.69,200.01,1403887
2019-05-21,203.44,209.89,202.10,209.10,204.31,1794063
2019-05-22,209.0,210.0,205.5,208.94,204.17,1021515
2019-05-23,210.19,216.5,208.5,214.69,209.79,2525752
2019-05-24,214.89,217.35,211.10,212.60,207.73,843018
2019-05-27,212.60,217.0,212.60,216.14,211.20,798056
2019-05-28,216.0,218.5,215.05,216.5,211.54,899152
2019-05-29,216.0,216.75,214.10,214.94,210.03,212843
2019-05-30,213.0,213.25,211.25,212.30,207.44,354115
2019-05-31,212.89,215.0,211.10,212.0,207.15,754072
2019-06-03,211.94,215.19,210.5,214.0,209.10,1237398
2019-06-04,213.85,217.0,212.19,216.19,211.25,813560
2019-06-06,214.05,216.0,212.30,215.69,210.76,778664
2019-06-07,217.0,217.0,214.30,215.75,210.81,296981
2019-06-10,217.0,217.19,214.05,216.19,211.25,357013
2019-06-11,216.0,218.0,215.14,217.0,212.03,659284
2019-06-12,217.39,218.0,215.60,217.05,212.08,510874
2019-06-13,216.5,217.75,216.5,217.10,212.13,1049169
2019-06-14,219.0,219.0,216.0,216.94,211.98,346605
2019-06-17,216.94,217.89,215.0,217.14,212.18,306013
2019-06-18,215.55,217.0,213.25,214.75,209.83,636037
2019-06-19,214.0,215.64,210.0,212.80,207.93,995718
2019-06-20,211.0,214.0,205.85,211.94,207.10,581273
2019-06-21,212.64,214.05,208.60,212.14,207.29,563567
2019-06-24,212.64,214.25,209.30,211.85,207.00,255801
2019-06-25,212.0,215.19,210.75,214.25,209.35,530463
2019-06-26,214.75,217.0,212.10,216.05,211.10,675925
2019-06-27,216.0,220.5,214.25,216.64,211.69,388581
2019-06-28,216.0,219.0,214.60,218.05,213.06,346006
2019-07-01,218.5,219.14,214.69,218.10,213.11,210062
2019-07-02,217.94,218.0,215.10,215.80,210.86,184540
2019-07-03,217.94,218.0,212.64,213.44,208.56,954745
2019-07-04,212.94,213.75,210.19,210.75,205.93,1026703
2019-07-05,211.0,211.39,203.89,205.94,201.24,1406371
2019-07-08,207.89,209.75,198.5,200.0,195.42,940772
2019-07-09,200.19,206.0,194.05,199.60,195.03,1651118
2019-07-10,200.0,203.30,198.10,199.05,194.49,549270
2019-07-11,200.39,204.14,199.44,203.35,198.69,225455
2019-07-12,204.44,205.0,201.5,204.5,199.82,128378
2019-07-15,203.89,205.85,201.55,205.10,200.40,197737
2019-07-16,205.0,209.30,203.75,207.30,202.55,474154
2019-07-17,206.0,210.85,205.30,209.25,204.46,946552
2019-07-18,208.0,209.30,202.0,205.05,200.36,559527
2019-07-19,205.39,205.94,198.5,200.5,195.91,699593
2019-07-22,202.5,203.39,196.10,197.44,192.93,1232137
2019-07-23,197.0,201.75,195.80,200.64,196.06,763404
2019-07-24,201.94,202.5,195.89,196.14,191.66,453323
2019-07-25,197.80,200.5,195.64,196.89,192.39,345224
2019-07-26,196.89,197.35,194.19,195.05,190.58,614347
2019-07-29,196.69,197.0,193.30,195.35,190.88,397808
2019-07-30,195.35,196.5,193.60,194.69,190.24,933719
2019-07-31,190.5,194.89,190.5,193.69,189.27,547474
2019-08-01,192.5,193.80,191.30,192.35,187.95,530809
2019-08-02,181.64,191.94,181.64,190.94,186.58,687030
2019-08-05,190.0,190.0,184.25,185.55,181.30,437056
2019-08-06,184.0,188.25,182.05,187.30,183.01,1297067
