Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,169.25,170.5,167.75,169.25,164.68,1068407
2019-01-02,170.0,172.19,167.30,168.69,164.14,2072140
2019-01-03,168.0,170.5,167.80,168.44,163.90,716159
2019-01-04,168.39,175.35,166.69,173.80,169.11,2510706
2019-01-07,174.85,178.0,172.60,174.14,169.45,2810693
2019-01-08,173.05,177.85,172.05,177.44,172.66,1722264
2019-01-09,178.0,178.80,175.85,177.5,172.71,936333
2019-01-10,177.0,178.85,175.60,177.5,172.71,810633
2019-01-11,177.05,180.55,176.75,178.75,173.92,1594854
2019-01-14,178.0,180.64,177.5,180.19,175.33,1211779
2019-01-15,180.85,184.80,180.0,183.10,178.16,3939904
2019-01-16,183.69,186.25,180.0,181.35,176.45,8015069
2019-01-17,180.5,188.39,180.39,186.30,181.27,6999112
2019-01-18,186.30,187.19,184.60,185.55,180.54,1234401
2019-01-21,176.10,187.80,176.10,182.75,177.82,9185974
2019-01-22,182.69,183.5,178.85,179.85,174.99,1985460
2019-01-23,179.85,181.89,178.94,179.85,174.99,1245023
2019-01-24,181.5,182.55,179.14,181.85,176.94,1008066
2019-01-25,182.60,183.05,178.80,180.39,175.53,1074193
2019-01-28,181.0,181.0,172.30,175.75,171.00,2156674
2019-01-29,176.0,177.64,172.5,174.30,169.59,1127785
2019-01-30,175.0,178.39,174.10,177.35,172.56,1988752
2019-01-31,177.89,178.94,175.05,178.14,173.34,870233
2019-02-01,179.0,179.5,174.5,177.25,172.46,1214209
2019-02-04,177.0,179.60,174.75,178.60,173.78,969139
2019-02-05,178.60,179.89,176.44,178.60,173.78,744881
2019-02-06,178.89,180.39,175.75,179.55,174.70,787444
2019-02-07,179.10,182.19,178.10,180.39,175.53,787347
2019-02-08,179.19,180.5,176.05,178.35,173.53,1031459
2019-02-11,178.05,178.5,175.80,177.30,172.51,842364
2019-02-12,177.5,180.55,177.0,179.25,174.41,1010281
2019-02-14,175.80,178.60,175.39,177.25,172.46,888557
2019-02-15,177.05,177.94,170.94,172.0,167.36,1208504
2019-02-18,171.30,173.89,170.30,172.10,167.45,1246226
2019-02-19,171.25,176.60,171.25,173.60,168.91,1463777
2019-02-20,174.39,176.44,172.25,173.0,168.33,945640
2019-02-21,173.75,175.55,173.0,174.60,169.89,1083073
2019-02-22,175.0,175.10,172.05,172.80,168.13,939304
2019-02-25,172.85,185.0,172.85,182.64,177.72,3255502
2019-02-26,180.69,185.75,176.85,183.89,178.93,2882082
2019-02-27,184.05,188.10,180.10,182.19,177.28,2151476
2019-02-28,184.69,185.69,179.25,181.75,176.84,2094452
2019-03-01,182.64,186.25,182.44,183.10,178.16,1768059
2019-03-05,183.60,193.89,182.75,191.30,186.13,3033431
2019-03-06,192.30,199.0,189.0,197.10,191.78,3218128
2019-03-07,197.69,200.44,194.94,196.05,190.76,2226796
2019-03-08,196.80,196.89,194.5,196.0,190.71,1500100
2019-03-11,196.69,201.25,196.05,200.39,194.99,1826456
2019-03-12,202.19,204.25,199.25,200.94,195.52,1558707
2019-03-13,200.85,202.35,197.64,200.89,195.48,1309028
2019-03-14,200.14,202.35,199.55,200.19,194.79,1090772
2019-03-15,200.94,207.69,197.80,201.19,195.77,8891480
2019-03-18,202.30,205.14,199.14,199.75,194.36,4041167
2019-03-19,200.94,202.64,199.89,201.0,195.57,1478243
2019-03-20,201.85,201.89,197.69,199.19,193.82,854858
2019-03-22,200.0,201.30,196.35,196.85,191.54,951778
2019-03-25,193.10,197.39,193.10,196.5,191.19,1031376
2019-03-26,197.10,200.5,195.35,199.44,194.06,1052649
2019-03-27,199.55,206.0,199.55,203.89,198.39,2574110
2019-03-28,204.30,205.5,202.39,204.94,199.42,1820801
2019-04-01,204.10,207.05,201.80,202.55,197.08,1448385
2019-04-02,203.55,205.85,201.14,203.69,198.20,1110140
2019-04-03,204.69,204.75,198.60,199.35,193.97,1257072
2019-04-04,198.60,200.75,197.5,198.55,193.19,775809
2019-04-05,199.0,202.19,196.69,201.69,196.25,894686
2019-04-08,205.0,205.35,197.30,198.10,192.75,1865708
2019-04-09,198.0,198.75,194.44,197.39,192.07,859884
2019-04-10,197.44,199.69,196.39,197.35,192.02,628675
2019-04-11,196.35,199.69,196.35,199.25,193.87,531521
2019-04-12,199.5,200.80,197.89,198.80,193.43,593279
2019-04-15,199.80,202.0,191.69,192.30,187.11,3368613
2019-04-16,191.94,204.0,190.35,202.25,196.79,4865170
2019-04-18,203.44,205.19,197.0,202.30,196.84,8741409
2019-04-22,200.0,210.80,200.0,207.39,201.80,11536721
2019-04-23,208.44,215.0,204.0,207.10,201.51,5836887
2019-04-24,207.55,215.39,206.60,212.44,206.71,2912653
2019-04-25,216.44,219.75,212.5,213.94,208.17,8011353
2019-04-26,214.39,216.69,209.75,215.30,209.49,2958630
2019-04-30,214.89,215.30,211.25,212.35,206.62,2414063
2019-05-02,213.0,215.5,211.25,214.75,208.95,2516949
2019-05-03,214.44,216.5,213.55,214.39,208.61,2084958
2019-05-06,212.0,219.10,211.0,216.5,210.66,2942143
2019-05-07,218.89,219.5,212.85,214.55,208.76,1981576
2019-05-08,213.0,214.14,210.89,211.89,206.18,2108201
2019-05-09,211.94,217.0,211.05,215.14,209.34,2264922
2019-05-10,216.0,217.80,215.25,216.64,210.80,3307451
2019-05-13,216.0,216.60,210.94,213.55,207.78,1188155
2019-05-14,211.25,220.0,208.94,217.69,211.82,3360127
2019-05-15,219.69,224.75,215.19,217.05,211.19,5711198
2019-05-16,217.05,222.94,213.89,220.39,214.45,3000153
2019-05-17,220.0,222.5,218.05,221.85,215.86,1455610
2019-05-20,225.0,231.60,224.05,230.5,224.28,3756920
2019-05-21,233.5,233.89,227.10,229.19,223.01,2687868
2019-05-22,229.0,231.44,227.35,230.25,224.03,1668963
2019-05-23,230.19,235.0,226.80,228.0,222.81,1513665
2019-05-24,228.0,236.80,227.89,233.64,228.33,1986669
2019-05-27,234.0,235.64,231.0,233.5,228.19,862846
2019-05-28,233.5,234.69,230.10,233.10,227.80,1381128
2019-05-29,232.85,232.85,228.64,229.94,224.72,976643
2019-05-30,230.80,235.5,229.5,234.19,228.87,1327024
2019-05-31,234.89,237.0,231.0,233.14,227.85,1685601
2019-06-03,232.0,234.85,230.5,233.19,227.89,669050
2019-06-04,231.60,239.44,231.60,237.85,232.44,2115144
2019-06-06,239.39,242.0,233.25,234.14,228.82,3383373
2019-06-07,234.5,241.69,231.14,240.75,235.27,2976535
2019-06-10,241.94,242.0,236.14,238.14,232.73,1983194
2019-06-11,239.0,239.25,236.80,238.0,232.59,874656
2019-06-12,238.39,239.89,237.5,238.10,232.68,678969
2019-06-13,237.94,239.0,231.80,235.35,230.00,1499979
2019-06-14,235.35,236.0,231.30,233.5,228.19,900947
2019-06-17,232.0,232.75,227.10,227.44,222.28,1254686
2019-06-18,227.44,228.5,220.85,222.25,217.19,2112434
2019-06-19,224.85,227.60,221.44,223.69,218.61,1042518
2019-06-20,223.0,230.0,222.0,228.60,223.40,968885
2019-06-21,228.35,230.19,227.19,229.80,224.57,1007267
2019-06-24,230.0,231.0,227.35,229.64,224.43,847937
2019-06-25,230.0,244.64,228.39,240.35,234.88,2827138
2019-06-26,239.35,241.55,237.5,239.85,234.39,1749791
2019-06-27,240.0,242.89,235.39,239.39,233.95,1604121
2019-06-28,239.25,239.39,235.85,237.10,231.71,485478
2019-07-01,239.25,239.25,235.0,236.5,231.12,306023
2019-07-02,237.64,237.64,222.35,232.14,226.87,743082
2019-07-03,232.0,234.60,230.0,230.69,225.45,371096
2019-07-04,230.0,235.64,230.0,231.89,226.62,381609
2019-07-05,231.0,238.0,228.19,231.0,225.74,1044435
2019-07-08,230.5,230.5,219.5,223.60,218.51,749073
2019-07-09,221.0,229.69,219.35,228.89,223.69,679626
2019-07-10,228.5,234.80,227.0,231.80,226.53,585701
2019-07-11,233.75,240.0,232.5,238.19,232.78,1334652
2019-07-12,239.0,244.0,234.19,237.14,231.75,1697227
2019-07-15,238.44,238.89,233.55,235.85,230.48,464951
2019-07-16,236.5,240.39,235.89,239.14,233.71,977586
2019-07-17,218.89,218.89,196.0,199.94,195.40,19698595
2019-07-18,200.60,205.39,189.10,201.5,196.91,10855655
2019-07-19,200.0,201.5,192.60,193.75,189.34,2545307
2019-07-22,192.0,195.19,186.35,192.55,188.17,1888416
2019-07-23,192.80,196.5,192.05,195.10,190.66,1175456
2019-07-24,195.5,197.0,194.0,195.64,191.20,1162280
2019-07-25,197.5,197.5,190.75,195.05,190.61,751271
2019-07-26,195.0,196.75,191.10,194.5,190.07,816531
2019-07-29,195.35,200.25,193.44,195.69,191.25,1058252
2019-07-30,196.0,197.0,192.0,193.10,188.71,786366
2019-07-31,192.69,196.5,190.05,195.5,191.05,724418
2019-08-01,192.5,196.10,191.5,193.35,188.95,795167
2019-08-02,191.10,195.44,190.80,194.85,190.42,912700
2019-08-05,192.89,192.89,187.5,190.55,186.21,737527
2019-08-06,190.5,194.94,178.19,192.5,188.12,2637744
2019-08-07,192.39,196.30,184.5,189.64,185.33,979562
2019-08-08,192.0,195.0,189.60,194.0,189.59,353038
2019-08-09,195.19,199.25,193.25,197.89,193.40,868065
2019-08-13,199.89,199.89,193.5,194.60,190.17,559981
2019-08-14,192.80,198.0,192.80,196.60,192.13,568265
2019-08-16,193.0,207.0,193.0,205.69,201.02,1241747
2019-08-19,205.0,213.14,204.94,209.64,204.88,1256248
2019-08-20,210.0,214.14,209.89,211.44,206.64,639639
2019-08-21,212.30,214.75,208.44,209.94,205.17,665762
2019-08-22,209.0,210.75,188.64,193.80,189.39,1073564
2019-08-23,193.80,201.89,188.60,197.55,193.05,723190
2019-08-26,204.89,205.75,195.0,200.30,195.74,545161
2019-08-27,202.0,206.0,198.64,199.89,195.35,717748
2019-08-28,200.0,202.5,198.10,199.30,194.76,470047
2019-08-29,199.0,202.0,198.5,200.05,195.50,292491
2019-08-30,201.89,209.39,200.25,208.14,203.41,636242
2019-09-03,203.5,207.5,202.0,203.35,198.72,292543
2019-09-04,203.5,205.5,198.0,200.80,196.23,263222
2019-09-05,202.0,203.5,196.55,199.80,195.25,361631
2019-09-06,200.05,202.60,197.89,198.35,193.84,278095
2019-09-09,199.0,200.5,196.0,197.69,193.20,255061
2019-09-11,196.85,199.25,194.10,195.69,191.25,358059
2019-09-12,197.89,202.80,195.0,201.69,197.11,693189
2019-09-13,202.39,204.60,199.55,201.10,196.52,354740
2019-09-16,200.89,201.5,197.80,199.60,195.06,222394
2019-09-17,200.0,200.94,193.30,195.05,190.61,367880
2019-09-18,196.64,198.5,194.10,195.64,191.20,354069
2019-09-19,196.0,196.39,193.05,195.0,190.56,907160
2019-09-20,193.0,210.39,192.10,205.10,200.43,1688080
2019-09-23,215.0,218.39,207.19,214.10,209.23,2002773
2019-09-24,216.0,216.0,208.0,210.35,205.56,965038
2019-09-25,210.35,211.19,204.0,209.94,205.17,451323
2019-09-26,207.44,211.0,205.5,209.55,204.78,537072
2019-09-27,208.0,208.5,199.10,200.89,196.33,839533
2019-09-30,202.0,202.39,193.5,195.30,190.86,628141
2019-10-01,195.39,197.85,169.39,187.75,183.48,1588264
2019-10-03,187.75,189.0,182.25,188.25,183.97,1106152
2019-10-04,188.55,189.75,179.0,179.75,175.66,1619600
2019-10-07,178.25,178.5,175.75,176.89,172.87,958649
2019-10-09,176.89,184.89,175.94,184.19,180.01,456715
2019-10-10,182.94,186.55,180.10,181.89,177.76,400280
2019-10-11,182.30,189.44,182.14,187.5,183.23,595340
2019-10-14,188.0,189.0,183.0,184.10,179.91,285680
2019-10-15,184.44,185.94,180.0,180.94,176.83,524585
2019-10-16,182.0,184.5,179.10,180.35,176.25,714298
2019-10-17,179.0,182.60,178.55,181.25,177.13,337319
2019-10-18,182.0,182.89,180.5,181.44,177.32,395305
2019-10-22,175.0,183.35,168.10,180.80,176.69,2288261
2019-10-23,182.0,184.35,179.0,180.89,176.78,493715
2019-10-24,180.0,182.0,175.0,176.89,172.87,585308
2019-10-25,177.0,179.44,173.0,175.10,171.11,591844
2019-10-27,173.14,180.0,173.14,178.05,174.00,62777
2019-10-29,179.0,179.89,175.05,176.0,171.99,744037
2019-10-30,178.69,178.69,176.14,176.85,172.83,1630378
2019-10-31,178.0,184.60,176.19,180.14,176.05,2518983
2019-11-01,181.89,186.0,181.10,182.55,178.40,842496
2019-11-04,184.80,185.5,182.25,182.89,178.74,1041410
2019-11-05,183.5,185.75,180.75,182.69,178.54,896772
2019-11-06,183.75,185.25,181.5,184.60,180.40,767733
2019-11-07,185.89,187.0,182.0,182.85,178.69,546493
2019-11-08,183.89,184.69,182.85,183.85,179.67,408078
2019-11-11,183.85,183.85,181.85,182.80,178.64,410710
2019-11-13,182.5,184.0,181.10,182.85,178.69,284649
2019-11-14,182.85,183.60,180.0,182.64,178.49,227980
2019-11-15,183.5,184.30,181.0,182.64,178.49,282538
2019-11-18,183.64,183.89,175.0,180.14,176.05,847085
2019-11-19,182.0,182.0,177.80,178.35,174.29,404974
2019-11-20,178.39,180.89,176.25,176.85,172.83,790505
2019-11-21,177.0,181.55,176.0,178.75,174.68,658239
2019-11-22,179.94,180.0,175.60,176.14,172.14,367393
2019-11-25,176.14,179.39,173.5,178.75,174.68,853157
2019-11-26,179.0,179.69,172.0,174.5,170.53,805631
