Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,16.5,16.85,16.5,16.75,16.75,193102
2019-01-02,16.79,17.0,16.5,16.64,16.64,63504
2019-01-03,16.5,16.95,16.5,16.64,16.64,95919
2019-01-04,16.70,16.89,16.29,16.54,16.54,53964
2019-01-07,16.70,16.95,16.39,16.5,16.5,71908
2019-01-08,16.54,17.29,16.54,17.10,17.10,245628
2019-01-09,17.35,17.35,17.0,17.20,17.20,196357
2019-01-10,17.0,17.20,16.70,17.10,17.10,145670
2019-01-11,16.85,17.5,16.85,17.10,17.10,227652
2019-01-14,17.10,17.5,16.79,17.35,17.35,143654
2019-01-15,17.25,17.85,17.10,17.64,17.64,184897
2019-01-16,17.79,18.5,17.60,18.39,18.39,906654
2019-01-17,18.60,18.60,18.0,18.39,18.39,381933
2019-01-18,18.39,19.14,17.5,17.60,17.60,2735635
2019-01-21,17.79,17.95,16.75,16.85,16.85,419480
2019-01-22,17.20,17.20,16.35,17.0,17.0,186414
2019-01-23,16.75,17.10,16.5,16.60,16.60,90648
2019-01-24,16.79,16.79,16.29,16.5,16.5,209800
2019-01-25,16.45,16.95,16.10,16.45,16.45,330179
2019-01-28,16.70,16.70,15.64,16.04,16.04,459047
2019-01-29,16.0,16.10,15.39,16.0,16.0,237963
2019-01-30,16.35,16.5,16.0,16.20,16.20,153269
2019-01-31,16.5,17.0,15.69,16.14,16.14,262142
2019-02-01,16.14,16.35,15.69,16.10,16.10,218771
2019-02-04,16.60,16.60,15.69,15.94,15.94,205525
2019-02-05,16.20,16.20,15.5,16.0,16.0,228974
2019-02-06,15.94,16.04,15.55,15.85,15.85,130585
2019-02-07,15.5,16.0,15.44,15.94,15.94,198594
2019-02-08,15.80,15.94,15.64,15.75,15.75,573234
2019-02-11,15.69,15.85,14.69,15.55,15.55,168989
2019-02-12,15.19,15.64,15.10,15.30,15.30,100251
2019-02-14,15.30,15.44,14.60,15.14,15.14,171526
2019-02-15,15.69,15.69,14.89,15.0,15.0,120792
2019-02-18,14.19,14.80,13.60,13.89,13.89,208593
2019-02-19,14.0,14.35,13.89,13.94,13.94,123206
2019-02-20,14.19,14.30,13.75,14.05,14.05,199195
2019-02-21,14.30,14.30,12.75,13.89,13.89,249375
2019-02-22,14.0,14.44,13.64,14.19,14.19,247919
2019-02-25,14.19,14.75,13.44,13.89,13.89,338997
2019-02-26,14.19,14.19,13.5,13.94,13.94,258078
2019-02-27,15.30,15.30,14.64,15.30,15.30,6370983
2019-02-28,15.69,16.60,15.35,16.20,16.20,2269714
2019-03-01,16.5,16.5,15.75,16.25,16.25,2351070
2019-03-05,16.39,17.79,16.14,17.5,17.5,1701330
2019-03-06,17.79,19.25,17.60,18.95,18.95,2967087
2019-03-07,19.04,19.5,18.39,18.75,18.75,1208038
2019-03-08,18.75,18.95,17.85,17.85,17.85,793386
2019-03-11,17.85,18.5,17.25,17.39,17.39,939519
2019-03-12,17.60,17.79,16.89,17.04,17.04,774483
2019-03-13,16.85,17.35,16.25,16.45,16.45,423474
2019-03-14,16.39,17.25,16.39,17.25,17.25,373428
2019-03-15,18.10,18.10,17.64,18.10,18.10,900777
2019-03-18,18.5,18.5,17.70,17.95,17.95,454851
2019-03-19,18.60,18.70,17.5,18.29,18.29,733700
2019-03-20,18.0,18.20,17.39,17.89,17.89,1007068
2019-03-22,18.14,18.20,17.5,17.79,17.79,489371
2019-03-25,17.70,17.79,17.25,17.60,17.60,244260
2019-03-26,17.60,17.75,17.25,17.45,17.45,431443
2019-03-27,17.75,17.75,17.29,17.60,17.60,602206
2019-03-28,17.29,17.85,17.29,17.45,17.45,530431
2019-04-01,17.35,17.95,17.0,17.70,17.70,701281
2019-04-02,17.70,18.35,17.35,17.45,17.45,396397
2019-04-03,17.54,17.85,17.20,17.25,17.25,420186
2019-04-04,17.45,17.70,16.79,17.0,17.0,704872
2019-04-05,17.14,18.70,16.85,18.70,18.70,2732588
2019-04-08,20.20,20.54,19.64,20.54,20.54,3589298
2019-04-09,20.79,20.79,19.14,20.10,20.10,2438222
2019-04-10,20.14,21.0,19.85,20.25,20.25,971460
2019-04-11,20.14,20.45,19.54,20.04,20.04,461597
2019-04-12,20.04,20.35,19.75,20.0,20.0,291001
2019-04-15,20.29,20.45,19.95,20.14,20.14,429133
2019-04-16,20.25,20.29,19.70,19.75,19.75,448711
2019-04-18,19.25,19.85,19.10,19.25,19.25,292841
2019-04-22,19.25,19.60,18.25,18.45,18.45,664362
2019-04-23,18.45,18.60,18.04,18.25,18.25,252324
2019-04-24,18.25,18.5,18.04,18.35,18.35,198070
2019-04-25,18.45,20.14,18.25,20.14,20.14,1122693
2019-04-26,20.60,21.20,19.79,20.0,20.0,950351
2019-04-30,20.0,20.10,19.0,19.35,19.35,378515
2019-05-02,19.39,19.54,19.0,19.14,19.14,355244
2019-05-03,18.85,20.0,18.70,19.45,19.45,432995
2019-05-06,19.60,19.85,19.14,19.39,19.39,473828
2019-05-07,20.0,20.60,19.39,19.60,19.60,1061459
2019-05-08,19.70,21.20,19.35,19.79,19.79,5658270
2019-05-09,19.5,19.79,18.79,18.95,18.95,1178258
2019-05-10,19.14,19.25,18.70,18.79,18.79,378143
2019-05-13,18.85,18.89,17.45,17.79,17.79,1090330
2019-05-14,17.20,18.25,17.20,18.0,18.0,474640
2019-05-15,18.10,18.29,17.54,17.79,17.79,241301
2019-05-16,17.5,18.10,17.5,17.64,17.64,112494
2019-05-17,17.29,18.0,17.10,17.60,17.60,271726
2019-05-20,18.20,18.79,17.89,18.60,18.60,944576
2019-05-21,18.89,19.10,18.5,18.54,18.54,224669
2019-05-22,18.5,18.75,18.29,18.54,18.54,255593
2019-05-23,18.95,19.14,18.29,18.5,18.5,346689
2019-05-24,18.5,19.10,18.20,18.75,18.75,303647
2019-05-27,18.89,19.14,18.64,18.85,18.85,336452
2019-05-28,18.89,19.29,18.60,19.04,19.04,972626
2019-05-29,19.0,19.29,19.0,19.14,19.14,455155
2019-05-30,19.20,19.89,18.54,19.29,19.29,476064
2019-05-31,19.20,19.39,18.79,19.0,19.0,660663
2019-06-03,18.89,18.89,18.54,18.64,18.64,214747
2019-06-04,18.79,18.79,18.20,18.54,18.54,186274
2019-06-06,18.25,18.70,18.10,18.20,18.20,293695
2019-06-07,18.64,18.64,18.0,18.14,18.14,130359
2019-06-10,18.14,18.45,17.60,17.89,17.89,107518
2019-06-11,18.25,18.25,17.60,17.70,17.70,192077
2019-06-12,17.64,18.20,17.54,17.95,17.95,263976
2019-06-13,17.64,18.0,17.25,17.39,17.39,197166
2019-06-14,17.5,17.64,17.35,17.45,17.45,116355
2019-06-17,17.5,17.54,17.0,17.10,17.10,130311
2019-06-18,17.0,17.29,16.5,16.89,16.89,175393
2019-06-19,17.25,17.25,16.20,16.20,16.20,269125
2019-06-20,16.20,16.29,15.94,16.10,16.10,240470
2019-06-21,16.39,16.39,16.04,16.20,16.20,157463
2019-06-24,16.70,16.70,16.0,16.14,16.14,132092
2019-06-25,16.10,16.39,16.0,16.20,16.20,98376
2019-06-26,16.79,16.79,16.04,16.60,16.60,214452
2019-06-27,16.89,17.10,16.5,16.64,16.64,151186
2019-06-28,16.95,16.95,15.89,16.0,16.0,702554
2019-07-01,16.45,16.45,15.89,16.20,16.20,227457
2019-07-02,16.29,16.35,15.89,16.04,16.04,128869
2019-07-03,16.10,16.25,15.85,16.0,16.0,167272
2019-07-04,16.0,16.29,15.94,16.20,16.20,186004
2019-07-05,16.29,16.39,15.69,15.75,15.75,211909
2019-07-08,15.69,16.25,15.5,16.0,16.0,362534
2019-07-09,16.39,17.20,15.80,17.04,17.04,790593
2019-07-10,17.25,18.04,17.04,17.89,17.89,627186
2019-07-11,18.0,18.5,17.64,17.79,17.79,821347
2019-07-12,17.79,18.39,17.64,17.89,17.89,420143
2019-07-15,18.10,18.75,17.70,18.5,18.5,824249
