Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,31.10,33.15,30.04,32.79,32.46,23099679
2020-11-03,33.15,33.75,32.70,32.95,32.61,4556016
2020-11-04,32.95,33.09,32.0,32.70,32.37,1667520
2020-11-05,32.70,33.29,32.40,33.0,32.66,3951058
2020-11-06,32.70,33.04,32.5,32.84,32.51,1351591
2020-11-09,33.0,33.5,30.5,32.65,32.32,4323953
2020-11-10,33.5,34.5,33.15,33.34,33.01,5976055
2020-11-11,33.45,33.70,32.79,32.95,32.61,1459446
2020-11-12,33.0,33.75,33.0,33.54,33.21,1868282
2020-11-13,33.54,34.75,33.5,34.5,34.15,5544814
2020-11-14,34.5,34.75,34.09,34.20,33.85,853354
2020-11-17,34.15,34.70,33.79,34.29,33.95,2071178
2020-11-18,34.0,34.54,33.84,33.95,33.60,2069678
2020-11-19,33.90,33.90,33.04,33.20,32.86,1392356
2020-11-20,33.20,33.70,32.75,33.04,32.71,1280775
2020-11-23,34.70,38.0,34.34,37.29,36.92,11604586
2020-11-24,37.75,39.0,36.0,36.20,35.83,4370022
2020-11-25,36.34,36.70,34.75,34.95,34.59,1673052
2020-11-26,34.59,36.04,34.34,34.45,34.10,2461538
2020-11-27,34.59,34.84,34.09,34.34,34.00,1054709
2020-12-01,34.5,35.65,34.04,34.79,34.44,1553456
2020-12-02,34.90,35.40,34.15,34.40,34.05,1058999
2020-12-03,34.95,35.34,34.40,34.79,34.44,1739440
2020-12-04,35.0,35.34,34.70,34.90,34.54,1283490
2020-12-07,35.04,35.84,34.70,35.20,34.84,2264012
2020-12-08,35.90,35.95,34.40,34.70,34.35,2767501
2020-12-09,34.90,39.54,34.90,37.59,37.22,9679293
2020-12-10,37.25,37.90,36.95,37.04,36.67,1902573
2020-12-11,37.45,37.70,37.0,37.5,37.12,1682915
2020-12-14,37.70,37.84,36.09,37.59,37.22,1669172
2020-12-15,37.09,38.25,37.09,38.09,37.71,2757434
2020-12-16,38.5,39.40,38.29,38.95,38.55,2540422
2020-12-17,39.09,39.59,39.0,39.04,38.65,1812679
2020-12-18,39.29,39.79,39.04,39.54,39.15,2071976
2020-12-21,39.84,40.0,35.29,36.20,35.83,2029451
2020-12-22,34.65,37.29,34.5,36.79,36.42,1854982
2020-12-23,37.40,38.0,35.90,36.20,35.83,2032261
2020-12-24,36.65,36.84,36.0,36.5,36.13,1575992
2020-12-28,36.5,37.20,36.5,37.09,36.72,1860194
2020-12-29,37.90,37.90,37.20,37.54,37.17,1882732
2020-12-30,37.54,37.65,36.29,37.5,37.12,1483158
2020-12-31,37.15,37.84,37.15,37.70,37.31,1034633
2021-01-01,37.75,37.79,37.34,37.75,37.36,832887
2021-01-04,38.29,38.29,37.40,37.95,37.56,1156997
2021-01-05,37.65,37.65,37.04,37.45,37.07,614490
2021-01-06,37.75,37.95,37.45,37.65,37.27,936322
