Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,93.75,93.75,92.09,93.0,88.79,6000894
2019-01-02,93.19,95.75,93.15,94.80,90.50,18353855
2019-01-03,95.30,95.30,91.44,92.0,87.83,12573160
2019-01-04,93.25,95.15,92.19,94.80,90.50,13600522
2019-01-07,95.25,95.75,94.0,94.59,90.31,6098289
2019-01-08,94.84,95.94,94.0,95.25,90.93,5586703
2019-01-09,95.55,97.5,94.40,96.90,92.51,16761351
2019-01-10,97.19,97.19,95.25,95.65,91.32,9038333
2019-01-11,96.34,96.34,95.0,95.40,91.08,4428970
2019-01-14,94.40,94.40,89.0,90.59,86.49,27982373
2019-01-15,90.59,91.65,90.59,91.0,86.88,14369266
2019-01-16,91.25,92.09,90.69,91.19,87.07,13241747
2019-01-17,91.90,92.75,86.40,88.5,84.49,52214012
2019-01-18,89.0,90.84,88.25,90.0,85.92,19374838
2019-01-21,90.44,90.80,88.40,88.69,84.68,8480926
2019-01-22,89.30,90.0,86.80,89.5,85.44,9770761
2019-01-23,89.80,90.25,88.05,88.5,84.49,10623427
2019-01-24,88.55,89.80,88.15,88.90,84.87,6256146
2019-01-25,89.09,89.34,85.69,86.5,82.58,9564881
2019-01-28,86.69,86.90,83.84,84.15,80.34,7823189
2019-01-29,84.0,86.84,83.84,86.5,82.58,10253514
2019-01-30,86.44,87.09,84.65,86.5,82.58,7628375
2019-01-31,87.19,87.25,85.09,85.90,82.01,16187111
2019-02-01,86.44,88.19,85.25,86.25,82.34,9968361
2019-02-04,86.34,88.34,84.69,88.05,84.06,7935374
2019-02-05,87.5,88.75,86.40,87.25,83.30,9005623
2019-02-06,87.34,87.5,84.55,85.5,81.62,7985584
2019-02-07,85.75,87.44,85.19,86.09,82.20,7226632
2019-02-08,85.80,86.25,83.80,84.15,80.34,7692422
2019-02-11,84.15,84.30,81.69,83.44,79.67,8381436
2019-02-12,83.5,84.34,82.40,82.80,79.05,7274666
2019-02-14,81.5,82.15,80.0,80.30,76.66,11337342
2019-02-15,80.59,81.30,79.75,80.19,76.56,6556643
2019-02-18,80.34,81.59,79.90,80.0,76.37,8365802
2019-02-19,80.5,80.65,79.05,79.30,75.71,7873791
2019-02-20,79.80,80.40,79.0,79.65,76.04,9102119
2019-02-21,80.0,80.34,79.05,79.59,75.99,6410472
2019-02-22,79.59,80.0,78.19,79.44,75.85,12220941
2019-02-25,79.94,81.19,79.19,80.80,77.14,11778486
2019-02-26,80.5,82.30,79.0,81.69,78.00,14260601
2019-02-27,82.0,82.80,80.55,81.44,77.76,8818508
