Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,88.5,91.0,87.69,90.40,84.34,898237
2019-01-02,90.44,93.19,89.80,91.75,85.60,1400459
2019-01-03,92.0,92.0,91.0,91.44,85.32,630763
2019-01-04,91.40,91.40,89.05,89.90,83.87,660065
2019-01-07,91.0,92.90,89.65,92.05,85.88,1037595
2019-01-08,92.0,92.90,89.90,92.5,86.30,716176
2019-01-09,92.34,93.25,92.0,92.75,86.53,415701
2019-01-10,92.75,93.25,92.09,93.09,86.86,360001
2019-01-11,93.84,95.0,93.0,94.09,87.79,722112
2019-01-14,94.0,94.0,92.44,92.94,86.72,349893
2019-01-15,93.15,93.25,90.65,92.05,85.88,729510
2019-01-16,91.84,92.84,90.44,91.19,85.09,714820
2019-01-17,90.94,92.84,90.94,91.90,85.74,539900
2019-01-18,91.84,92.5,91.5,92.09,85.93,861228
2019-01-21,92.0,92.94,91.34,92.05,85.88,586167
2019-01-22,92.0,92.69,90.19,92.30,86.11,629554
2019-01-23,92.05,92.40,91.75,92.0,85.83,691997
2019-01-24,92.0,92.25,91.69,92.0,85.83,607901
2019-01-25,92.34,92.55,91.5,92.0,85.83,562583
2019-01-28,91.5,92.0,87.44,89.15,83.18,1266762
2019-01-29,89.09,90.30,88.69,89.65,83.64,550286
2019-01-30,89.5,90.19,86.09,86.94,81.12,822203
2019-01-31,87.09,88.80,87.05,87.94,82.06,288406
2019-02-01,87.69,89.65,87.05,89.0,83.04,426484
2019-02-04,89.19,89.19,85.19,85.94,80.19,570531
2019-02-05,86.19,87.30,85.0,86.25,80.47,424766
2019-02-06,86.19,86.90,84.84,85.55,79.82,1394015
2019-02-07,85.55,87.40,85.30,85.65,79.91,1101033
2019-02-08,85.69,85.90,85.0,85.40,79.68,337375
2019-02-11,85.40,86.0,84.69,85.44,79.72,690755
2019-02-12,85.59,85.65,80.0,82.5,76.97,2152952
2019-02-14,70.0,70.0,63.20,67.69,63.16,25195066
2019-02-15,68.0,71.19,68.0,68.69,64.09,4352121
2019-02-18,70.0,70.0,65.80,66.34,61.90,1345368
2019-02-19,66.0,67.25,65.75,66.0,61.58,742130
2019-02-20,66.25,67.0,66.25,66.65,62.18,596201
2019-02-21,67.0,67.84,66.30,67.5,62.97,930671
2019-02-22,67.44,67.55,66.75,67.09,62.60,571130
2019-02-25,67.59,68.90,66.65,68.09,63.53,854572
2019-02-26,67.94,68.5,66.09,68.09,63.53,835591
2019-02-27,68.40,70.44,68.0,68.69,64.09,912907
2019-02-28,68.80,69.90,68.15,69.15,64.51,1053098
2019-03-01,69.80,69.90,68.40,68.94,64.33,726635
2019-03-05,70.0,72.25,68.84,72.05,67.22,3393655
2019-03-06,73.65,74.25,70.65,71.05,66.29,2724657
2019-03-07,71.80,72.05,70.5,70.69,65.96,746202
2019-03-08,71.40,71.44,68.75,69.44,64.79,668812
2019-03-11,69.44,70.69,69.09,69.94,65.26,2132688
2019-03-12,70.59,74.25,70.09,73.55,68.62,2260391
2019-03-13,74.09,74.40,71.0,71.44,66.66,1324666
2019-03-14,71.80,72.5,71.15,71.30,66.52,600357
2019-03-15,71.30,74.90,71.15,73.05,68.15,3170748
2019-03-18,73.05,73.09,71.5,71.55,66.75,731821
2019-03-19,71.5,72.90,71.0,71.5,66.71,660485
2019-03-20,71.5,71.84,70.5,70.90,66.15,989072
2019-03-22,70.84,71.75,69.40,69.75,65.07,673986
2019-03-25,69.69,69.69,68.59,68.90,64.28,407702
2019-03-26,69.25,69.5,68.5,68.69,64.09,476181
2019-03-27,68.80,72.0,68.80,70.5,65.77,1416026
2019-03-28,70.65,71.59,70.65,70.94,66.19,1068311
2019-04-01,72.0,72.5,71.69,71.94,67.13,735407
2019-04-02,72.44,74.94,72.09,73.69,68.76,1705902
2019-04-03,74.09,76.0,73.09,73.59,68.67,1695628
2019-04-04,74.30,74.5,72.25,73.19,68.29,710567
2019-04-05,74.19,77.5,73.5,76.84,71.70,2172726
2019-04-08,79.40,80.40,77.65,78.90,73.61,4150639
2019-04-09,79.30,79.30,76.94,77.90,72.68,965605
2019-04-10,77.09,80.5,77.09,80.15,74.78,3604406
2019-04-11,80.0,82.0,79.55,80.0,74.64,1915044
2019-04-12,79.84,80.69,79.55,80.05,74.68,934871
2019-04-15,80.09,81.90,79.94,81.55,76.08,1699560
2019-04-16,81.59,82.15,79.80,80.65,75.24,1831876
2019-04-18,80.94,81.09,77.44,79.05,73.75,948092
2019-04-22,78.94,78.94,76.84,77.34,72.17,2081766
2019-04-23,77.34,78.19,76.05,76.19,71.09,476400
2019-04-24,76.59,78.94,76.19,78.84,73.56,712894
2019-04-25,78.80,80.0,77.40,77.94,72.73,612961
2019-04-26,78.19,78.94,77.75,78.75,73.47,595475
2019-04-30,79.19,79.19,76.05,77.40,72.21,720206
2019-05-02,77.09,78.15,76.75,77.15,71.98,601200
2019-05-03,77.0,79.5,76.80,78.94,73.66,1519967
2019-05-06,78.90,81.65,78.30,79.30,73.98,3446148
2019-05-07,79.30,80.65,79.0,79.94,74.59,1031489
2019-05-08,80.19,80.19,78.30,78.90,73.61,722891
2019-05-09,79.0,80.5,78.09,80.34,74.96,962561
2019-05-10,80.19,81.5,79.34,80.80,75.38,1756062
2019-05-13,81.0,81.0,79.0,79.5,74.17,961407
2019-05-14,79.0,80.0,77.80,79.80,74.45,733023
2019-05-15,79.40,80.0,73.09,74.40,69.41,4633494
2019-05-16,75.0,75.59,73.30,74.69,69.69,1338452
2019-05-17,75.0,78.15,74.0,74.69,69.69,2080986
2019-05-20,77.5,78.80,76.15,78.05,72.82,906012
2019-05-21,78.5,79.94,77.34,78.5,73.24,874291
2019-05-22,78.44,82.0,78.15,80.09,74.73,3001400
2019-05-23,81.75,83.59,79.55,79.90,74.54,1351729
2019-05-24,80.84,81.0,79.34,80.05,74.68,511840
2019-05-27,80.0,81.75,79.80,81.0,75.57,603598
2019-05-28,81.5,81.5,77.59,78.09,72.87,4776108
2019-05-29,78.15,79.80,77.84,79.5,74.17,668783
2019-05-30,81.5,81.5,79.25,79.65,74.31,364737
2019-05-31,79.69,79.94,77.84,78.09,72.87,587277
2019-06-03,77.59,80.19,77.59,80.0,74.64,1401585
2019-06-04,79.19,80.84,79.19,80.5,75.10,639404
