Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,102.04,103.40,101.45,102.95,89.34,1611402
2019-01-02,102.72,103.81,100.90,101.40,88.00,1734579
2019-01-03,101.81,102.59,99.81,100.13,86.89,1094340
2019-01-04,100.0,104.81,100.0,104.5,90.68,3855115
2019-01-07,105.0,105.18,102.81,103.27,89.61,2217496
2019-01-08,103.31,105.54,102.63,105.22,91.31,1329251
2019-01-09,105.68,105.86,101.45,103.54,89.85,2504799
2019-01-10,103.63,105.18,102.90,104.81,90.95,2263052
2019-01-11,105.18,106.90,103.72,105.54,91.59,13160886
2019-01-14,105.81,110.0,104.68,108.22,93.91,7886734
2019-01-15,108.36,109.09,106.90,108.45,94.11,2387205
2019-01-16,108.72,110.04,107.68,108.36,94.03,2027175
2019-01-17,108.81,110.54,106.90,109.95,95.41,2222906
2019-01-18,110.13,112.31,108.72,111.0,96.32,5823530
2019-01-21,111.81,111.90,108.86,109.31,94.86,2219405
2019-01-22,108.77,110.04,107.36,107.68,93.44,1827228
2019-01-23,107.68,109.0,107.31,107.72,93.48,981583
2019-01-24,107.86,110.22,107.45,109.72,95.21,1537449
2019-01-25,109.90,110.5,106.13,106.77,92.65,1704912
2019-01-28,106.86,107.27,104.36,105.5,91.55,1568825
2019-01-29,105.54,108.18,104.5,107.36,93.16,1335921
2019-01-30,107.45,108.5,106.0,107.18,93.01,1041445
2019-01-31,107.18,111.13,105.45,109.09,94.66,2634526
2019-02-01,109.54,110.45,104.72,107.27,93.08,2518571
2019-02-04,107.54,107.54,105.0,106.31,92.26,1085015
2019-02-05,105.90,106.95,104.36,104.90,91.03,1046625
2019-02-06,105.5,106.59,102.95,106.09,92.06,1206847
2019-02-07,106.13,111.22,105.45,110.09,95.53,2558815
2019-02-08,109.45,109.59,104.77,105.63,91.66,2817423
2019-02-11,105.45,106.04,102.90,103.31,89.65,1400743
2019-02-12,103.5,105.27,102.81,104.09,90.32,923696
2019-02-14,99.54,105.63,98.77,104.45,90.64,2684282
2019-02-15,103.27,104.0,100.90,101.68,88.23,1492349
2019-02-18,101.81,102.90,100.0,100.90,87.56,1566512
2019-02-19,100.72,103.95,100.27,102.09,88.59,1382439
2019-02-20,102.54,104.04,102.18,103.5,89.81,958703
2019-02-21,103.59,105.0,102.77,104.36,90.56,2029329
2019-02-22,104.27,105.90,103.36,104.54,90.72,1059326
2019-02-25,104.5,104.90,103.13,104.36,90.56,1171844
2019-02-26,103.27,103.54,98.95,101.95,88.47,2489557
2019-02-27,102.68,104.40,100.59,101.27,87.88,1587340
2019-02-28,102.09,102.72,101.04,102.04,88.55,1736497
2019-03-01,102.63,105.59,102.40,105.13,91.23,1811173
2019-03-05,104.54,109.0,103.90,108.68,94.31,2509772
2019-03-06,108.68,112.27,107.90,109.95,95.41,2566282
2019-03-07,110.13,111.18,107.81,109.45,94.98,2114345
2019-03-08,109.27,109.86,107.27,107.54,93.32,1070803
2019-03-11,108.0,115.72,107.40,113.59,98.57,5335875
2019-03-12,114.54,116.36,111.68,113.54,98.53,4144328
2019-03-13,113.63,118.59,111.90,117.54,102.00,5926454
2019-03-14,118.95,119.0,114.81,116.22,100.85,5982867
2019-03-15,116.72,117.86,115.5,116.13,100.78,3825936
2019-03-18,117.81,120.09,116.22,117.09,101.60,5234559
2019-03-19,117.72,120.45,116.5,118.40,102.75,3646358
2019-03-20,119.18,122.27,118.54,119.27,103.50,5537692
2019-03-22,119.54,119.95,116.04,116.90,101.45,2475605
2019-03-25,113.63,114.95,112.27,113.81,98.76,3794455
2019-03-26,112.81,119.36,112.81,118.59,102.91,4824854
2019-03-27,119.31,120.27,117.5,119.95,104.09,4268481
2019-03-28,120.54,122.36,119.54,121.40,105.35,3828105
2019-04-01,122.18,125.36,122.04,122.81,106.57,3641839
2019-04-02,124.54,125.13,120.95,121.77,105.67,4206720
2019-04-03,122.45,123.72,119.22,119.68,103.85,2697552
2019-04-04,119.95,120.81,118.72,119.31,103.54,1743095
2019-04-05,120.45,125.27,119.90,124.27,107.84,5065144
2019-04-08,127.27,128.40,121.63,123.04,106.77,6114992
2019-04-09,123.18,123.40,118.86,122.81,106.57,3309142
2019-04-10,122.45,123.27,118.68,120.18,104.29,2305305
2019-04-11,120.95,123.0,119.54,122.27,106.10,2955313
2019-04-12,122.63,123.81,122.04,122.86,106.61,2252251
2019-04-15,122.90,123.90,121.86,122.77,106.53,1825244
2019-04-16,123.04,125.63,122.36,124.95,108.43,2747734
2019-04-18,124.95,125.68,121.31,122.81,106.57,3134208
2019-04-22,122.45,122.45,118.68,119.40,103.62,2250370
2019-04-23,119.31,120.09,114.5,114.81,99.63,4567582
2019-04-24,115.54,117.40,114.63,116.86,101.41,2090188
2019-04-25,117.09,118.95,116.0,117.09,101.60,2824977
2019-04-26,116.36,118.54,116.18,117.72,102.16,1364536
2019-04-30,117.27,117.68,113.90,115.27,100.03,1185941
2019-05-02,114.54,116.95,113.95,115.0,99.79,1989718
2019-05-03,115.27,117.40,114.90,117.04,101.56,1228961
2019-05-06,116.04,118.59,115.45,116.95,101.49,1888658
2019-05-07,117.27,118.86,112.18,112.90,97.98,2583122
2019-05-08,112.18,113.18,109.68,110.36,95.77,1940788
2019-05-09,109.77,110.81,108.36,109.72,95.21,2365158
2019-05-10,110.0,112.22,109.81,111.77,96.99,1593018
2019-05-13,111.72,113.31,106.54,107.36,93.16,3781267
2019-05-14,105.27,105.45,99.45,102.04,88.55,10542601
2019-05-15,102.90,103.59,100.72,101.27,87.88,2102326
2019-05-16,101.81,102.59,100.45,101.36,87.96,1787141
2019-05-17,101.45,102.22,99.45,99.90,86.69,2226516
2019-05-20,103.18,107.45,102.13,106.31,92.26,2980940
2019-05-21,106.95,107.22,102.0,102.5,88.94,2515288
2019-05-22,102.77,103.09,101.0,101.31,87.92,1858311
2019-05-23,103.63,106.45,99.77,100.5,87.21,3580419
2019-05-24,101.0,105.0,101.0,104.68,90.84,2327004
2019-05-27,105.36,108.81,104.54,107.81,93.56,2531441
2019-05-28,108.04,108.09,105.18,105.95,91.94,2370404
2019-05-29,105.68,105.72,102.54,103.04,89.42,1891648
2019-05-30,103.45,103.81,102.27,103.54,89.85,1687017
2019-05-31,104.0,106.0,101.63,102.45,88.90,2547867
2019-06-03,102.54,103.81,101.45,102.86,89.26,1855420
2019-06-04,102.72,105.09,101.81,103.13,89.49,2317091
2019-06-06,103.13,103.63,96.90,97.27,84.41,5218717
2019-06-07,96.72,98.18,93.40,97.27,84.41,5258436
2019-06-10,98.09,99.36,95.27,97.95,85.00,2804274
2019-06-11,97.95,99.09,96.27,98.31,85.31,2657150
2019-06-12,98.18,100.22,97.40,99.04,85.94,2025634
2019-06-13,98.27,98.90,95.90,98.27,85.27,2684259
2019-06-14,98.18,98.77,96.54,96.95,84.13,1958773
2019-06-17,96.90,97.22,95.04,95.54,82.91,1663387
2019-06-18,95.54,95.90,92.22,92.86,80.58,2827101
2019-06-19,93.09,94.04,90.63,91.63,79.52,4229163
2019-06-20,92.09,94.31,90.81,94.09,81.65,2341222
2019-06-21,94.09,94.86,92.68,93.81,81.41,1708457
2019-06-24,93.81,94.22,92.27,92.81,80.54,2117790
2019-06-25,92.54,95.45,91.90,95.09,82.51,2144199
2019-06-26,94.81,96.09,93.09,93.5,81.13,3179288
2019-06-27,94.31,97.59,92.31,94.13,81.68,8163170
2019-06-28,94.54,95.90,94.13,94.45,81.96,1309811
2019-07-01,94.90,95.45,93.95,94.59,82.08,764597
2019-07-02,94.72,95.0,93.27,93.72,81.33,804061
2019-07-03,94.0,95.31,93.77,94.5,82.00,902265
2019-07-04,94.72,96.31,94.54,95.63,82.99,917177
2019-07-05,95.90,96.0,92.45,93.22,80.90,1296620
2019-07-08,92.72,93.18,91.36,92.40,80.19,1010451
2019-07-09,92.27,92.40,91.13,91.40,79.32,1465417
2019-07-10,91.40,92.04,90.45,90.90,78.88,822204
2019-07-11,91.45,91.72,90.45,90.95,78.92,1277136
2019-07-12,91.77,93.18,91.09,92.36,80.15,2622830
2019-07-15,93.63,95.27,92.18,92.95,80.66,2812214
2019-07-16,93.18,93.5,90.0,90.95,78.92,1894768
2019-07-17,91.09,91.81,90.0,90.36,78.41,1188700
2019-07-18,90.36,90.40,87.63,87.90,76.28,1460270
2019-07-19,88.27,88.81,86.72,87.54,75.97,1249023
2019-07-22,87.40,88.0,86.86,87.40,75.85,761163
2019-07-23,87.54,88.40,87.0,87.54,75.97,912195
2019-07-24,87.54,87.72,85.54,86.31,74.90,1167193
2019-07-25,86.18,86.36,85.04,85.86,74.51,968188
2019-07-26,85.54,86.63,85.31,86.36,74.94,1353812
2019-07-29,84.27,84.68,81.81,81.90,73.79,1436239
2019-07-30,82.0,82.13,75.72,76.63,69.04,3943793
2019-07-31,76.04,77.36,74.22,76.45,68.88,1414803
2019-08-01,75.54,77.90,75.54,76.95,69.33,1174054
2019-08-02,76.36,76.63,75.27,75.54,68.06,1167758
2019-08-05,75.04,75.04,72.18,73.81,66.50,1091150
2019-08-06,73.22,75.13,72.63,73.13,65.89,1140700
2019-08-07,73.27,74.54,71.13,71.59,64.50,1342216
2019-08-08,71.86,74.09,71.59,73.68,66.38,1028665
2019-08-09,74.13,75.40,73.18,73.5,66.22,1089202
2019-08-13,73.36,73.54,70.90,71.13,64.09,1180190
2019-08-14,71.45,72.13,70.59,71.22,64.17,1166397
