Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,578.70,578.95,571.45,577.09,565.74,302522
2019-01-02,577.09,581.90,564.25,565.20,554.07,756154
2019-01-03,569.40,573.45,561.0,562.09,551.03,458259
2019-01-04,562.09,575.65,562.09,571.65,560.40,880714
2019-01-07,576.20,578.90,567.54,574.15,562.85,1167752
2019-01-08,574.0,575.90,551.90,565.0,553.88,944170
2019-01-09,569.59,581.75,566.90,577.09,565.74,1206091
2019-01-10,580.0,584.0,570.25,579.25,567.85,787468
2019-01-11,577.5,583.0,570.5,575.75,564.42,505821
2019-01-14,571.54,578.90,569.09,576.20,564.86,545568
2019-01-15,576.0,581.20,573.29,579.25,567.85,485032
2019-01-16,574.20,580.59,571.54,574.25,562.94,534422
2019-01-17,573.40,574.0,566.09,569.95,558.73,578654
2019-01-18,569.09,571.90,560.5,569.65,558.44,625098
2019-01-21,571.0,581.0,569.15,579.90,568.48,757942
2019-01-22,582.84,588.95,571.25,575.09,563.78,1618877
2019-01-23,578.25,584.0,575.70,578.5,567.11,745315
2019-01-24,580.0,582.84,572.5,578.15,566.77,423909
2019-01-25,581.79,583.59,571.20,573.65,562.36,955137
2019-01-28,574.84,575.79,552.34,563.15,552.06,2517674
2019-01-29,560.0,560.95,542.0,550.5,539.66,2575635
2019-01-30,552.0,565.0,551.25,563.0,551.92,1164482
2019-01-31,565.0,573.75,555.54,568.65,557.45,1330990
2019-02-01,568.90,580.95,566.45,577.20,565.84,642726
2019-02-04,579.45,600.0,573.5,594.5,582.80,2096586
2019-02-05,600.0,607.45,582.95,585.59,574.07,2851206
2019-02-06,584.15,589.75,578.79,584.15,572.65,859597
2019-02-07,584.5,594.79,577.95,580.09,568.68,1970033
2019-02-08,579.70,585.04,570.70,572.84,561.57,1218281
2019-02-11,573.09,575.95,559.75,564.59,553.48,1090830
2019-02-12,564.5,571.84,560.20,563.5,552.41,943928
2019-02-14,558.95,558.95,545.5,551.45,540.59,1157745
2019-02-15,551.0,556.75,543.45,548.54,537.75,878754
2019-02-18,549.0,557.0,545.5,548.29,537.51,912427
2019-02-19,545.0,554.5,544.0,546.65,535.89,614103
2019-02-20,550.0,556.29,546.65,554.75,543.83,759871
2019-02-21,556.5,561.84,550.54,559.5,548.48,1325462
2019-02-22,558.79,565.84,558.79,563.84,552.75,1247101
2019-02-25,563.90,578.5,557.29,574.29,562.99,1189374
2019-02-26,567.0,578.79,560.59,576.0,564.66,996819
2019-02-27,577.15,588.0,568.95,571.75,560.49,1543374
2019-02-28,572.0,581.0,571.54,577.84,566.47,1230096
2019-03-01,580.0,597.70,578.09,595.79,584.07,1527384
2019-03-05,595.0,611.0,592.40,609.45,597.45,2592636
2019-03-06,614.34,628.90,612.0,627.5,615.15,3806078
2019-03-07,628.84,632.40,617.45,622.45,610.20,3413214
2019-03-08,620.0,641.95,618.0,638.09,625.54,3784443
2019-03-11,642.40,658.90,634.09,642.90,630.24,6114207
2019-03-12,638.29,642.54,630.54,633.25,620.78,3855895
2019-03-13,634.75,640.0,623.29,627.25,614.90,2025239
2019-03-14,631.0,644.79,624.0,636.90,624.36,3522703
2019-03-15,642.0,653.95,640.25,648.15,635.39,20765318
2019-03-18,648.0,656.20,634.0,636.45,623.92,1800319
2019-03-19,638.70,650.20,635.59,648.29,635.54,1347013
2019-03-20,646.95,648.0,636.0,644.75,632.06,1467224
2019-03-22,644.90,661.5,633.45,636.29,623.77,2431895
2019-03-25,629.0,640.20,627.0,637.34,624.80,748182
2019-03-26,635.0,655.75,635.0,654.20,641.32,2038545
2019-03-27,660.95,678.59,656.0,668.5,655.34,4903592
2019-03-28,671.95,687.34,670.34,684.29,670.83,4373710
2019-04-01,681.95,690.25,676.54,679.79,666.42,1113679
2019-04-02,679.5,682.90,669.15,678.75,665.39,934378
2019-04-03,683.0,683.09,660.09,663.04,650.00,740526
2019-04-04,660.0,662.95,646.54,649.25,636.47,1599956
2019-04-05,650.5,673.79,650.5,671.04,657.84,1408867
2019-04-08,675.20,675.40,651.84,655.95,643.04,971015
2019-04-09,657.0,669.34,651.70,668.09,654.95,905333
2019-04-10,667.90,679.20,665.09,674.04,660.78,917932
2019-04-11,673.79,674.70,658.84,664.59,651.52,779214
2019-04-12,665.0,673.84,665.0,667.34,654.21,487732
2019-04-15,670.70,674.45,666.0,668.79,655.63,470345
2019-04-16,670.0,682.29,668.40,680.29,666.91,1021695
2019-04-18,684.20,686.45,668.09,675.45,662.15,3414687
2019-04-22,676.95,682.90,663.15,681.09,667.69,1681191
2019-04-23,681.0,686.90,670.90,673.34,660.09,1683991
2019-04-24,677.70,679.34,667.70,672.75,659.51,1305166
2019-04-25,671.5,674.59,664.40,665.95,652.84,1051963
2019-04-26,671.20,671.54,660.0,669.90,656.71,835728
2019-04-30,670.0,681.90,664.20,678.84,665.49,1337000
2019-05-02,678.75,685.20,661.04,662.45,649.41,1360050
2019-05-03,665.29,674.0,663.0,672.20,658.97,1294837
2019-05-06,666.0,670.5,660.54,664.04,650.98,889968
2019-05-07,668.0,676.5,661.79,665.95,652.84,897661
2019-05-08,665.79,667.59,650.54,652.79,639.95,971817
2019-05-09,649.29,664.20,648.29,661.84,648.82,887749
2019-05-10,660.0,676.90,659.0,675.0,661.71,911404
2019-05-13,675.29,677.84,657.09,659.5,646.52,753274
2019-05-14,659.0,659.34,633.04,651.20,638.38,2811150
2019-05-15,649.40,662.0,644.20,652.25,639.41,868431
2019-05-16,649.40,649.40,625.25,632.90,620.44,2245220
2019-05-17,634.79,659.90,631.34,655.75,642.84,2710158
2019-05-20,674.0,687.84,672.0,680.25,666.86,2278726
2019-05-21,685.0,688.84,664.79,669.90,656.71,1396232
2019-05-22,669.95,674.90,662.0,666.84,653.72,520824
2019-05-23,675.0,686.5,670.09,674.04,660.78,2189867
2019-05-24,676.79,680.0,660.0,667.5,654.36,1471296
2019-05-27,669.70,701.40,667.59,698.29,684.55,3857944
2019-05-28,703.90,716.40,692.25,701.45,687.64,5037597
2019-05-29,702.5,704.70,684.59,686.04,672.54,1268838
2019-05-30,687.0,697.0,682.40,692.29,678.67,2045024
2019-05-31,695.0,702.70,680.34,687.34,673.82,1381840
2019-06-03,685.40,697.04,683.40,695.59,681.91,822894
2019-06-04,693.95,705.90,689.20,691.25,677.64,1715553
2019-06-06,695.09,697.09,664.0,667.09,653.97,1859180
2019-06-07,669.70,676.45,662.5,668.54,655.39,736232
2019-06-10,675.0,679.45,659.0,669.65,656.47,1095860
2019-06-11,672.45,674.34,668.04,669.45,656.27,559398
2019-06-12,667.84,667.84,657.0,658.59,645.63,687497
2019-06-13,655.0,657.45,632.0,639.15,626.57,1946925
2019-06-14,640.95,640.95,623.54,625.90,613.58,1369147
2019-06-17,625.59,626.15,603.5,621.29,609.07,2270934
2019-06-18,623.95,635.0,620.5,626.84,614.51,1377597
2019-06-19,630.5,639.34,620.09,623.20,610.93,1183513
2019-06-20,623.0,627.0,605.5,624.40,612.11,1868018
2019-06-21,625.0,625.95,602.79,611.95,599.90,3332898
2019-06-24,610.90,622.75,610.0,618.5,606.32,1418827
2019-06-25,620.79,624.75,618.0,622.79,610.54,934129
2019-06-26,621.95,636.0,620.59,632.95,620.49,1693183
2019-06-27,634.0,641.40,628.20,637.5,624.95,2632416
2019-06-28,638.70,646.59,629.0,638.65,626.08,1395387
2019-07-01,639.79,651.5,636.75,648.45,638.38,1484797
2019-07-02,647.84,654.70,644.15,653.04,642.91,823365
2019-07-03,654.34,655.90,646.0,652.0,641.88,1412332
2019-07-04,651.90,663.0,650.79,654.15,643.99,1477866
2019-07-05,654.79,658.90,631.90,632.95,623.12,1949855
2019-07-08,628.95,643.0,620.59,627.0,617.27,1758295
2019-07-09,626.70,631.79,620.29,627.45,617.71,1386907
2019-07-10,628.20,639.0,624.34,626.59,616.87,1411076
2019-07-11,628.5,639.84,628.5,635.0,625.14,935527
2019-07-12,638.0,648.34,635.0,640.90,630.95,1150677
