Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,292.0,296.35,255.0,277.79,277.79,4172010
2021-03-30,270.25,276.0,256.64,270.79,270.79,1667592
2021-03-31,270.0,278.5,261.60,273.70,273.70,610257
2021-04-01,276.10,281.45,271.10,273.35,273.35,253766
2021-04-05,273.0,273.95,263.10,264.85,264.85,152689
2021-04-06,266.0,272.5,261.29,263.39,263.39,175457
2021-04-07,264.95,271.64,261.0,264.85,264.85,271010
2021-04-08,266.04,269.70,262.10,267.35,267.35,173913
2021-04-09,268.0,270.39,264.10,265.20,265.20,111688
2021-04-12,260.0,263.79,247.60,250.0,250.0,172777
2021-04-13,252.75,264.0,252.75,256.29,256.29,97221
2021-04-15,256.29,260.85,254.0,257.04,257.04,186237
2021-04-16,256.0,259.85,254.05,255.94,255.94,121048
2021-04-19,251.0,252.39,245.5,249.94,249.94,91623
2021-04-20,250.30,254.35,243.55,251.69,251.69,132273
2021-04-22,248.0,251.94,245.55,250.10,250.10,82173
2021-04-23,249.75,253.10,248.0,248.94,248.94,95252
2021-04-26,250.0,251.80,245.60,246.30,246.30,59416
2021-04-27,247.0,248.39,245.44,247.0,247.0,67431
2021-04-28,247.0,253.94,247.0,250.55,250.55,157605
2021-04-29,251.89,253.44,247.25,249.94,249.94,88347
2021-04-30,249.64,250.69,247.39,249.94,249.94,499526
2021-05-03,248.69,251.44,246.55,250.0,250.0,176698
2021-05-04,249.0,251.5,244.75,246.30,246.30,67423
2021-05-05,246.39,248.89,245.0,246.14,246.14,94729
2021-05-06,248.39,248.39,240.60,241.35,241.35,92834
2021-05-07,241.35,245.0,238.25,239.85,239.85,169198
2021-05-10,240.19,241.55,233.55,234.80,234.80,181147
2021-05-11,234.80,242.35,233.0,240.60,240.60,218120
2021-05-12,238.05,246.5,238.05,241.64,241.64,200067
2021-05-14,242.05,243.0,237.5,237.69,237.69,110378
2021-05-17,238.0,240.89,238.0,238.94,238.94,40088
2021-05-18,239.5,242.0,239.05,240.14,240.14,54763
2021-05-19,240.0,241.80,238.10,238.85,238.85,49810
2021-05-20,239.0,240.0,237.30,237.64,237.64,46996
2021-05-21,239.89,240.35,238.0,238.5,238.5,52485
2021-05-24,238.5,239.89,236.75,237.55,237.55,57121
2021-05-25,238.0,239.19,235.64,235.94,235.94,83141
2021-05-26,236.0,238.60,236.0,236.69,236.69,105295
2021-05-27,237.5,239.55,237.0,237.25,237.25,89587
2021-05-28,234.80,234.80,225.0,225.14,225.14,294858
2021-05-31,227.0,227.0,220.19,220.39,220.39,174393
2021-06-01,221.0,228.0,221.0,223.35,223.35,137848
2021-06-02,223.25,225.89,219.0,221.44,221.44,139938
2021-06-03,225.89,225.89,222.39,224.55,224.55,120716
2021-06-04,225.0,230.44,223.5,226.80,226.80,185957
2021-06-07,228.0,247.64,225.64,234.25,234.25,631577
2021-06-08,236.19,237.55,226.60,227.94,227.94,322615
2021-06-09,228.80,233.19,226.60,228.94,228.94,194671
2021-06-10,229.5,233.10,229.14,231.69,231.69,141867
2021-06-11,232.80,234.10,229.05,229.69,229.69,112458
2021-06-14,231.39,232.5,222.0,223.39,223.39,304859
2021-06-15,224.5,228.30,224.5,225.80,225.80,121880
2021-06-16,224.69,226.5,223.5,223.89,223.89,77078
2021-06-17,222.0,225.5,222.0,222.44,222.44,61442
2021-06-18,223.0,225.5,219.05,223.30,223.30,117886
2021-06-21,222.0,225.0,220.30,222.39,222.39,79218
2021-06-22,223.19,227.14,222.39,223.35,223.35,101685
2021-06-23,224.19,225.5,222.5,223.05,223.05,78210
2021-06-24,223.5,224.35,221.0,221.19,221.19,45282
2021-06-25,222.5,231.14,220.10,220.94,220.94,478298
2021-06-28,222.44,225.19,221.0,222.55,222.55,58692
2021-06-29,224.0,224.0,220.64,221.25,221.25,79166
2021-06-30,221.25,225.80,220.0,221.35,221.35,148812
2021-07-01,221.35,224.0,220.85,221.25,221.25,64414
2021-07-02,222.94,222.94,220.89,221.14,221.14,46511
2021-07-05,221.0,222.64,220.5,220.80,220.80,70283
2021-07-06,221.39,222.0,220.10,220.35,220.35,88078
2021-07-07,220.0,222.0,211.5,211.94,211.94,357561
2021-07-08,214.64,217.39,212.0,212.75,212.75,115238
2021-07-09,212.5,217.0,212.10,215.30,215.30,83879
2021-07-12,219.0,222.94,211.80,212.85,212.85,349478
2021-07-13,213.19,216.14,212.55,213.55,213.55,74678
2021-07-14,214.80,216.39,214.0,215.55,215.55,75432
2021-07-15,215.94,216.89,209.80,210.0,210.0,272557
2021-07-16,211.64,211.64,209.75,210.75,210.75,81532
2021-07-19,210.0,225.5,207.89,216.14,216.14,584496
2021-07-20,216.14,217.30,210.0,213.19,213.19,124877
2021-07-22,214.0,214.80,210.44,210.85,210.85,77222
2021-07-23,211.80,213.25,210.5,210.85,210.85,68689
2021-07-26,211.55,211.94,209.5,209.89,209.89,56684
2021-07-27,210.0,211.55,206.10,206.94,206.94,125113
2021-07-28,207.25,209.19,205.0,205.39,205.39,59092
2021-07-29,205.39,206.69,204.0,204.14,204.14,62213
2021-07-30,204.14,205.5,203.39,203.69,203.69,62136
2021-08-02,207.80,207.80,204.05,204.69,204.69,66469
2021-08-03,204.75,206.0,203.0,203.30,203.30,60422
2021-08-04,203.5,205.30,201.25,201.60,201.60,63667
2021-08-05,201.5,201.5,189.0,190.75,190.75,359360
2021-08-06,191.0,192.44,187.75,188.10,188.10,160403
2021-08-09,188.0,196.35,187.64,189.94,189.94,168274
2021-08-10,190.5,194.5,186.05,188.05,188.05,511727
2021-08-11,188.19,189.75,182.44,183.30,183.30,129259
2021-08-12,183.44,188.69,183.44,187.44,187.44,86254
2021-08-13,186.0,187.94,177.25,180.05,180.05,321742
2021-08-16,180.14,181.69,174.75,175.69,175.69,143099
2021-08-17,175.89,175.89,171.30,172.39,172.39,125568
2021-08-18,172.0,178.35,157.25,160.64,160.64,3148681
2021-08-20,159.94,164.69,145.0,146.69,146.69,879489
2021-08-23,146.80,148.85,138.5,143.25,143.25,360819
2021-08-24,143.19,157.0,139.19,153.75,153.75,643902
2021-08-25,153.69,160.0,153.69,157.05,157.05,355037
2021-08-26,158.69,162.19,155.19,156.5,156.5,262236
2021-08-27,156.5,157.94,155.0,155.69,155.69,86652
2021-08-30,154.80,158.0,154.05,154.75,154.75,133236
2021-08-31,155.0,156.0,150.39,152.5,152.5,144753
2021-09-01,153.0,155.89,149.14,150.44,150.44,132863
2021-09-02,151.10,154.80,151.10,154.05,154.05,93203
2021-09-03,153.0,155.80,148.0,150.44,150.44,135591
2021-09-06,153.0,153.0,151.05,151.39,151.39,44686
2021-09-07,153.0,153.0,149.0,149.14,149.14,86582
2021-09-08,149.55,151.35,148.25,149.19,149.19,67726
2021-09-09,150.0,150.94,149.0,149.69,149.69,49276
2021-09-13,154.94,179.60,154.5,179.60,179.60,1167941
2021-09-14,192.0,215.5,190.14,215.5,215.5,3777271
2021-09-15,221.85,224.60,193.94,194.75,194.75,1717078
2021-09-16,194.5,201.69,187.0,192.14,192.14,544467
2021-09-17,185.75,197.0,185.75,194.64,194.64,409875
2021-09-20,190.0,198.89,181.19,185.69,185.69,244244
2021-09-21,182.75,186.89,180.0,182.39,182.39,159543
2021-09-22,182.0,192.39,182.0,185.39,185.39,335567
