Date,Open,High,Low,Close,Adj Close,Volume
2022-09-15,495.0,515.0,481.0,509.64,499.37,2143945
2022-09-16,505.0,505.0,492.60,493.70,483.74,215374
2022-09-19,494.75,499.0,489.0,497.14,487.12,140252
2022-09-20,497.14,509.89,490.0,493.45,483.49,171893
2022-09-21,495.0,505.0,490.0,493.20,483.25,201612
2022-09-22,493.20,499.0,492.60,493.70,483.74,82122
2022-09-23,495.95,496.35,486.5,490.10,480.21,100865
2022-09-26,489.95,489.95,478.25,482.29,472.57,101873
2022-09-27,488.0,488.0,480.0,480.95,471.25,61227
2022-09-28,480.95,483.29,475.0,476.39,466.79,55243
2022-09-29,487.5,489.79,476.10,481.64,471.93,64806
2022-09-30,481.64,484.0,475.04,478.45,468.80,38768
2022-10-03,482.54,483.45,473.5,474.5,464.93,47950
2022-10-04,476.95,482.35,471.5,473.45,463.90,47965
2022-10-06,479.10,482.64,474.79,480.25,470.56,45865
2022-10-07,482.0,482.0,475.0,476.64,467.03,29209
2022-10-10,480.0,480.0,470.0,470.89,461.40,47816
2022-10-11,471.0,476.45,469.0,469.70,460.22,32487
2022-10-12,468.0,471.04,464.45,467.0,457.58,85227
2022-10-13,468.0,469.64,463.54,465.45,456.06,65116
2022-10-14,467.85,474.85,465.0,466.14,456.74,51978
2022-10-17,468.0,494.60,465.0,475.64,466.05,131322
2022-10-18,479.29,490.0,476.35,486.04,476.24,63348
2022-10-19,486.5,502.0,483.95,498.39,488.34,117064
2022-10-20,500.0,500.0,481.10,485.35,475.56,48288
2022-10-21,486.0,494.39,481.0,483.14,473.40,29622
2022-10-24,494.0,494.0,483.5,490.14,480.26,13949
2022-10-25,492.0,493.39,484.04,487.14,477.32,25312
2022-10-27,488.0,537.65,487.14,514.34,503.97,593555
2022-10-28,522.0,525.0,498.04,507.75,497.50,143964
2022-10-31,510.95,513.95,501.0,503.0,492.85,79569
2022-11-01,503.5,511.0,503.35,504.95,494.76,35234
2022-11-02,503.0,504.95,493.60,494.64,484.67,63561
2022-11-03,494.64,514.59,492.39,502.5,492.36,83741
2022-11-04,502.5,511.45,501.0,505.85,495.64,53774
2022-11-07,511.45,526.90,506.45,509.89,499.61,197647
2022-11-09,512.0,518.59,506.14,508.5,498.24,103488
2022-11-10,509.0,511.95,500.14,506.95,496.72,55708
2022-11-11,512.0,516.5,491.54,501.95,491.82,78811
2022-11-14,504.0,508.20,500.0,503.75,493.59,53761
2022-11-15,503.5,507.45,502.79,504.0,493.83,23677
2022-11-16,508.0,509.5,500.0,502.14,492.02,34580
2022-11-17,500.14,510.5,500.14,509.79,499.51,118103
2022-11-18,509.45,514.29,505.0,510.60,500.30,57353
2022-11-21,512.75,525.0,508.10,510.0,499.71,240335
2022-11-22,509.0,513.59,506.10,508.64,498.39,578808
2022-11-23,512.90,512.90,505.0,507.29,497.06,41073
2022-11-24,512.40,512.40,505.04,507.20,496.97,45300
2022-11-25,508.45,518.09,505.0,510.04,499.76,139484
2022-11-28,507.0,512.70,506.5,510.04,499.76,45850
2022-11-29,513.29,513.29,506.29,507.29,497.06,31723
2022-11-30,509.89,511.45,507.35,509.89,499.61,33986
2022-12-01,518.5,548.5,517.29,528.75,518.08,778679
2022-12-02,530.0,532.45,520.04,521.09,510.59,72437
2022-12-05,523.45,530.0,515.09,522.20,511.66,51363
2022-12-06,516.25,523.54,498.0,511.14,500.84,88458
2022-12-07,511.14,517.75,510.29,515.65,505.25,33507
2022-12-08,525.0,529.79,511.0,513.20,502.85,92381
2022-12-09,519.0,519.0,510.0,512.90,502.55,49771
2022-12-12,516.75,518.95,510.10,512.59,502.26,150892
2022-12-13,513.0,524.59,507.5,521.09,510.59,171040
2022-12-14,524.34,529.0,512.34,520.54,510.05,123205
2022-12-15,525.0,526.70,512.70,513.5,503.14,130363
2022-12-16,513.5,514.54,508.10,508.95,498.68,150055
