Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,182.60,185.89,181.0,184.25,181.75,24160878
2019-01-02,183.44,187.0,182.5,184.64,182.15,32583205
2019-01-03,185.25,186.0,183.5,184.10,181.60,20239949
2019-01-04,184.85,190.30,181.55,189.64,187.08,45914917
2019-01-07,193.89,194.39,185.80,187.14,184.61,40515242
2019-01-08,188.0,193.19,185.0,192.35,189.74,40559174
2019-01-09,193.94,193.94,181.5,186.44,183.92,63673200
2019-01-10,188.0,188.89,184.19,186.89,184.37,36296992
2019-01-11,188.69,189.89,182.75,184.25,181.75,33594786
2019-01-14,185.0,198.0,182.30,195.35,192.70,98089778
2019-01-15,196.60,205.0,196.10,203.0,200.25,82308056
2019-01-16,204.80,209.14,203.5,208.35,205.53,58015710
2019-01-17,209.25,209.55,200.25,201.5,198.77,60534702
2019-01-18,202.0,203.05,196.19,198.60,195.91,41858021
2019-01-21,199.30,200.5,190.69,191.94,189.35,37304992
2019-01-22,191.5,193.80,187.39,192.19,189.59,38382360
2019-01-23,194.5,199.5,193.64,197.25,194.58,46394304
2019-01-24,199.0,235.0,189.0,215.39,212.48,127603904
2019-01-25,225.0,245.0,218.0,219.60,216.62,183425643
2019-01-28,222.44,223.0,206.10,207.5,204.69,58015753
2019-01-29,207.0,209.44,195.69,202.89,200.15,76651017
2019-01-30,211.0,212.0,198.30,199.5,196.80,65312137
2019-01-31,202.0,202.44,190.14,194.10,191.47,67794993
2019-02-01,195.89,197.19,181.25,185.60,183.08,66597684
2019-02-04,184.25,184.69,175.60,179.80,177.36,60771732
2019-02-05,179.80,183.5,175.0,176.10,173.71,44477885
2019-02-06,178.89,178.94,173.0,176.44,174.06,45391450
2019-02-07,177.10,181.80,175.25,176.94,174.55,44494971
2019-02-08,177.0,178.5,173.25,175.10,172.73,32561739
2019-02-11,175.10,176.0,170.10,173.25,170.90,29509227
2019-02-12,173.0,176.25,172.10,172.64,170.31,22298518
2019-02-14,186.35,224.0,186.35,221.25,218.25,264725005
2019-02-15,226.89,226.89,211.30,219.0,216.03,141193124
2019-02-18,201.0,216.69,201.0,213.55,210.66,89969426
2019-02-19,215.10,218.10,211.55,212.85,209.96,33990276
2019-02-20,216.89,219.80,213.35,217.85,214.90,48429455
2019-02-21,218.85,218.85,214.0,215.14,212.23,27975632
2019-02-22,214.5,223.69,213.10,222.0,218.99,51329944
2019-02-25,223.85,230.60,221.19,229.10,225.99,47825222
2019-02-26,223.19,234.44,220.10,229.5,226.39,84298892
2019-02-27,233.0,236.80,223.64,228.19,225.11,74650022
2019-02-28,230.0,232.75,226.80,231.14,228.02,45753501
2019-03-01,234.89,238.5,234.10,237.60,234.38,42006406
2019-03-05,236.0,240.75,234.5,237.44,234.23,30848699
2019-03-06,238.10,240.64,232.94,235.30,232.11,24658589
2019-03-07,235.5,236.0,228.64,231.69,228.56,27229610
2019-03-08,231.69,234.89,229.5,232.30,229.15,23233663
2019-03-11,233.0,238.0,231.60,236.30,233.10,21189817
2019-03-12,238.0,239.19,235.0,235.85,232.65,22100817
2019-03-13,236.0,247.60,232.69,244.30,240.99,58883298
2019-03-14,248.0,254.0,246.14,249.85,246.46,59684202
2019-03-15,251.69,252.80,243.5,245.05,241.73,38715468
2019-03-18,247.0,248.55,241.80,245.94,242.62,24825632
2019-03-19,246.64,250.5,245.0,248.80,245.43,21448040
2019-03-20,248.75,253.0,246.39,252.14,248.73,26817389
2019-03-22,253.0,257.5,250.35,252.60,249.18,34018752
2019-03-25,250.0,250.39,246.10,247.25,243.90,23540100
2019-03-26,247.5,254.80,247.44,253.69,250.26,20571726
2019-03-27,258.39,269.85,256.10,268.45,264.81,84155309
2019-03-28,270.64,277.70,268.29,276.10,272.36,48078072
2019-04-01,276.0,280.0,273.79,275.89,272.16,27807546
2019-04-02,278.20,282.04,274.79,280.29,276.50,24708930
2019-04-03,283.5,286.0,272.20,273.70,269.99,31808834
2019-04-04,274.0,275.0,265.0,268.04,264.42,42003554
2019-04-05,270.0,274.0,264.25,266.85,263.23,28319923
2019-04-08,267.10,268.10,258.25,260.04,256.53,26252469
2019-04-09,261.89,272.0,258.70,270.60,266.93,39195173
2019-04-10,272.0,275.45,267.5,268.25,264.62,32016249
2019-04-11,268.75,270.25,264.0,269.04,265.40,20363799
2019-04-12,269.70,271.89,265.79,267.89,264.27,21736271
2019-04-15,268.45,269.89,264.79,265.5,261.90,13509220
2019-04-16,267.54,269.20,265.0,266.45,262.84,16368625
2019-04-18,266.39,267.95,254.05,255.80,252.33,32491440
2019-04-22,253.94,254.39,237.0,238.35,235.12,37467080
2019-04-23,239.0,244.64,230.5,232.69,229.55,43232834
2019-04-24,233.0,240.39,231.19,239.14,235.91,38516951
2019-04-25,241.0,250.39,236.05,237.05,233.84,71641179
2019-04-26,239.89,240.35,232.10,237.19,233.99,48524121
2019-04-30,213.5,213.5,165.60,168.0,165.72,217219923
2019-05-02,162.0,178.0,160.0,173.75,171.39,124177861
2019-05-03,177.0,177.80,169.69,175.89,173.51,58953903
2019-05-06,168.05,171.89,165.5,166.25,164.00,49500412
2019-05-07,169.0,169.94,163.64,164.75,162.52,40446604
2019-05-08,165.0,166.5,160.0,160.75,158.57,47387735
2019-05-09,158.0,171.39,156.5,170.30,167.99,88653903
2019-05-10,172.75,174.25,162.80,163.85,161.63,62257935
2019-05-13,164.89,165.44,154.0,154.69,152.60,60884255
2019-05-14,155.10,158.89,151.39,155.85,153.74,62642515
2019-05-15,154.19,154.30,141.80,142.94,141.01,95899314
2019-05-16,144.0,145.89,134.64,137.75,135.88,82730883
2019-05-17,141.0,146.0,132.44,134.14,132.33,117940438
2019-05-20,142.5,144.89,137.0,143.55,141.60,82205265
2019-05-21,145.0,145.0,138.5,141.0,139.09,59499614
2019-05-22,141.0,141.25,135.5,137.55,135.68,58669730
2019-05-23,143.89,150.80,138.75,139.75,137.85,111719246
2019-05-24,141.0,142.89,139.5,141.19,139.28,45274708
2019-05-27,142.0,148.44,140.85,146.80,144.81,67258367
2019-05-28,148.94,154.89,148.19,152.80,150.73,81670499
2019-05-29,154.0,156.0,150.64,151.69,149.64,49000782
2019-05-30,150.19,156.5,149.89,155.0,152.90,55475576
2019-05-31,156.60,157.0,147.0,147.80,145.80,63368992
2019-06-03,148.0,149.89,144.5,149.44,149.44,40272408
2019-06-04,148.80,153.85,148.55,152.80,152.80,45560540
2019-06-06,148.44,151.19,142.30,143.39,143.39,65169529
2019-06-07,143.39,145.44,136.14,139.89,139.89,66206668
2019-06-10,141.89,145.0,132.55,135.89,135.89,86398912
2019-06-11,135.0,143.5,133.75,139.55,139.55,80946657
2019-06-12,136.0,137.80,133.60,134.75,134.75,56236715
