Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,276.5,283.39,274.29,281.5,261.84,5419071
2019-01-02,280.20,283.70,273.60,275.39,256.17,5644563
2019-01-03,275.89,278.39,273.35,276.29,257.00,3993439
2019-01-04,278.0,285.5,274.20,282.95,263.19,6138056
2019-01-07,284.70,286.45,276.85,278.25,258.82,3551975
2019-01-08,277.89,290.0,277.04,287.89,267.79,5572988
2019-01-09,289.0,289.85,276.45,280.5,260.91,6418709
2019-01-10,280.75,283.14,278.29,281.04,261.42,3359442
2019-01-11,281.89,282.29,276.5,278.25,258.82,3039547
2019-01-14,278.25,281.45,275.14,278.0,258.58,3631407
2019-01-15,280.75,280.75,273.64,275.35,256.12,3287352
2019-01-16,276.25,280.85,274.54,275.35,256.12,3880186
2019-01-17,275.89,277.29,269.89,275.45,256.21,3578928
2019-01-18,277.45,277.79,271.85,272.60,253.56,2620498
2019-01-21,274.0,276.5,265.39,268.0,249.28,3386812
2019-01-22,267.0,269.10,261.5,263.45,245.05,3037292
2019-01-23,263.5,265.0,258.75,260.45,242.26,3650554
2019-01-24,260.5,263.79,257.45,262.29,243.98,3700424
2019-01-25,264.0,265.0,249.25,254.35,236.59,4039492
2019-01-28,256.0,261.95,237.69,240.39,223.61,10601787
2019-01-29,241.89,253.80,240.19,246.30,229.10,9815650
2019-01-30,248.0,251.85,245.19,249.75,232.31,4417310
2019-01-31,251.64,252.25,245.80,250.14,232.68,4522100
2019-02-01,252.0,252.39,235.10,238.05,221.42,5884645
2019-02-04,239.0,239.30,230.35,235.0,218.59,4995591
2019-02-05,236.0,237.64,229.60,231.14,215.01,4362173
2019-02-06,232.5,236.94,226.55,235.60,219.15,4324859
2019-02-07,236.05,241.5,233.89,237.05,220.49,4888921
2019-02-08,236.0,236.14,226.89,228.25,212.31,4172029
2019-02-11,228.75,229.5,223.80,225.0,209.29,3150448
2019-02-12,225.0,227.60,219.80,220.60,205.19,4168595
2019-02-14,219.60,226.0,218.10,223.69,208.08,5849471
2019-02-15,223.69,223.85,213.30,215.25,200.22,5228707
2019-02-18,216.5,217.30,212.80,213.64,198.73,3201980
2019-02-19,214.89,221.39,213.64,214.85,199.84,6221013
2019-02-20,216.5,219.80,215.75,218.55,203.29,3644838
2019-02-21,225.0,225.0,220.35,221.5,206.03,4449981
2019-02-22,221.5,223.75,218.60,222.0,206.49,3404670
2019-02-25,223.80,223.80,221.39,222.80,207.24,2318426
2019-02-26,219.0,220.55,213.35,217.94,202.73,4611195
2019-02-27,219.0,232.55,219.0,231.19,215.05,13081688
2019-02-28,230.10,233.89,229.10,231.44,215.28,5534257
2019-03-01,232.69,244.35,232.5,242.39,225.47,6844534
2019-03-05,243.89,255.0,242.19,253.35,235.66,6408506
2019-03-06,254.94,257.5,251.0,252.80,235.14,4941825
2019-03-07,252.89,258.95,249.0,257.35,239.38,5448863
2019-03-08,255.25,258.29,252.85,254.0,236.26,3646618
2019-03-11,255.89,262.95,255.64,259.35,241.24,4714054
2019-03-12,262.89,263.60,255.10,256.39,238.49,4220471
2019-03-13,256.20,263.89,253.75,263.0,244.63,7056071
2019-03-14,264.75,266.0,258.60,262.0,243.70,5867399
2019-03-15,263.70,269.85,262.14,264.60,246.12,5645857
2019-03-18,266.5,273.5,261.95,272.20,253.19,5684014
2019-03-19,273.10,281.70,271.75,276.35,257.05,8189169
2019-03-20,276.0,278.25,272.85,276.20,256.91,5245810
2019-03-22,276.89,278.39,270.85,271.75,252.77,4109233
2019-03-25,268.0,272.29,266.20,270.20,251.33,3124126
2019-03-26,270.89,283.29,270.29,281.20,261.56,6293464
2019-03-27,282.0,287.5,279.29,286.0,266.03,6848426
2019-03-28,284.0,300.0,284.0,296.45,275.75,10370230
2019-04-01,293.0,302.10,292.0,293.70,273.19,5942161
2019-04-02,294.75,298.39,291.0,295.85,275.19,6414493
2019-04-03,297.0,300.5,283.20,285.14,265.24,6244802
2019-04-04,285.95,289.95,280.75,281.79,262.12,7489602
2019-04-05,283.5,284.79,278.14,279.95,260.40,4481043
2019-04-08,280.79,284.39,272.14,273.70,254.59,5556229
2019-04-09,274.75,288.5,272.20,286.89,266.86,8559328
2019-04-10,284.20,286.85,280.35,281.54,261.89,5624832
2019-04-11,281.5,283.5,277.70,280.60,261.00,4619971
2019-04-12,280.0,285.79,278.20,284.85,264.96,4387565
2019-04-15,285.64,287.5,279.70,280.75,261.14,4079349
2019-04-16,282.20,283.89,278.39,280.04,260.49,3015129
2019-04-18,280.79,281.25,273.14,277.25,257.89,3965678
2019-04-22,275.0,275.20,265.5,267.5,248.82,4150115
2019-04-23,267.89,274.20,266.29,270.45,251.56,4676076
2019-04-24,270.45,274.39,267.75,273.5,254.40,3188492
2019-04-25,273.0,275.10,270.45,271.54,252.59,2857540
2019-04-26,272.39,274.10,269.0,273.39,254.31,3458004
