Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,37.5,37.5,37.0,37.20,37.20,938962
2019-01-02,37.20,37.95,37.0,37.25,37.25,1818337
2019-01-03,37.40,37.40,36.40,36.95,36.95,1355968
2019-01-04,36.95,36.95,35.54,35.75,35.75,1380396
2019-01-07,36.29,36.5,35.09,35.29,35.29,661375
2019-01-08,35.79,35.90,35.04,35.75,35.75,393817
2019-01-09,36.20,37.29,35.65,36.79,36.79,2758280
2019-01-10,37.0,37.40,35.70,36.09,36.09,2824741
2019-01-11,36.40,36.54,35.84,36.45,36.45,476162
2019-01-14,36.45,36.45,35.75,36.0,36.0,1164404
2019-01-15,36.0,36.45,35.95,36.0,36.0,277213
2019-01-16,36.25,36.90,35.45,35.65,35.65,1204041
2019-01-17,35.59,35.84,35.25,35.45,35.45,217570
2019-01-18,35.90,35.90,34.79,34.95,34.95,215034
2019-01-21,34.95,34.95,31.5,31.95,31.95,879783
2019-01-22,32.45,32.45,31.75,32.25,32.25,378822
2019-01-23,32.5,32.90,32.15,32.75,32.75,309587
2019-01-24,33.0,33.0,32.25,32.5,32.5,128111
2019-01-25,32.90,32.90,32.29,32.70,32.70,227198
2019-01-28,32.40,32.54,30.75,31.04,31.04,403328
2019-01-29,31.0,31.35,30.64,31.14,31.14,297652
2019-01-30,31.35,31.75,31.0,31.35,31.35,243658
2019-01-31,31.5,31.64,30.95,31.10,31.10,188252
2019-02-01,31.45,31.95,30.20,30.89,30.89,255198
2019-02-04,30.79,30.79,29.60,30.25,30.25,296832
2019-02-05,30.04,30.14,29.0,29.25,29.25,243840
2019-02-06,29.0,29.5,28.5,29.29,29.29,215270
2019-02-07,29.29,30.29,29.25,29.64,29.64,255330
2019-02-08,30.0,30.0,28.89,29.10,29.10,157509
2019-02-11,29.10,29.10,28.25,28.60,28.60,163137
2019-02-12,28.60,28.89,28.25,28.45,28.45,616074
2019-02-14,28.5,28.95,28.04,28.79,28.79,137395
2019-02-15,29.0,29.0,28.39,28.60,28.60,145233
2019-02-18,28.10,28.79,28.10,28.54,28.54,790728
2019-02-19,28.79,28.95,28.25,28.79,28.79,388158
2019-02-20,29.04,32.0,29.04,29.75,29.75,1236519
2019-02-21,32.90,32.90,31.29,31.79,31.79,1343761
2019-02-22,31.70,32.29,30.85,31.85,31.85,552126
2019-02-25,32.15,32.34,31.39,31.64,31.64,305042
2019-02-26,31.39,31.45,30.14,30.95,30.95,329648
2019-02-27,31.54,32.29,30.10,30.25,30.25,805850
2019-02-28,30.20,30.54,30.20,30.25,30.25,182741
2019-03-01,30.5,31.35,30.45,31.04,31.04,509242
2019-03-05,32.09,32.79,31.5,32.15,32.15,1304101
2019-03-06,32.25,32.5,31.79,32.15,32.15,495206
2019-03-07,32.40,32.45,31.39,31.85,31.85,442969
2019-03-08,31.79,33.95,31.5,32.95,32.95,1983489
2019-03-11,32.95,35.29,32.95,34.20,34.20,2246614
2019-03-12,34.59,34.90,34.0,34.5,34.5,1375795
2019-03-13,34.59,35.40,33.70,34.0,34.0,504085
2019-03-14,34.15,34.25,33.54,33.90,33.90,377662
2019-03-15,34.20,34.59,33.84,33.90,33.90,524784
