Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,15.19,15.69,15.10,15.39,13.67,2356629
2019-01-02,15.80,15.94,15.25,15.64,13.89,3027148
2019-01-03,15.35,15.69,15.0,15.10,13.41,2517516
2019-01-04,15.25,15.60,15.19,15.44,13.72,2198152
2019-01-07,15.69,15.69,15.10,15.19,13.49,819177
2019-01-08,15.25,15.5,15.05,15.25,13.54,750451
2019-01-09,15.5,15.60,15.10,15.19,13.49,1176666
2019-01-10,15.19,15.19,15.05,15.05,13.36,425809
2019-01-11,15.25,15.30,15.0,15.05,13.36,380949
2019-01-14,14.94,15.0,14.69,14.75,13.09,344803
2019-01-15,14.75,14.89,14.60,14.64,13.01,317983
2019-01-16,14.64,15.14,14.60,14.94,13.27,809192
2019-01-17,15.05,15.05,14.75,14.80,13.14,437815
2019-01-18,14.75,14.89,14.55,14.64,13.01,308860
2019-01-21,14.75,15.0,14.35,14.5,12.87,530756
2019-01-22,14.55,14.60,14.05,14.19,12.61,493907
2019-01-23,14.25,15.69,14.19,14.55,12.92,6913089
2019-01-24,13.89,14.55,13.64,13.94,12.38,1669691
2019-01-25,14.19,14.5,14.0,14.05,12.47,696548
2019-01-28,14.19,14.19,13.69,13.75,12.21,501820
2019-01-29,13.60,13.94,13.30,13.85,12.30,449465
2019-01-30,13.5,14.94,13.5,14.10,12.52,1175168
2019-01-31,14.14,14.89,14.10,14.55,12.92,1118550
2019-02-01,16.5,16.60,14.44,14.85,13.18,7376335
2019-02-04,14.5,14.80,13.80,14.14,12.56,926640
2019-02-05,14.10,14.19,13.64,13.69,12.16,490508
2019-02-06,13.60,13.89,13.44,13.69,12.16,450383
2019-02-07,13.69,14.10,13.64,13.75,12.21,499198
2019-02-08,13.69,13.94,13.39,13.5,11.98,434645
2019-02-11,13.39,13.5,13.10,13.19,11.72,348708
2019-02-12,13.19,13.25,13.0,13.05,11.58,261124
2019-02-14,12.89,13.05,12.75,12.94,11.50,462005
2019-02-15,12.85,12.94,12.60,12.64,11.23,308506
2019-02-18,12.30,12.5,12.25,12.35,10.96,405614
2019-02-19,12.25,12.39,12.05,12.30,10.92,374882
2019-02-20,12.35,12.60,12.19,12.30,10.92,778014
2019-02-21,13.0,13.94,12.69,12.89,11.45,1293773
2019-02-22,12.89,12.89,12.60,12.69,11.27,431293
2019-02-25,12.60,13.0,12.60,12.94,11.50,342318
2019-02-26,12.80,13.39,12.60,12.85,11.41,631755
2019-02-27,13.25,13.25,12.80,12.85,11.41,410882
2019-02-28,12.94,12.94,12.5,12.75,11.32,356263
2019-03-01,12.75,13.05,12.69,13.0,11.54,623784
2019-03-05,13.0,13.5,12.94,13.39,11.90,869228
2019-03-06,13.39,13.60,13.25,13.39,11.90,463946
2019-03-07,13.35,13.64,13.25,13.30,11.81,607745
2019-03-08,13.25,13.30,12.30,13.05,11.58,524512
