Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,86.69,89.0,85.55,88.30,80.92,9352838
2019-01-02,88.84,89.80,87.30,88.19,80.83,11020333
2019-01-03,88.19,89.69,87.55,88.75,81.34,8303993
2019-01-04,88.94,93.0,88.19,92.25,84.54,15625825
2019-01-07,93.69,94.19,89.84,90.59,83.03,9581302
2019-01-08,90.59,95.5,89.90,94.55,86.65,12121456
2019-01-09,95.09,95.19,91.19,92.0,84.31,10605358
2019-01-10,91.80,93.55,91.15,92.80,85.05,5790987
2019-01-11,92.5,94.84,92.0,93.65,85.83,10264202
2019-01-14,93.19,95.44,91.05,94.25,86.38,10367880
2019-01-15,94.19,94.94,93.0,94.15,86.28,8255203
2019-01-16,93.69,97.0,93.30,96.19,88.16,9593343
2019-01-17,96.59,97.0,93.5,94.84,86.93,8840714
2019-01-18,95.0,95.30,91.65,92.5,84.77,7303587
2019-01-21,92.55,93.5,85.09,86.30,79.09,22590728
2019-01-22,85.0,86.59,82.80,83.94,76.94,16395769
2019-01-23,84.25,84.69,82.30,82.75,75.84,7830565
2019-01-24,82.90,83.55,82.0,82.5,75.61,6625042
2019-01-25,82.69,83.69,78.90,79.44,72.81,9353149
2019-01-28,79.44,80.40,77.59,78.40,71.85,7611090
2019-01-29,78.19,81.34,77.84,80.05,73.36,9561030
2019-01-30,80.30,81.84,79.44,81.19,74.42,6665473
2019-01-31,81.59,83.40,79.75,82.75,75.84,8495733
2019-02-01,83.0,84.34,80.19,81.44,74.64,10592499
2019-02-04,81.25,81.25,78.0,79.44,72.81,6977579
2019-02-05,79.80,80.65,77.0,78.15,71.62,6870366
2019-02-06,78.55,79.69,76.05,79.40,72.77,6741919
2019-02-07,79.25,80.90,78.09,78.80,72.22,5938788
2019-02-08,78.05,78.34,72.05,72.5,66.44,15553054
2019-02-11,72.40,73.05,71.25,72.15,66.12,8149862
2019-02-12,72.15,72.69,70.05,70.40,64.52,7899565
2019-02-14,69.44,71.65,68.30,70.94,65.02,10625776
2019-02-15,71.0,71.15,68.09,68.65,62.91,6551655
2019-02-18,68.75,69.5,67.5,67.94,62.27,5620070
2019-02-19,68.0,70.55,67.59,68.5,62.78,8287336
2019-02-20,68.80,70.09,68.5,69.65,63.83,6424383
2019-02-21,73.0,73.30,70.75,71.55,65.57,15866924
2019-02-22,71.44,72.15,70.55,71.19,65.25,5447748
2019-02-25,71.30,71.65,70.65,71.25,65.30,4046656
2019-02-26,69.59,70.55,67.69,69.69,63.88,9610206
2019-02-27,70.19,71.94,68.90,70.09,64.24,7791959
2019-02-28,70.30,72.09,69.80,71.65,65.66,6383643
2019-03-01,72.05,78.44,71.80,77.15,70.70,19395161
2019-03-05,77.15,81.0,76.55,80.65,73.91,11139738
2019-03-06,80.5,81.80,78.40,79.25,72.63,12556714
2019-03-07,79.09,81.80,78.40,79.94,73.27,11551976
2019-03-08,79.19,80.65,77.90,78.09,71.57,8790110
2019-03-11,78.69,83.5,78.69,82.69,75.79,13144457
2019-03-12,84.25,85.84,82.05,82.69,75.79,15242637
2019-03-13,82.84,83.15,80.69,82.59,75.70,11944420
2019-03-14,82.5,83.80,81.44,82.80,75.88,8104798
2019-03-15,83.0,85.0,82.44,82.90,75.97,11599757
2019-03-18,83.30,84.09,82.5,83.75,76.75,7445309
2019-03-19,84.5,89.40,84.09,87.65,80.33,22242435
2019-03-20,88.15,89.15,86.19,88.44,81.06,13692304
2019-03-22,89.19,89.30,86.30,86.84,79.59,8279854
2019-03-25,85.44,87.94,84.55,87.40,80.10,7771097
2019-03-26,87.84,92.0,87.44,91.55,83.90,14525146
2019-03-27,92.09,94.19,90.84,93.80,85.96,13228502
2019-03-28,93.80,97.80,93.09,96.94,88.85,15011461
