Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,93.91,96.26,93.76,95.68,89.08,4175400
2019-01-03,94.79,95.18,93.23,93.43,87.34,4776600
2019-01-04,95.37,98.34,94.90,97.63,91.28,4637200
2019-01-07,97.76,98.91,97.01,98.16,91.77,3289000
2019-01-08,98.69,99.51,97.51,98.65,92.22,3227200
2019-01-09,98.73,99.58,98.15,98.83,92.39,2954500
2019-01-10,98.44,98.66,97.81,98.26,91.86,3523800
2019-01-11,97.87,98.68,97.36,98.55,92.13,2770600
2019-01-14,97.76,99.02,97.62,98.44,92.03,4120500
2019-01-15,98.61,98.87,97.73,97.98,91.60,5795100
2019-01-16,98.94,99.95,98.51,99.41,92.93,4701900
2019-01-17,99.41,100.23,98.56,99.48,93.01,5693300
2019-01-18,98.19,100.80,96.37,100.48,93.93,9872500
2019-01-22,99.84,100.68,98.95,99.83,93.33,4699800
2019-01-23,99.93,100.19,98.45,99.70,93.21,3585100
2019-01-24,99.69,100.54,99.37,99.72,93.22,3415900
2019-01-25,100.43,101.58,100.08,100.76,94.20,3488300
2019-01-28,100.05,100.41,99.48,100.37,93.84,3185400
2019-01-29,100.94,101.41,100.54,100.95,94.38,2827400
2019-01-30,101.08,102.84,100.54,102.66,95.98,3501500
2019-01-31,102.0,102.90,101.69,102.69,96.01,4302100
2019-02-01,102.41,103.52,102.41,103.05,96.34,4727800
2019-02-04,103.04,103.45,102.51,103.41,96.68,2578300
2019-02-05,103.62,104.18,103.41,103.90,97.13,2231200
2019-02-06,103.84,105.08,103.43,104.95,98.12,3595700
2019-02-07,104.05,104.77,103.61,104.38,97.59,3857300
2019-02-08,103.73,104.51,103.43,104.51,97.71,2581900
2019-02-11,104.94,105.55,104.80,105.41,98.54,2653800
2019-02-12,106.26,107.43,106.26,107.0,100.03,3238600
2019-02-13,107.55,108.47,107.09,107.55,100.55,3182100
2019-02-14,107.0,107.36,106.23,106.62,99.67,2385900
2019-02-15,107.33,108.08,107.12,107.37,100.38,3882300
2019-02-19,107.05,107.23,106.45,106.5,99.56,3692800
2019-02-20,106.56,107.18,106.5,106.77,99.82,3840800
2019-02-21,106.73,106.94,106.31,106.61,99.66,2566500
2019-02-22,106.98,107.55,106.86,107.44,100.44,2256400
2019-02-25,108.19,108.84,106.76,106.93,99.96,3333500
2019-02-26,106.66,107.62,106.41,106.94,99.97,2548100
2019-02-27,106.86,107.62,106.59,107.41,100.42,2393500
2019-02-28,107.22,108.44,107.08,107.73,100.72,3295800
2019-03-01,108.40,109.65,108.19,108.90,101.80,2682000
2019-03-04,109.55,110.08,107.76,109.0,101.90,4053200
2019-03-05,109.02,109.31,108.31,108.84,101.76,2685700
2019-03-06,108.93,109.44,108.84,108.98,101.88,2616000
2019-03-07,108.55,108.62,107.40,107.86,100.83,3048200
2019-03-08,106.79,108.06,106.68,107.98,100.94,2077100
2019-03-11,109.01,109.79,108.70,109.55,102.42,3289200
2019-03-12,109.73,111.27,109.73,110.43,103.23,3917500
2019-03-13,110.18,112.26,110.08,112.13,104.83,4234100
2019-03-14,112.38,112.77,111.87,112.34,105.03,3538200
2019-03-15,112.70,113.76,112.52,113.51,106.12,4780400
2019-03-18,113.75,114.25,113.16,113.55,106.15,2918000
2019-03-19,114.22,114.22,112.36,112.66,105.33,3331300
2019-03-20,112.26,112.45,110.59,110.76,103.55,3309300
2019-03-21,109.95,112.18,109.80,111.81,104.53,3111000
2019-03-22,111.29,111.31,108.98,109.45,102.33,3737400
2019-03-25,109.27,110.06,108.19,109.04,101.94,3596200
2019-03-26,109.98,110.40,109.05,109.5,102.37,2844500
2019-03-27,109.68,110.0,108.33,108.98,101.88,3346600
2019-03-28,109.41,109.87,108.48,109.16,102.05,2693300
2019-03-29,110.19,110.38,109.13,109.30,102.18,4891000
2019-04-01,110.29,112.04,110.08,111.69,104.42,5125100
2019-04-02,111.20,111.45,110.37,111.0,103.77,3568900
2019-04-03,111.81,112.0,110.34,110.55,103.36,3719700
2019-04-04,110.33,110.48,109.5,110.12,103.31,3619600
2019-04-05,110.48,111.20,110.44,110.95,104.10,4553700
2019-04-08,110.62,110.84,109.91,110.69,103.85,4776600
2019-04-09,110.01,110.30,109.48,109.84,103.06,2869300
2019-04-10,110.48,110.48,109.51,110.16,103.35,2650100
2019-04-11,110.51,110.83,109.41,109.84,103.06,2320600
2019-04-12,110.81,111.55,110.44,110.91,104.05,2316900
2019-04-15,110.91,110.97,110.25,110.52,103.69,2285000
2019-04-16,111.08,112.02,110.94,111.87,104.96,2523400
2019-04-17,112.30,112.5,111.25,111.76,104.85,3799900
2019-04-18,112.25,114.13,111.31,113.66,106.64,6186800
2019-04-22,112.59,113.40,112.23,112.33,105.38,3174400
2019-04-23,112.19,114.04,111.90,113.97,106.92,3342800
2019-04-24,113.76,114.36,113.41,114.01,106.97,2318400
2019-04-25,115.23,116.5,114.75,115.87,108.71,4595200
2019-04-26,116.58,117.73,116.09,117.59,110.33,2990600
2019-04-29,117.23,117.69,116.55,116.76,109.54,3096200
2019-04-30,117.05,117.34,116.09,117.23,109.98,2387900
2019-05-01,117.47,117.98,116.93,117.01,109.78,2450500
2019-05-02,117.0,117.65,116.68,117.25,110.00,2538700
2019-05-03,117.91,119.66,117.62,119.34,111.97,2856200
2019-05-06,117.26,119.61,117.05,119.33,111.96,2924500
2019-05-07,118.37,119.41,117.65,118.22,110.91,6282300
2019-05-08,117.83,118.11,116.81,117.48,110.22,4037500
2019-05-09,116.15,117.29,115.37,117.26,110.01,3219600
2019-05-10,116.86,118.93,116.20,118.45,111.13,2435100
2019-05-13,116.41,116.88,115.62,115.90,108.73,3710600
2019-05-14,115.98,117.73,115.76,117.01,109.77,2460700
2019-05-15,116.18,118.23,115.90,117.66,110.38,2711400
2019-05-16,117.76,120.34,117.76,119.83,112.43,4143500
2019-05-17,118.59,119.58,118.51,119.06,111.71,5273600
2019-05-20,118.83,120.31,118.62,119.83,112.43,2765600
2019-05-21,120.47,120.68,119.33,120.55,113.09,3369100
2019-05-22,120.36,120.87,119.44,120.01,112.59,2941100
2019-05-23,119.26,119.40,117.84,118.43,111.11,3290200
2019-05-24,119.20,119.62,118.33,119.51,112.12,2240100
2019-05-28,119.36,120.12,118.16,118.16,110.86,2550300
2019-05-29,117.70,117.80,116.04,117.01,109.77,2553900
2019-05-30,117.20,117.30,116.11,116.73,109.52,1882400
2019-05-31,115.76,115.98,114.55,114.70,107.62,2969100
2019-06-03,114.55,115.93,113.88,114.62,107.53,2968500
2019-06-04,115.70,117.0,115.23,116.84,109.62,3043200
2019-06-05,117.18,118.23,117.01,118.12,110.82,2568100
2019-06-06,118.41,119.63,118.15,119.43,112.04,2209300
2019-06-07,119.87,121.36,119.55,121.11,113.62,2481800
2019-06-10,121.59,123.44,121.41,122.66,115.07,3453700
2019-06-11,123.55,124.73,123.08,123.23,115.61,3303800
2019-06-12,122.91,123.19,121.58,122.02,114.48,2685700
2019-06-13,122.08,122.69,121.41,121.86,114.32,2343900
2019-06-14,122.01,122.61,120.94,122.0,114.46,2483800
2019-06-17,122.23,122.23,121.30,121.44,113.94,2094200
2019-06-18,122.80,125.05,122.20,123.43,115.80,2729200
2019-06-19,124.23,124.91,123.68,124.68,116.97,2951700
2019-06-20,125.69,126.40,124.47,124.91,117.19,3303200
2019-06-21,125.19,126.30,124.55,124.73,117.02,5703800
2019-06-24,124.98,125.41,124.01,124.13,116.46,2680900
2019-06-25,124.26,124.56,123.04,123.16,115.54,2387800
2019-06-26,123.18,124.0,123.02,123.58,115.95,1902500
2019-06-27,123.69,124.41,123.55,123.94,116.28,1504300
2019-06-28,124.29,124.55,123.19,123.44,115.81,4338900
2019-07-01,125.30,126.40,124.55,124.91,117.19,4008800
2019-07-02,124.77,125.33,124.59,125.09,117.36,4076100
2019-07-03,125.20,126.05,124.94,125.86,118.45,3714300
2019-07-05,126.12,126.19,124.30,125.40,118.01,3731500
2019-07-08,124.98,125.23,124.63,124.84,117.50,3332000
2019-07-09,124.26,126.04,124.18,125.90,118.48,2237100
2019-07-10,126.69,128.41,126.69,126.88,119.42,2733800
2019-07-11,126.98,127.69,126.44,127.27,119.78,2928100
2019-07-12,127.55,128.0,126.87,127.95,120.42,1639400
2019-07-15,128.25,128.67,127.76,128.57,121.00,2355700
2019-07-16,129.22,129.33,127.80,128.05,120.52,2734000
2019-07-17,128.02,128.63,127.01,127.08,119.59,2248900
2019-07-18,126.69,129.08,126.66,128.39,120.84,3524500
2019-07-19,126.80,128.0,123.80,124.81,117.47,7819000
2019-07-22,124.75,126.01,124.69,126.0,118.58,4839700
2019-07-23,126.37,128.97,126.36,128.19,120.65,4055100
2019-07-24,127.70,128.22,126.79,127.94,120.41,3628300
2019-07-25,127.80,128.19,126.5,127.15,119.66,2663500
2019-07-26,127.08,127.55,126.30,126.77,119.31,4236200
2019-07-29,126.91,127.45,126.54,127.19,119.70,1829500
2019-07-30,126.56,126.91,126.30,126.47,119.02,1575400
2019-07-31,126.52,126.58,123.62,124.37,117.04,3221000
2019-08-01,123.76,126.12,123.51,124.08,116.78,4489800
2019-08-02,123.91,124.91,123.08,124.30,116.99,3268800
2019-08-05,122.45,123.08,120.16,120.72,113.61,5876200
2019-08-06,121.05,122.84,120.87,122.55,115.33,3497000
2019-08-07,120.91,123.84,120.22,123.54,116.26,3170800
2019-08-08,123.84,125.69,123.69,125.29,117.91,2976100
2019-08-09,125.58,126.73,124.72,126.16,118.74,2138300
2019-08-12,124.98,125.70,123.80,123.94,116.65,2918000
2019-08-13,123.86,126.5,122.51,126.31,118.88,3175700
2019-08-14,124.34,125.33,122.12,122.65,115.42,5626300
2019-08-15,122.65,123.0,121.13,122.37,115.17,3031700
2019-08-16,123.5,124.75,122.69,124.62,117.29,2343400
2019-08-19,126.09,126.15,124.33,124.40,117.07,3286700
2019-08-20,123.62,123.77,121.33,121.41,114.27,3641600
2019-08-21,122.5,123.05,121.98,122.5,115.28,2948300
2019-08-22,123.30,123.70,121.76,122.26,115.07,2322100
2019-08-23,122.0,122.05,117.05,117.76,110.82,4800400
2019-08-26,118.33,118.94,117.37,118.52,111.55,3170600
2019-08-27,119.08,119.33,116.84,117.75,110.81,3145800
2019-08-28,117.02,119.30,116.97,119.08,112.07,2327400
2019-08-29,120.45,121.19,119.95,120.73,113.63,1901300
2019-08-30,121.47,121.66,119.81,120.37,113.28,2366200
2019-09-03,119.86,120.27,117.51,117.59,110.67,3198700
2019-09-04,118.41,118.73,117.80,118.40,111.43,3746900
2019-09-05,119.5,121.62,119.5,120.66,113.56,5261100
2019-09-06,121.13,121.19,120.0,120.19,113.11,4552400
2019-09-09,121.20,121.41,119.51,119.91,112.86,5336000
2019-09-10,119.59,119.61,116.30,117.30,110.40,6196100
2019-09-11,117.12,118.09,116.75,118.0,111.05,3674400
2019-09-12,119.0,120.43,118.77,119.01,112.01,3733500
2019-09-13,119.23,119.97,118.29,119.19,112.18,3941100
2019-09-16,118.13,118.44,116.68,117.63,110.71,4280600
2019-09-17,117.90,119.12,117.5,119.05,112.04,3054700
2019-09-18,118.58,118.80,117.47,118.73,111.75,2844500
2019-09-19,118.61,119.51,117.59,117.79,110.85,1975800
2019-09-20,117.83,118.23,116.37,116.80,109.92,5301500
2019-09-23,116.36,118.41,116.09,118.23,111.27,5089400
2019-09-24,118.88,120.19,117.51,118.16,111.21,5128400
2019-09-25,117.86,119.44,117.05,119.12,112.10,2742900
2019-09-26,119.30,120.02,118.83,118.91,111.91,3411200
2019-09-27,119.12,119.62,117.98,118.58,111.60,2909200
2019-09-30,119.05,119.23,118.13,118.27,111.31,2345800
2019-10-01,118.69,119.5,116.61,116.69,109.83,2841300
2019-10-02,115.76,115.80,112.75,112.86,106.21,4908800
2019-10-03,112.19,112.95,111.05,112.55,106.32,3529300
2019-10-04,112.66,114.52,112.59,114.41,108.08,2728200
2019-10-07,113.91,114.65,113.59,113.65,107.36,2556000
2019-10-08,112.83,113.65,112.05,112.54,106.32,3757300
2019-10-09,113.25,114.76,113.23,113.91,107.62,2365600
2019-10-10,114.80,115.79,113.93,115.01,108.66,2384300
2019-10-11,116.73,117.56,116.19,116.40,109.96,2860400
2019-10-14,116.13,117.0,115.94,116.38,109.95,1864400
2019-10-15,117.02,118.19,116.73,117.58,111.09,2379700
2019-10-16,117.62,117.98,117.06,117.41,110.92,2136700
2019-10-17,118.01,119.33,117.95,119.09,112.51,3005500
2019-10-18,119.73,119.98,116.66,116.76,110.30,6188500
2019-10-21,117.55,119.37,117.48,119.05,112.47,4259500
2019-10-22,118.66,119.34,118.29,118.61,112.05,3912100
2019-10-23,118.41,119.23,115.51,116.48,110.05,3921100
2019-10-24,116.44,116.90,116.13,116.41,109.97,2551300
2019-10-25,116.36,118.51,116.26,118.26,111.72,2325000
2019-10-28,118.63,119.30,118.06,118.58,112.02,2552700
2019-10-29,118.08,118.83,117.08,117.41,110.93,2756300
2019-10-30,117.44,118.16,116.86,118.06,111.54,2264400
2019-10-31,117.79,118.20,116.88,117.27,110.79,2507400
2019-11-01,118.41,119.44,118.16,119.13,112.55,2036600
2019-11-04,119.62,120.5,119.01,119.62,113.00,1956400
2019-11-05,119.83,119.95,117.76,118.76,112.20,2630000
2019-11-06,118.88,119.72,118.88,119.69,113.07,2420700
2019-11-07,120.26,122.43,120.09,121.27,114.57,2845000
2019-11-08,121.01,121.80,120.88,121.47,114.75,1984600
2019-11-11,120.76,121.80,120.51,120.90,114.21,1704100
2019-11-12,120.87,121.23,120.41,120.88,114.20,2012400
2019-11-13,120.26,120.97,120.12,120.26,113.61,1807900
2019-11-14,120.0,120.98,119.80,120.93,114.24,1990600
2019-11-15,120.98,121.33,120.38,120.76,114.08,2341500
2019-11-18,120.55,120.84,119.40,119.66,113.04,2617900
2019-11-19,120.01,120.44,119.86,120.0,113.36,1891000
2019-11-20,119.83,120.23,118.93,119.30,112.70,2544100
2019-11-21,119.29,119.47,118.48,118.80,112.23,2783800
2019-11-22,119.20,119.29,118.41,119.05,112.47,1629700
2019-11-25,119.13,120.59,119.13,120.59,113.93,2285400
2019-11-26,120.91,121.04,119.59,119.79,113.16,4596200
2019-11-27,120.0,120.36,119.34,120.33,113.67,2629700
2019-11-29,120.06,120.88,119.77,120.12,113.48,1961500
2019-12-02,120.30,120.36,117.06,117.26,110.77,5538200
2019-12-03,116.04,116.75,114.65,116.56,110.12,3792300
2019-12-04,117.30,118.54,117.0,117.94,111.42,2444100
2019-12-05,117.91,118.43,117.58,118.27,111.74,3128300
2019-12-06,120.20,121.44,119.91,120.61,113.94,3287600
2019-12-09,120.44,121.52,120.11,120.45,113.80,2885200
2019-12-10,120.44,121.47,120.02,120.90,114.21,2518200
2019-12-11,120.87,121.37,120.09,120.63,113.97,2015300
2019-12-12,120.59,123.06,120.05,122.63,115.86,2933800
2019-12-13,122.47,124.98,122.08,124.72,117.82,3919000
2019-12-16,125.65,126.33,123.33,123.68,116.84,3416100
2019-12-17,123.98,125.40,123.25,124.94,118.04,4325200
2019-12-18,125.02,125.06,124.08,124.26,117.39,3154200
2019-12-19,124.18,124.90,123.87,124.83,117.93,2543600
2019-12-20,125.86,126.27,124.83,125.76,118.81,5828700
2019-12-23,125.73,125.73,123.69,124.48,117.60,3031400
2019-12-24,124.94,125.33,124.37,124.73,117.84,953500
2019-12-26,124.98,125.44,124.52,125.41,118.47,1486600
2019-12-27,125.83,125.97,125.11,125.19,118.27,1788600
2019-12-30,125.19,125.45,124.18,124.30,117.43,2306500
2019-12-31,124.29,124.56,123.77,124.48,117.60,2340400
2020-01-02,124.66,126.26,124.23,125.84,119.30,2708000
2020-01-03,124.31,125.09,123.94,124.59,118.12,2090600
2020-01-06,123.37,124.16,123.12,124.05,117.60,2855200
2020-01-07,123.47,124.40,123.36,123.41,116.99,2042300
2020-01-08,124.05,126.36,123.80,125.54,119.01,3458200
2020-01-09,126.48,127.87,126.38,127.80,121.16,2787100
2020-01-10,127.58,128.16,126.91,127.27,120.66,2789200
2020-01-13,127.83,128.94,127.62,128.53,121.85,3285700
2020-01-14,128.61,130.08,128.33,128.80,122.10,3836000
2020-01-15,128.69,129.83,128.44,129.82,123.07,3187200
2020-01-16,130.5,130.92,129.71,130.55,123.76,2424500
2020-01-17,131.44,131.86,130.78,131.52,124.68,3659400
2020-01-21,131.11,131.82,130.38,130.52,123.74,3102700
2020-01-22,130.92,132.27,130.92,131.49,124.65,2483800
2020-01-23,131.25,131.57,130.13,131.36,124.53,3841000
2020-01-24,136.36,138.13,133.85,135.11,128.08,8612500
2020-01-27,131.14,131.97,128.86,130.63,123.84,6432400
2020-01-28,132.0,133.86,131.13,132.44,125.56,3712700
2020-01-29,132.47,133.13,131.44,131.67,124.83,2518400
2020-01-30,130.75,133.33,130.44,133.22,126.29,2428500
2020-01-31,132.16,132.25,129.38,129.86,123.11,3522600
2020-02-03,130.55,132.22,130.44,131.0,124.18,2721900
