Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,124.02,127.87,123.0,126.37,111.88,4783200
2019-01-03,125.30,125.5,120.44,121.51,107.57,6165800
2019-01-04,124.16,128.58,123.69,128.14,113.45,5456600
2019-01-07,128.58,129.60,126.69,128.22,113.52,4653400
2019-01-08,129.89,131.5,128.22,129.77,114.88,4202600
2019-01-09,131.08,132.22,129.91,130.27,115.33,4865600
2019-01-10,128.61,133.11,127.25,132.96,117.71,3418500
2019-01-11,131.08,132.32,130.05,132.10,116.95,2908600
2019-01-14,130.30,132.38,129.13,131.80,116.68,4482300
2019-01-15,132.11,133.11,129.55,130.69,115.70,3224100
2019-01-16,130.75,132.52,130.24,131.66,116.56,3636900
2019-01-17,130.47,135.89,129.16,134.53,119.11,6878500
2019-01-18,135.10,137.72,133.66,136.60,121.71,6122400
2019-01-22,134.92,134.94,131.16,132.24,117.82,5188700
2019-01-23,133.03,133.49,130.14,131.82,117.45,3123600
2019-01-24,131.41,132.99,131.19,132.72,118.26,3943600
2019-01-25,134.77,136.88,133.88,136.86,121.94,6417400
2019-01-28,126.98,127.80,123.15,124.37,110.81,17421400
2019-01-29,125.61,128.38,125.61,126.52,112.74,8550800
2019-01-30,127.93,131.35,126.30,130.11,115.93,7181600
2019-01-31,130.32,133.33,129.03,133.16,118.64,6643300
2019-02-01,133.02,133.86,130.11,130.91,116.64,5646700
2019-02-04,130.88,131.30,130.10,130.88,116.61,4541700
2019-02-05,130.63,132.10,130.60,132.0,117.61,3614500
2019-02-06,131.27,132.10,130.36,130.53,116.31,3098200
2019-02-07,129.28,130.44,127.36,128.77,114.74,3682100
2019-02-08,127.48,128.60,126.55,128.60,114.58,3135000
2019-02-11,128.94,130.07,128.69,128.92,114.87,2648100
2019-02-12,130.25,133.55,130.0,132.66,118.21,4505600
2019-02-13,134.19,134.30,132.44,133.10,118.59,3189600
2019-02-14,131.77,133.25,131.27,132.61,118.16,2877500
2019-02-15,134.10,136.25,133.67,136.19,121.35,5217500
2019-02-19,135.35,136.97,135.0,135.80,121.00,3881300
2019-02-20,136.38,140.69,136.33,140.30,125.01,6199000
2019-02-21,139.75,140.97,138.41,138.88,123.74,4051100
2019-02-22,138.77,139.69,137.92,138.67,123.56,3485000
2019-02-25,140.99,142.55,140.17,141.41,125.99,4444100
2019-02-26,136.52,139.02,135.27,137.97,122.94,7275600
2019-02-27,137.86,139.63,137.13,139.58,124.36,3441000
2019-02-28,138.55,139.0,137.13,137.33,122.37,4024000
2019-03-01,138.86,139.5,136.94,137.47,122.48,3811000
2019-03-04,138.80,139.77,137.10,138.35,123.27,3859800
2019-03-05,138.05,138.46,137.0,137.13,122.19,3122900
2019-03-06,137.53,137.66,134.72,134.83,120.13,3886000
2019-03-07,134.38,134.80,131.61,132.80,118.32,4290800
2019-03-08,130.5,132.13,130.22,131.35,117.03,4238000
2019-03-11,131.91,133.39,131.60,133.11,118.60,3914800
2019-03-12,133.24,133.38,131.91,132.47,118.04,4208800
2019-03-13,133.97,134.30,132.69,133.5,118.95,4285200
2019-03-14,132.83,134.07,132.02,133.69,119.12,3742200
2019-03-15,133.86,134.52,131.97,132.66,118.21,7049900
2019-03-18,132.69,134.19,132.52,134.10,119.48,4095400
2019-03-19,135.35,135.71,133.50,134.14,119.52,3315900
2019-03-20,133.83,134.14,132.05,133.00,118.51,3522100
2019-03-21,132.16,134.60,132.00,134.05,119.44,2635700
2019-03-22,132.99,133.30,129.49,129.77,115.62,5745800
2019-03-25,129.58,132.0,129.22,131.38,117.06,3199800
2019-03-26,132.69,133.55,131.13,131.83,117.47,2638200
2019-03-27,132.27,132.47,130.25,131.19,116.90,2378300
2019-03-28,131.89,132.80,131.16,132.36,117.94,2487200
2019-03-29,134.0,136.27,133.61,135.49,120.72,4681600
2019-04-01,137.69,140.36,136.32,140.25,124.96,5081500
2019-04-02,140.14,140.69,139.22,140.19,124.91,2529000
2019-04-03,139.85,140.55,138.41,139.25,124.08,4821800
2019-04-04,139.13,140.86,139.0,140.13,124.85,2988900
2019-04-05,141.10,141.14,139.91,140.36,125.06,2812300
2019-04-08,140.0,140.11,138.61,139.82,124.58,2497300
2019-04-09,138.64,138.91,136.07,136.35,121.49,3316500
2019-04-10,137.16,138.21,136.27,137.52,122.54,3310600
2019-04-11,137.58,139.58,136.97,138.86,123.73,2762900
2019-04-12,141.0,141.91,139.80,141.19,125.81,4383000
2019-04-15,141.66,142.42,139.66,140.25,124.96,3030200
2019-04-16,140.55,142.21,139.58,142.02,126.55,2672800
2019-04-17,143.0,144.5,142.46,142.74,127.18,3469400
2019-04-18,142.80,144.77,142.41,143.36,128.51,4504500
2019-04-22,142.94,143.17,141.42,142.38,127.63,3637500
2019-04-23,142.0,143.13,141.44,142.02,127.31,5930500
2019-04-24,139.75,140.30,136.55,137.72,123.46,8694400
2019-04-25,137.05,137.46,134.08,136.13,122.02,5094700
2019-04-26,136.55,139.02,135.88,139.02,124.62,5119200
2019-04-29,139.5,140.44,138.82,139.02,124.61,3374300
2019-04-30,139.99,140.0,137.58,139.41,124.97,3862000
2019-05-01,139.58,139.92,137.63,138.14,123.84,3652000
2019-05-02,138.52,138.53,134.38,135.16,121.16,5405700
2019-05-03,136.11,139.19,135.80,139.05,124.65,4154800
2019-05-06,134.77,137.49,134.30,136.75,122.59,4866500
2019-05-07,135.19,136.0,132.05,133.66,119.82,5622900
2019-05-08,133.02,134.41,131.78,131.94,118.28,4140500
2019-05-09,130.22,131.67,128.17,131.19,117.60,5906200
2019-05-10,130.52,131.72,127.91,131.33,117.73,5240600
2019-05-13,127.51,127.51,124.08,125.30,112.32,8580700
2019-05-14,126.5,128.55,125.69,127.47,114.26,4019100
2019-05-15,125.91,127.95,124.98,127.30,114.11,2875900
2019-05-16,128.42,128.52,126.41,126.61,113.49,4316600
2019-05-17,124.37,125.52,122.31,122.76,110.04,6122600
2019-05-20,121.55,123.02,121.30,122.43,109.74,6312500
2019-05-21,123.33,125.06,122.72,124.94,112.00,5492900
2019-05-22,124.25,125.44,123.51,123.55,110.76,4620400
2019-05-23,122.09,123.76,121.41,122.26,109.59,4964900
2019-05-24,123.51,124.08,122.20,122.90,110.16,3802500
2019-05-28,122.90,123.45,121.51,121.58,108.99,4889400
2019-05-29,120.5,122.83,120.26,121.48,108.89,5330000
2019-05-30,121.61,122.68,121.27,121.83,109.21,2878300
2019-05-31,119.79,120.75,118.73,119.80,107.39,4711500
2019-06-03,119.91,121.69,119.76,120.65,108.15,4161800
2019-06-04,121.80,122.76,120.75,122.08,109.43,4060400
2019-06-05,123.40,123.63,121.95,123.12,110.36,3598400
2019-06-06,123.09,123.94,122.23,123.38,110.60,3295700
2019-06-07,124.37,125.62,124.08,124.45,111.56,2547500
2019-06-10,125.47,127.27,125.23,125.73,112.71,3705000
2019-06-11,129.0,129.60,126.95,127.27,114.09,4516200
2019-06-12,126.75,127.51,126.08,127.09,113.93,3034600
2019-06-13,127.34,128.39,126.76,127.16,113.99,3495200
2019-06-14,126.61,127.65,125.5,127.23,114.05,2530100
2019-06-17,127.20,128.22,126.68,127.31,114.13,2607900
2019-06-18,128.39,131.35,128.21,130.33,116.83,4756100
2019-06-19,130.32,131.53,129.86,130.61,117.08,3847200
2019-06-20,132.89,133.80,131.50,133.63,119.78,3803600
2019-06-21,133.35,135.25,132.55,133.88,120.02,5742500
2019-06-24,133.63,134.94,133.55,134.36,120.45,3197700
2019-06-25,134.58,134.91,132.63,133.71,119.86,3751800
2019-06-26,134.25,135.64,134.17,135.14,121.15,3343700
2019-06-27,135.69,136.00,133.97,135.5,121.46,3594400
2019-06-28,136.0,137.27,136.0,136.28,122.17,10469400
2019-07-01,139.30,140.16,134.97,136.60,122.45,4834800
2019-07-02,136.60,136.99,135.07,135.85,121.77,3204900
2019-07-03,136.44,136.47,134.33,135.58,121.54,2538600
2019-07-05,134.42,135.58,133.22,135.49,121.45,3071800
2019-07-08,135.14,136.13,134.42,134.83,120.87,2742100
2019-07-09,134.11,134.44,133.35,134.28,120.37,2618700
2019-07-10,134.72,135.49,132.55,132.63,118.90,3933300
2019-07-11,133.19,134.00,132.58,133.96,120.08,3164200
2019-07-12,134.71,138.38,134.60,138.36,124.02,4149800
2019-07-15,138.38,139.99,138.25,139.63,125.17,4498700
2019-07-16,139.41,140.61,138.16,139.08,124.68,4051600
2019-07-17,138.19,138.50,135.72,135.72,121.67,3750200
2019-07-18,134.86,135.92,134.03,134.88,120.91,3548200
2019-07-19,134.22,137.05,134.22,136.22,123.05,4837100
2019-07-22,136.36,136.66,134.60,135.24,122.16,3267800
2019-07-23,135.92,138.22,135.52,138.10,124.74,4122200
2019-07-24,130.97,134.30,128.44,131.91,119.15,12664900
2019-07-25,131.08,134.89,131.00,134.71,121.68,4823200
2019-07-26,134.44,134.72,132.63,132.91,120.06,4238000
2019-07-29,133.49,134.64,132.85,134.46,121.45,2715600
2019-07-30,133.32,133.57,131.49,132.94,120.09,3257200
2019-07-31,132.89,134.36,131.00,131.66,118.93,4322000
2019-08-01,131.63,133.19,126.41,126.79,114.53,5530100
2019-08-02,126.55,126.80,123.5,124.54,112.49,5968600
2019-08-05,122.11,122.80,120.33,121.65,109.88,5482500
2019-08-06,122.77,123.65,120.63,122.08,110.27,3713900
2019-08-07,120.0,121.19,118.65,120.77,109.10,5048700
2019-08-08,121.0,122.09,120.37,122.01,110.22,3734800
2019-08-09,121.51,121.69,118.80,119.37,107.83,3805600
2019-08-12,118.94,119.02,116.06,116.72,105.43,4321500
2019-08-13,116.94,122.0,116.79,119.01,107.50,4331900
2019-08-14,116.58,116.90,115.04,115.20,104.07,5543100
2019-08-15,115.08,115.59,113.97,115.25,104.10,4171900
2019-08-16,116.25,117.87,115.91,116.43,105.17,3551900
2019-08-19,118.22,118.48,116.70,117.36,106.01,2630900
2019-08-20,117.58,117.79,116.47,116.66,105.38,2402000
2019-08-21,118.0,119.31,117.54,117.68,106.30,2783000
2019-08-22,118.33,118.94,117.22,117.88,106.49,2118200
2019-08-23,116.25,116.90,113.31,114.05,103.03,6102000
2019-08-26,115.05,115.66,113.83,114.41,103.35,5200400
2019-08-27,115.16,115.45,113.15,113.37,102.41,3160700
2019-08-28,112.86,114.94,111.75,114.86,103.75,3187900
2019-08-29,116.62,118.12,116.48,117.76,106.38,3442900
2019-08-30,119.01,119.58,118.44,119.0,107.49,2912000
2019-09-03,117.90,117.90,115.40,117.02,105.71,3780600
2019-09-04,118.41,119.23,118.26,119.09,107.58,3688400
2019-09-05,120.5,124.23,120.5,122.98,111.09,5355100
2019-09-06,123.70,124.33,122.45,122.69,110.83,3315700
