Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,108.09,109.13,107.73,108.97,107.65,9723500
2019-01-03,108.48,108.65,105.94,106.33,105.04,10594700
2019-01-04,107.94,110.75,107.25,109.61,108.28,10122800
2019-01-07,109.91,111.40,109.30,110.55,109.22,6714700
2019-01-08,111.80,112.55,111.16,111.41,110.07,8730700
2019-01-09,111.80,112.80,111.55,112.66,111.30,5931900
2019-01-10,111.98,112.91,111.5,112.80,111.43,6160100
2019-01-11,112.18,112.91,111.73,112.65,111.28,4819100
2019-01-14,111.65,112.69,111.43,112.41,111.06,6980600
2019-01-15,112.30,113.18,110.61,111.76,110.41,9800900
2019-01-16,111.44,112.01,110.80,110.91,109.57,5899900
2019-01-17,110.72,111.26,110.16,111.01,109.66,6392000
2019-01-18,111.86,111.93,110.83,111.04,109.69,8554700
2019-01-22,110.62,111.33,109.75,110.59,109.26,6986700
2019-01-23,111.19,111.83,110.0,111.12,109.77,6845600
2019-01-24,111.0,111.11,109.93,110.55,109.21,6716800
2019-01-25,111.47,111.5,110.66,111.08,109.74,5706900
2019-01-28,110.76,110.98,109.94,110.80,109.47,6178800
2019-01-29,110.65,110.93,110.0,110.90,109.56,5253700
2019-01-30,110.30,110.58,108.95,110.12,108.80,7853800
2019-01-31,110.09,111.54,110.01,111.51,110.17,8351600
2019-02-01,111.97,112.05,110.93,111.30,109.95,6557700
2019-02-04,111.41,111.98,110.68,111.80,110.45,7037000
2019-02-05,112.01,112.73,111.44,112.66,111.29,13619800
2019-02-06,113.84,113.91,111.06,111.41,110.06,14229000
2019-02-07,111.05,111.11,109.80,110.94,109.61,8658100
2019-02-08,110.45,111.54,110.05,111.51,110.16,6395500
2019-02-11,111.76,111.80,109.25,109.44,108.11,11086400
2019-02-12,110.20,110.83,109.15,109.19,107.88,7610200
2019-02-13,109.23,110.48,109.23,110.19,108.86,6919700
2019-02-14,109.84,111.5,109.54,110.66,109.32,6324300
2019-02-15,111.40,112.62,111.02,112.58,111.23,8197300
2019-02-19,112.91,113.76,112.83,113.51,112.13,8169600
2019-02-20,113.59,114.08,113.29,113.68,112.30,7081500
2019-02-21,113.40,114.54,112.87,114.29,112.91,9480100
2019-02-22,114.62,115.76,113.94,115.25,113.85,8734700
2019-02-25,115.62,115.80,113.45,113.58,112.21,9327700
2019-02-26,113.65,114.01,112.84,113.5,112.12,8956000
2019-02-27,113.09,113.51,112.45,112.77,111.41,7249500
2019-02-28,112.90,113.43,112.75,112.83,111.47,6716700
2019-03-01,113.44,114.44,113.44,114.01,112.63,6996900
2019-03-04,114.41,114.41,113.08,114.33,112.94,6015000
2019-03-05,114.23,114.54,113.76,114.0,112.62,5225100
2019-03-06,114.0,115.05,114.0,114.84,113.46,7352800
2019-03-07,114.84,114.90,113.47,114.01,112.63,6324000
2019-03-08,113.45,113.83,112.90,113.80,112.43,6549100
2019-03-11,114.04,115.0,114.02,114.75,113.36,6952700
2019-03-12,114.72,115.30,114.04,114.73,113.34,9920300
2019-03-13,114.83,114.84,113.72,114.08,112.71,17994500
2019-03-14,114.12,114.76,113.93,114.48,113.09,17409600
2019-03-15,114.5,115.48,113.68,114.95,113.57,14932700
2019-03-18,113.02,114.0,112.45,113.12,111.75,21769800
2019-03-19,112.94,113.70,109.80,110.0,108.67,45384400
2019-03-20,110.30,110.87,108.05,109.98,108.66,35588700
2019-03-21,110.09,110.15,108.37,108.66,107.34,27438900
2019-03-22,108.33,109.0,107.51,108.23,106.92,24133800
2019-03-25,108.48,109.06,107.31,107.79,106.48,18187500
2019-03-26,108.40,110.33,108.26,110.13,108.81,16693100
2019-03-27,110.44,111.08,109.73,110.27,108.94,10794800
2019-03-28,110.59,111.26,110.23,110.70,109.37,11748900
2019-03-29,111.55,111.59,110.38,111.02,109.68,16358800
2019-04-01,111.58,112.87,111.37,112.51,111.15,10785100
2019-04-02,113.15,113.30,111.91,111.95,110.60,9231800
2019-04-03,112.69,113.11,112.20,112.51,111.16,10534900
2019-04-04,113.23,114.86,113.02,114.75,113.36,14378400
2019-04-05,114.97,115.12,114.30,115.0,113.61,10907900
2019-04-08,115.0,115.83,114.63,114.95,113.57,11054200
2019-04-09,115.61,117.16,115.27,116.86,115.44,17340300
2019-04-10,117.58,118.02,116.27,117.16,115.74,14091100
2019-04-11,117.73,117.86,116.31,116.59,115.19,12784500
2019-04-12,127.91,130.89,126.36,130.05,128.48,65253500
2019-04-15,131.05,132.69,129.78,132.03,130.44,32773700
2019-04-16,131.75,132.13,129.55,129.89,128.33,14564300
2019-04-17,129.80,132.36,129.27,131.75,130.15,14253700
2019-04-18,131.77,132.86,131.11,132.44,130.85,11890600
2019-04-22,131.89,132.19,131.02,131.67,130.09,10197500
2019-04-23,133.38,134.24,132.64,133.36,131.74,12159300
