Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,52.75,53.5,49.5,49.79,39.23,2350800
2019-03-21,49.99,50.0,48.20,48.97,38.59,1764700
2019-03-22,48.79,49.95,48.15,48.59,38.29,844700
2019-03-25,48.59,49.40,48.0,49.15,38.72,440900
2019-03-26,49.0,49.75,48.18,48.84,38.49,504700
2019-03-27,49.0,50.77,49.0,50.09,39.47,1788600
2019-03-28,50.90,51.0,49.91,50.84,40.06,585400
2019-03-29,49.52,52.47,49.18,51.63,40.68,1769000
2019-04-01,52.29,54.38,51.25,53.5,42.15,19663400
2019-04-02,55.11,57.38,54.29,56.25,44.32,17414200
2019-04-03,57.08,57.20,55.50,56.88,44.81,15066200
2019-04-04,57.20,60.52,57.09,59.70,47.04,13309200
2019-04-05,58.38,58.97,56.27,57.24,45.10,17000800
2019-04-08,56.5,58.38,56.27,57.15,45.03,10764600
2019-04-09,56.79,57.20,56.08,56.27,44.33,9179900
2019-04-10,55.99,56.40,55.09,55.70,43.89,9081900
2019-04-11,55.70,56.20,54.83,54.88,43.24,7346100
2019-04-12,55.93,58.33,55.93,58.29,45.93,9281700
2019-04-15,58.56,58.84,57.29,57.77,45.52,5727300
2019-04-16,58.70,58.99,57.84,58.5,46.09,6681600
2019-04-17,58.95,59.04,58.20,58.31,45.95,6420700
2019-04-18,58.36,58.61,57.54,57.77,45.51,5178800
2019-04-22,57.47,58.40,57.25,57.88,45.61,4401700
2019-04-23,57.29,57.84,57.0,57.63,45.41,5687200
2019-04-24,57.49,57.88,55.86,55.97,44.10,5431300
2019-04-25,55.75,55.97,54.81,55.33,43.59,6260500
2019-04-26,55.29,55.59,54.95,55.25,43.53,4009800
2019-04-29,55.04,55.68,54.79,55.5,43.72,5935200
2019-04-30,55.75,57.20,55.59,56.72,44.69,6454100
2019-05-01,56.81,57.47,55.88,56.13,44.22,7644400
2019-05-02,55.54,56.49,52.02,52.70,41.52,13932700
2019-05-03,53.20,53.34,51.72,53.29,41.99,7401700
2019-05-06,52.15,54.02,51.70,53.45,42.12,6089500
2019-05-07,52.86,53.32,52.65,52.95,41.72,7330800
2019-05-08,53.33,53.39,52.31,52.47,41.35,5390700
2019-05-09,52.25,53.13,51.54,52.93,41.70,4579700
2019-05-10,52.93,53.71,52.49,53.06,41.81,4758100
2019-05-13,52.27,52.54,50.75,50.95,40.14,4213100
2019-05-14,51.33,53.0,50.84,52.47,41.35,4204500
2019-05-15,51.97,53.32,51.66,52.95,41.72,2928700
2019-05-16,53.29,53.54,52.72,52.97,41.74,3689700
2019-05-17,52.34,52.52,50.65,50.79,40.02,4440800
2019-05-20,50.40,50.54,49.91,50.08,39.45,5168400
2019-05-21,50.27,51.18,50.02,50.63,39.89,4968400
2019-05-22,50.45,50.61,49.96,50.20,39.56,3019100
2019-05-23,49.5,49.86,48.20,48.70,38.37,4919200
2019-05-24,49.38,49.57,48.43,49.20,38.76,2918900
2019-05-28,49.36,49.43,48.09,48.56,38.26,6613000
2019-05-29,48.20,49.43,48.00,48.70,38.37,3525900
2019-05-30,48.11,48.59,48.02,48.47,38.74,3777600
