Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,107.08,110.87,106.77,110.14,86.30,4434935
2019-01-03,109.49,109.82,107.73,107.94,84.57,4546648
2019-01-04,109.85,112.32,109.40,112.16,87.88,4683779
2019-01-07,112.33,113.60,111.53,112.95,88.50,3923755
2019-01-08,114.39,115.26,113.74,114.56,89.76,4982726
2019-01-09,115.59,116.06,114.59,115.38,90.40,3800850
2019-01-10,114.79,116.50,114.67,116.43,91.23,4089860
2019-01-11,116.23,116.27,114.91,116.11,90.98,3893630
2019-01-14,115.21,115.34,114.49,115.09,90.18,5469220
2019-01-15,115.64,116.56,115.50,116.37,91.18,3668845
2019-01-16,116.23,116.63,115.51,116.27,91.10,4017791
2019-01-17,115.25,117.02,115.24,116.81,91.53,5261275
2019-01-18,117.84,119.23,117.31,118.37,92.75,6284891
2019-01-22,117.87,118.35,116.19,117.13,91.77,10514810
2019-01-23,125.59,129.06,124.57,127.04,99.54,23078630
2019-01-24,126.79,127.35,125.65,126.70,99.27,6613753
2019-01-25,127.02,128.52,126.60,128.07,100.35,5969940
2019-01-28,127.24,128.88,126.74,128.36,100.57,5604154
2019-01-29,128.38,129.45,127.72,128.42,100.62,5268807
2019-01-30,128.10,129.09,127.39,128.47,100.66,4707941
2019-01-31,128.53,128.79,127.85,128.50,100.69,5108664
2019-02-01,129.03,129.25,127.48,128.20,100.45,3981076
2019-02-04,128.12,129.25,127.14,129.24,101.26,4149064
2019-02-05,129.33,129.84,128.98,129.58,101.53,5647249
2019-02-06,129.27,130.64,129.22,130.32,102.11,5104166
2019-02-07,127.67,128.55,126.30,127.33,100.93,4580852
2019-02-08,126.52,127.82,126.37,127.82,101.32,3399291
2019-02-11,128.38,129.20,128.02,128.09,101.53,3237475
2019-02-12,129.20,130.21,128.92,130.06,103.10,3469791
2019-02-13,130.89,131.85,130.41,131.47,104.21,4448638
2019-02-14,131.13,131.54,130.21,130.47,103.42,2917712
2019-02-15,131.52,132.11,131.34,131.95,104.60,4020929
2019-02-19,131.74,132.60,131.31,132.60,105.10,3541442
2019-02-20,132.65,133.11,131.18,131.93,104.57,3976892
2019-02-21,131.75,132.26,131.30,131.77,104.45,3072416
2019-02-22,132.62,133.25,132.34,133.12,105.52,3256930
2019-02-25,133.84,134.29,133.19,133.32,105.68,3341133
2019-02-26,133.52,134.31,133.33,133.57,105.88,3201178
2019-02-27,133.12,133.43,132.31,133.04,105.46,2647321
2019-02-28,132.66,132.94,131.66,132.05,104.67,3616859
2019-03-01,133.18,133.88,132.54,133.07,105.48,3169380
2019-03-04,133.83,133.91,131.13,132.34,104.90,3563617
2019-03-05,132.28,132.63,131.51,131.81,104.48,4445814
2019-03-06,132.04,132.30,130.70,130.95,103.80,2895642
2019-03-07,130.60,130.86,128.70,129.40,102.57,4559305
2019-03-08,128.30,129.29,127.70,129.14,102.37,3947186
2019-03-11,130.04,131.67,129.86,131.65,104.35,4120508
2019-03-12,132.42,133.55,131.79,132.19,104.79,4136616
2019-03-13,131.97,133.19,131.78,132.46,105.00,3319167
2019-03-14,132.41,132.82,131.98,132.68,105.17,2864576
2019-03-15,133.24,134.15,133.10,133.29,105.66,7482770
2019-03-18,133.68,134.19,132.61,134.04,106.25,3418851
2019-03-19,134.76,135.46,133.84,134.31,106.46,3642486
2019-03-20,134.34,134.51,132.86,133.46,105.79,3817377
2019-03-21,132.98,135.86,132.77,135.21,107.18,3771248
2019-03-22,134.77,135.21,132.79,133.31,105.67,4055551
2019-03-25,132.94,133.75,132.26,133.05,105.47,2970431
2019-03-26,133.77,134.81,133.28,134.05,106.26,2671170
2019-03-27,134.23,134.31,132.31,133.11,105.51,3240717
2019-03-28,133.75,134.26,132.98,133.76,106.03,2786439
2019-03-29,134.32,135.00,133.98,134.89,106.92,3244064
2019-04-01,135.28,137.10,135.28,136.99,108.59,4167578
2019-04-02,137.04,137.61,136.32,136.71,108.36,2515421
2019-04-03,137.33,137.87,136.72,137.31,108.84,2804535
2019-04-04,137.30,137.80,136.27,136.50,108.20,2898571
2019-04-05,136.98,137.18,136.19,136.97,108.57,2857463
2019-04-08,136.73,137.11,136.58,137.08,108.66,2215637
2019-04-09,136.38,136.66,135.60,135.86,107.69,3178271
2019-04-10,135.94,137.18,135.73,136.73,108.38,2801188
2019-04-11,137.47,137.77,136.73,137.45,108.95,3077332
2019-04-12,137.91,138.08,137.38,138.00,109.39,3032249
2019-04-15,138.04,138.10,136.96,137.57,109.04,3768947
2019-04-16,138.04,138.99,137.68,138.75,109.98,6591578
2019-04-17,131.32,135.73,130.26,132.99,105.41,13101882
2019-04-18,132.88,134.31,132.60,134.15,106.34,5188160
2019-04-22,133.28,134.37,132.39,132.78,105.25,4700724
2019-04-23,133.03,134.72,132.82,134.26,106.42,4667461
2019-04-24,134.41,135.09,133.63,133.79,106.05,2902545
2019-04-25,133.55,133.60,131.65,132.53,105.05,3043965
2019-04-26,133.21,133.73,132.70,133.30,105.66,2426511
2019-04-29,133.03,133.48,132.70,132.93,105.37,3094382
2019-04-30,132.99,134.26,132.58,134.10,106.29,4852185
2019-05-01,134.36,135.57,134.00,134.37,106.51,3194170
2019-05-02,134.32,135.06,133.27,133.45,105.78,3704304
2019-05-03,133.55,134.79,133.48,134.08,106.28,2698575
2019-05-06,132.21,134.50,131.83,134.20,106.38,2921792
2019-05-07,133.03,133.37,130.20,131.58,104.30,4944233
2019-05-08,131.71,132.60,131.09,131.93,104.57,3994569
2019-05-09,128.95,129.61,127.17,129.38,103.78,4385564
2019-05-10,128.94,129.78,126.59,129.36,103.76,4160570
2019-05-13,127.41,127.69,125.20,125.64,100.77,5186068
2019-05-14,126.02,128.41,125.88,127.44,102.22,3431298
2019-05-15,126.75,128.67,126.54,128.48,103.06,2668346
2019-05-16,128.81,130.12,128.71,129.90,104.19,3156096
2019-05-17,128.75,129.45,128.04,128.41,102.99,2739579
2019-05-20,127.65,129.47,127.08,129.17,103.61,3414667
2019-05-21,130.13,131.03,129.81,130.44,104.63,2618661
2019-05-22,130.01,130.73,129.74,130.35,104.55,1934891
2019-05-23,129.18,129.18,124.70,126.56,101.51,5589196
2019-05-24,127.65,128.34,125.80,126.46,101.43,2715521
2019-05-28,126.31,126.80,124.54,124.72,100.03,5134605
2019-05-29,124.28,124.55,122.67,123.98,99.44,3848234
2019-05-30,124.03,124.25,123.26,123.87,99.35,2868027
2019-05-31,122.79,122.79,121.27,121.40,97.37,3702108
2019-06-03,121.51,122.90,121.47,122.62,98.35,4463177
2019-06-04,123.86,126.90,123.41,126.85,101.74,4093521
2019-06-05,127.51,127.73,124.73,125.70,100.82,3306720
2019-06-06,126.37,126.81,125.14,126.40,101.38,2403917
2019-06-07,126.64,128.79,126.39,127.44,102.22,2670856
2019-06-10,128.47,129.39,128.02,128.81,103.32,3045220
2019-06-11,129.36,130.45,129.11,129.97,104.24,3564036
2019-06-12,129.59,129.96,128.49,128.93,103.42,2358416
2019-06-13,129.18,130.27,129.14,129.78,104.10,3091244
2019-06-14,129.48,129.90,128.51,129.20,103.63,2294192
2019-06-17,129.43,130.04,128.77,129.01,103.48,2295029
2019-06-18,129.25,131.15,129.25,130.38,104.57,3048776
2019-06-19,130.43,132.27,130.24,131.05,105.11,2491990
2019-06-20,132.82,133.40,132.12,132.74,106.47,3212266
2019-06-21,132.35,133.40,132.30,133.07,106.74,5531980
2019-06-24,133.07,133.98,132.93,133.22,106.85,2286556
2019-06-25,133.32,133.41,132.05,132.27,106.09,2930055
2019-06-26,132.76,133.53,132.32,132.42,106.21,2389692
2019-06-27,132.61,133.17,131.88,132.42,106.21,2248691
2019-06-28,132.47,133.02,131.77,131.83,105.74,6436979
2019-07-01,133.46,135.26,133.15,133.72,107.26,3533074
2019-07-02,133.60,134.25,133.33,134.05,107.52,2520546
2019-07-03,134.53,135.58,134.25,135.31,108.53,2019198
2019-07-05,134.67,135.26,133.75,135.16,108.41,2232896
2019-07-08,134.84,135.07,134.10,134.38,107.79,2505484
2019-07-09,134.42,134.78,133.01,133.20,106.84,3519999
2019-07-10,133.84,135.66,133.64,134.29,107.71,2629539
2019-07-11,134.59,135.35,134.13,135.02,108.30,2231013
2019-07-12,135.67,136.63,135.43,136.46,109.45,2914365
