Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,128.13,128.38,126.27,127.75,111.57,7631700
2019-01-03,128.13,128.27,125.36,125.72,109.80,8654500
2019-01-04,127.12,128.64,126.73,127.83,111.64,8831700
2019-01-07,127.62,128.35,126.80,127.01,110.93,8404700
2019-01-08,128.17,130.5,127.73,129.96,113.50,9351600
2019-01-09,129.83,130.24,128.33,128.92,112.60,7403500
2019-01-10,127.69,129.88,127.69,129.71,113.29,6224400
2019-01-11,129.0,129.83,128.30,129.75,113.32,5300400
2019-01-14,128.74,128.96,127.58,128.27,112.04,7374400
2019-01-15,128.52,129.49,127.65,129.36,112.98,5194400
2019-01-16,129.41,129.41,127.90,128.03,111.83,6264200
2019-01-17,127.70,129.52,127.45,129.08,112.74,7632000
2019-01-18,129.89,131.17,129.44,130.69,114.14,10593000
2019-01-22,128.19,129.5,127.01,128.80,112.49,10568100
2019-01-23,128.5,129.30,127.93,128.80,112.49,9267800
2019-01-24,128.49,128.69,125.0,127.02,110.95,9917000
2019-01-25,128.13,128.44,127.02,128.22,111.99,7585100
2019-01-28,127.80,129.14,127.29,128.99,112.66,6927700
2019-01-29,128.94,130.47,128.5,130.33,113.83,6669300
2019-01-30,130.36,132.19,130.30,131.63,114.97,7299300
2019-01-31,131.63,135.19,130.86,133.08,116.23,17298100
2019-02-01,134.02,134.69,133.47,134.19,117.21,9575200
2019-02-04,133.96,134.14,132.21,132.88,116.05,7759000
2019-02-05,133.52,133.88,132.75,132.88,116.05,6449800
2019-02-06,133.08,133.57,132.30,133.0,116.16,5066100
2019-02-07,132.44,132.63,131.52,132.05,115.33,6085300
2019-02-08,131.94,132.46,131.53,132.39,115.64,4436700
2019-02-11,132.30,132.66,131.25,132.0,115.29,4962200
2019-02-12,132.08,134.30,132.08,134.16,117.17,6262300
2019-02-13,134.07,134.97,133.21,134.44,117.43,7902200
2019-02-14,134.30,134.82,133.35,134.30,117.30,3910400
2019-02-15,135.19,136.41,135.00,136.38,119.11,6665000
2019-02-19,136.13,136.38,135.63,135.69,118.51,5935500
2019-02-20,135.97,136.72,135.72,136.35,119.09,6089800
2019-02-21,134.97,135.78,134.27,135.41,118.27,6665500
2019-02-22,135.28,136.63,134.82,136.60,119.30,5223900
2019-02-25,136.35,137.49,135.86,136.19,119.74,6846600
2019-02-26,136.44,136.96,136.05,136.11,119.66,5106900
2019-02-27,135.52,136.25,135.38,135.86,119.45,4378100
2019-02-28,135.94,137.94,135.69,136.63,120.13,10133200
2019-03-01,137.22,138.61,137.00,138.35,121.63,5641600
2019-03-04,138.85,139.41,137.50,138.47,121.75,8377700
2019-03-05,138.80,139.13,138.36,138.77,122.00,6568900
2019-03-06,139.47,139.64,138.60,139.08,122.28,6236900
2019-03-07,138.52,139.11,137.69,138.24,121.54,6100400
2019-03-08,138.08,139.30,136.41,138.05,121.38,7046700
2019-03-11,138.11,139.02,137.52,138.55,121.82,6150400
2019-03-12,138.64,140.0,138.5,139.17,122.36,5552900
2019-03-13,139.58,139.83,139.02,139.41,122.57,6446900
2019-03-14,138.33,138.80,137.94,138.02,121.34,8493600
2019-03-15,138.0,138.25,136.83,137.60,120.97,11922500
2019-03-18,137.64,137.77,136.72,137.16,120.60,7369600
2019-03-19,137.61,138.82,137.47,138.44,121.71,5882500
2019-03-20,138.33,138.50,136.64,137.28,120.70,5475700
2019-03-21,137.0,138.77,136.94,138.10,121.41,5765100
2019-03-22,137.75,138.38,136.86,136.91,120.37,6528800
2019-03-25,136.91,137.00,135.74,136.61,120.10,4500300
2019-03-26,136.92,139.27,136.92,138.57,121.83,4758600
2019-03-27,138.58,139.47,138.07,138.69,121.94,6764900
2019-03-28,139.05,139.46,138.71,138.88,122.10,4602100
2019-03-29,139.27,139.88,138.88,139.78,122.90,7168400
2019-04-01,139.99,140.28,138.74,138.97,122.19,5885200
2019-04-02,139.00,139.00,136.91,137.71,121.07,5517800
2019-04-03,138.19,138.24,136.86,137.16,120.60,5947000
2019-04-04,136.86,137.00,135.13,135.57,119.19,5844600
2019-04-05,136.03,136.58,135.69,136.17,119.73,4759700
2019-04-08,136.05,136.50,135.69,136.13,119.69,4329600
2019-04-09,136.0,136.25,134.55,135.57,119.19,5210300
2019-04-10,135.88,136.13,135.33,135.58,119.20,4194100
2019-04-11,135.96,136.17,134.41,135.21,118.87,4485200
2019-04-12,135.22,136.35,134.75,135.97,119.55,5756800
2019-04-15,136.0,136.78,135.80,136.52,120.03,5380900
2019-04-16,138.32,140.69,137.55,138.02,121.34,10745700
2019-04-17,139.0,140.14,137.66,138.52,121.78,9543700
2019-04-18,139.35,140.24,135.75,137.52,120.90,10485300
2019-04-22,136.97,138.49,136.46,137.83,121.18,4666500
2019-04-23,137.41,140.85,137.25,139.89,123.00,5790500
2019-04-24,139.64,140.13,138.86,139.19,122.38,5676300
2019-04-25,138.52,139.77,137.96,139.64,122.78,5218100
2019-04-26,139.88,140.52,139.30,140.38,123.43,4613600
2019-04-29,140.35,140.42,139.58,139.83,122.94,4275200
2019-04-30,140.19,141.44,138.96,141.19,124.14,6003700
2019-05-01,140.94,142.35,139.75,141.94,124.80,6656300
2019-05-02,141.91,142.14,140.11,141.27,124.21,8835600
2019-05-03,141.28,142.08,141.08,142.00,124.85,5281600
2019-05-06,140.25,142.24,139.92,142.08,124.92,5818900
2019-05-07,140.82,141.38,139.05,139.97,123.06,6606700
2019-05-08,140.19,140.91,139.69,139.78,122.90,4667300
2019-05-09,138.94,139.32,137.63,138.72,121.97,5604200
2019-05-10,138.42,139.25,136.41,139.05,122.25,4771600
2019-05-13,137.85,138.05,136.52,137.19,120.62,5560000
2019-05-14,137.03,137.83,136.72,136.82,120.29,7179400
2019-05-15,136.89,137.49,135.33,136.91,120.37,6429400
2019-05-16,137.38,139.19,136.97,138.21,121.51,6857200
2019-05-17,137.0,139.02,136.86,138.61,121.86,6915300
2019-05-20,138.61,138.96,137.67,138.41,121.70,4771100
2019-05-21,139.11,139.57,138.08,138.11,121.43,4859000
2019-05-22,138.35,138.94,137.49,138.75,121.99,5456800
2019-05-23,138.5,139.85,137.66,139.78,122.90,6951800
2019-05-24,139.5,139.5,138.55,138.85,122.91,5473300
2019-05-28,139.0,140.49,137.05,137.07,121.33,11919600
2019-05-29,135.88,135.88,128.52,131.33,116.25,23247400
2019-05-30,131.44,132.82,131.16,132.11,116.94,7360600
2019-05-31,131.52,132.0,129.61,131.14,116.09,7811000
2019-06-03,131.5,132.39,131.03,131.44,116.35,8434600
2019-06-04,132.60,134.30,132.58,133.72,118.38,6648900
2019-06-05,134.69,135.13,133.86,134.38,118.95,6860600
2019-06-06,134.89,137.66,134.58,136.67,120.99,9115800
2019-06-07,137.58,139.58,137.13,138.55,122.64,6533900
2019-06-10,138.60,139.14,137.60,139.02,123.06,4994700
2019-06-11,139.67,140.66,139.5,139.77,123.73,8230500
2019-06-12,140.30,142.91,140.30,141.67,125.41,9216500
2019-06-13,141.72,141.94,140.21,140.71,124.56,7500800
2019-06-14,141.22,141.49,140.03,140.08,124.01,6548100
2019-06-17,140.0,140.24,139.21,139.44,123.43,5562800
2019-06-18,140.55,140.92,139.78,140.22,124.13,7122700
2019-06-19,140.00,140.97,139.91,140.44,124.33,6393400
2019-06-20,141.25,142.39,141.0,142.21,125.88,7335800
2019-06-21,141.46,142.42,141.00,142.08,125.78,11272200
2019-06-24,142.41,143.69,142.08,143.05,126.64,5894700
2019-06-25,143.27,144.97,143.19,144.24,127.68,7517000
2019-06-26,143.85,143.85,140.75,141.85,125.56,7674100
2019-06-27,142.22,142.5,140.60,140.69,124.54,5233500
2019-06-28,140.74,141.10,138.50,139.27,123.29,12792400
2019-07-01,140.19,140.25,138.72,139.36,123.36,5872300
2019-07-02,139.22,140.02,138.69,140.02,123.95,4501200
2019-07-03,141.0,142.17,140.78,142.13,125.82,3436300
2019-07-05,141.74,141.86,140.36,140.57,124.43,4652400
2019-07-08,140.11,141.08,139.63,140.97,124.79,4078100
2019-07-09,141.46,142.47,140.91,141.41,125.18,4217400
2019-07-10,141.77,141.99,140.66,141.21,125.00,4874400
2019-07-11,140.94,141.21,139.02,140.11,124.02,5817400
2019-07-12,140.11,140.11,132.32,134.30,118.88,17780100
2019-07-15,135.38,136.36,134.44,134.71,119.24,10038200
2019-07-16,132.92,133.83,131.75,132.5,117.29,10214500
2019-07-17,132.49,133.58,131.41,131.86,116.72,8862100
2019-07-18,132.13,132.50,131.16,132.07,116.91,6203100
2019-07-19,132.25,132.38,130.19,130.30,115.35,8340200
2019-07-22,130.0,130.14,127.83,128.63,113.87,12624800
2019-07-23,128.61,129.44,128.16,128.83,114.05,5803600
2019-07-24,128.88,129.78,128.57,129.77,114.88,6838600
2019-07-25,130.05,131.52,129.66,131.11,116.07,8897800
2019-07-26,131.30,131.30,130.49,130.72,115.72,4894600
2019-07-29,131.0,133.30,130.21,133.02,117.75,7832000
2019-07-30,132.47,132.49,131.27,132.08,116.92,5509600
2019-07-31,131.63,132.0,130.17,130.22,115.27,8559200
2019-08-01,130.25,130.74,129.02,130.28,115.33,7870700
2019-08-02,130.86,131.47,129.77,131.07,116.02,6574900
2019-08-05,130.91,131.46,129.00,130.16,115.22,9480000
2019-08-06,130.33,131.22,129.58,130.77,115.76,7880600
2019-08-07,129.36,130.91,128.19,130.21,115.26,6771700
2019-08-08,130.97,131.94,130.22,131.67,116.56,5260500
2019-08-09,131.80,132.75,131.22,132.03,116.88,4677300
2019-08-12,131.5,132.69,131.28,131.92,116.78,6852100
2019-08-13,132.30,134.10,132.0,133.41,118.10,5013200
2019-08-14,132.52,132.53,130.13,130.25,115.30,7736200
2019-08-15,130.16,131.07,129.25,130.53,115.55,7251200
2019-08-16,131.47,131.66,130.60,131.36,116.28,5858900
2019-08-19,132.5,132.57,131.82,132.25,117.07,4958000
2019-08-20,131.96,132.66,130.46,130.60,115.61,7302000
2019-08-21,131.69,132.41,130.85,131.52,116.43,6912800
2019-08-22,131.60,132.13,130.80,131.27,116.20,7213500
2019-08-23,131.07,131.25,127.12,127.73,113.07,15714000
2019-08-26,127.41,128.08,126.62,127.80,113.97,8889500
2019-08-27,129.88,132.39,129.10,129.63,115.62,20183800
2019-08-28,127.86,128.86,127.01,128.67,114.76,9878800
2019-08-29,128.83,129.19,126.83,128.24,114.37,6749900
2019-08-30,128.27,129.10,127.62,128.36,114.47,7371100
2019-09-03,127.98,128.97,127.51,128.74,114.81,5710200
2019-09-04,129.49,129.58,128.08,128.86,114.92,4807200
